user_detail_name,text,text 2,text 3,text 4,text 5,content_wrap,iplocation,user_detail_tags_text,resource_date_text,from
历史长河一瞬间,5分,超棒,景色5,趣味5,性价比5,三星堆博物馆新馆比以前的老馆发生了很大的变化，首先是展览内容丰富了许多，从历史考古中让观众认识了三星堆的发展演变过程，其二是展品有了很大的丰富，特别是近年新发掘的文物，其三是增加了文物修复的新馆，让观众了解文物修复的过程，了解文物修复工作的过程，增加了知识型和趣味性,IP属地:四川,,,
May-Zhmm,5分,超棒,景色5,趣味5,性价比5,"喜欢历史的家人们非常值得冲，尤其是把纪录片都刷一遍去到现场的那种震撼和冲击感非常强烈，难以想象3500年前的古蜀人就有如此强大的创造力，独特的审美，富足的生活，别人还在吃麦粟的时候他们已经吃上了稻。还有愤怒的小鸟，火锅鼻祖。
建议一定要刷刷纪录片再去看，最差也要请个现场讲解员，因为这没有文字的历史，一般人都读不透。不然走马观花会觉得很没意思。",IP属地:四川,,,
游侠半仙,5分,超棒,景色5,趣味5,性价比5,"打卡三星堆博物馆新馆。
三星堆博物馆基本陈列以“三星堆：沉睡数千年一醒惊天下”为主题，分设“世纪逐梦”“巍然王都”“天地人神”三大展区，展陈面积2.2万平方米，共展出三星堆遗址出士的珍贵文物1500余件（套），系统展示了三星堆百年考古研究成果，绘就出三星堆宏大、夺目、光辉、奇绝的文明画卷，让游客能沉浸式与文物“对话”、与历史“对话”。",IP属地:四川,,,
Viwi19,5分,超棒,景色5,趣味5,性价比5,"终于到三星堆了！！这次终于来了！！！
看到这些展出的古文物能看到古人的智慧、整体两层楼、各一个大展区。虽然是11月底但人流量还是蛮多的。博物馆里的文创也蛮有意思的。展馆内外面都有奶茶和咖啡餐饮。",IP属地:湖北,,,
北京黄非红,5分,超棒,景色5,趣味5,性价比5,很值得去，了解古蜀文明，了解古人手艺和智慧，了解四川历史。到此俩字：震撼。青铜神树，青铜大立人，黄金权杖，组件式青铜人，青铜太阳器（所谓的古方向盘）等别处的博物馆是见不到的，只有三星堆。,IP属地:北京,,,
没钱穷乐呵,5分,超棒,景色5,趣味5,性价比5,去三星堆博物馆参观，直观的感受就是震撼，特别特别震撼，几千年的文明也是高度发达的，那么大又精美的青铜器可能今天也无法复制和想象吧，青铜树，大力人一件比一件震撼。建议大家要请个人工讲解，这样更直观！去完三星堆也可以到广汉市溜达溜达！,IP属地:四川,,,
小菊花108,5分,超棒,景色5,趣味5,性价比5,"📍详细地址：四川省-德阳市-广汉市-西安路133号
🕙营业时间：陈列馆：08:30~18:00（停止入馆时间：17:00)修复馆：09:00~17:00
三星堆博物馆每年除夕闭馆一天，其余时间原则上不闭馆（临时公告闭馆除外），黄金周、小长假和寒暑假（1、2、7、8月）实行延时服务，开放时间08:30 ~ 20:00，停止入馆时间18:00。
🚉交通攻略：1.成都IFS大熊猫屁屁下有直通车单程25元/人，车程约2小时，滚动发车，车多人多；2.广汉北站最近，换乘广汉13路约30分钟到。
⏳游玩时间：3-5小时
💰门票价格:  72元/人，提前5天开始预约，每天20：00开始。
❤推荐理由：青铜大立人、黄金面具、青铜神坛等等等
🌟亮点特色：中国最特别的博物馆，没有之一。
📝注意tips：一、全年无淡季，提前约好门票；二、8：30之前到能约到人工讲解；三、很大人很多，休息好保持充足体能；四、带上充电宝，手机电量根本不够；五、太小或行动不便的人士，其实可以考虑换地方游玩。",IP属地:重庆,,,
韦大人,5分,超棒,景色5,趣味5,性价比5,出土的青铜大立人、青铜神树、青铜面具、金杖等文物，造型奇特、工艺精湛，风格迥异于中原文化，给人以强烈的视觉冲击和神秘感，如青铜纵目面具的柱状外凸眼球、大立人的奇特手势等，充分展现了古蜀先民丰富的想象力和创造力.,IP属地:福建,,,
陈家杰 香港純素食健身教練,5分,超棒,景色5,趣味5,性价比5,"在三星堆博物館
4仟多年前人古人的秘密
個個不同樣的超大眼的面具秘密
當時已大量青銅器械及細緻接駁技術
際壇3米高的神樹神獸與天界溝通
一個繁華文明成巿消失之迷。
推薦給家長帶小孩來看看。",IP属地:中国香港,,,
夏阳湖,5分,超棒,景色5,趣味5,性价比5,三星堆博物馆内有很多珍贵的文物展示，这些文物展现了古蜀人高超的工艺技术水平，揭示了古蜀国曾有过辉煌灿烂的文明，很值得你来探索。,IP属地:广东,,,
