user_detail_name,text,text 2,text 3,text 4,text 5,content_wrap,iplocation
Annie长翅膀的喵,5分,超棒,景色5,趣味5,性价比5,"澳门新濠影汇8字摩天轮，是澳门的一大标志性景点。很远处就可以看到，全球首个“8”字形摩天轮，在两座酒店大楼之间的地标。
       每次围绕独特的“8”字形轨道运转约需15分钟左右，无论白天或夜晚，都可以让乘客有足够的时间欣赏澳门美景。",IP属地:上海
xinxin486,5分,超棒,景色5,趣味5,性价比5,之前在网上看到过这个摩天轮，觉得挺新鲜的没坐过，带孩子来感受一下的，100一个人，不分大人孩子，从住的酒店走过去，十多分钟吧，人不算太多，排一会就到了，孩子有点害怕，一直抱着爸爸哈哈，都没给孩子拍个单人的照片，坐下来孩子也挺兴奋的，觉得挺好的。,IP属地:北京
夏吹夏夜风,5分,超棒,景色5,趣味5,性价比5,"据说是现在亚洲最高的8字摩天轮，酒店和摩天轮的外观都很时髦。疫情期间开放时间是14:00-20:00，白天人比较少，我和同伴单独两人坐了一个，美滋滋。

可惜最近澳门都是阴天，拍出来的风景都是灰蒙蒙的，再加上周围都是在建的酒店工地，高空观赏性大打折扣。

不过因为人少，摩天轮的乘坐体验感很好，算是互补啦。",
遇见三文鱼,5分,超棒,景色4,趣味4,性价比5,"夜幕降临，华灯初上，乘坐新濠影汇全世界最高的8字摩天轮，澳门美景尽收眼底，高悬在130米之上，彷佛电影中的震撼场景再现于现实生活中。摩天轮上17个复古主题的观景厢，俯瞰澳门全景壮观震撼。

我下来才知道门票是可以无限次乘坐的，现场买100澳门元，携程49元人民币秒出票，应该白天晚上各做一次。",
320****689,5分,超棒,景色5,趣味5,性价比5,"女儿特别喜欢摩天轮🎡遇到8字这种外观比较独特的更要试一试。
商场内部入口，3楼，好找，风景并没有多么好看，一面是荒地，眺望还可以看到机场，体验感比较平稳。
可以提前买好票，小孩子也要门票，晚上8点之前随到随玩。",IP属地:上海
MikrokosmosBTS,5分,超棒,景色5,趣味5,性价比5,"夜晚的氹仔，“豪”无人性，满眼金灿灿～⭐️🌟💫✨
著名的八字摩天轮在新濠影汇上面，体验感真的不错。可能之前疫情期间游客少，旅行也变得很闲适～澳门的夜景真的很棒，有种纸醉金迷的感觉🌙",
莫扎扎315,5分,超棒,景色5,趣味4,性价比5,"登上高悬130米、全球最高的8字形摩天轮，澳门景致尽收眼底。
耸立于两座酒店大楼之间的瞩目地标“影汇之星”设计概念源自好莱坞巨制之震撼场景，恍如两颗炽热行星冲击大楼外墙，留下了一个近乎完美的“8”字。
其实这种中间有镂空的建筑并不稀奇，但将这一段造成摩天轮的形式，由下向上仰视很壮观，坐在摩天轮上俯视，想来视角也很特别。",
李女士9,4分,满意,景色5,趣味3,性价比3,去了好几次澳门都没有乘坐摩天轮，这次终于坐到啦，而且双人票有优惠，上去摩天轮，视野非常开阔，看遍澳门景，而且摩天轮里有透明的一块位置可以看下面，有恐高的朋友心里吓丝丝的哈哈哈，还有小鸭子主题的但是和普通价格不一样哦,IP属地:中国澳门
格格巴,5分,超棒,景色5,趣味5,性价比5,没想到澳门氹仔这边的酒店群有如此火爆的人流，这一定与新濠影汇的贡献是有密切关系的。水舞间的表演票可以半价去坐这个8字摩天轮，可惜天气阴沉，怎么拍照都没有感觉了，匆匆过客不过等待时间就少了，下次要住这边的酒店，领略一下夜景好美!,
M515shunyi1618,4分,满意,景色4,趣味4,性价比4,影汇之星八字摩天轮澳门的热门地标性建筑，它也是全球最高的八字摩天轮，远远的就可以看见它非常有气势，而且设计的也非常有特点八字的两圈既起到了装饰大楼的作用也可以作为摩天轮来乘坐，真的很佩服设计者的创意，入口在新濠影汇的三楼，非常推荐来这里这绝对是来澳门不得不体验的一个项目。,
M515shunyi1618,4分,满意,景色4,趣味4,性价比4,影汇之星八字摩天轮澳门的热门地标性建筑，它也是全球最高的八字摩天轮，远远的就可以看见它非常有气势，而且设计的也非常有特点八字的两圈既起到了装饰大楼的作用也可以作为摩天轮来乘坐，真的很佩服设计者的创意，入口在新濠影汇的三楼，非常推荐来这里这绝对是来澳门不得不体验的一个项目。,
林六六0423,5分,超棒,景色5,趣味4,性价比5,很漂亮，尤其是晚上拍照的时候特别好看，再加上灯光拍出来很让人震撼，我是和家人一起出来玩的，我们在摩天轮🎡上留下了非常好的回忆,IP属地:福建
Wendy Zheng,5分,超棒,景色5,趣味5,性价比5,晚上很美 去澳门很多次从来没有去过 这个带有标志性建筑很值得一去 是情侣约会圣地 哈哈可惜我是个单身狗 独身一人游遍澳门 凑字终于字够数了,
M16****372,5分,超棒,景色5,趣味5,性价比5,带着小孩一起去的，他很开心，虽然有点恐高，但还是值得一去，我们是白天去的，有点雾霾，都说，最好是晚上上去，夜景比白天更好看。,
辛♡叶,5分,超棒,景色5,趣味5,性价比5,不错的项目，很是值得体验，可以看到整个氹仔，还有主题包厢可以选择。网上买票比现场便宜一半（现场是100澳门币一张成人票)。,IP属地:中国澳门
yangduoduo17,4分,满意,,,,影汇之星8字形摩天轮是澳门新濠影汇度假区的标志性景点，其独特的8字形设计令人印象深刻。乘坐摩天轮缓缓上升，可以360度全景俯瞰澳门市区及海景，视野开阔，景色迷人。车厢内部宽敞舒适，设施先进，为游客提供了极佳的观景体验。尤其是在夜晚，当灯光亮起，整个摩天轮如梦如幻，更是浪漫至极。无论是情侣约会还是家庭出游，影汇之星8字形摩天轮都是不可错过的浪漫之选，让人流连忘返。,IP属地:广东
超级ctt,4分,满意,,,,影汇之星 8 字形摩天轮是澳门的一大独特景观。它高悬 130 米，是全球最高的 8 字形摩天轮，其设计概念源自好莱坞电影场景，造型新颖独特，十分吸睛124. 17 个复古科幻主题的观景厢，可容纳多人，且底部透明玻璃能让乘客俯瞰脚下景观124. 乘坐其中，可将澳门景致尽收眼底，尤其是在夜晚，璀璨的夜景更是令人陶醉346. 此外，周边还有丰富的娱乐、餐饮等配套设施，为游客提供了全方位的休闲体验，是来澳门旅游不容错过的打卡点之一。,IP属地:广东
小元元麻麻,5分,超棒,景色5,趣味5,性价比5,"新濠影汇8字摩天轮｜酒店里的摩天轮｜
新濠影汇的8字摩天轮高悬130米，是全球最高的8字形摩天轮。“8”是代表吉利的数字，可以来坐这个摩天轮增添吉利。
其实比较建议晚上乘坐，可以看漂亮的夜景。但是假期人多，想要错开高峰不排队的话，建议傍晚乘坐。
摩天轮乘坐一轮大约10分钟，轿厢两侧可以看到不同的风景。轿厢底有一处透明玻璃底，可以走上去测试下胆量。实测宝宝没有“恐高”功能，一直喊着“我们一起来冒险吧”，站上玻璃趴在墙面看风景，嗨得不得了。摩天轮入口：新濠影汇酒店东翼3楼营业时间：
工作日12:00-20:00
周末 11:00-21:00门票：成人 澳门币100
小童 澳门币80澳门居民、60岁以上长者、12岁以下儿童：澳门币85（需出示有效证件）2岁以下婴幼儿免费入场（需出示有效证件）12岁以下小童必须由18岁或以上成人陪同",
聪明的笨羊,5分,超棒,景色5,趣味5,性价比5,这个摩天轮在新濠影汇酒店里面，老远就看到。先从酒店一侧乘电梯到三层买票，然后检票后再乘电梯上到23层，出来后就可以进入轿厢了，一个盒子里能座6-8人的样子，转一圈20分钟吧，由于这个摩天轮是嵌在大楼里的，所以视野并不开阔，感觉一般。,
彼岸之澄,4分,满意,景色4,趣味4,性价比4,"和康康同学的第N次出游，8字摩天轮是买水舞间门票送的，来了才发现，即使是花钱购门票也是很值得的。
8字摩天轮建在楼宇之间，十足太空超现代感。金属摩天轮仓，脚下是全透明的玻璃板，对于不恐高的我来说，玩得很欢实，旁边的康康同学坐下就不太敢移动了。转一圈下来十几分钟的样子，下方是个水上乐园，澳门有趣的景点不多，这个算一个。",
Tiffanygong,4分,满意,景色5,趣味4,性价比4,因为《澳门风云》的电影去该景点打卡的，加上离住的酒店也很近。推荐大家去打卡，建议傍晚的时候去，一方面晚上不开放，一方面可以和《水舞间》的表演买联票。傍晚的澳门，纸醉金迷的真的非常漂亮。车厢脚下的玻璃是全透明的，不过还是很安全的。拍下面酒店的泳池，拍出来也是很赞的。,
大头儿0204,4分,满意,景色4,趣味4,性价比4,"很特别的一个摩天轮，8字型的，必须7点前去排队，不然会赶不及。
如果想同时看新濠影汇表演跟摩天轮的人，摩天轮只能选择傍晚上去，看不了夜景哦。
上面一个摩天轮可以容纳10个人。景色挺美的，视野非常好，网上优惠提早买划算很多，现场去购票感觉110澳门币不太划算",
_WeCh****96151,5分,超棒,景色4,趣味4,性价比3,周边景观独特，带孩子游览较好，孩子有一种新奇感，平稳升降，感觉舒适，进出环境良好，外观留影以及随意蹓跶给人的感官也是不错的！,
第二号爱人,4分,满意,景色5,趣味4,性价比3,"新濠影汇是澳门这边最新的购物体验商场，在这里最大的特色就是那个八字的摩天轮，票价也不是特别的贵，也就是100块钱左右，在上面转一圈的话，也就是几分钟。
整个箱体都是封闭的，但是四周都有透明的落地玻璃，所以就可以观赏到这边的好景色。
比较推荐黄昏的时候上，因为这个时候，澳门的天际线比较的漂亮，如果是看八字摩天轮的外观的话，就晚上过去，夜灯相当的好看。",
wendy_1977,5分,超棒,景色5,趣味4,性价比5,对于小孩子来说，这是一个不错的去处。八字形轨道，设置上有类似蝙蝠侠影片风格的金属风，正值夕阳西下、华灯初上时最好，天边降下深蓝色的帷幕，四周酒店绚烂的灯光夜会却已经开始了！,
_WeCh****99845,5分,超棒,景色5,趣味5,性价比5,白天去看别有一番风味，晚上去看风景能够更美，因为澳门晚上的灯光夜晚还是很棒的。在携程上购买的价格会比在现场购买要稍微划算一点点，推荐还是在携程上面进行购买，而且换票什么的还比较方便，但是大家要记得，新濠影汇和新濠天地是两个地方要去新豪影会，并且要从东门上3楼才能找到，不然的话很容易找反。,IP属地:中国香港
_WeCh****146095,5分,超棒,,,,登上高悬130米、全球较高的8字形摩天轮，澳门景致尽收眼底。耸立于两座酒店大楼之间的瞩目标志“影汇之星”设计概念源自好莱坞巨制之震撼场景，恍如两颗炽热行星冲击大楼外墙，留下了一个近乎完整的“8”字。“影汇之星”有17个复古科幻为主题的观景厢，每个包厢可容纳多达10人,IP属地:北京
300****842,5分,超棒,景色4,趣味4,性价比5,"新濠影汇的招牌——8字摩天轮，完成打卡[庆祝][庆祝]

入园当天可以无限次乘坐，一圈15分钟。时间不赶的建议白天坐一趟，晚上坐一趟。时间多的，可以随意的去坐，出来了再上去，出来又上去[破涕为笑][破涕为笑][破涕为笑][破涕为笑]

景色嘛，其实是很一般的，从楼下去看八字很震撼，但是坐在上面的时候去看，也没觉得有啥特别的，关键是感觉不出来，它在八字形转动的。

门票100澳门币，住客打8折。淘宝携程都是49元一张，遇到新濠影汇直播活动，88元两张，秒杀8元一张[呲牙][呲牙][呲牙]",
vivienvivien,5分,超棒,景色5,趣味5,性价比5,影滙之星（8字摩天轮）是全球首个亦是最高的 8字形摩天轮。富现代感摩天轮离地面130米，凼仔的风景尽入眼帘；观景厢的底部更是一块大透明玻璃，乘客可以看到脚下的景观。「影滙之星」已经成为当地瞩目的地标，摩天轮设计概念源自荷里活电影震撼场景，大楼就好像被两颗火球撞击，留下了一个「8」字形的洞。8字摩天轮有17个观景厢，每个是以科幻和复古为主题，可容纳多达10人。,
🥀Rosa Rubus🥀,4分,满意,景色5,趣味4,性价比4,"位置：位于新濠影汇里面，具体位置应该是酒店一侧进入一直往里面走，到底有楼梯，在三楼的地方北侧有服务台，但有二维码的话直接走到最南面排队验证码就行。
票价：100MOP官网，碰到运气好的话酒店会送券。
景区：个人觉得比起其他一般的摩天轮来说可能是造型不太一样，坐在上面的感觉其实也是不是觉得非同一般。夜景很不错，到晚上8:00左右结束，时间要注意，夜景虽好，但不宜太晚！",
deany伯爵,4分,满意,景色4,趣味4,性价比4,如果来到澳门想登高看落日，感受浪漫的氛围，新濠影汇之星的8字摩天轮是个不错的景点，一般的摩天轮是原形的，而这座摩天轮有两圈组成8字，在130米高处，远远就看到了。全程十八分钟，随着摩天轮的起降，可以换一个角度欣赏澳门。,
100****980,5分,超棒,景色5,趣味5,性价比4,夜景相当漂亮，8字的造型也是独一无二,IP属地:内蒙古
tiger7777777,5分,超棒,景色5,趣味5,性价比5,亚洲最好的摩天轮值得打卡，人不是很多，购票也很方便，排队大概五分钟就坐上了，能不能坐上小黄鸭主题凭运气，整体时间还蛮短的，非常出片的一个地方，澳门新地标强烈推荐，二楼有一个观景平台最佳拍照位，去乘坐的路上就会经过，上去拍效果好,IP属地:河南
遇见三文鱼,5分,超棒,景色5,趣味4,性价比5,"夜幕降临，华灯初上，乘坐新濠影汇全世界最高的8字摩天轮，澳门美景尽收眼底，高悬在130米之上，彷佛电影中的震撼场景再现于现实生活中。摩天轮上17个复古主题的观景厢，俯瞰澳门全景壮观震撼。

我下来才知道门票是可以无限次乘坐的，现场买100澳门元，携程49元人民币秒出票，应该白天晚上各坐一次才对得起这个价格。[捂脸]",
George-Wong,5分,超棒,景色5,趣味5,性价比5,"位於酒店內嘅遊樂設施「 8字摩天輪🎡 」，知名度重高過酒店本身，去到梗係要玩啦 😁
入場時，問工作人員係咪淨可以玩一圈，佢哋話你哋中意玩幾圈都ok，我哋霎時間興奮到飛起～
入場之後發現又係我哋嘅專場喎～前兩圈顧住影相，到咗第三圈嗰時，女朋友同我講：不如我哋假扮下cp？接著一個擁抱，暖徹心扉 💗
Our story, Sharon & George, begins from here~~ 💏",
Sne.呆,5分,超棒,景色5,,,"还不错，服务态度也很好，很缓慢，老人家可以坐坐   
***",
205****828,5分,超棒,景色5,,,到澳门的当天，澳门热的可以穿一件卫衣就ok了，想不到冷空气跟着我们也到达了，第二天走出酒店被冷到逃回酒店换厚衣服出门。这个八字轮因为电影使徒行者在小朋友心中种草许久了，这次也算圆人家一个小小的愿望了。到现场把短信给工作人员看，他们核对好信息，就会把门票给你们了。现场买还是有点小贵的，携程便宜了不少了。然后坐电梯去23楼排队等。因为又是工作日又是白天的缘故，几乎是随到随玩。给了我们一个箱，没有和别人合坐。酒店靠近横琴口岸，附近很多都是工地，白天氹仔真的没什么可看的。路过有时间的还是晚上坐，氹仔酒店多，晚上灯一打确实漂亮。,
独孤九剑9,5分,超棒,景色5,趣味5,性价比5,挺有意思的，在缆车上可以看到整个澳门的夜景，但又不会害怕，不是透明的箱体，就是得排对差不多1小时，票价100澳门币，有点贵了，就10分钟,
Thunderlily,5分,超棒,景色5,趣味5,性价比5,在新濠影汇的3楼checkin 之后坐电梯到23楼等候上摩天轮。景观特别好，远处是澳门机场的跑道，我们的摩天轮转到最高处中间的时候，正好一架飞机降落在跑道上，太独特的视角了。,IP属地:广东
