user_detail_name,text,text 2,text 3,text 4,text 5,content_wrap,iplocation,,,,,attraction_name
135****9703,1分,不佳,景色1,趣味1,性价比1,"大家擦亮眼睛，别以为携程推荐的就直接下单。自己去官网买便宜六七百。第一次遇到这么欺负人的。商家还霸王条款，差价不解释也不退款。京城混果然牛气的！
所谓导览服务体验了一下，就是大学生领着走去了两个项目，剩下电话沟通几下，100块都不值，自己问路园区工作人员应该也就这效果吧。花车观赏位更不知是什么，没看到也没体会到。
希望我的上当经历警醒下大家，别再上当了，自己下个环球度假区app，比在这里受气好！",IP属地:浙江,,,,,北京环球度假区差评
M46****5624,1分,不佳,景色1,趣味1,性价比1,没有任何体验感，一直在排队走路，来了百分之百后悔，还没来过的朋友们你们就挣到了,IP属地:北京,,,,,北京环球度假区差评
匿名用户,2分,一般,景色2,趣味2,性价比2,人太多体验感不好,IP属地:广东,,,,,北京环球度假区差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,身份证填错无法入园，听从景区客服重新购买并退费，结果联系携程退费按照指示办理退费现在还没结果，打电话就是帮忙取，或人机效率之慢,IP属地:湖北,,,,,北京环球度假区差评
匿名用户,1分,不佳,景色3,趣味4,性价比3,没有迪士尼好玩 排队2小时 游戏1分钟,IP属地:北京,,,,,北京环球度假区差评
匿名用户,2分,一般,景色4,趣味4,性价比1,不会再去了，排队排费了，一个劲的转圈排队，太影响体验感了,IP属地:浙江,,,,,北京环球度假区差评
M53****1887,1分,不佳,景色1,趣味1,性价比1,千万别去，室外项目很多没有开，一点都不好玩，还排很久的队,IP属地:河北,,,,,北京环球度假区差评
M49****4604,1分,不佳,景色1,趣味1,性价比1,超级超级超级不好,IP属地:内蒙古,,,,,北京环球度假区差评
匿名用户,1分,不佳,景色4,趣味1,性价比1,全程时间就是排队，票价那么高，结果给客户的体验感就是排队！,IP属地:广东,,,,,北京环球度假区差评
Ac40,2分,一般,景色5,趣味5,性价比2,不是一对一 收费偏高,IP属地:广东,,,,,北京环球度假区差评
M85****30,2分,一般,景色3,趣味1,性价比1,排队太久，性价比低！,IP属地:广东,,,,,北京环球度假区差评
M52****8458,1分,不佳,景色1,趣味1,性价比1,好多项目暂停开放 排队时间都大于两小时 体验时间都小于五分钟 毫无服务可言,IP属地:北京,,,,,北京环球度假区差评
M46****1891,1分,不佳,景色1,趣味1,性价比1,超级无敌差！！！ 禁忌之旅一直在绕绕绕绕绕！！！ 很多全部都截止排队  玩了一天就玩了两个项目  三点钟开始的环球大巡游 三点半才开始  工作人员不快速控制人流  开始了还有人在窜来窜去  工作人员太少！,IP属地:江苏,,,,,北京环球度假区差评
139****6806,2分,一般,景色2,趣味2,性价比2,服务一般，超过的时间段只能自己叫闪送。魔杖的感应毫无反应，对照使用视频也无法激活，完全没有体验感！结果棍子还莫名其妙的断了！一根看似好端端的棍子居然会自己断裂！匪夷所思！只怪自己没有查看仔细，照价赔偿了，建议大家谨慎选择吧！,IP属地:山东,,,,,北京环球度假区差评
203****975,1分,不佳,景色1,趣味1,性价比1,人巨巨巨巨巨巨多，园区内的工作人员也不是很友好。人多到令你毫无兴致的程度，园区内的指引非常少，要走很久才会有一个指示牌，所以在人多的情况下你需要花很多时间去看路线图和计划。我们一天只玩了4个项目，且两个是看的，园区内的游戏也都大同小异，只不过给你换了一个主题场景。个人感觉园区设计的指引还没有长隆做得好。吃的也很少，各种排队，无论是吃的还是玩的，明明就是超负荷的接待，体验非常非常之差。近几年内是不会再想去北环玩的了。体验真的巨差。到了下午居然进哈利波特的小园区都要排队进，进去以后接着排队玩项目。真不明白为什么要放这么多票，游乐园应该是开开心心的，现在单纯地觉得纯属收割机。体验差??到爆，真的毫不夸张。优速通售罄且后续只卖单项，价格也水涨船高，总之就是一路收割，买了优速通也是排队，区别就是别人排三小时可能你就排一小时这样。只有贵宾票是直接插队，但是春节期间贵宾票一天4500。这个价位我不知道买来体验什么，纯纯的人傻钱多才会一家人花个几万块在这里找一下存在感。因为！真的！不好玩！,IP属地:广东,,,,,北京环球度假区差评
M18****558,2分,一般,景色2,趣味2,性价比2,人太多了，一大一小花了一千多的门票，入场排队两个小时，两三个小时才能玩上一个项目，不会再来了,IP属地:北京,,,,,北京环球度假区差评
友谊一生,1分,不佳,景色1,趣味1,性价比1,跟携程合作，感受服务最恶心的一次？,IP属地:福建,,,,,北京环球度假区差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,黑心环球，只顾赚钱，不控制人流，园内消费极不合理，食品超贵，份量极少，宰客严重。排队排得天昏地暗，体验感极差。,IP属地:广东,,,,,北京环球度假区差评
luluicg,1分,不佳,景色2,趣味1,性价比1,史上最失败的选择地，本以为2千多能玩的挺多，结果全是排队，从设计上讲，就是故意设计的弯弯绕绕让游客在里面转圈圈排队，排3小时就完了一个火种，5分钟结束了，对不起这时间成本。反正不会再来了，也奉劝身边的人别来了，没啥劲。小项目也特别幼稚的花钱投球，和75投2次，1分钟结束，啥也没得着。花车也是没有长隆的互动性好，就是几个外国人走一走，招招手，太没意思了,IP属地:浙江,,,,,北京环球度假区差评
M52****0348,2分,一般,景色3,趣味3,性价比2,贵，人太多,IP属地:浙江,,,,,北京环球度假区差评
320****979,1分,不佳,景色1,趣味1,性价比1,携程误导买家选座！非常恶心！,IP属地:福建,,,,,北京环球度假区差评
匿名用户,1分,不佳,景色4,趣味3,性价比1,春节假期，套餐比平常贵了一半，人巨多，排队时间占了大半，平日过来可能才好一点,IP属地:广东,,,,,北京环球度假区差评
xi****143,1分,不佳,景色1,趣味1,性价比1,一天时间刷三个项目，人多到爆炸。冬天室内还有吹冷风，排队绕圈太多，园区工作人员指路还指错,IP属地:北京,,,,,北京环球度假区差评
菩提树,1分,不佳,景色1,趣味1,性价比1,每个项目都得排队两个小时,IP属地:北京,,,,,北京环球度假区差评
后山居士,2分,一般,景色4,趣味2,性价比2,一点体验感都没有！到处排队,IP属地:北京,,,,,北京环球度假区差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,体验感太差 大项目就要排半天 而且实际排队时长与app显示根本不符  不停的绕圈圈式排队 看不到希望,IP属地:上海,,,,,北京环球度假区差评
M24****9126,1分,不佳,景色3,趣味1,性价比2,怎么评价，两千的票价进来啥都玩不上，都在排队等时间，该玩的项目一个玩不上，起码进园的们室内的能够保障都看上，比如哈利波特啥的，那些过山车可以早一点，总之这地方真心不值这么个价，或是直接告诉普通家庭不要来，因为进来玩不了，买优速通一人310起步而且是一个项目，全完十几个项目一人一万都打不住，真是太无语了,IP属地:北京,,,,,北京环球度假区差评
匿名用户,1分,不佳,景色3,趣味1,性价比1,"1.app排队时间不准确，误导严重。
2.排队期间没有队伍长度标识，和工作人员指引。现场有插队现象。
3.各个项目时间偏短，排队时间与体验时间完全不成比例。
4.餐饮又贵又难吃，",IP属地:天津,,,,,北京环球度假区差评
138****5777,1分,不佳,景色1,趣味1,性价比1,差差差差差,IP属地:北京,,,,,北京环球度假区差评
