user_detail_name,text,text 2,text 3,text 4,text 5,content_wrap,iplocation,,,,,attraction_name
320****805,1分,不佳,景色5,趣味1,性价比1,服务很差，特别多差服务,IP属地:江苏,,,,,天坛公园差评
320****805,2分,一般,景色5,趣味2,性价比1,很一般，没有客服联系,IP属地:江苏,,,,,天坛公园差评
M53****5342,1分,不佳,景色5,趣味1,性价比1,体验感非常不好,IP属地:北京,,,,,天坛公园差评
匿名用户,1分,不佳,景色5,趣味1,性价比1,万里长城今犹在，不见当年秦始皇，没啥好看的，太多人了,IP属地:北京,,,,,天坛公园差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,进去五分钟,IP属地:北京,,,,,天坛公园差评
118****670,1分,不佳,景色1,趣味1,性价比1,"差评差评，预定的秀才说解说，每个人138元，分配的京状元解说，携程网京状元每人68元。提前一天的晚上已经提醒携程网说分配错误，告诉我说商家只是为了便于联系，第二天会安排秀才说，如果不是会退差价。
果然第二天就还是京状元，为了不影响行程也提前和携程说了，后面再退差价。
现在协调来协调去居然和我说只能一人退20元差价，接不接受也没办法。
太搞笑了，我作为一直使用携程的客户，从来不会无理取闹，这样的服务态度，解决不了我会一直投诉！！！",IP属地:广东,,,,,天坛公园差评
melodyrhythm,1分,不佳,景色4,趣味2,性价比1,不限流，人巨多，导游讲解也比较少，中途提前离开了,IP属地:北京,,,,,天坛公园差评
冉风,1分,不佳,景色5,趣味1,性价比4,一般般没有意思,IP属地:北京,,,,,天坛公园差评
eggegg35,2分,一般,景色2,趣味2,性价比2,人实在是太多了 没必要特地去,IP属地:日本,,,,,天坛公园差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,这家导游集合不会点名，不会联系游客，1分钟都不会等，晚一分钟打电话给导游，永远都是让你去哪儿哪儿找她，从来没见过这么赶时间的，让我去哪儿哪儿找她，那听什么讲解呢，差评差评,IP属地:北京,,,,,天坛公园差评
yo****owx,2分,一般,景色4,趣味4,性价比2,买的9点半的场，早一天晚上通知8点40就进去，结果还是起不了这么早，追着找人就找了半个小时，实际也就跟了1小时团。,IP属地:北京,,,,,天坛公园差评
