user_detail_name,text,text 2,text 3,text 4,text 5,content_wrap,iplocation,,,,,attraction_name
M66****65,1分,不佳,景色1,趣味1,性价比1,0分是给山下崇洋媚外的大爷的，一个冰箱贴，卖外国人1美元卖国人25块，你说要用卡给他转美金，他还不收开始满口**。跪舔太久起不来了都什么年代了，真给国人丢脸哦！,IP属地:广东,,,,,慕田峪长城差评
匿名用户,1分,不佳,景色3,趣味2,性价比1,摆渡车查票人员业务不熟，服务态度一般，上车一窝蜂无序抢座体验不好,IP属地:北京,,,,,慕田峪长城差评
109****578,2分,一般,景色2,趣味2,性价比2,直通车慎重选择：上车在地铁口 下车在鸟巢 离地铁站很远。5个小时没有当中回来的车 说三点钟有车 结果还是3：30发车 目的把游客拖到鸟巢 看那建筑物 讲解+冰上活动收费150。车上基本没人去 导游不甘心 反复劝。劝不差钱游客上长城坐两个来回 缆车一个来回 索道滑道一个来回 滑道排队一小时 车挨着车。,IP属地:北京,,,,,慕田峪长城差评
M26****6654,1分,不佳,景色1,趣味1,性价比1,太不智能，闸机口的大爷很不敬业。出入闸机口费的时间太多，令整个体验感不好,IP属地:内蒙古,,,,,慕田峪长城差评
匿名用户,2分,一般,景色5,趣味3,性价比2,导游连哄带骗，眼里只有钱,IP属地:北京,,,,,慕田峪长城差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,人太多路都走不通,IP属地:江苏,,,,,慕田峪长城差评
M27****312,1分,不佳,景色1,趣味1,性价比1,真得很差劲,IP属地:北京,,,,,慕田峪长城差评
M30****4693,1分,不佳,景色5,趣味1,性价比1,慕田峪长城，外籍儿童不免票，非得要买学生票才能进，该景点风景还是不错的，长城也很古朴！,IP属地:北京,,,,,慕田峪长城差评
Tyana,1分,不佳,景色1,趣味1,性价比1,旅行团非常糟糕，行程不清楚，导游不联系，忽悠大家买缆车票,IP属地:北京,,,,,慕田峪长城差评
steven曾,1分,不佳,景色1,趣味1,性价比1,服务不行，没说清楚上下缆车和索道不是一家，多花了300,IP属地:北京,,,,,慕田峪长城差评
steven曾,1分,不佳,景色1,趣味1,性价比1,服务不行，没说清楚上下缆车和索道不是一家，多花了300,IP属地:北京,,,,,慕田峪长城差评
136****0355,1分,不佳,景色2,趣味1,性价比1,不值15元，,IP属地:北京,,,,,慕田峪长城差评
匿名用户,1分,不佳,景色5,趣味3,性价比1,携程买的明信片门票，已扫码入园，明信片收不到！怎么处理，需要相关人员来协助。,IP属地:北京,,,,,慕田峪长城差评
M42****779,1分,不佳,景色5,趣味1,性价比1,缆车口无法领取，不可退订,IP属地:北京,,,,,慕田峪长城差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,差，特别差特别特别差,IP属地:北京,,,,,慕田峪长城差评
M30****4589,1分,不佳,景色3,趣味3,性价比1,买了三张票，都包括门票，其中一个孩子9岁，应该是免门票的，但是与客服沟通后未给退还孩子的门票费用。旅行途中实在没心情与贵企业交涉，孩子免门票的钱不给正常退，差评！！！,IP属地:黑龙江,,,,,慕田峪长城差评
匿名用户,1分,不佳,景色5,趣味5,性价比1,门口门卫特别横，出口成脏的，各位注意,IP属地:河北,,,,,慕田峪长城差评
