user_detail_name,text,text 2,text 3,text 4,text 5,content_wrap,iplocation,,,,,attraction_name
匿名用户,1分,不佳,景色1,趣味3,性价比1,一般一般不好玩,IP属地:江西,,,,,北京八达岭长城
M25****80,1分,不佳,景色1,趣味1,性价比1,工作人员素质很差，乱哄哄的 游客素质也很差，人挤人一点素质都没有,IP属地:北京,,,,,北京八达岭长城
M50****3934,1分,不佳,景色1,趣味1,性价比1,排队2小时，还在室外，冷死了,IP属地:安徽,,,,,北京八达岭长城
182****0060,1分,不佳,景色3,趣味1,性价比1,千万别让去！太远了！一去一来路上七个小时！车站一塌糊涂哈哈哈！来了一发会后悔,IP属地:湖北,,,,,北京八达岭长城
joney91,1分,不佳,景色1,趣味1,性价比1,千万别坐索道，浪费钱，一点不值,IP属地:北京,,,,,北京八达岭长城
匿名用户,1分,不佳,景色3,趣味2,性价比1,往返缆车（不含门票）420块三个人，买完票后跟我说北长城风大没有开缆车暂停交通只能徒步上，而南长城没有索道也只有地面缆车，结果却是人挤人的排队了一个多小时实际坐车不到两分钟到，实话实说，这价格简直是抢钱了，贵得离谱。,IP属地:广东,,,,,北京八达岭长城
匿名用户,1分,不佳,景色1,趣味1,性价比1,4个小时排队上下揽车，长城顶上人流巨多，无限量管理，满眼垃圾，卫生差、插队多、服务人员少，再也不会去这种金玉其外、败絮其中的景点！！！！,IP属地:天津,,,,,北京八达岭长城
Hansolol,2分,一般,,,,"旅游非常混乱,根本不友好",IP属地:未知,,,,,北京八达岭长城
飞飞机的蜗牛,1分,不佳,景色1,趣味1,性价比1,非常一般，瞎排队，也不提前告知，让那么多人寒风中等着,IP属地:北京,,,,,北京八达岭长城
M29****6917,1分,不佳,景色5,趣味3,性价比3,排队5小时，5小时上缆车，这么冷的天露天排队，还要憋着没得上厕所，设置一点都不合理，年纪大的根本就吃不消，不能设置老年人幼童优先对待吗,IP属地:山东,,,,,北京八达岭长城
_TI***so,1分,不佳,,,,出发前一晚说好会通知但没有，到达前门老舍也不见有人在集合，指引不清晰，令我们没能跟车上去，最后要再花钱自费找交通工具上去。感觉很差、钱不退也摆，但不会再参加,IP属地:未知,,,,,北京八达岭长城
M24****054,1分,不佳,景色1,趣味1,性价比1,没人告知排队时间也就罢了，排了两个小时进去，索道检票处居然没有卫生间，让上长城上面去方便，人性化太差劲,IP属地:北京,,,,,北京八达岭长城
M23****2864,1分,不佳,景色1,趣味2,性价比1,服务水平太次，排队排了3个小时就一个闸机，服务环境太乱，寒风中连上厕所都难，大家都是抱怨,IP属地:北京,,,,,北京八达岭长城
尐上諦,1分,不佳,景色3,趣味1,性价比1,冷疯了…等免费巴士和索道排队差不多两个小时，大冬天真的别去，实在太冷了,IP属地:北京,,,,,北京八达岭长城
M32****7994,1分,不佳,景色1,趣味1,性价比1,不够人性化，买到儿童票不能部分退，小童不需要在现场是免票的,IP属地:北京,,,,,北京八达岭长城
M32****7994,1分,不佳,景色1,趣味1,性价比1,此产品不够人性化。小童进景区不需要购票，结果不能退小童的票。以往产品都可以部分退款了，没有消费，为什么不能退？！,IP属地:北京,,,,,北京八达岭长城
M49****626,1分,不佳,景色1,趣味1,性价比1,过年去八达岭长城就是遭罪，人太多了，等缆车等一个多钟头，上去看人头一个多钟头，下来等高铁一个多钟头。就为了去上面拍几张美照？真心不建议随大流打卡。还不如从北1楼爬起，慢慢体验一下长城的宏伟。,IP属地:北京,,,,,北京八达岭长城
M25****440,1分,不佳,景色1,趣味1,性价比1,除了人多根本没一点点意思,IP属地:北京,,,,,北京八达岭长城
M22****5425,1分,不佳,景色4,趣味1,性价比1,高峰期不建议坐缆车上去，排队两小时，得走很长时间才能到，人多爬不起来，高峰期不建议去,IP属地:北京,,,,,北京八达岭长城
M52****631,1分,不佳,景色1,趣味1,性价比1,忒贵了，还没一分钟的体验就没了。爬上去，下来坐了空中缆车。因为小朋友非得想坐，结果几秒就到山下了，秒消费三百😓😇根本就不值得。,IP属地:北京,,,,,北京八达岭长城
M86****6821,1分,不佳,景色1,趣味1,性价比1,儿童免费乱收费,IP属地:北京,,,,,北京八达岭长城
匿名用户,1分,不佳,景色1,趣味1,性价比1,体验太差。不怎么样,IP属地:北京,,,,,北京八达岭长城
M36****5896,1分,不佳,景色1,趣味1,性价比1,垃圾软件，真垃圾,IP属地:北京,,,,,北京八达岭长城
M44****176,1分,不佳,景色1,趣味1,性价比1,全国最垃圾的景区，没有之一，排了三个小时缆车，冻了三个多小时，结果不走了，还**把票验了,IP属地:北京,,,,,北京八达岭长城
匿名用户,2分,一般,景色2,趣味2,性价比2,一般般吧，人特别多，特别拥挤，啥好看的也没有！光秃秃的，本来计划去欣赏八达岭长城红叶，估计是时候晚了吧,IP属地:黑龙江,,,,,北京八达岭长城
