user_detail_name,text,text 2,text 3,text 4,text 5,content_wrap,iplocation,,,,,attraction_name
_WeCh****000506,5分,超棒,景色5,趣味5,性价比5,"从权臣和珅的私宅，变至庆王永璘的府邸，最终以恭亲王奕訢的名字载入史册，再到民国辗转几经倒手。鼎盛时九亿两白银，衰落时宅邸变卖，终究逃不过“功名利禄逝如风，人死云散皆为空”，种种过往不过是为他人造梦，从贪婪到权谋，恭王府的一砖一瓦都在倾诉那个王朝的荣辱兴衰
	
??? 王府的变迁与清王朝的衰落
?  和珅府邸时期：和珅的权势滔天，府邸的奢华无度，映射了清朝中期的繁荣
?  安王府时期：和珅倒台后，府邸转手庆王永璘，见证了皇权的更迭
?  恭王府时期：奕訢的入住，标志着恭王府名号的确立，也是清朝晚期的写照
?  民国时期：随着清王朝的灭亡，恭王府也经历了从私产到公管的转变，为一个时代画上了句号",IP属地:黑龙江,,,,,恭王府好评
M56****437,5分,超棒,景色5,趣味5,性价比5,恭王府，这座昔日皇家府邸，如今成为游客探秘清代文化的绝佳去处。步入其中，仿佛穿越回那个辉煌的年代。银安殿的庄严、后花园的雅致、大戏楼的独特，每一处都让人流连忘返。特别是福字碑，更是镇府之宝，让人感受到历史的厚重与文化的深邃。,IP属地:北京,,,,,恭王府好评
M35****7262,5分,超棒,景色5,趣味5,性价比5,恭王府是清朝规模最大的一座王府，曾是和珅，恭亲王奕?的宅邸，景区面积较大，其中锡晋斋很有名，一根金丝楠木27亿，在门口可以闻到淡淡的金丝楠木香味。藏宝楼规模巨大十分震撼，花园中可以摸摸福字。总体来说十分值得参观。,IP属地:湖北,,,,,恭王府好评
张毓轩,5分,超棒,景色5,趣味5,性价比5,"恭王府游玩评价

恭王府，这座昔日皇家府邸，如今成为游客探秘清代文化的绝佳去处。步入其中，仿佛穿越回那个辉煌的年代。银安殿的庄严、后花园的雅致、大戏楼的独特，每一处都让人流连忘返。特别是福字碑，更是镇府之宝，让人感受到历史的厚重与文化的深邃。",IP属地:天津,,,,,恭王府好评
旅行体验人生,5分,超棒,景色5,趣味4,性价比4,"第一，恭王府值得一去。建筑留在那，历史就写在那。
第二，恭王府里后罩楼、福字碑、大戏楼、锡晋斋必去，不用文字讲解，直接看实物就很震撼。
第三，后罩楼11月底才会重新开放，目前正在装修，去了也看不到。",IP属地:广东,,,,,恭王府好评
a爱旅行的小琪～,5分,超棒,景色5,趣味5,性价比5,王府之秋｜一座恭王府，半部清代史||恭王府嘉乐堂的两颗两百多年银杏开始步入秋色。但下午的人群不是一般的多啊，有那么几刻，真的连站的地方都没有，后面跟保安大哥打听，据说一般周二人会相对较少,IP属地:广东,,,,,恭王府好评
大老张哥,5分,超棒,景色5,趣味5,性价比5,恭王府是国内目前保存最完整规模最大的王府。几经易手和坤被处后，恭亲王弈忻居住故名恭王府。假山太湖石，湖水小桥，辉煌古建无不让人赞叹！,IP属地:北京,,,,,恭王府好评
会吐泡面的小妖,5分,超棒,景色5,趣味5,性价比5,值得一看，经过修缮，建筑格局完整，是现存清王府最大，最全的一座。加上和珅住过，有一些传奇的经历，本身也是旅游热点。住宅加上花园，保守要用半天时间游玩。,IP属地:北京,,,,,恭王府好评
老刘一直在路上,5分,超棒,景色5,趣味5,性价比5,"一起穿越回清朝，揭开恭王府的神秘面纱。这座位于北京什刹海北岸的皇家府邸，不仅是中国现存规模最大、保存最完整的王府，更是一段历史的见证者。为了对它有更好的了解我选择秀才说作为这次的向导！
?? 初入恭王府，就被它宏伟的建筑群所震撼。在导游的带领下，我们穿过府门，仿佛穿越了时空隧道，来到了一个充满故事的地方。
?? 银安殿是恭王府的正殿，这里曾是举行盛大仪式和庆典的地方。导游细致地讲解了殿内陈列的珍贵文物，每一件都承载着厚重的历史和文化。
?? 后花园则是另一番景象，这里亭台楼阁、小桥流水，美不胜收。导游告诉我们，这里被誉为“京师园林之冠”，每一处设计都充满了匠心独运。漫步在后花园，仿佛置身于一幅流动的山水画中。
?? 葆光室是恭王府的藏书阁，这里曾是恭亲王家族的学术中心。如今，虽然历经沧桑，但依然保留着大量的古籍善本。这里不仅是知识的宝库，更是文化传承的象征。
?? 整个游览过程中，导游不仅讲述了恭王府的历史变迁，还穿插了许多生动的故事。从和珅的贪腐到恭亲王的廉政，每一个故事都让我对这座府邸有了更深的了解。
?? 恭王府的每一处都是拍照的绝佳背景，无论是宏伟的建筑还是精致的园林，都能让你的朋友圈瞬间提升格调。
?? 小贴士：游览恭王府最好选择一个阳光明媚的天气，这样拍出来的照片更加美丽。另外，跟团游可以更深入地了解恭王府的历史和文化，千万不要错过导游的讲解哦！跟团真的很方便不用自己约票，还可以对这里有更加深刻的了解。",IP属地:辽宁,,,,,恭王府好评
郭润龙浪迹天涯,5分,超棒,景色5,趣味5,性价比5,"20230523上午：
1、“恭王府”是现存规模最大、保存最完整的清代王府建筑群，先后作为和珅、庆亲王永璘、恭亲王奕?的府邸，见证了清王朝从鼎盛到衰亡的历史，故有“一座恭王府，半部清代史”的说法。王府是《还珠格格》、《铁齿铜牙纪晓岚》、《宰相刘罗锅》等影视剧的拍摄地，由府邸（三路五进院）和花园“萃锦园”两部分组成，门口可租电子讲解器。
①地址：北京市西城区前海西街17号。
②交通：公交直达，开车很好停。
③旺季：无。
④用时：3小时。
2、恭王府始建于清乾隆四十二年（1777年），原址是明代旧园，3年后御赐此地给和珅，和珅用时4年建成此府；嘉庆四年（1799年）和珅被赐死抄家，宅邸赐予庆王爱新觉罗?永璘，共传承5代；道光三十年（1850年），恭亲王爱新觉罗?奕?被御赐此府，2年后搬入，传承2代；民国元年（1912年）清帝退位后，恭王府及府内资产归属王公；民国二十六年（1937年），王府主人爱新觉罗?溥伟（奕?之孙）病逝后，王府被拍卖给辅仁大学；新中国成立后王府先后被多座院校使用，1962年重修后对外开放。
3、中路是王府主轴，是礼仪路不住人，自南向北为：
①一、二宫门：9×7=63颗门钉的规制仅次于皇室规制9×9=81颗。
②银安殿：举行重大仪式庆典的正殿，民国十年（1921年）元宵节烧香时失火烧毁，与东西配殿一同复建于2007年。殿内目前是“清代王府文化展”，用图文、文物、道具展示了北京60多座王府的分布及其文化。
③嘉乐堂：和珅所建并留有《嘉乐堂诗集》，是举行满族传统宗教萨满教仪式的场所，与紫禁城“坤宁宫”职能相同。堂东侧房间是王爷或继承人的婚房。堂内目前是古建筑研究保护展览，有很多木制古建筑模型和构件。
④后罩楼：最后一排的连体二层建筑，中部小门通往花园，共50多间分3楼，俗称“99间半”。最西是“宝约楼”，楼内是“曾获良驹”绘画展，展示了恭王府收藏的部分字画，以马为主；中间是佛堂；东侧的“瞻霁楼”是“曾佑和教授捐赠家具展”，陈列7件明代黄花梨家具（只能隔窗看），由德国汉学家古斯塔夫?艾克于民国期间在中国任教时收藏，2006年由他夫人、美国夏威夷大学教授曾佑和捐赠给景区，曾佑和就读辅仁大学时住在恭王府宿舍内，他丈夫也曾是辅仁大学教授，此婚事1945年轰动北平。
4、东路是和珅儿子的住所，古代“东为上、西为下”…

字数超限，在最后一张图片里继续。",IP属地:山东,,,,,恭王府好评
