user_detail_name,text,text 2,text 3,text 4,text 5,content_wrap,iplocation,,,,,attraction_name
E35****10,1分,不佳,景色2,趣味1,性价比1,"我们提前15分钟到达目的地，到了约定时间后没有任何导游联系我们，我们自己剧身份证进去后，原来约定的每个小朋友退款20
元，也无从提起，非常不满意？
希望平台重视客户反馈的声音",IP属地:北京,,,,,颐和园差评
M30****7048,1分,不佳,景色1,趣味1,性价比1,门票贵5倍，非常不方便，还进不了门,IP属地:北京,,,,,颐和园差评
匿名用户,2分,一般,景色3,趣味2,性价比2,实际讲解时间只有1小时10分钟，没有带团员近距离看景点，就是路过一处说一句“这是什么阁楼”就结束了，没有讲历史，没有讲故事，非常粗糙，基本什么都没讲，还不如租电子讲解…很失望…,IP属地:北京,,,,,颐和园差评
布莱顿喷射战士,2分,一般,景色2,趣味2,性价比2,道路标识也不清楚，问路都跟不耐烦，一塌糊涂的景点,IP属地:北京,,,,,颐和园差评
匿名用户,1分,不佳,景色3,趣味2,性价比2,这是个误导，游船线路根本不进颐和园。想进颐和园游湖的不要买这个票！,IP属地:河北,,,,,颐和园差评
M16****281,1分,不佳,景色5,趣味1,性价比1,这个程序垃圾到几点，颐和园好看，直接去颐和园官方订票就行，这个垃圾携程就不用了，再美的风景遇上垃圾的垃圾软件服务很影响心情的,IP属地:陕西,,,,,颐和园差评
M36****020,1分,不佳,景色1,趣味1,性价比1,没去票退不了,IP属地:重庆,,,,,颐和园差评
匿名用户,1分,不佳,景色5,趣味5,性价比1,只有一个德和门有讲解。不咋的,IP属地:北京,,,,,颐和园差评
匿名用户,1分,不佳,景色5,趣味5,性价比1,差评给的是携程，知道人家颐和园内的船票不在网上出售，就整一张园外的船票骗人,IP属地:天津,,,,,颐和园差评
M27****9084,1分,不佳,景色5,趣味3,性价比5,园外游船是骗子，不坐退不了票,IP属地:北京,,,,,颐和园差评
M53****310,1分,不佳,景色1,趣味1,性价比1,这个船是去往动物园的，不是园内的船。票还不能退,IP属地:北京,,,,,颐和园差评
匿名用户,1分,不佳,景色5,趣味1,性价比1,"跟本地司机打听，全是承包。渡口服务中心工作人员和你说话语气就是:不差你一两个旅客，你坐不坐得上船和我有什么关系？
语气强硬，态度蛮横。我在颐和园内逛完景区再走到这个码头完全赶不上船，因为是联票也不给部分退款，询问工作人员游船情况理都不理你，锁门就走。服了，真硬气，都是上赶着送钱的，不会拿一个游客当回事。
携程客服说当日给回复，结果就没信儿了。",IP属地:北京,,,,,颐和园差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,这个联票没计的好无意义，想看颐和园，还以为座船能座到颐和园里边呢，结果跟颐和园外边的什么竹园去了，浪费时间！只能忽悠没去过颐和园的游客。,IP属地:北京,,,,,颐和园差评
星星MN,1分,不佳,景色1,趣味1,性价比1,船票是园外的，不好,IP属地:北京,,,,,颐和园差评
M28****749,1分,不佳,景色1,趣味1,性价比1,垃圾，没有说清楚，下午进园后通知是在园外坐船，由于时间有限园区内没咋玩就玩出来坐船，还要人工换票，售票处单程票价只要50，携程上要90，太黑了。,IP属地:北京,,,,,颐和园差评
匿名用户,1分,不佳,景色5,趣味1,性价比1,我想做在颐和园的船结果是园外的船,IP属地:北京,,,,,颐和园差评
M42****813,1分,不佳,景色5,趣味1,性价比1,颐和园的风景很好，可惜在携程上买了这景区外的游船坏了心情。园外的游船票为啥喝景区门票一起捆绑销售，让人以为是开进景区的，不仔细看都不知道是园外。特地绕远路来这边登船结果是离开颐和园的，票价还不低，验证了才知道，最后没坐船进了颐和园，也不可能往回走。浪费了钱，坏了心情。,IP属地:北京,,,,,颐和园差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,南如意码头（园外）乘船处的售票员和查票员态度极差，对游客一点都不友好，把游客当狗一样吼，不要来这里坐船，不好玩，推荐在园内坐船,IP属地:北京,,,,,颐和园差评
M22****8875,1分,不佳,景色1,趣味1,性价比1,别买，垃圾，就在外面的河，门票买了也没用,IP属地:北京,,,,,颐和园差评
