user_detail_name,text,text 2,text 3,text 4,text 5,content_wrap,iplocation,,,,,attraction_name
M52****459,1分,不佳,景色1,趣味1,性价比1,讲解一般！,IP属地:四川,,,,,三星堆博物馆差评
M16****009,1分,不佳,景色5,趣味5,性价比1,解说很扯，讲一堆无关的故事，展品都不介绍，时间也不足,IP属地:浙江,,,,,三星堆博物馆差评
雪花玫瑰,1分,不佳,景色1,趣味1,性价比1,都没人联系我,IP属地:四川,,,,,三星堆博物馆差评
CICI?C,1分,不佳,景色1,趣味1,性价比1,"三星堆  场地没有问题 是卖这个券商家就是一个不良商家
电子讲解根本不能用 联系不上任何人 就是垃圾",IP属地:广东,,,,,三星堆博物馆差评
_WeCh****763244,1分,不佳,景色1,趣味1,性价比1,太垃圾了真的，不紧商家不行 平台也不行！都是来回推卸责任 不想退款 用各种理由搪塞你 订单从未被激活我先跟平台交易的 客服一直跟我说是商家先联系的我， 无语了  我打12315  12345还不让我打 一直跟我说我没有理由  第一次说给我退50 第二次说给我退190 这平台跟商家一条心 不为顾客考虑向着商家 真是垃圾至极 这样的平台怎么让消费者放心使用,IP属地:天津,,,,,三星堆博物馆差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,携程定的14半讲解，导演通知13点50最晚开讲，但是票价不一样啊，也不能退款，差评,IP属地:四川,,,,,三星堆博物馆差评
M50****6931,1分,不佳,景色1,趣味1,性价比1,导游非常不负责，最差的体验,IP属地:四川,,,,,三星堆博物馆差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,商家的售卖信息不清晰，未标注此项商品不含门票。误导我以为订购此项商品就有门票，到三星堆后都没得进去。一共订购了四张，没得进去，最后只能在旁边得酒店躺了一天（三星堆不在成都市，并且离成都市有一段距离，周边没有啥可以玩的地方）。找客服后，商家以他给我发的信息里面说明了此项服务不含门票为由拒绝退款。事实上他们发的信息里面只提醒了在三星堆门口的榕树下找他们以及务必携带购票证件。经过多轮商讨后，商家表示退我90块钱，以为携程为了弥补我的损失给我50块钱的优惠券，我没同意。我觉得商家很不真诚，我想提醒大家一定要注意。,IP属地:贵州,,,,,三星堆博物馆差评
匿名用户,1分,不佳,景色2,趣味1,性价比1,第一点：场次预定时间混乱。下订单预定的是11点场，客服联系我说换到13：00，或者就是退订单，但是门票自己很难买到，就同意换到13：00场。第二点：预定的是3个小时的讲解13：00开始应该到16：00才结束，但实际讲到15：26已结束。第三点：讲解时用的佩戴式耳机，非常不好用，卡不住耳朵，需要一直用手扶着，否则就容易掉。第四点：讲解老师的那根标志杆（类似导游小旗）一直举的很低，馆里人又非常多，好几次很多队友都跟丢队伍，导致中途她好几次停下讲解，接队友电话，讲解的体验感很差。第五点：讲解的内容很一般很一般。,IP属地:四川,,,,,三星堆博物馆差评
320****770,2分,一般,景色5,趣味3,性价比2,讲解时间安排不好。没有耐心。,IP属地:四川,,,,,三星堆博物馆差评
201****795,1分,不佳,景色1,趣味1,性价比1,定的15人小团有二十多人,IP属地:四川,,,,,三星堆博物馆差评
匿名用户,1分,不佳,景色5,趣味1,性价比1,本次评价只针对讲解服务，奔着所谓高级的讲解服务，却毫无质量，毫无品质，无知识，无内涵。对于特别期待的一次旅行、学习、探究，草草收场，对携程的品质管理失望透顶！,IP属地:四川,,,,,三星堆博物馆差评
匿名用户,2分,一般,景色4,趣味1,性价比1,我付款的是2.5小时讲解，结果过去以后告知我6点开始，8点结束。我们5点就过去了，在那白等一个小时，还有耳机特别不舒服，夹的耳朵很疼，导致后面都没听讲解了。而且耳机没有挂脖子的绳子，很容易掉。讲的内容太快，孩子也没什么兴趣,IP属地:四川,,,,,三星堆博物馆差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,体验太差了，说是2:30之前到就可以，2:20到的，到了已经开始讲解了，半路加进去的，整个过程讲的也很敷衍。,IP属地:四川,,,,,三星堆博物馆差评
