user_detail_name,user_detail_tags_text,text,text 2,text 3,text 4,text 5,resource_date_text,content_wrap,iplocation,,,attraction_name
正版随心,铂金贵宾,1分,不佳,景色1,趣味2,性价比1,2025-02-04 发布点评,"大熊猫很可爱，但是总体的设计实在是太蠢了。
1，为什么要搞这么大？不要跟我说是给熊猫足够的生活空间，因为熊猫都只生活在一个一个的馆里，而馆与馆直接离得很远，大量的土地跟熊猫没有关系，唯一的作用就是让游客走走走。要么就花30块坐电瓶车，但人多的时候排队要很久，每一站都排很久，一天看不了几个馆，运气差的朋友一天下来能看到的熊猫数量还不如去其他动物园。
2，指示不清，虽然竖了很多指示牌，但还是不够清晰，星星产房站下来后，路边竖的指示牌里根本就没有星星产房，要往边上走一段才能在其他指示牌上找到。其他有几个站也是如此。",IP属地:上海,,,大熊猫基地差评
158****8309,钻石贵宾,1分,不佳,景色1,趣味1,性价比1,2025-02-04 发布点评,差到极端。导游不管不问，迟到了五分钟让人领着孩子自己去找他们，里面很大，无人接应，千万别定这家，说定谁影响心情,IP属地:四川,,,大熊猫基地差评
M27****205,黄金贵宾,1分,不佳,景色1,趣味1,性价比1,2025-02-04 发布点评,来了一趟，看见3只熊猫，离的特别远，偌大的馆空空荡荡，把这么多忽悠来，就是爬台阶的，千万不要来，来了就肯定后悔！,IP属地:四川,,,大熊猫基地差评
M27****205,黄金贵宾,1分,不佳,景色1,趣味1,性价比2,2025-02-04 发布点评,来了一趟，看见3只熊猫，离的特别远，偌大的馆空空荡荡，把这么多忽悠来，就是爬台阶的，千万不要来，来了就肯定后悔！,IP属地:四川,,,大熊猫基地差评
匿名用户,,1分,不佳,,,,2025-02-04 发布点评,"人满为患,总共6只熊猫,1000人看着。我们1小时后离开,去卧龙看世界上最大的熊猫公园,绝对值得",IP属地:未知,,,大熊猫基地差评
吖洁,铂金贵宾,2分,一般,景色3,趣味1,性价比1,2025-02-03 发布点评,这个性价比简直太低了，完全不建议购买这种票,IP属地:云南,,,大熊猫基地差评
性感Ikun,铂金贵宾,1分,不佳,景色5,趣味5,性价比1,2025-02-03 发布点评,这个文创挂件是什么鬼，加了钱买了个垃圾货，还跑来跑去拿，避雷,IP属地:四川,,,大熊猫基地差评
一米阳光,铂金贵宾,1分,不佳,景色3,趣味1,性价比1,2025-02-03 发布点评,走了一上午，没看到熊猫,IP属地:四川,,,大熊猫基地差评
M53****9293,,1分,不佳,景色1,趣味1,性价比1,2025-02-03 发布点评,差，很差，非常差，一次很体验感很差的旅行,IP属地:四川,,,大熊猫基地差评
M53****9293,,1分,不佳,景色1,趣味1,性价比1,2025-02-03 发布点评,场馆都围起来，一只熊猫也没看到,IP属地:四川,,,大熊猫基地差评
M53****9293,,1分,不佳,景色1,趣味1,性价比1,2025-02-03 发布点评,场馆都围起来，一只熊猫也没看到,IP属地:四川,,,大熊猫基地差评
匿名用户,,1分,不佳,景色2,趣味1,性价比1,2025-02-03 发布点评,"走了很多路一直熊猫都没看到，严重差评，差评
排队么这么长，小孩都很失望！",IP属地:四川,,,大熊猫基地差评
M24****1709,铂金贵宾,1分,不佳,景色2,趣味1,性价比1,2025-02-03 发布点评,太差了，半天时间游览看见熊猫半分钟,IP属地:四川,,,大熊猫基地差评
匿名用户,黄金贵宾,1分,不佳,景色2,趣味2,性价比2,2025-02-03 发布点评,还不如去动物园看。。,IP属地:四川,,,大熊猫基地差评
冬之冬,铂金贵宾,1分,不佳,景色1,趣味1,性价比1,2025-02-03 发布点评,人太多了，什么也看不到，,IP属地:四川,,,大熊猫基地差评
匿名用户,黄金贵宾,1分,不佳,景色3,趣味1,性价比1,2025-02-03 发布点评,不要去当**了，绕路，熊猫少得可怜。人多,IP属地:广东,,,大熊猫基地差评
匿名用户,铂金贵宾,1分,不佳,景色1,趣味1,性价比1,2025-02-03 发布点评,看不到大熊猫人看人，商业化太严重建议不要节假日去 带小孩去路上全是卖东西的，，，绕一大圈才能进景区进去后大熊猫不一定能看你得到,IP属地:甘肃,,,大熊猫基地差评
