user_detail_name,text,text 2,text 3,text 4,text 5,content_wrap,iplocation,,,,,attraction_name
匿名用户,1分,不佳,景色1,趣味1,性价比1,没有时间观念，预定的7点半的车，司机说推迟到八点出发，结果八点半了车都没来，太不靠谱了,IP属地:重庆,,,,,九寨沟差评
_TI***p6,2分,一般,,,,司机懒惰 四点带我们到五彩池就说最后一趟车 让我们下车不到五分钟就赶我们上车 上面的景点都没去到 明明景区到六点 司机懒惰吧？？？什么体验都没 差！不推荐来,IP属地:未知,,,,,九寨沟差评
M22****157,1分,不佳,景色1,趣味1,性价比1,开了一小时多，离高铁站只有十五分钟行程时，故意停在一个不正规的消费区，让乘客下去上厕所，那个山寨休息区其实就是个私人购物点，停了半小时才走，浪费时间,IP属地:四川,,,,,九寨沟差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,从高铁站到风景区的大巴司机素质低，停的地方距离景区远。下雪天三个小时在去景区路上。来回六个小时。在景区玩才三个小时。不要去了。谁来谁后悔。,IP属地:辽宁,,,,,九寨沟差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,这个车极差，特别差，司机也没有素质。不要上他家的直通车。,IP属地:辽宁,,,,,九寨沟差评
M46****9711,1分,不佳,景色1,趣味1,性价比1,看个什么 来看枯树叶 有些景点关闭了也不提前说 别来吧 没意思 还这么大老远来 心情低落 还不如村里的河沟,IP属地:四川,,,,,九寨沟差评
匿名用户,2分,一般,景色4,趣味2,性价比1,司機非常慢，所有其他大巴都超過他去了目的地。,IP属地:四川,,,,,九寨沟差评
E07****06,2分,一般,景色2,趣味2,性价比2,很耽误玩耍的时间。车速很慢。会被景区大巴超车。才开车10分钟就说停车休息，实际推销卖红景天和超市购物。下次节约时间还是选择景区拼车，可以马上出发又不用购物。,IP属地:四川,,,,,九寨沟差评
匿名用户,2分,一般,,,,"非常失望。我们在10月黄金周之后参观了,想避开人群,但这个地方仍然挤满了人。虽然这不能归咎于公园,但人群控制当然可以,而且老实说,管理非常糟糕,排队的开始和结束都不清楚,后来者可以登上穿梭巴士,而不是排队的人他们。我们选择了这个度假目的地,以欣赏我们在图片中看到的美丽风景,我们发现自己非常失望,因为我们觉得我们以前都看到了,不像黄山和张家界的特殊独特性。我们喜欢我们以前所有的中国旅行,但不幸的是,这次旅行完全令人失望,让我们认为也许我们必须给所有受欢迎的旅游景点,从现在开始,可能有噩梦的人群错过了。",IP属地:未知,,,,,九寨沟差评
李佩宵,2分,一般,景色3,趣味3,性价比2,很多海子干涸了，不要近几天去。地上还有些残雪，不过不准下栈道去玩，景区内管理人员（绿衣服）比较凶。这几天还是森林火灾戒备期，真倒霉，很多漂亮的栈道居然封锁了，真心很失望,IP属地:四川,,,,,九寨沟差评
李佩宵,2分,一般,景色3,趣味3,性价比2,很多海子干涸了，不要近几天去。地上还有些残雪，不过不准下栈道去玩，景区内管理人员（绿衣服）比较凶。这几天还是森林火灾戒备期，真倒霉，很多漂亮的栈道居然封锁了，真心很失望,IP属地:四川,,,,,九寨沟差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,车都一样，找优惠的买吧,IP属地:广东,,,,,九寨沟差评
M27****2505,1分,不佳,景色1,趣味1,性价比1,真的无误到极点，毫无看点，滑雪场弄的真的很无语，几个景点真的太糟糕，那个30元的观光车服务特差，一家人想坐同一辆车，他都不高兴，还很凶……真想锤他一顿,IP属地:四川,,,,,九寨沟差评
M88****1714,2分,一般,景色5,趣味3,性价比2,左边那条沟的讲解没有，景区车带的就是左边的沟，然后我买了，基本一天都没用上,IP属地:四川,,,,,九寨沟差评
M75****7041,1分,不佳,景色1,趣味1,性价比1,景区门口就能坐车，不要在携程买，要走很远才能上车，是外包的,IP属地:四川,,,,,九寨沟差评
285****540,1分,不佳,景色1,趣味1,性价比1,最后送到了个离景区不远的购物地方，之前在车上贩卖焦虑，提醒别买东西，都有提成。景区里都有,IP属地:福建,,,,,九寨沟差评
霍克你在哪,2分,一般,景色2,趣味2,性价比2,被骗了，服了，这么贵,IP属地:四川,,,,,九寨沟差评
285****540,1分,不佳,景色1,趣味1,性价比1,最后送到了个离景区不远的购物地方，之前在车上贩卖焦虑，提醒别买东西，都有提成。景区里都有。,IP属地:四川,,,,,九寨沟差评
美羊羊呐,1分,不佳,景色1,趣味1,性价比1,一般，一般，一般，一般，,IP属地:吉林,,,,,九寨沟差评
D25***96,2分,一般,,,,去程没短讯没车牌没客服，票已取消，只退不到12块，回程正常,IP属地:未知,,,,,九寨沟差评
爱心总舵主,2分,一般,景色4,趣味1,性价比1,首先肯定司机服务很好，但平台协调能力太差，来的时候就车站挨冻一小时多，回的时候本人主动提前协调，直到平台规定22点还没安排好，只能再次打电话协调23点才得到解决，白天挨冻感冒没玩好，晚上还联系到这么晚，一点没有出游的喜悦可言，提醒大家不要拼中巴和小商务了，这么多年对携程的信任毁于一旦，关键还不正面解决问题，本人都留证据了，会向有关部门如实反应和网络报道，防止大家以后继续踩坑????,IP属地:四川,,,,,九寨沟差评
爱心总舵主,2分,一般,景色3,趣味1,性价比1,由于早上车站挨冻一小时没人接，导致后面整个行程不顺利，身体不舒适，到目前明天回城车还没解决，对于携程老客户很失望,IP属地:四川,,,,,九寨沟差评
