user_detail_name,text,text 2,text 3,text 4,text 5,content_wrap,iplocation,,,,,attraction_name
M35****1091,5分,超棒,景色5,趣味5,性价比5,讲解细致耐心,IP属地:四川,,,,,武侯祠好评
Nichole 妈咪,5分,超棒,景色5,趣味5,性价比5,出票很快。,IP属地:上海,,,,,武侯祠好评
超级阿亮,5分,超棒,景色5,趣味5,性价比5,值得一逛  还不错哦,IP属地:河南,,,,,武侯祠好评
匿名用户,5分,超棒,景色5,趣味5,性价比5,"踏入武侯祠, 探寻三国文化精髓，感受历史的厚重, 诸葛亮的智慧如同璀璨星光, 照亮你前行的路。不知是不是因为过年，领手伴礼的地方都关门了的。",IP属地:四川,,,,,武侯祠好评
_yt1****365,5分,超棒,景色5,趣味5,性价比5,春节期间去赶上有庙会，人挤人。最好人少的时候再来一次，眼前丞相祠前柏森森，怀古遐想，细细品味,IP属地:北京,,,,,武侯祠好评
Mr.沈从文,5分,超棒,景色5,趣味5,性价比5,好好好好好好好好好好好好好好好好,IP属地:江苏,,,,,武侯祠好评
M25****6058,4分,满意,景色4,趣味5,性价比4,挺好的。有趣，找孩子喜欢。,IP属地:广东,,,,,武侯祠好评
xiu****ee12,5分,超棒,景色5,趣味5,性价比5,人超多的武侯祠，不得不说三国的人气是真的旺。请了一位导游讲解，学习了很多三国的知识。,IP属地:四川,,,,,武侯祠好评
_WeCh****280882,5分,超棒,景色5,趣味5,性价比5,太多了，太商业化了,IP属地:四川,,,,,武侯祠好评
匿名用户,5分,超棒,景色5,趣味5,性价比5,虽然节假日人很多，但是讲解服务态度好、专业性强、值得推荐,IP属地:四川,,,,,武侯祠好评
136****3082,5分,超棒,景色5,趣味5,性价比5,不错，就是人太多了。,IP属地:河北,,,,,武侯祠好评
136****3082,5分,超棒,景色5,趣味5,性价比5,过年去太拥挤了，走哪都是人,IP属地:河北,,,,,武侯祠好评
320****217,4分,满意,景色4,趣味4,性价比4,票太贵了，比现场要贵十几块钱。,IP属地:四川,,,,,武侯祠好评
匿名用户,5分,超棒,景色5,趣味5,性价比5,三园通用，很好,IP属地:四川,,,,,武侯祠好评
320****681,5分,超棒,景色4,趣味4,性价比5,虽然人挤人，但导游讲解的非常专业，小朋友一路听完都没有喊累，值了！,IP属地:四川,,,,,武侯祠好评
黑马踏樱花,5分,超棒,景色5,趣味5,性价比5,值得一去，祝丞相北伐成功,IP属地:北京,,,,,武侯祠好评
M12****167,5分,超棒,景色5,趣味5,性价比5,老师的讲解详细、生动。讲了很多三国故事和成语。小朋友比较容易理解。很开心,IP属地:四川,,,,,武侯祠好评
指尖谈笑,5分,超棒,景色5,趣味5,性价比5,学生半价，很好??,IP属地:四川,,,,,武侯祠好评
指尖谈笑,5分,超棒,景色5,趣味5,性价比5,必须要请导游，不了解历史就是走马观花,IP属地:四川,,,,,武侯祠好评
M28****6179,5分,超棒,景色5,趣味5,性价比5,春节有庙会有打卡，值得一游。,IP属地:四川,,,,,武侯祠好评
203****138,5分,超棒,景色5,趣味5,性价比5,解说挺到位，专业，有深度,IP属地:四川,,,,,武侯祠好评
匿名用户,5分,超棒,景色5,趣味5,性价比5,钥匙扣很乖！宝贝喜欢！,IP属地:湖北,,,,,武侯祠好评
M39****9313,5分,超棒,景色5,趣味5,性价比5,丞相，保重啊????????????,IP属地:河南,,,,,武侯祠好评
匿名用户,5分,超棒,景色5,趣味5,性价比5,"如果不是因为报了这个研学团，
带娃的我很可能早就已经挤疯在春节武侯祠的人流里。
老师很耐心，一看就是文化功底深厚，
把武侯祠的精华都讲到了，
同时还是符合小学段小朋友接受度。
附带的通关文牒打卡增加了趣味性，结束还有能带回去留念的东西。
整体五星好评，也会推荐给其他准备带娃来的朋友。",IP属地:四川,,,,,武侯祠好评
110****123,4分,满意,景色5,趣味3,性价比4,门口叫了个导游还挺敬业的，这地方需要导游，不然看不懂,IP属地:浙江,,,,,武侯祠好评
大大河,5分,超棒,景色5,趣味5,性价比5,武侯祠是来成都必去的一个地方，恰逢春节，游人如织，再加上灯会，非常的热闹。各种成都小吃、当地土特产，琳琅满目，还有各种具有川味的文艺表演，丰富多彩，年味满满。,IP属地:江苏,,,,,武侯祠好评
M36****2060,5分,超棒,景色5,趣味5,性价比5,很好很美丽,IP属地:四川,,,,,武侯祠好评
_wap1****2766,5分,超棒,景色5,趣味5,性价比5,王师傅讲解得特别详细，还给我们加时了。如果没有他的讲解，武侯祠可能匆匆就略过了，他让这座祠变得有故事,IP属地:四川,,,,,武侯祠好评
CC****YF,5分,超棒,景色5,趣味5,性价比5,挺好，等下次有机会再去玩,IP属地:四川,,,,,武侯祠好评
CC****YF,5分,超棒,景色5,趣味5,性价比5,过年初四去的，人山人海，就是个热闹,IP属地:四川,,,,,武侯祠好评
匿名用户,5分,超棒,景色5,趣味5,性价比5,文化内容丰富,IP属地:江西,,,,,武侯祠好评
M23****938,5分,超棒,景色5,趣味5,性价比5,非常不错，可以,IP属地:四川,,,,,武侯祠好评
toto8037,5分,超棒,景色5,趣味5,性价比5,武侯祠人太多了，然后路上我们也堵，耽搁了一下，整个讲解还是可以的，孩子们跟着学习了很多三国、历史知识，私人讲解比大团的好很多，不赶。,IP属地:云南,,,,,武侯祠好评
匿名用户,5分,超棒,景色5,趣味5,性价比5,还是可以。,IP属地:四川,,,,,武侯祠好评
200****961,5分,超棒,景色5,趣味5,性价比5,导游讲的非常好，人也很好，到达指定地点非常准时，很好联络,IP属地:四川,,,,,武侯祠好评
divestone,5分,超棒,景色5,趣味5,性价比5,春节人特别多，但是值得一去,IP属地:北京,,,,,武侯祠好评
blueh****_124,5分,超棒,景色5,趣味5,性价比5,专业的讲解，值得推荐。,IP属地:江苏,,,,,武侯祠好评
骏淼鑫途,5分,超棒,景色5,趣味5,性价比5,还不错，值得一玩。,IP属地:浙江,,,,,武侯祠好评
淘咪1212,5分,超棒,景色5,趣味5,性价比5,景区很大很不错，导游刘姐讲解非常专业,IP属地:重庆,,,,,武侯祠好评
M23****815,5分,超棒,景色5,趣味5,性价比5,历史底蕴丰厚，要注意关羽，张飞，赵云的塑像与传统意义的不同。,IP属地:江苏,,,,,武侯祠好评
牛皮糖糖,4分,满意,景色3,趣味3,性价比1,人山人海，看了个寂寞,IP属地:四川,,,,,武侯祠好评
sunweizhi,5分,超棒,景色5,趣味5,性价比5,得听讲解，要不然真是游不明白,IP属地:山西,,,,,武侯祠好评
meng****978,5分,超棒,景色5,趣味4,性价比5,讲得很好，很细，不愧为大咖,IP属地:海南,,,,,武侯祠好评
梧桐馨雨,5分,超棒,景色5,趣味5,性价比5,很喜欢这样的人文历史景点，景区很火爆。虽然人山人海，丝毫不影响我们游玩的心情，穿越在人海中，听讲解导游(我们每人花20元)眉飞色舞讲解，仿佛回到了三国时期。有点小遗憾的是，伴手礼不知道去哪里取，进门刷的身份证，也没人给，我们买票是有伴手礼的，不知道客服小姐姐能否帮我们弥补一下这个小遗憾，万分感谢,IP属地:四川,,,,,武侯祠好评
