user_detail_name,text,text 2,text 3,text 4,text 5,resource_date_text,content_wrap,from,iplocation,user_detail_tags_text,,attraction_name
匿名用户,5分,超棒,景色5,趣味5,性价比5,2025-02-05 发布点评,都江堰如果在丰水期和天气好的时候应该更壮美，整个景区挺大但各个景点间用步行也可以到达，能走的慢慢走难度也不大，不想走也有摆渡车，山上那一片景区需要小小登一下高，但都不是难度级别很高的那种，适合慢慢走慢慢看,来自订单,IP属地:广东,,,都江堰好评
匿名用户,5分,超棒,景色5,趣味5,性价比5,2025-02-05 发布点评,非常的不错，解说的很到位。,来自订单,IP属地:广西,钻石贵宾,,都江堰好评
_WeCh****782064,5分,超棒,景色5,趣味5,性价比5,2025-02-05 发布点评,景区里游览完毕看了演出，当地特色的表演，还不错,来自订单,IP属地:河南,铂金贵宾,,都江堰好评
M22****9654,5分,超棒,景色5,趣味5,性价比5,2025-02-05 发布点评,没玩够还想去,来自订单,IP属地:北京,铂金贵宾,,都江堰好评
M31****5247,5分,超棒,景色5,趣味5,性价比5,2025-02-05 发布点评,进入景区，首先看到的就是为都江堰做出贡献的历史人物，接着又慢慢逛到了宝瓶口这些地方，最后去山上拜了拜二王庙，最后在山上俯瞰整个都江堰，真是人定胜天。出口处可以逛逛灌县老街，也很有特色,来自订单,IP属地:浙江,铂金贵宾,,都江堰好评
匿名用户,5分,超棒,景色5,趣味5,性价比5,2025-02-05 发布点评,值得游玩的地方，一定请个导游。这次是带父母旅游，评价也不错，周围的南桥，蓝眼泪都是最好的安排。,来自订单,IP属地:四川,钻石贵宾,,都江堰好评
M22****6195,5分,超棒,景色5,趣味5,性价比5,2025-02-05 发布点评,很好，值得去,来自订单,IP属地:北京,铂金贵宾,,都江堰好评
匿名用户,5分,超棒,景色5,趣味5,性价比5,2025-02-05 发布点评,讲解的很好，十分细致，很悠闲，不是很赶。,来自订单,IP属地:四川,,,都江堰好评
M23****019,5分,超棒,景色5,趣味5,性价比5,2025-02-05 发布点评,讲的很清楚，很棒！,来自订单,IP属地:四川,钻石贵宾,,都江堰好评
60****992,5分,超棒,景色5,趣味5,性价比5,2025-02-05 发布点评,一直是在携程上买门票，下单简单，退票也很流畅，到现场不用取票，简单快捷。,来自订单,IP属地:天津,铂金贵宾,,都江堰好评
M61****8737,5分,超棒,景色4,趣味4,性价比4,2025-02-05 发布点评,都江堰，景色优美，国家5A景区，风景宜人，前往游玩的体验还是很不错的，其中最有特色的莫过于都江堰的几个大桥，可以看到壮美的景观，非常不错,来自订单,IP属地:北京,钻石贵宾,,都江堰好评
科尼斯布伦韩非,5分,超棒,景色5,趣味5,性价比5,2025-02-05 发布点评,纯自然的风光，真是太美了，一步一景，步步是景。让人流连忘返。真是太棒了，一家人来的，住的景区外面，晚上竟然出现了高原反应，新来的人联系住有氧房间。川西真是太美丽的地方了以后有机会，一定去川西走个大环线。,来自订单,IP属地:河北,铂金贵宾,,都江堰好评
科尼斯布伦韩非,5分,超棒,景色5,趣味5,性价比5,2025-02-05 发布点评,纯自然的风光，真是太美了，一步一景，步步是景。让人流连忘返。真是太棒了，一家人来的，住的景区外面，晚上竟然出现了高原反应，新来的人联系住有氧房间。川西真是太美丽的地方了以后有机会，一定去川西走个大环线。,来自订单,IP属地:河北,铂金贵宾,,都江堰好评
内蒙松联通讯～吕宪华,5分,超棒,景色5,趣味5,性价比5,2025-02-05 发布点评,商业化严重，景区感觉管理混乱，景区管理人员不多，基本没有讲解介绍，门口黑导游太多了,来自订单,IP属地:四川,黄金贵宾,,都江堰好评
内蒙松联通讯～吕宪华,5分,超棒,景色5,趣味5,性价比5,2025-02-05 发布点评,有点商业化太严重了,来自订单,IP属地:四川,黄金贵宾,,都江堰好评
黑马白浪的秋天,5分,超棒,景色5,趣味5,性价比5,2025-02-05 发布点评,景色很不错，带家人转的，值得一去。,来自订单,IP属地:青海,钻石贵宾,,都江堰好评
追风的少年2017,4分,满意,景色5,趣味4,性价比3,2025-02-05 发布点评,过年来的人太多啦，景区分流不太行，门口堵塞严重，风景是不错的，好评给风景,来自订单,IP属地:江西,铂金贵宾,,都江堰好评
追风的少年2017,4分,满意,景色5,趣味4,性价比3,2025-02-05 发布点评,过年来的人太多啦，景区分流不太行，门口堵塞严重，风景是不错的，好评给风景,来自订单,IP属地:江西,铂金贵宾,,都江堰好评
匿名用户,4分,满意,景色5,趣味5,性价比4,2025-02-05 发布点评,特别震撼的景区，值得一去！就是人实在是太多了，交通拥堵。特别是茶马古道出来的商业街，水泄不通，建议景区给着急赶路的游客留一条空的道。,来自订单,IP属地:江苏,铂金贵宾,,都江堰好评
186****8432,5分,超棒,景色5,趣味3,性价比5,2025-02-05 发布点评,必须请人讲解才能更深入。,来自订单,IP属地:陕西,铂金贵宾,,都江堰好评
匿名用户,5分,超棒,景色5,趣味5,性价比5,2025-02-05 发布点评,不愧为伟大的水利工程！鱼嘴坝(图2)利于取水灌溉；飞沙堰（图4）泄洪、排沙，使进入内江泥沙的70%排出，不至于淤塞淤堵内江；宝瓶口（图3）取水、限流，是成都平原免于供水威胁的屏障。,来自订单,IP属地:北京,,,都江堰好评
岚绣儿,5分,超棒,景色5,趣味5,性价比5,2025-02-05 发布点评,很好   值得带孩子去看看  了解中国古人的智慧,来自订单,IP属地:辽宁,黄金贵宾,,都江堰好评
爱笑,5分,超棒,景色5,趣味5,性价比5,2025-02-04 发布点评,环境挺好的。,来自订单,IP属地:上海,钻石贵宾,,都江堰好评
驰骋万里666,4分,满意,景色4,趣味3,性价比3,2025-02-04 发布点评,大门口太小 检票口太少,来自订单,IP属地:广西,铂金贵宾,,都江堰好评
驰骋万里666,5分,超棒,景色4,趣味4,性价比3,2025-02-04 发布点评,大门口太小,来自订单,IP属地:广西,铂金贵宾,,都江堰好评
看到过就,5分,超棒,景色5,趣味5,性价比5,2025-02-04 发布点评,非常不错，就是节假日人比较多,来自订单,IP属地:四川,黄金贵宾,,都江堰好评
tinawu,5分,超棒,景色5,趣味5,性价比5,2025-02-04 发布点评,姚导讲解到位，服务周到，为我们的旅途锦上添花，非常感谢！,来自订单,IP属地:福建,铂金贵宾,,都江堰好评
Sallydog,5分,超棒,景色5,趣味5,性价比5,2025-02-04 发布点评,站在安澜索桥上，摇摇晃晃间既能欣赏到惊险刺激的江景，又能将岷江两岸的风光尽收眼底，奔腾的江水与周围的青山构成了一幅美丽的画卷。,来自订单,IP属地:四川,,,都江堰好评
Sallydog,5分,超棒,景色5,趣味5,性价比5,2025-02-04 发布点评,站在安澜索桥上，摇摇晃晃间既能欣赏到惊险刺激的江景，又能将岷江两岸的风光尽收眼底，奔腾的江水与周围的青山构成了一幅美丽的画卷。,来自订单,IP属地:四川,,,都江堰好评
Sallydog,5分,超棒,景色5,趣味5,性价比5,2025-02-04 发布点评,我们至上而下的看的！越往下越美！就是费腿！都江堰是中国古代水利工程的杰出代表，是世界文化遗产，承载着两千多年的历史，凝聚着古人的智慧和勤劳，让人真切感受到中华民族自强不息的精神。,来自订单,IP属地:四川,,,都江堰好评
吾行吾速2010,5分,超棒,景色5,趣味5,性价比5,2025-02-04 发布点评,导游很专业，感谢！,来自订单,IP属地:四川,铂金贵宾,,都江堰好评
jiaojiao771027,5分,超棒,景色5,趣味5,性价比5,2025-02-04 发布点评,都江堰景区已经去过很多次了，每次都有不一样的感觉，特别是水利工程部分，感受千年以前古人的智慧，孩子也从中学到了很多的知识点，特别是让他感受到人定胜天的,来自订单,IP属地:天津,铂金贵宾,,都江堰好评
M44****9636,5分,超棒,景色5,趣味5,性价比5,2025-02-04 发布点评,问道青城山，拜水都江堰！再次被古人的智慧震撼到！！！这里即有高超的水利工程，也有美如画的风景。感谢都江堰的水利工程，让成都人民拥有了美好生活！！,来自订单,IP属地:四川,黄金贵宾,,都江堰好评
罗铃千都(德国莱茵康复理疗讲师),5分,超棒,景色5,趣味5,性价比5,2025-02-04 发布点评,"都江堰，这座古老而神奇的水利工程，宛如一颗璀璨的明珠镶嵌在四川盆地的西北边缘，以其独有的韵味和魅力，吸引着无数游客前来探寻与赞美。

步入都江堰景区，首先映入眼帘的是那碧波荡漾的岷江水，它宛如一条绿色的绸带，轻轻拂过大地，滋养着这片肥沃的土地。江水在都江堰的巧妙引导下，分流为内江和外江，内江灌溉农田，外江泄洪排沙，展现了古代中国人民卓越的智慧和非凡的创造力。

沿着古堰漫步，可以看到那一座座历经千年风雨的古桥、古亭，它们静静地诉说着都江堰的历史与传奇。古桥上的石阶被岁月磨得光滑如镜，每一块石头都承载着过往行人的足迹和故事。很值得游览的圣地！",来自订单,IP属地:中国台湾,,,都江堰好评
206****265,5分,超棒,景色5,趣味5,性价比5,2025-02-04 发布点评,整体挺好，廊桥电梯太贵，其他的还好,来自订单,IP属地:四川,,,都江堰好评
M43****7732,4分,满意,景色4,趣味3,性价比4,2025-02-04 发布点评,挺美的！！！,来自订单,IP属地:甘肃,黄金贵宾,,都江堰好评
M41****177,4分,满意,景色4,趣味3,性价比3,2025-02-04 发布点评,中国伟大水利工程，值得去看看。网上说在6号门或其它门上不费脚。其实在正门上，顺着线路上鱼嘴也就1小时不用，再下来1.5小时。3点到达，5点多就下来南桥了,来自订单,IP属地:四川,铂金贵宾,,都江堰好评
_WeCh****798222,4分,满意,景色4,趣味3,性价比3,2025-02-04 发布点评,景区人很多,来自订单,IP属地:四川,铂金贵宾,,都江堰好评
匿名用户,5分,超棒,景色5,趣味5,性价比5,2025-02-04 发布点评,读万卷书 行万里路，假期带娃打卡四川，都江堰、熊猫谷、青城山都不错，这里很有历史教育意义，拜水都江堰，问道青城山。假期带娃不错的选择。,来自订单,IP属地:山东,钻石贵宾,,都江堰好评
M18****485,5分,超棒,景色5,趣味5,性价比5,2025-02-04 发布点评,不错不错不错不错,来自订单,IP属地:山西,铂金贵宾,,都江堰好评
M31****6154,5分,超棒,景色5,趣味5,性价比5,2025-02-04 发布点评,都江堰风景秀丽，冬季来河水碧蓝，讲解员小王温柔耐心，讲解风趣幽默，五星好评！,来自订单,IP属地:四川,,,都江堰好评
匿名用户,4分,满意,景色4,趣味3,性价比5,2025-02-04 发布点评,值得去，都江堰景区票价性价比低。,来自订单,IP属地:四川,,,都江堰好评
M51****5625,5分,超棒,景色5,趣味5,性价比5,2025-02-04 发布点评,我嘞个豆豆,来自订单,IP属地:四川,,,都江堰好评
110****383,5分,超棒,景色5,趣味5,性价比4,2025-02-04 发布点评,要请讲解。,来自订单,IP属地:湖南,,,都江堰好评
匿名用户,5分,超棒,景色5,趣味3,性价比5,2025-02-04 发布点评,挺好的，需要半天时间，建议一大早就去，花半天时间即可，必须租个讲解器，否则会非常没意思。,来自订单,IP属地:陕西,铂金贵宾,,都江堰好评
m42****2000,5分,超棒,景色5,趣味5,性价比4,2025-02-04 发布点评,不愧是几千年的历史  很震撼,来自订单,IP属地:四川,铂金贵宾,,都江堰好评
瞥见时光缝隙,5分,超棒,景色4,趣味4,性价比5,2025-02-04 发布点评,都江堰来过四次了，随着景区的完善，确实更具有历史意义，导游讲解还需要向龙门石窟和云冈石窟学习,来自订单,IP属地:四川,铂金贵宾,,都江堰好评
（兰花??）,5分,超棒,景色5,趣味5,性价比5,2025-02-03 发布点评,巴适得很了,来自订单,IP属地:云南,黄金贵宾,,都江堰好评
134****1386,5分,超棒,景色5,趣味5,性价比5,2025-02-03 发布点评,需要找个导游讲解，自己看看不出什么来,来自订单,IP属地:广东,钻石贵宾,,都江堰好评
M05****14,5分,超棒,景色5,趣味5,性价比5,2025-02-03 发布点评,穿过古城就看到了蓝眼泪，南桥，然后就是景区，中午到，排队一小会儿就进去了，所以建议上午去青城山下午去都江堰。中途打车就可以,来自订单,IP属地:天津,钻石贵宾,,都江堰好评
XZ_91,4分,满意,景色4,趣味4,性价比5,2025-02-03 发布点评,过年的时候人太多了,来自订单,IP属地:中国香港,黑钻贵宾,,都江堰好评
匿名用户,4分,满意,景色4,趣味3,性价比4,2025-02-03 发布点评,人少的时候应该是不错的去处,来自订单,IP属地:中国香港,黑钻贵宾,,都江堰好评
M05****14,5分,超棒,景色5,趣味5,性价比5,2025-02-03 发布点评,可以先到仰天窝广场，打卡大熊猫，然后逛灌县古城，穿过古城就到了都江堰景区,来自订单,IP属地:天津,钻石贵宾,,都江堰好评
M32****645,4分,满意,景色5,趣味4,性价比5,2025-02-03 发布点评,交通便利，价格便宜,来自订单,IP属地:陕西,黄金贵宾,,都江堰好评
M70****9849,5分,超棒,景色5,趣味5,性价比5,2025-02-03 发布点评,好好好好好,来自订单,IP属地:河南,黄金贵宾,,都江堰好评
匿名用户,5分,超棒,景色5,趣味4,性价比4,2025-02-03 发布点评,人流量太大了,来自订单,IP属地:湖北,钻石贵宾,,都江堰好评
殛烨,5分,超棒,景色5,趣味5,性价比4,2025-02-03 发布点评,适合学地理的去。景色很壮观，枯水期会有河滩裸露，有不少需要爬山的地方，腿脚不便的可能有点劝退。景点很大，有城际列车直通景区附近。比较耗体力，里面的凉糕好吃,来自订单,IP属地:甘肃,黄金贵宾,,都江堰好评
M27****5483,5分,超棒,景色5,趣味5,性价比5,2025-02-03 发布点评,从南桥过去就可以到达都江堰大门口，可以打卡拍照??，惊叹古人的智慧，都江堰水利工程非常震撼！夜晚南桥亮灯后可以去看蓝眼泪??，非常美丽,来自订单,IP属地:江苏,黄金贵宾,,都江堰好评
M27****5483,5分,超棒,景色5,趣味5,性价比5,2025-02-03 发布点评,太壮观了，惊叹??都江堰古人的智慧结晶，站在历史悠久的南桥上可以看到江水波涛汹涌，夜晚亮灯后的蓝眼泪很漂亮，提前去排队哦！不要错过哦,来自订单,IP属地:江苏,黄金贵宾,,都江堰好评
dekura,5分,超棒,景色5,趣味5,性价比5,2025-02-03 发布点评,非常房方便快捷,来自订单,IP属地:湖北,铂金贵宾,,都江堰好评
爱拼才会赢的褔建郎555,5分,超棒,景色5,趣味5,性价比5,2025-02-03 发布点评,这个是中国水利工程的丰碑，非常棒的景区，可以带小孩和家人过来感受体验一下,来自订单,IP属地:四川,黄金贵宾,,都江堰好评
151****3008,5分,超棒,景色5,趣味5,性价比5,2025-02-03 发布点评,经典的一个景区,来自订单,IP属地:福建,钻石贵宾,,都江堰好评
M14****888,5分,超棒,景色5,趣味5,性价比5,2025-02-03 发布点评,过年期间一大早就来秦堰楼排队了，还好人不是很多，顺着人流一起走就可以了。特别伟大的水利工程，景色还是不错的，适合带孩子来看看，学习一下的。,来自订单,IP属地:四川,铂金贵宾,,都江堰好评
M23****938,5分,超棒,景色5,趣味5,性价比5,2025-02-03 发布点评,可以，非常不错,来自订单,IP属地:四川,黄金贵宾,,都江堰好评
_WeCh****957917,5分,超棒,景色5,趣味5,性价比5,2025-02-03 发布点评,景区挺好的,来自订单,IP属地:重庆,铂金贵宾,,都江堰好评
葫芦架上的冬瓜,5分,超棒,景色5,趣味5,性价比5,2025-02-03 发布点评,拜水都江堰,来自订单,IP属地:四川,钻石贵宾,,都江堰好评
