user_detail_name,text,text 2,text 3,text 4,text 5,content_wrap,iplocation,,,,,attraction_name
wj2950,4分,满意,景色4,趣味4,性价比4,没预约到三星堆的门票，到这里也体验到了古蜀文明的震撼。博物馆还在春节期间将灯会引入到一起，灯展也顺带就看了，感觉门票花的比较值。,IP属地:陕西,,,,,金沙遗址博物馆好评
爱拼才会赢的褔建郎555,4分,满意,景色4,趣味4,性价比4,感觉场管场地不是很大，场馆可以看的东西也不怎么多，总体感觉一般般，但是这个又是3千年文化，带孩子去了总比没有去强点，建议一定要去三星堆，图片发的是代表性的文物图片,IP属地:四川,,,,,金沙遗址博物馆好评
爱拼才会赢的褔建郎555,4分,满意,景色4,趣味4,性价比4,感觉没有什么好看的，一般般的体验,IP属地:四川,,,,,金沙遗址博物馆好评
320****995,5分,超棒,景色4,趣味4,性价比5,讲解员讲解的非常的好！！！,IP属地:四川,,,,,金沙遗址博物馆好评
M29****148,4分,满意,景色4,趣味4,性价比4,体验感很好,IP属地:四川,,,,,金沙遗址博物馆好评
匿名用户,4分,满意,景色4,趣味4,性价比4,体验感非常好,IP属地:四川,,,,,金沙遗址博物馆好评
绿芽青山,4分,满意,景色4,趣味3,性价比4,感觉还可以,IP属地:四川,,,,,金沙遗址博物馆好评
d33****42,5分,超棒,景色5,趣味5,性价比5,导游很负责，2个小时的讲解，整整给我们讲了3个小时，让我们更好的了解了蜀国历史文化，非常满意,IP属地:四川,,,,,金沙遗址博物馆好评
M22****804,5分,超棒,景色5,趣味5,性价比5,讲解老师很认真，内容丰富。推荐,IP属地:广东,,,,,金沙遗址博物馆好评
果果爹,4分,满意,景色4,趣味4,性价比4,还是很不错的去处，展馆分为两个部分：遗址馆和陈列馆，遗址馆展示的是挖掘时的坑，而挖掘出的物品大多是在陈列馆展出。,IP属地:四川,,,,,金沙遗址博物馆好评
158****3320,5分,超棒,景色5,趣味5,性价比5,一定要去看看哦,IP属地:北京,,,,,金沙遗址博物馆好评
阿飞哥85,5分,超棒,景色5,趣味5,性价比5,非常好，都是国宝。最好找个讲解，要不然自己看不明白,IP属地:四川,,,,,金沙遗址博物馆好评
曾光有颗金豆豆,4分,满意,景色4,趣味4,性价比4,很不错的体验，找的解说也讲解的不错哦，孩子听的也很认真，太阳神鸟很美，很惊艳,IP属地:重庆,,,,,金沙遗址博物馆好评
118****250,5分,超棒,景色5,趣味5,性价比5,大宋老师讲解的很好，知识内容很丰富，很耐心的讲解，会提前沟通好事情，很好的一场参观和旅途,IP属地:四川,,,,,金沙遗址博物馆好评
匿名用户,5分,超棒,景色5,趣味5,性价比5,导游讲解很好,IP属地:山西,,,,,金沙遗址博物馆好评
_WeCh****558620,5分,超棒,景色5,趣味5,性价比5,导游讲解很好,IP属地:山西,,,,,金沙遗址博物馆好评
M27****903,5分,超棒,景色5,趣味5,性价比5,谢东老师讲的非常好，从考古科研、引经据典让人有听下去的欲望,IP属地:海南,,,,,金沙遗址博物馆好评
xiu****ee12,5分,超棒,景色5,趣味5,性价比5,过年期间客流量比较大，带小朋友随便逛了一下。喜欢这里的文创产品，很漂亮。,IP属地:四川,,,,,金沙遗址博物馆好评
肉花花儿,5分,超棒,景色5,趣味5,性价比5,感谢大宋老师，讲解得非常仔细，每个团友都有照顾到…今天真是受益匪浅的一天,IP属地:四川,,,,,金沙遗址博物馆好评
e****ay,5分,超棒,景色5,趣味2,性价比3,总体一般般，可以逛逛看,IP属地:重庆,,,,,金沙遗址博物馆好评
_CFT01****0272565,5分,超棒,景色5,趣味5,性价比5,值得，金沙三星堆，都要看,IP属地:浙江,,,,,金沙遗址博物馆好评
敏敏1984,5分,超棒,景色5,趣味5,性价比5,不错不错??,IP属地:四川,,,,,金沙遗址博物馆好评
136****3082,5分,超棒,景色5,趣味5,性价比5,地方宽敞，不错不错不错。,IP属地:河北,,,,,金沙遗址博物馆好评
136****3082,5分,超棒,景色5,趣味5,性价比5,不错不错不错，地方大藏品多。,IP属地:河北,,,,,金沙遗址博物馆好评
D10****698,5分,超棒,景色5,趣味5,性价比5,很值得去了！,IP属地:四川,,,,,金沙遗址博物馆好评
匿名用户,5分,超棒,景色5,趣味5,性价比5,展品区和遗迹区都非常震撼。带大家回到了几千年前的古巴蜀王国，看到了古人的生活，文化。文物保护专家也是德昌厉害，是他们的辛勤工作，文物才得以恢复，才能给大家带来这样的体验,IP属地:湖北,,,,,金沙遗址博物馆好评
紫葡萄巧克力,5分,超棒,景色5,趣味5,性价比5,适合孩子去,IP属地:山西,,,,,金沙遗址博物馆好评
怪兽一枝花,5分,超棒,景色5,趣味5,性价比5,不错的讲解,IP属地:四川,,,,,金沙遗址博物馆好评
yukio524,5分,超棒,景色5,趣味5,性价比5,宋老师讲解很精彩，很生动，还串联了金沙和三星堆的联系与区别，受益匪浅！孩子也学习到不少！值得拥有！,IP属地:四川,,,,,金沙遗址博物馆好评
M12****167,5分,超棒,景色5,趣味5,性价比5,老师的讲解幽默，风趣。小朋友很开心，内容也比较容易理解,IP属地:四川,,,,,金沙遗址博物馆好评
M18****167,5分,超棒,景色5,趣味5,性价比5,大宋老师不光儒雅，更是知识渊博，博古通今，全程和每个人互动，尤其关照小朋友，讲解从科学严谨的角度出发，不博流量和眼球，帮助大家梳理华夏文化脉络，原计划一个半小时讲解，实际慷慨讲解两个半小时，让大家不虚此行，收获满满，非常感谢大宋老师的热情接待，期待下次再会,IP属地:四川,,,,,金沙遗址博物馆好评
134****1237,5分,超棒,景色5,趣味5,性价比5,内容也不少，结合三星堆一起了解历史,IP属地:内蒙古,,,,,金沙遗址博物馆好评
E29****37,5分,超棒,景色5,趣味5,性价比5,负责给我们讲解的大宋老师非常有责任心：到金沙遗址前在哪停车、参观中安全提示、温差提示等等，讲解非常专业：能从一点讲解到全面，并且能将很多专业的东西通俗易懂的表述给我们听，让大家都能听明白。,IP属地:四川,,,,,金沙遗址博物馆好评
