user_detail_name,user_detail_tags_text,text,text 2,text 3,text 4,text 5,content_wrap,from,iplocation,,,attraction_name
M52****7972,铂金贵宾,5分,超棒,景色5,趣味4,性价比4,还是值得一去,来自订单,IP属地:山东,,,杜甫草堂好评
匿名用户,钻石贵宾,5分,超棒,景色5,趣味5,性价比5,春节期间预约进入，好似江南园林，一步一景，诗词名句随处可见，文化气息扑面而来。草堂旧址排队而入比较有秩序，园内正值红梅绽放，如不赶时间可以慢慢观赏。,来自订单,IP属地:浙江,,,杜甫草堂好评
匿名用户,铂金贵宾,5分,超棒,景色5,趣味5,性价比5,值得游玩。,来自订单,IP属地:重庆,,,杜甫草堂好评
M23****4145,铂金贵宾,5分,超棒,景色5,趣味5,性价比5,杜甫草堂特别适合亲子游,来自订单,IP属地:内蒙古,,,杜甫草堂好评
匿名用户,铂金贵宾,5分,超棒,景色5,趣味5,性价比5,游人如织，文化气息很浓。是杜甫为避 “安史之乱”来到成都西郊风景如画的浣花溪畔居住。在他的诗句“万里桥西一草堂，百花潭水即沧浪”中提到的就是这个颇具诗意的草堂。,来自订单,IP属地:山西,,,杜甫草堂好评
205****938,钻石贵宾,5分,超棒,景色5,趣味5,性价比5,个人感受很不错，值得推荐,来自订单,IP属地:天津,,,杜甫草堂好评
M26****1211,钻石贵宾,5分,超棒,景色5,趣味5,性价比5,真的很喜欢这种环境！仙气飘飘的感觉 一年四季林子里都是绿色的，不管是晴天雨天 还是阴天感觉都不一样！都是很棒的感觉 门口还有讲解员 如果喜欢历史 可以请讲解！,来自订单,IP属地:北京,,,杜甫草堂好评
M52****1724,黄金贵宾,5分,超棒,景色5,趣味5,性价比5,很好的人文境观！,来自订单,IP属地:广东,,,杜甫草堂好评
阿飞哥85,铂金贵宾,4分,满意,景色4,趣味4,性价比4,喜欢文学的有福气了，处处有说法。最好有个讲解，要不然看不明白。旁边有个浣花溪公园建议一起玩了，有个诗歌大道,来自订单,IP属地:四川,,,杜甫草堂好评
阿飞哥85,铂金贵宾,4分,满意,景色4,趣味4,性价比4,喜欢文学的有福气了，处处有说法。最好有个讲解，要不然看不明白。旁边有个浣花溪公园建议一起玩了，有个诗歌大道,来自订单,IP属地:四川,,,杜甫草堂好评
200****671,,5分,超棒,景色5,趣味5,性价比5,不错真不错,来自订单,IP属地:四川,,,杜甫草堂好评
阳光暖房,铂金贵宾,5分,超棒,景色5,趣味5,性价比5,非常好，景色很好，值得去看看。,来自订单,IP属地:山东,,,杜甫草堂好评
阳光暖房,铂金贵宾,5分,超棒,景色5,趣味5,性价比5,非常好，景色非常好。,来自订单,IP属地:山东,,,杜甫草堂好评
匿名用户,黄金贵宾,5分,超棒,景色5,趣味5,性价比5,感觉值得一看,来自订单,IP属地:陕西,,,杜甫草堂好评
云水空灵,黄金贵宾,5分,超棒,景色5,趣味5,性价比4,杜甫草堂去过几次了，离最后一次去也有5年以上没去过了，正好春节搞活动又去看了一下，有一些变化，正好立春，里面红梅花儿开，好多花儿都开了，漂亮。,来自订单,IP属地:四川,,,杜甫草堂好评
M61****8737,钻石贵宾,4分,满意,景色4,趣味4,性价比4,杜甫草堂，游览杜甫草堂，仿佛穿越千年，与诗圣共鸣。古朴幽静，诗意盎然，每一处都散发着文化的气息，让人沉醉不已，流连忘返，心灵得到了净化与升华。,来自订单,IP属地:北京,,,杜甫草堂好评
m54****3953,黄金贵宾,5分,超棒,景色5,趣味5,性价比5,非常满意，适合孩子学习,来自订单,IP属地:宁夏,,,杜甫草堂好评
_WeCh****53916,铂金贵宾,5分,超棒,景色5,趣味5,性价比5,值得去看看,来自订单,IP属地:山西,,,杜甫草堂好评
匿名用户,,5分,超棒,景色5,趣味5,性价比5,景色很美，赶上人日，为诗圣献梅祭拜。,来自订单,IP属地:北京,,,杜甫草堂好评
_WeCh****690219,黄金贵宾,5分,超棒,景色5,趣味5,性价比5,景区很满意，又能听历史，又能拍出好看的照片,来自订单,IP属地:重庆,,,杜甫草堂好评
_zx622****511684,铂金贵宾,5分,超棒,景色5,趣味5,性价比5,带孩子来感受大诗人的创作环境，了解诗人的创作背景，更好地去理解诗中意境。环境清幽，绿树成荫，曲水流觞，走在其中分外惬意，很舒适悠闲的旅程。,来自订单,IP属地:河北,,,杜甫草堂好评
