user_detail_name,user_detail_tags_text,text,text 2,text 3,text 4,text 5,content_wrap,from,iplocation,,,attraction_name
匿名用户,铂金贵宾,1分,不佳,景色3,趣味1,性价比1,人太多了，没啥意思。就一个草堂，还是后修的，不去惦记，去了后悔。,来自订单,IP属地:陕西,,,杜甫草堂差评
王南昌,铂金贵宾,1分,不佳,景色1,趣味1,性价比1,人太多了，服务和管理极差，跟江浙沪的景点没法比，太差了,来自订单,IP属地:上海,,,杜甫草堂差评
158****8309,钻石贵宾,2分,一般,景色2,趣味2,性价比2,**办的和其他城市差距很大,来自订单,IP属地:四川,,,杜甫草堂差评
M45****0396,,1分,不佳,景色1,趣味1,性价比1,一般的体验,来自订单,IP属地:广东,,,杜甫草堂差评
匿名用户,,1分,不佳,景色1,趣味1,性价比1,非常非常不好,来自订单,IP属地:四川,,,杜甫草堂差评
紫葡萄巧克力,,1分,不佳,景色1,趣味1,性价比1,性价比不高，商业化严重！,来自订单,IP属地:山西,,,杜甫草堂差评
匿名用户,黄金贵宾,2分,一般,景色4,趣味2,性价比2,商业味太浓。无免费讲解,来自订单,IP属地:贵州,,,杜甫草堂差评
_WeCh****09032,铂金贵宾,1分,不佳,景色1,趣味1,性价比1,超过十块钱就贵了，和杜甫相关的东西没有什么，商业味太浓,来自订单,IP属地:四川,,,杜甫草堂差评
M15****471,,1分,不佳,景色1,趣味1,性价比1,花钱买门票去看文创商店开会，进去了全是文创商店。,来自订单,IP属地:四川,,,杜甫草堂差评
M57****740,黄金贵宾,1分,不佳,景色1,趣味1,性价比1,没意思，不值这个钱,来自订单,IP属地:四川,,,杜甫草堂差评
186****8485,铂金贵宾,1分,不佳,景色3,趣味1,性价比1,不值得，就是一个和杜甫毫无关系的文创商业区，茅屋只有一百平左右吧，人多的完全看不到任何东西，其实也没什么可看的，剩下的就全是各种店铺,来自订单,IP属地:广东,,,杜甫草堂差评
M12****376,铂金贵宾,2分,一般,景色5,趣味4,性价比1,园区组织太差，混乱拥挤嘈杂，体验太差！,来自订单,IP属地:福建,,,杜甫草堂差评
M11****484,铂金贵宾,1分,不佳,景色1,趣味1,性价比1,为什么进个景点 要设置这么多障碍 又要注册 又要授权 又要身份证 你们想用这些个人敏感信息干什么？！！,来自订单,IP属地:四川,,,杜甫草堂差评
匿名用户,黄金贵宾,1分,不佳,景色5,趣味1,性价比1,并没有此活动，无法核销,来自订单,IP属地:四川,,,杜甫草堂差评
lz****31,,2分,一般,景色3,趣味2,性价比2,换到别的城市应该是免费的,来自订单,IP属地:江西,,,杜甫草堂差评
M28****4171,,1分,不佳,景色1,趣味3,性价比1,"文人志士的美名全被利益资本化。
进门就是门票，入园就去强行让你才加解说团。
把老祖宗的文化全部强行利益折现。从此不再相信没文化的知识产权。",来自订单,IP属地:四川,,,杜甫草堂差评
匿名用户,,1分,不佳,景色3,趣味1,性价比1,只能说一言难尽,来自订单,IP属地:四川,,,杜甫草堂差评
是个酒窖,,1分,不佳,景色1,趣味1,性价比1,手续极其复杂，安检工作人员态度差,来自订单,IP属地:四川,,,杜甫草堂差评
M23****728,铂金贵宾,1分,不佳,景色1,趣味1,性价比1,机票太贵去不了，酒店太贵去不了，旅游太贵去不了。,来自订单,IP属地:广东,,,杜甫草堂差评
M37****3359,,1分,不佳,景色1,趣味1,性价比1,杜甫是穷死的，所以多开几个文创店纪念他是吧,来自订单,IP属地:浙江,,,杜甫草堂差评
高高0325,,1分,不佳,景色3,趣味1,性价比2,这地方能收50一张的门票？？？想钱想疯了,来自订单,IP属地:四川,,,杜甫草堂差评
ste****_lzj,钻石贵宾,1分,不佳,景色1,趣味1,性价比1,"直接到这里找讲解就可以，更便宜 ，不必买亲子的，讲解深奥 小孩子听起来很难，
 没有扇子 只是一个小手工 
到这里单独找讲解就可以了",来自订单,IP属地:四川,,,杜甫草堂差评
135****9526,黄金贵宾,2分,一般,景色2,趣味2,性价比2,问就是别去，除非是书法或者绿植爱好者,来自订单,IP属地:上海,,,杜甫草堂差评
M51****5014,,1分,不佳,景色4,趣味1,性价比1,门口买票的人员态度恶劣，问什么事情都是一张臭脸，也没有人主动告知一下。,来自订单,IP属地:四川,,,杜甫草堂差评
桃妈胖胖胖,钻石贵宾,1分,不佳,景色1,趣味1,性价比1,完全就是一个后面修的公园，啥也不是，还要收这么贵的门票，简直太坑了,来自订单,IP属地:四川,,,杜甫草堂差评
匿名用户,,1分,不佳,景色1,趣味1,性价比1,"大中午阴的不行
阴森得很",来自订单,IP属地:四川,,,杜甫草堂差评
M51****8874,铂金贵宾,2分,一般,景色4,趣味2,性价比2,性价比很低，可以不去。,来自订单,IP属地:北京,,,杜甫草堂差评
M22****6191,铂金贵宾,2分,一般,景色5,趣味2,性价比2,太贵了.和公园一样,来自订单,IP属地:广东,,,杜甫草堂差评
M24****4764,铂金贵宾,1分,不佳,景色1,趣味1,性价比1,不值，性价比差,来自订单,IP属地:上海,,,杜甫草堂差评
匿名用户,黄金贵宾,1分,不佳,景色1,趣味1,性价比1,不虚此行，哈哈,来自订单,IP属地:四川,,,杜甫草堂差评
M41****3746,,1分,不佳,景色1,趣味1,性价比1,垃圾售票系统，再也不来了??????,来自订单,IP属地:四川,,,杜甫草堂差评
M51****6411,黄金贵宾,2分,一般,景色2,趣味2,性价比2,感觉没啥好玩的,来自订单,IP属地:重庆,,,杜甫草堂差评
匿名用户,,2分,一般,景色5,趣味1,性价比1,没有特色，现有价格不值。,来自订单,IP属地:北京,,,杜甫草堂差评
