user_detail_name,text,text 2,text 3,text 4,text 5,content_wrap,iplocation,,,,,attraction_name
匿名用户,1分,不佳,景色5,趣味5,性价比1,进园因安检人较多晚了三分钟，结果预约的讲解员一直电话联系不上，完全没享受的讲解服务，商家还拒绝退款，携程客服多次沟通后每人扣了十元，感觉很坑。讲解员到点以后我们还没到的情况下也不联系我们，很不负责任,IP属地:四川,,,,,武侯祠差评
M50****7236,1分,不佳,景色1,趣味1,性价比1,比景区贵！！！如果退票还要收损失费！！！服务态度差！！！锦里有条路，可以直达景区，不用买票！！！建议不要在这上面买票！！！比现场买还贵！,IP属地:四川,,,,,武侯祠差评
匿名用户,1分,不佳,景色5,趣味5,性价比1,差评是给平台的，都到景区门口了，刷身份证时工作人员告知第三方平台还没出票。打电话携程沟通半天，耽误很长期间。请要去的都一定要在这个平台购买门票了。它们服务很好。,IP属地:四川,,,,,武侯祠差评
牛皮糖糖,2分,一般,景色2,趣味1,性价比1,除了人挤人，要啥没啥。里面全是黑导游，乌央乌央的人头。,IP属地:四川,,,,,武侯祠差评
_gf406****049833,1分,不佳,景色3,趣味2,性价比1,商业气息太重。要门票不值得,IP属地:四川,,,,,武侯祠差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,根本不值得，还把我打火机拿走了,IP属地:四川,,,,,武侯祠差评
M58****0187,1分,不佳,景色1,趣味1,性价比1,携程成人55，官方40，携程儿童30，官方20.说好的礼物也没了,IP属地:四川,,,,,武侯祠差评
奥列纳依娃,1分,不佳,景色3,趣味1,性价比1,这个约的讲解以及安排非常一般。预约的11点讲解，到时间了。一直没有提前给我联系或者发信息。找到了携程有了联系电话，又各种不接。最后好不容易找到了，11.35才开始,IP属地:广东,,,,,武侯祠差评
擱淺的鯨魚,1分,不佳,景色1,趣味1,性价比1,建议不要去,IP属地:四川,,,,,武侯祠差评
203****210,1分,不佳,景色1,趣味1,性价比1,景点直接买票20元，你卖27太黑了,IP属地:黑龙江,,,,,武侯祠差评
203****210,1分,不佳,景色1,趣味1,性价比1,景点直接买40元，你卖53，骗人,IP属地:黑龙江,,,,,武侯祠差评
M47****508,1分,不佳,景色1,趣味1,性价比1,携程上票价50，但11天后才预约上，必须买54元的，结果到了景区一看，票价40元！,IP属地:四川,,,,,武侯祠差评
匿名用户,1分,不佳,景色5,趣味1,性价比1,卖票现场40块钱，加了一个书签54，书签也没领，非常不值，,IP属地:四川,,,,,武侯祠差评
胖胖的媳妇儿,1分,不佳,景色1,趣味1,性价比1,说什么有随手礼的。就买的带随手礼的票。那地方找都找不到，建议别买！！！,IP属地:四川,,,,,武侯祠差评
cki****02,1分,不佳,景色1,趣味1,性价比1,武侯祠值得一来，但是写成门票太坑了，比官方公众号购票要贵10块，之前其他景点的票价跟官方都是一致，就武侯祠要贵，没注意掉坑里,IP属地:四川,,,,,武侯祠差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,现场买票比网上还便宜十多块钱一张，有点让人无语,IP属地:四川,,,,,武侯祠差评
M35****994,1分,不佳,景色1,趣味1,性价比1,现场买门票才40，坑爹,IP属地:四川,,,,,武侯祠差评
M52****8243,1分,不佳,景色1,趣味1,性价比1,礼品居然没有了,IP属地:贵州,,,,,武侯祠差评
曼森JN,1分,不佳,景色1,趣味1,性价比1,没有任何体验而言。门票比公众号上贵，想着有伴手礼。那行，关键关键是三个类型的伴手礼是在三个不同的地方来换取的。换的时候，好不容易导航找到了换取的地方，没想到那么的low.店家找了个纸箱子把所谓珍贵的伴手礼*书签*放在花台子上自己去拿。好么，一看这伴手礼，连拍照的心情都没了。某宝上称斤卖的那种。太low了。。携程你是怎么了？,IP属地:山东,,,,,武侯祠差评
曼森JN,1分,不佳,景色1,趣味1,性价比1,没有任何体验而言。门票比公众号上贵，想着有伴手礼。那行，关键关键是三个类型的伴手礼是在三个不同的地方来换取的。换的时候，好不容易导航找到了换取的地方，没想到那么的low.店家找了个纸箱子把所谓珍贵的伴手礼*书签*放在花台子上自己去拿。好么，一看这伴手礼，连拍照的心情都没了。某宝上称斤卖的那种。太low了。。携程你是怎么了？,IP属地:山东,,,,,武侯祠差评
养北殇的祁先生(cloudy),1分,不佳,景色1,趣味1,性价比1,千万别别买这个东西，在官网上买，便宜，因为根本找不到这个送伴手礼的地方，而且这个伴手礼也很差，算了，先投诉了，总之就是千万别买这个,IP属地:四川,,,,,武侯祠差评
_WeCh****43443,1分,不佳,景色1,趣味1,性价比1,携程太坑爹，门口买票只需要40元，伴手礼在哪也领不到,IP属地:四川,,,,,武侯祠差评
U44658****660088,1分,不佳,景色5,趣味5,性价比3,报价虚假，实际票价40。平台报价50，明明实际可订当日，平台确说不可定。让附加购买其他。虚假宣传欺诈消费？当发现上当退改要收费。让你退改不能。刷证进园时确不能顺利进入。客服联系不便。经多次沟通方可进入。买的附加产品。垃圾的很。一点不好。这是我用携程以来最差的一次。直接让我对平台管理失望。希望改观。景区服务非常满意。平台管理亟待加强,IP属地:四川,,,,,武侯祠差评
匿名用户,1分,不佳,景色3,趣味3,性价比1,购票系统有问题，建议整改，不加挂件40元，买了个挂件，加了挂件55元，实际上就是15元买了个挂件，差评，还不如直接上官网买。,IP属地:四川,,,,,武侯祠差评
