user_detail_name,user_detail_tags_text,text,text 2,text 3,text 4,text 5,content_wrap,from,iplocation,,,attraction_name
ammbmh1,铂金贵宾,1分,不佳,景色1,趣味1,性价比1,时间定错了没去成，没有自动退款,来自订单,IP属地:四川,,,都江堰差评
匿名用户,铂金贵宾,1分,不佳,景色4,趣味2,性价比1,服务差的了得，走马观花都说不上，大雷，根本不到2.5小时，不如自己看介绍，避坑,来自订单,IP属地:四川,,,都江堰差评
唐德卡门,铂金贵宾,1分,不佳,景色1,趣味1,性价比1,过个桥排队一小时，停车简直难比登天,来自订单,IP属地:陕西,,,都江堰差评
唐德卡门,铂金贵宾,1分,不佳,景色1,趣味1,性价比1,过＆桥排队一小时，停车简直不可能,来自订单,IP属地:陕西,,,都江堰差评
匿名用户,,1分,不佳,景色4,趣味4,性价比1,景点很有教育意义，但导游素质不行，请注意耳麦10元一人，我们有10人，带我们的导游收了20一人，也提醒其他订的人注意，订单的备注和包含内容,来自订单,IP属地:云南,,,都江堰差评
M25****2493,黄金贵宾,1分,不佳,景色1,趣味1,性价比1,真垃圾……堵车2个小时，景区过桥排队又两个小时，里面啥都没有……,来自订单,IP属地:四川,,,都江堰差评
M25****2493,黄金贵宾,1分,不佳,景色1,趣味1,性价比1,堵车一小时，排队2小时,来自订单,IP属地:四川,,,都江堰差评
300****256,黄金贵宾,1分,不佳,景色1,趣味1,性价比1,交通混乱，路窄，路况也不好，服务也很差，没有残疾人设施，标识也不清楚，游客没走完八路六封了，不管老孙病弱都要走索桥，这种管理方式，早晚会出事,来自订单,IP属地:四川,,,都江堰差评
匿名用户,黄金贵宾,1分,不佳,景色1,趣味1,性价比1,交通混乱，路窄，路况也不好，服务也很差，没有残疾人设施，标识也不清楚，游客没走完八路六封了，不管老孙病弱都要走索桥，这种管理方式，早晚会出事,来自订单,IP属地:四川,,,都江堰差评
M15****234,钻石贵宾,2分,一般,景色5,趣味4,性价比3,景区和讲解都很不错，赶上春节假期，标注的2.5小时讲解缩短为2小时也可以理解，但不明白为什么已经花了大价钱包团讲解，还要收每人10元的耳机租赁费,来自订单,IP属地:四川,,,都江堰差评
M51****6352,铂金贵宾,1分,不佳,景色1,趣味1,性价比1,"体验感极差！
首先：景区门口无法停车，我订的是秦堰楼入口（我记得好像是，因为我也没进去，忘记了）门口只有寥寥二三十个停车位，根本无法停车！
其次：如果停车位不足，或者无法停车，请园区管理想想，是不是可以在景区下面设停车场，通过大巴摆渡车将游客送往？如果园区对无法停车的解决办法是给游客限时两个小时来解决，我只能说，很佩服景区管理的智商！
最后：本次旅游给我的感官让我对***这个地方非常失望以及绝望，甚至有点愤怒，令我对贵方****的能力产生极大的不信任感。
个人觉得：在其位谋其政，管理职位的人员不是只长了两只眼睛，一张嘴巴的无能之辈能胜任的！如果不能解决景区的痛处，不能妥善的管理，敬请阁下退去职位，以游客身份去自己尝试一下自己造的孽！谢谢阁下",来自订单,IP属地:四川,,,都江堰差评
M47****4216,黄金贵宾,1分,不佳,景色1,趣味1,性价比1,垃圾 非常垃圾  非常不推荐,来自订单,IP属地:四川,,,都江堰差评
M47****4216,黄金贵宾,1分,不佳,景色1,趣味1,性价比1,非常差 都是排队 物价贵的很 没看点 门票贵,来自订单,IP属地:四川,,,都江堰差评
