user_detail_name,text,text 2,text 3,text 4,text 5,content_wrap,iplocation,,,,,attraction_name
110****123,1分,不佳,景色3,趣味1,性价比1,不建议去，体验较差,IP属地:浙江,,,,,金沙遗址博物馆差评
匿名用户,1分,不佳,景色5,趣味1,性价比1,金沙遗址很好，但是这个亲子团讲解不值得推荐，非常差，860 5个人讲得远远不如20块一个人的讲解，一年内遇到过的最差讲解，去年暑假带表弟来的20块一个人的讲解比这个强太多了……这钱太好赚了随便谁都可以来讲，我背下都比这讲得好……,IP属地:四川,,,,,金沙遗址博物馆差评
人生路你就走,1分,不佳,景色1,趣味1,性价比1,一点不好，不花钱随便听，别找这个，坑,IP属地:四川,,,,,金沙遗址博物馆差评
panyide,2分,一般,景色2,趣味1,性价比3,不是很推荐，镇馆之宝都不在，没有啥特色，反正就是中规中矩的一个博物馆，如果不是有外面那片草地树林，估计半小时可以逛完那种，其实展馆面积不是很大的，相比门票来说不是很值。,IP属地:江苏,,,,,金沙遗址博物馆差评
匿名用户,2分,一般,景色2,趣味2,性价比2,不值得去。,IP属地:上海,,,,,金沙遗址博物馆差评
xubo11111,2分,一般,景色5,趣味5,性价比2,解说器不带耳机，要耳机还要再租，外放声音又太小，整体环境非常好，值得看看,IP属地:山东,,,,,金沙遗址博物馆差评
320****410,2分,一般,景色4,趣味1,性价比2,五个馆，每个馆可观赏的文物数量和种类极少，远远不如三星堆,IP属地:四川,,,,,金沙遗址博物馆差评
M85****2599,2分,一般,景色5,趣味4,性价比1,地方不错，就是个人感觉不值这个价，几个馆里的东西很多都感觉重复了，遗址还不错,IP属地:湖北,,,,,金沙遗址博物馆差评
156****1398,1分,不佳,景色3,趣味1,性价比1,门票70元  租赁讲解机20元。和三星堆博物馆相比逊色了不少。馆外环境倒还可以。至于馆内，就那么回事儿。想看文物，先爬几十阶台阶吧，下楼倒是有电梯。综合来说，性价比不高。建议网上看看相关视频吧。,IP属地:北京,,,,,金沙遗址博物馆差评
_WeCh****10776,1分,不佳,景色1,趣味2,性价比1,叫了一个讲解员，特别划水,IP属地:广东,,,,,金沙遗址博物馆差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,经常玩手机，很水。,IP属地:四川,,,,,金沙遗址博物馆差评
匿名用户,1分,不佳,景色4,趣味2,性价比1,讲得不太好,IP属地:四川,,,,,金沙遗址博物馆差评
_WeCh****16422,1分,不佳,景色5,趣味1,性价比3,博物馆很好，讲解性格热情，但是专业性不行，讲了2小时，自己的知识架构真不行。耳机有一半都是坏的，离开导游2米就没有声音了，不止我一个，最后耳机太差，小孩离他一米还好，我们大人都放弃了。,IP属地:四川,,,,,金沙遗址博物馆差评
微风的歌声1,2分,一般,景色3,趣味1,性价比3,离谱的很 没有短信 也没人联系 去景区刷身份证也进不去 到点了 还没人 打去携程才处理 直接导致延到了后半个小时的一场 讲解光背景讲了半个钟头 遗址馆又讲了半个钟头 整整一个多小时全在那个闷热的离谱的遗址馆 当然这也不是讲解本身的问题。。金沙遗址本身的文物确实跟三星堆差距太大了 没有太多文物可以讲 总结就是 如果还有别的想去的地方 还是别来了,IP属地:四川,,,,,金沙遗址博物馆差评
M19****056,1分,不佳,景色1,趣味1,性价比1,"太阳神鸟：十二个月、四只不同的鸟，特别自然、这有几只鸟？
遗址：数一下有几根柱子？我们正对的是北面，那我们右边是什么方向？
其他：这个是阴刻，这个是阳刻，什么是阳刻？
……
花了实打实的钱，携程给安排了一个什么讲解员？是专门针对小学生的游学讲吗？今天的讲解是侮辱智商！！！会继续和售后客服联系沟通，千里迢迢飞机到成都，居然是这样的金沙讲解员，退款都弥补不了的损失，真是太糟糕了～",IP属地:浙江,,,,,金沙遗址博物馆差评
匿名用户,1分,不佳,景色4,趣味1,性价比1,导游迟到，处理几位特殊门票的时候让我们在太阳下热着。解说全程就像完任务，博物馆人很多，导游自己走自己说，全程无互动无交流，完全不顾我们有没有走到展品跟前，而且为啥是山西口音啊！！！看到其他的导游大多都很生动，还有的准备了大ipad，能看到更清晰的图片。想想去年在成都博物馆50块拼的那位讲解大姐，简直甩这位好几条街。,IP属地:北京,,,,,金沙遗址博物馆差评
匿名用户,2分,一般,景色5,趣味4,性价比1,甘导成功刷新了我对大咖说的认知：人多的地方，太挤了，不去；团友跟丢了，也不管，只闻其声，不见其人，最终在展厅外围的人烟稀少处，才算看见了导游。第四展厅，连主展区都基本没进入，一个劲地在外围讲解，从背面看文物，角度确实独特，我看了一圈，就只有我们团是这样的，这难道是大咖说特有的吗？,IP属地:四川,,,,,金沙遗址博物馆差评
M29****8254,1分,不佳,景色1,趣味1,性价比1,不值得去，免费的话还可以去溜达。,IP属地:辽宁,,,,,金沙遗址博物馆差评
llll,1分,不佳,景色3,趣味3,性价比1,规划得不太好,IP属地:上海,,,,,金沙遗址博物馆差评
新兴007,2分,一般,景色2,趣味2,性价比3,一般非常一般，,IP属地:广东,,,,,金沙遗址博物馆差评
M10****414,1分,不佳,景色3,趣味4,性价比1,定的10:30南门集合，一早给我打电话问我几点到，我说10:20就能到，10点给我打电话说提前点，我说10:20我提前10分钟到，就跟我说10:15集合，我说差不多，10:18到的南门，结果已经进到遗迹馆开讲了，那最少10:10就南门集合了，你给我怎么安排的？后来10.26到了遗迹馆，沟通给改稍晚一场的，结果10:35找到了遗迹馆又一个已经开始的团，自始至终开始了至少10分钟一直没给说法,IP属地:重庆,,,,,金沙遗址博物馆差评
M78****6429,1分,不佳,景色1,趣味1,性价比1,熱死了空調也不開，然後裡面的展品也不算很豐富，尤其解說機更是個坑，又貴聲音有小,IP属地:四川,,,,,金沙遗址博物馆差评
m47****20,1分,不佳,景色1,趣味1,性价比1,不咋地，太老旧陈设不美观。如果三星堆的不建议再去,IP属地:北京,,,,,金沙遗址博物馆差评
匿名用户,1分,不佳,景色2,趣味1,性价比1,**讲解，人多就各种带着你往前走走走,IP属地:湖北,,,,,金沙遗址博物馆差评
M42****028,2分,一般,景色3,趣味3,性价比3,声音太小了，人太多了，听不清楚,IP属地:四川,,,,,金沙遗址博物馆差评
M47****6058,1分,不佳,景色1,趣味1,性价比1,体验感非常差，这个服务不值这个价钱，下单的一定要谨慎。,IP属地:重庆,,,,,金沙遗址博物馆差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,三个人分别给我打电话，但并没有跟我确定的时间，一直等着，我回电话才告诉我已经开始了,IP属地:四川,,,,,金沙遗址博物馆差评
118****033,2分,一般,景色5,趣味5,性价比2,讲解老师说的很好。但是我们到了门口等了将近半个小时都没有人联系我们，我们联系了携程以后，才来来了一个小伙子，说单子才推给他，带着我们进去找了讲解老师，耽误了时间,IP属地:四川,,,,,金沙遗址博物馆差评
匿名用户,2分,一般,景色2,趣味2,性价比2,周六去的体验很不好，小孩子吵吵嚷嚷的,IP属地:四川,,,,,金沙遗址博物馆差评
匿名用户,1分,不佳,景色5,趣味1,性价比1,不值的，没意思,IP属地:山东,,,,,金沙遗址博物馆差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,糟糕，不负责，不专业，导游一直玩手机，丢下队员，对孩子影响很大，对比昨天导游真是天壤之别！,IP属地:越南,,,,,金沙遗址博物馆差评
133****3666,1分,不佳,景色5,趣味5,性价比1,景区讲解50元的是2人小团，10人大团只要20元1位，不知道携程为什么这么贵！欺客吗？,IP属地:四川,,,,,金沙遗址博物馆差评
匿名用户,2分,一般,景色5,趣味4,性价比3,接收耳机信号不好，老是断断续续，体验感不是很好，但是里面的文物很漂亮特别是太阳神鸟,IP属地:四川,,,,,金沙遗址博物馆差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,说好的2点开始，提前20分钟南门集合，1点半就到南门等着，等到2点十多分了还等不到导游，身份证也刷不进去，几经周折打携程投诉，等会导游才从里边出来说已经开始了，搞得一点兴致都没了。让我从后半段，最后再给我讲前段，我不同意，只赔偿10元。如果你去看电影，让你从中间看，最后给你讲讲开头，你愿意吗？,IP属地:河南,,,,,金沙遗址博物馆差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,无旅游价值,IP属地:甘肃,,,,,金沙遗址博物馆差评
M80****37,1分,不佳,景色5,趣味5,性价比1,"明明选的13:30的，结果13:15的时候已经开始了，问了一下时间为什么不是准点开始，回答说提前或者推迟很正常，惊呆了。
讲的还行，比较快，一小时左右，出门了以后发现在景区门口就有讲解租赁，价格好像比这个便宜，挺坑的。",IP属地:四川,,,,,金沙遗址博物馆差评
M27****4253,2分,一般,景色2,趣味2,性价比2,春节人多非常拥挤，没有人流控制，展品不多，不如川博和成博，门票略贵不值得。,IP属地:湖北,,,,,金沙遗址博物馆差评
匿名用户,2分,一般,景色1,趣味1,性价比1,讲述过于简单，感觉不值我的付费，有点对付，时间不到1.5小时,IP属地:四川,,,,,金沙遗址博物馆差评
匿名用户,2分,一般,景色2,趣味2,性价比2,今年的金沙灯会目前为止最差的一次，没有之一，好像是大年26开车路过看到还在搭架子，初二吃了饭带娃溜达过去只感觉草率，没看头，有时间还是去自贡看吧,IP属地:广西,,,,,金沙遗址博物馆差评
cc阿超,2分,一般,景色2,趣味2,性价比2,不值这个钱，展品太少，和三星堆没法比，门票价格差不多。,IP属地:广西,,,,,金沙遗址博物馆差评
匿名用户,1分,不佳,景色4,趣味5,性价比1,这次订门票实在窝火。现在一般携程订门票都可以提前免费退订，所以当时没仔细看，以为也一样，结果发现是不能退的，找携程协商也没结果，商家很鸡贼，把不能退订的信息写的很小，不容易发现，很容易忽略。其实金沙的门票根本就没必要在这里买，即使春节旺季官网也很好预约，白花冤枉钱。,IP属地:上海,,,,,金沙遗址博物馆差评
_WeCh****31785,2分,一般,景色3,趣味2,性价比1,125的价位估计只有25的含量，安排就一个字乱，13点30的讲解，提前3分钟告诉我们接头位置，一帮人找了半天才发现在南门里面，讲解导游也是全程声音特别小，提醒了好几次都不管用，边走边说不管不顾，体验感特别不好，内容也是说的和背诵的一样。,IP属地:上海,,,,,金沙遗址博物馆差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,春节人多，不停的现场加人，揽了大概四五十个人，讲解过程还有其他游客吸引过来听，展品什么的围得水泄不通，根本看不到，看到也都讲完了，最后听了半小时后还是自己看吧,IP属地:四川,,,,,金沙遗址博物馆差评
M29****478,1分,不佳,景色1,趣味1,性价比1,携程垃圾垃圾,IP属地:云南,,,,,金沙遗址博物馆差评
匿名用户,2分,一般,景色3,趣味1,性价比1,10人团变成50人团…挺好的地方宽阔的空间弄的人挤人，导游话太多，古蜀文明没讲清能扯到胡锦涛，10点半进场12点还没讲好，浪费时间,IP属地:四川,,,,,金沙遗址博物馆差评
M42****0130,1分,不佳,景色1,趣味1,性价比1,竟然不能退费，真是醉了！差评差评差评差评差评差评差评差评差评差评差评,IP属地:四川,,,,,金沙遗址博物馆差评
任宝的多功能移动钱包,1分,不佳,景色1,趣味1,性价比1,谁在携程买票谁**，因为高铁晚点，给官方打电话可以退票，携程不给退，还想要好评，我呸，嘴脸,IP属地:陕西,,,,,金沙遗址博物馆差评
G港之王,2分,一般,景色2,趣味2,性价比2,一般，不值得特意去看，另外，门口付费视屏耳机讲解器千万不要租，太拉了。,IP属地:湖北,,,,,金沙遗址博物馆差评
匿名用户,2分,一般,景色2,趣味2,性价比2,就是个公园，公园里有个挖掘遗址和博物馆，研究历史的可以来看看，如果是为了玩，那就算了，不值票价，完全没必要浪费钱到这里面逛一圈，还不如去免费的四川博物院。,IP属地:福建,,,,,金沙遗址博物馆差评
