user_detail_name,text,text 2,text 3,text 4,text 5,content_wrap,iplocation,,,,,attraction_name
M34****070,4分,满意,景色4,趣味4,性价比3,景色不错，就是要坐电瓶车才能到入口,IP属地:宁夏,,,,,青城山好评
M43****6858,5分,超棒,景色5,趣味5,性价比5,非常不错的,IP属地:四川,,,,,青城山好评
芽芽的小莱,5分,超棒,景色5,趣味5,性价比5,非常好，第三次来,IP属地:四川,,,,,青城山好评
118****992,5分,超棒,景色5,趣味5,性价比5,人文信息浓厚，生态环境优美,IP属地:北京,,,,,青城山好评
富华红木水波好花纹,5分,超棒,景色5,趣味5,性价比5,性价比超高，老人最好不要去，爬山 很累,IP属地:重庆,,,,,青城山好评
粉粉爱粉粉,5分,超棒,景色5,趣味5,性价比5,这个景点真的很美!风景优美，环境幽静，非常适合放松心情。景区管理有序，服务人员热情周到，给人一种宾至如归的感觉。绝对是一个值得推荐的旅游目的地!带着家人来到这个景点游玩，大家都非常开心!景区景色优美，有很多精心设计的景点和活动。,IP属地:四川,,,,,青城山好评
看到过就,5分,超棒,景色5,趣味5,性价比5,非常不错，道教文化深厚,IP属地:四川,,,,,青城山好评
Sioen猫,5分,超棒,景色5,趣味5,性价比5,春节期间非常难爬，游客太多了，一个小时就爬到了1/3，实在是坚持不住先下去了。还是推荐摆渡车，景区入口到检票口1.8公里，还是蛮远的，而且摆渡车可以从高铁站上下，非常方便??,IP属地:四川,,,,,青城山好评
bin8377,5分,超棒,景色5,趣味5,性价比5,老板人很好,IP属地:广东,,,,,青城山好评
匿名用户,5分,超棒,景色5,趣味5,性价比5,导游热情开朗，讲解细致，非常棒！,IP属地:四川,,,,,青城山好评
M44****9636,5分,超棒,景色5,趣味5,性价比5,来过很多次了，最喜欢的山，喜欢这里的风景，喜欢这里的道教氛围，喜欢这里的美食，爬完山还可以在都江堰逛逛古城，或者街子古镇也可以逛逛，很舒服！！,IP属地:四川,,,,,青城山好评
纵横日月,5分,超棒,景色5,趣味4,性价比4,值得打卡，爬山很累,IP属地:四川,,,,,青城山好评
匿名用户,5分,超棒,景色5,趣味5,性价比5,不虚此行。前山的路还是非常好走的。小朋友说下次来爬后山,IP属地:四川,,,,,青城山好评
匿名用户,5分,超棒,景色5,趣味5,性价比5,自然与人文的有机结合！,IP属地:四川,,,,,青城山好评
匿名用户,5分,超棒,景色5,趣味5,性价比5,春节期间来的，人太多。青城天下幽，建议人不多的日子来。,IP属地:天津,,,,,青城山好评
eric_yong,5分,超棒,景色5,趣味5,性价比5,值得去，我已经二刷三刷青城山了。有时间爬爬山挺好的，锻炼身体，愉悦身心，青城天下幽，很值得去。,IP属地:北京,,,,,青城山好评
匿名用户,5分,超棒,景色5,趣味5,性价比5,讲解细致生动，内容丰富，人也很nice！,IP属地:四川,,,,,青城山好评
M52****0234,5分,超棒,景色5,趣味5,性价比5,很好啊啊啊,IP属地:福建,,,,,青城山好评
M14****567,4分,满意,景色5,趣味5,性价比4,道教非常昌盛，景色怡人！,IP属地:四川,,,,,青城山好评
M05****14,5分,超棒,景色5,趣味5,性价比5,青城山一定要早点到，开门前到达，如果坐高铁，犀浦站到青城山站，出来可以打车，高铁站门口打车很方便，这样可以节省排队坐观光车的时间，到达前山后再坐半程观光车就到了。中途可以坐船，直达缆车处，如果不坐船，需要绕一个正方形的路程，也能到达缆车处。11点左右就开始坐缆车下山，这个时间都不用排队,IP属地:天津,,,,,青城山好评
sonictty,4分,满意,景色5,趣味5,性价比4,人多，排队时间长，影响了整体出游感受！有时间还是不要赶上节假日，好多景点没去成，下次又不知道啥时来，有些遗憾了！！！这里的环境是没得说，空气真好！,IP属地:四川,,,,,青城山好评
匿名用户,4分,满意,景色5,趣味4,性价比3,过年人太多了！平时值得去！,IP属地:陕西,,,,,青城山好评
M23****938,5分,超棒,景色5,趣味5,性价比5,可以可以，非常不错,IP属地:四川,,,,,青城山好评
匿名用户,5分,超棒,景色5,趣味5,性价比5,景区挺好的,IP属地:重庆,,,,,青城山好评
福满多真多,5分,超棒,景色5,趣味5,性价比5,坐电瓶车到景区入口，走一小段路可以乘坐缆车游览，不费劲的就可以登顶，道家青城山，山美景美，不虚此行。不要坐门口黑车，做官方更有保障,IP属地:天津,,,,,青城山好评
匿名用户,5分,超棒,景色5,趣味5,性价比5,挺好，山清水秀，景色宜人，适合放松休闲，没有宗教信仰的人，也可以体会自然之美，鬼父之力。不过最高峰还是挺考验体力的，放平心态，量力而行。,IP属地:吉林,,,,,青城山好评
匿名用户,5分,超棒,景色5,趣味5,性价比5,导游讲的非专业。 非常好。下次还来。,IP属地:四川,,,,,青城山好评
匿名用户,5分,超棒,景色5,趣味5,性价比5,好，好好好,IP属地:陕西,,,,,青城山好评
悠然三寸暖,4分,满意,景色4,趣味4,性价比4,喜欢喜欢，走到怀疑人生，不过风景真心很美。带孩子去的，真心有点累人。！,IP属地:云南,,,,,青城山好评
能哥电影人,5分,超棒,景色5,趣味5,性价比5,舒服！会再去,IP属地:云南,,,,,青城山好评
匿名用户,4分,满意,景色5,趣味4,性价比4,如果对道教不是很感兴趣，爬前山一般般。,IP属地:四川,,,,,青城山好评
M33****1827,5分,超棒,景色5,趣味5,性价比5,非常推荐这家  房间大 干净卫生 一次性的洗脸巾浴巾马桶垫都有 价格实惠 老板老板娘人也好 帮我们留车位 送我们去景区 赶上下雨还帮我们买的雨衣 房间对面就是青城山 服务真的温暖 超级推荐 如果你没到地方从app上看 他家位置靠后 其实等你到了你就知道 民宿基本都是一家挨一家 相差不会几百米的样子，甚至更近 推荐这家 老板娘跟老板真是没得说 也不会像有的地方让你帮着好评 他家真的真诚服务 如果再去青城山 一定还选这家店 对中间我要求换一间房 换能看到青城山的 老板娘也是非常耐心的帮我换房间 120分的服务  祝老板生意兴隆财源广进,IP属地:云南,,,,,青城山好评
M25****2813,5分,超棒,景色5,趣味5,性价比5,网上订票方便快捷！无须取票，只需拿身份证入园，高效节能！景区很大，适合爬山的人来！我们前两天爬了剑门关，青城前山只爬了三分之一，就走不动了。下次一定要爬完！,IP属地:四川,,,,,青城山好评
Freebird_Grace,4分,满意,,,,"周末去的好地方。离市区不远,足够远,可以逃脱污染。那里有很多当地餐馆,大部分都是围绕着肉,停车也挺合理的。
我们度过了一段非常愉快的时光。",IP属地:未知,,,,,青城山好评
冷静的人,5分,超棒,景色5,趣味5,性价比5,累并快乐着！,IP属地:四川,,,,,青城山好评
涓涓细流hy,5分,超棒,景色5,趣味5,性价比5,"青城山下白素贞，很清幽的山
值得来",IP属地:四川,,,,,青城山好评
涓涓细流hy,5分,超棒,景色5,趣味5,性价比5,"环境优美，休闲的好地方
登山累了可以好好休息",IP属地:四川,,,,,青城山好评
匿名用户,5分,超棒,景色5,趣味5,性价比5,景色秀丽优美，下次还会再去,IP属地:吉林,,,,,青城山好评
_WeCh****268679,5分,超棒,景色5,趣味5,性价比5,好好好好好,IP属地:云南,,,,,青城山好评
138****8622,5分,超棒,景色5,趣味5,性价比4,不错的地方，下次还来,IP属地:山东,,,,,青城山好评
wj2950,5分,超棒,景色5,趣味4,性价比4,不愧是西蜀第一山，仙气飘飘的。除了人多排索道来回时间长之外，其它都挺满意，所以建议不要节假日过来玩。青城山美食也挺多，建议来了之后一定要品尝。,IP属地:四川,,,,,青城山好评
万里侣,5分,超棒,景色5,趣味5,性价比1,空气很好，负离子高，洗肺好去处。不要节假日过来，排队排的毫无体验感。,IP属地:浙江,,,,,青城山好评
