user_detail_name,text,text 2,text 3,text 4,text 5,content_wrap,iplocation,,,,,attraction_name
_WeCh****30550,1分,不佳,景色1,趣味1,性价比1,"首先，本来要直接坐索道上山的，因为买了这个套餐才改变了计划先找抄经的店铺，到了发现没有人。然后四处问工作人员也找不到，网页上也没有任何联系方式，以为出去吃午饭了就在旁边等，等了接近两个小时都没人，这个时候索道人已经太多了还要走回头路，只能步行上山。
其次，如果不营业应该提前把套餐撤下或者给顾客一个解决办法，而不是联系不到也完全不管不顾。
最后，是我自己反复联系客服，最后把门票钱以外的退了，但我认为不合理，不仅影响了我的出行安排，还耽误了我时间，这个怎么赔呢？",IP属地:四川,,,,,青城山差评
M46****6833,1分,不佳,景色3,趣味1,性价比1,体验感极差，坐车等半个小时，坐缆车等2个小时,IP属地:四川,,,,,青城山差评
匿名用户,2分,一般,景色4,趣味3,性价比2,当天迟到，服务态度差,IP属地:山西,,,,,青城山差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,很不爽的体验 第一天爬前山 各种拉客 半价带  第二天来后山也是 路线标识缺 私家车拉客现象多 最后没上山 票还不给退 差评！,IP属地:四川,,,,,青城山差评
M22****106,2分,一般,景色3,趣味2,性价比2,太难爬了 累死 再也不去了,IP属地:广西,,,,,青城山差评
,1分,不佳,景色1,趣味1,性价比1,头晚上订的票  第二天下雨了去不了  票不给退  失策了 一般都是过时自动退  没想到这个不行  所以下次提前预定还是注意一下,IP属地:四川,,,,,青城山差评
,1分,不佳,景色1,趣味1,性价比1,没什么意思,IP属地:四川,,,,,青城山差评
,1分,不佳,景色3,趣味1,性价比1,山上的对联都不认识，然后各种推销茶叶啊，画符啊，然后没有消费居然他自己一个人直接下山了……然后还抽烟,IP属地:四川,,,,,青城山差评
,2分,一般,景色5,趣味4,性价比2,只是前山，比故宫都贵了。,IP属地:四川,,,,,青城山差评
M17****351,1分,不佳,景色1,趣味1,性价比1,青城山服务态度恶劣，道姑品行不好,IP属地:四川,,,,,青城山差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,就是个大坑，商业气息太浓，没啥观赏性，都是道馆和烧香的东西，没有这方面爱好的，不要来了，没啥意思，爬山也很累，东西也很贵不推荐购买,IP属地:四川,,,,,青城山差评
匿名用户,2分,一般,景色4,趣味3,性价比2,国庆节人太多了 太多了 太多了 无法登山,IP属地:上海,,,,,青城山差评
brayden-ye,1分,不佳,景色2,趣味1,性价比1,一般，太商业,IP属地:浙江,,,,,青城山差评
匿名用户,1分,不佳,景色4,趣味3,性价比1,差评，去不了还退不了票！,IP属地:陕西,,,,,青城山差评
