user_detail_name,text,text 2,text 3,text 4,text 5,content_wrap,iplocation,,,,,attraction_name
_M18****5270,1分,不佳,景色1,趣味1,性价比1,宣传图片十分虚假，完全不符。小火车要在接近零度的环境下排队一个小时，建议避坑。,IP属地:重庆,,,,,仙女山景区差评
_M18****5270,2分,一般,景色2,趣味1,性价比1,从市中心坐三个小时的车才到。门票很不划算，滑雪的地方特别小，10米都不到。体验感特别差。,IP属地:重庆,,,,,仙女山景区差评
匿名用户,2分,一般,景色2,趣味2,性价比1,不建议去，我们买的门票+雪具租赁，扫票进来从来没有工作人员提醒在哪里领取雪具（我们就没领成），到滑雪场耍雪又是另外购买票，还说这里没法雪具跟仙女山景区票又不是一样的票，只有一个雪圈，雪具啥子都没得了，节假日还180元/人/小时，雪圈区又很小，其他也没得啥子景点，很不值得。,IP属地:重庆,,,,,仙女山景区差评
M46****782,1分,不佳,景色1,趣味1,性价比1,不在一起，套票用了仙女山，树顶漫步就退不了,IP属地:重庆,,,,,仙女山景区差评
M52****6764,1分,不佳,景色1,趣味1,性价比3,一言难尽，超级差劲,IP属地:四川,,,,,仙女山景区差评
M53****039,1分,不佳,景色2,趣味2,性价比1,没有接待能力，就不要开发,IP属地:四川,,,,,仙女山景区差评
匿名用户,2分,一般,景色2,趣味2,性价比3,"1.冬季未下雪之前的景色一般，去的时候山里全是雾，什么都看不到；
2.游客中心附近餐饮贵（炒菜烧菜价格高，但是菜量少，也就吃面条之类的价格能接受）；
3.仙女山市镇住宿还不错，选择多，服务不错；
4.景区门票（门票+中转车）不能拆开买，就算你是自驾开车去的景区，在景区内自行开车去景点，也是这个价格；
5.景区搞活动，极大的优惠本地人，外地人看了优惠折扣是真心碎。
6.不建议冬季前往，雾蒙蒙的，不方便看车、不方便看景色。",IP属地:四川,,,,,仙女山景区差评
_WeCh****232947,1分,不佳,景色1,趣味1,性价比1,买的套票，森林之眼没去，也退不了，只去了滑雪场，又小又贵，,IP属地:重庆,,,,,仙女山景区差评
Chars,1分,不佳,景色1,趣味1,性价比1,住过最差的电竞酒店，没有之一。喷淋头出水有问题 床垫很差，躺在上面硌得慌，翻身全是弹簧咯吱咯吱的声音。空调估计都十几年了，打开之后一点暖风都没有，一点都不夸张。而且被子又薄，睡都睡不好。电脑没打开，不知道性能如何。,IP属地:重庆,,,,,仙女山景区差评
_WeCh****755025,2分,一般,景色3,趣味3,性价比2,下雪的时候别去 被踩死  进不去 出不来。车不让进，穿梭bus也堵，在雪地站着寒风中瑟瑟发抖。,IP属地:广东,,,,,仙女山景区差评
_WeCh****755025,2分,一般,景色3,趣味3,性价比2,下雪的时候别去 被踩死  进不去 出不来。车不让进，穿梭bus也堵，在雪地站着寒风中瑟瑟发抖。,IP属地:广东,,,,,仙女山景区差评
M49****661,1分,不佳,景色1,趣味1,性价比1,差评 服务态度极其恶劣,IP属地:重庆,,,,,仙女山景区差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,不会去第二次,IP属地:重庆,,,,,仙女山景区差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,满地得羊屎??没人清理 门票50里面所有项目需要另外花钱 整体来说贵 不好玩  里面泡面10块钱一桶,IP属地:重庆,,,,,仙女山景区差评
M49****4885,1分,不佳,景色1,趣味1,性价比1,没雪还要门票 服务态度差,IP属地:重庆,,,,,仙女山景区差评
入骨rg,1分,不佳,景色1,趣味1,性价比1,门票收费，其他项目都要另收费，进去看一下都没法，雪也化完了,IP属地:重庆,,,,,仙女山景区差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,这个景区比较不值，不如天坑地缝,IP属地:四川,,,,,仙女山景区差评
110****369,1分,不佳,景色1,趣味1,性价比1,"就一个字，坑，两个字，很坑
现场公园人员态度真心不敢恭维
从验票到坐小火车地方还要自驾开好久，好多地方没路牌指引
纯属来一次不会再有兴趣来第二次的地方
看到很多旅行社大巴4点了还在往小货车那带游客，小火车4点30准时关门，不管有没有人在排队都只放空车，不在接游客，见到好多人不知道情况仍在那排队等",IP属地:上海,,,,,仙女山景区差评
_WeCh****373240,1分,不佳,景色1,趣味1,性价比1,无语 就进个门口 就遭50 真的坑,IP属地:重庆,,,,,仙女山景区差评
M24****5079,1分,不佳,景色1,趣味3,性价比1,不怎么样，,IP属地:重庆,,,,,仙女山景区差评
M36****4756,1分,不佳,景色4,趣味1,性价比1,景区套票一点意义都没有！大家千万别上当，再往大草原走还得买车票！不推荐,IP属地:重庆,,,,,仙女山景区差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,被一张图骗来，千万别来上当啦～景区真的好差劲啊～还有重庆女的真的特别和网上说的一样～张口闭口把自己妈带出来～心疼重庆男的～太惨了～,IP属地:四川,,,,,仙女山景区差评
M33****796,1分,不佳,景色5,趣味1,性价比1,不值得去的地方,IP属地:湖北,,,,,仙女山景区差评
M25****4994,1分,不佳,景色5,趣味1,性价比1,私家车车不能进去，必须买小火车票,IP属地:重庆,,,,,仙女山景区差评
礑步道,2分,一般,景色3,趣味3,性价比3,太远了，去的时候下雨了,IP属地:天津,,,,,仙女山景区差评
