user_detail_name,text,text 2,text 3,text 4,text 5,content_wrap,,,,,,attraction_name
飞翔的风219,5分,超棒,景色5,趣味5,性价比5,武隆天生三桥，著名的喀斯特地貌，可乘座电梯或步行直达景区，沿着景区的峡谷步道前行，可以尽情地欣赏到喀斯特的秀美风光和天生三桥的壮观，天生三桥分布在峡谷内，是大自然的鬼斧神工，有着“世界自然奇观”的美誉，这里空气清新，青山绿树，风景独特，是重庆的一个重要旅游景点，也是电影《满城尽带黄金甲》的外景拍摄地，值得一览，喜欢的朋友快来吧！,,,,,,武隆喀斯特景区好评
甜心宝贝猪,5分,超棒,景色5,趣味5,性价比5,"周末带爸妈武隆一日游，我们第一个景点是乌江画廊，在桥上拍了点乌江（涪陵段），乌江从西向东奔腾而去，赏心悦目，江流潺潺，碧绿成荫，江水与山脉相互映衬，好像一幅山水画一般。所以乌江素有“千里乌江，百里画廊”之美誉。
第二个景点是龙水峡地缝，耗时2小时，是最累的景点，因为都是台阶上上下下，但是风景真的很不错。
地缝中已开发的天井峡大桥至回头石段约5千米，有栈道自罗家坪下到地缝， 形成环线。其间景点星罗棋布， 溶洞竖井多而怪异， 萦绕着无数的传说故事。两岸夹道的岩石千姿百态，岩壁上， 丛林遮天蔽日， 森然欲合。
出地缝后有景区大巴回到入口，非常方便。
最后个景点是天生三桥，用时3小时，先走一段路后排队乘旋转电梯下到底下，在下一段楼梯后就是天龙桥了。（这段楼梯很长，真的蛮累的，年纪大的或者小朋友可以出钱乘滑竿）。
武隆天坑有天龙桥、青龙桥、黑龙桥三座天生桥和天龙、神鹰两大天坑，形成了坑与坑之间以天生桥洞相连，桥与桥之间以天坑相隔的“三桥夹两坑”的地质奇观，其规模与气势，世界独有。当天正好时不时飘点小雨，所以山里云雾缭绕，更有意境。
其中天福官驿景点是拍摄《满城尽带黄金甲》的外景地，古驿站也留在坑中。如果身体吃的消的话可以爬上观景台，从上往下拍天福官驿完整画面。
最后出口不到点有个大唐邮驿主题邮局，很适合拍照打卡哦。",,,,,,武隆喀斯特景区好评
不可触碰撞的鱼,5分,超棒,景色5,趣味5,性价比5,游览了龙水峡地缝，没有爬坡登山就来到景区出口旅游大巴停车场，这让我感到意外与庆幸。以前去过的恩施大峡谷和兴义的马岭河大峡谷，进出景区都要先下后上颇费周折，劳累筋骨。在武隆游览天生三桥景区和龙水峡地缝景区，进入景区都要乘电梯下行进入景区，游览后不用再爬山登高，平坦大道，轻松出景区，节省体力，值得庆幸。我们从早上8点30从仙女镇游客服务中心乘旅游大巴出发，仔细游览了天生三桥景区和龙水峡地缝景区，下午不到4点就回到游客中心，看看天色还早，准备再去一个景区，但游客中心没有再去其它景区的车，打车也难找，索性再乘蓝色大巴回武隆城区，游览一下乌江穿城而过的武隆县城。回到武隆城区，我我首先要看看乌江，这条在我上小学时就闻其大名乌江。是电影《突破乌江》让我知道了它，记住了它。沿着芙蓉中路，准备登上乌江一桥，跨过乌江。在乌江一桥的桥头有一个环岛，环岛中央一座雕塑吸引了我。雕塑顶端，一个青年手臂高举，下面是龙柱。经查这是武隆县的形象雕塑“五龙抱柱”。登上乌江一桥，看乌江两岸武隆城，乌江深邃，碧水东流，高楼林立，好一派江城风光。在桥上，又发现在乌江边正在建设沿江公路，将来再来武隆可以在乌江上自驾欣赏乌江风光。路遇两位同龄人，身着中山装，仿佛时空穿越，回到几十年前。晚餐选择了武隆特色美食羊肉。说起武隆美食，羊肉绝对是一大特色，路边隔三差五就是一家经营羊肉的餐馆，盆盆羊肉居多，一盆羊肉，一碟酸萝卜，一碗清汤，一碗米饭，吃得美滋滋的。夜幕降临，来到武隆体育馆，一座公共设施如微缩版的水立方。体育馆外，小姐姐老哥哥，青年男女，成群列队，歌舞升平，娱乐健身。体育馆内灯火通明，一场篮球赛打的正欢。武隆人的生活多姿多彩，值得大家来体验。,,,,,,武隆喀斯特景区好评
不可触碰撞的鱼,5分,超棒,景色5,趣味5,性价比5,下午1：50，在重庆北站乘坐开往广州的K201次列车，于下午4：05到达武隆站。一路上列车左侧先是沿着长江，接近武隆是右侧沿着乌江，到达山坳里的武隆。下火车后在出站口外乘坐蓝色大巴，票价10元，大约30分钟，直达仙女镇游客服务中心。我们已经在携程订好仙女镇的酒店，这里的酒店或民宿，大多可以来游客服务中心接送客人，最好与酒店提前联系一下。下车后，在游客服务中心向工作人员咨询了游览行程，按照景区大巴车的运行路线，一天的时间可以轻松游览天生三桥和龙水峡地缝两个景区，景区大巴车的发车时间是早上8：30。第二天一早我们来到游客服务中心，乘景区大巴车去了天生三桥景区。景区门票旺季（3月1日-10月31日）135元（含40元环保车费），淡季（11月1日-次年2月底）95元（含40元环保车费）。,,,,,,武隆喀斯特景区好评
昕昕_-,5分,超棒,景色5,趣味5,性价比5,景区的票都是三天有效哦。建议大家天生三桥和地缝一起去。一天就能轻松玩完。上午直接去游客中心，然后景区车去天生三桥，大概2个小时就能玩完。然后继续景区大巴到地缝。也差不多2个小时左右就可以游玩啦。个人感觉地缝景色比天生三桥要漂亮，有瀑布，有溪流，有峡谷，有悬崖。,,,,,,武隆喀斯特景区好评
jinyu9711,5分,超棒,景色5,趣味4,性价比4,地质公园是典型的喀斯特地貌，分为天生三桥和龙水峡地缝两个景区，分别独立售票。位于重庆市武隆，长江支流乌江下游，有宏达的天生桥群、面积巨大的天坑、险峻幽深的地缝。在仙女山镇的游客中心，可以买到天生三桥和龙水峡地缝的门票（含两个景区之间和与游客中心间的交通车）。天坑景区拥有世界上最大的天生桥群和世界第二大的天坑群。游览龙水峡地缝时，先乘坐电梯下到半山，再步行到地缝谷底，沿岩壁栈道顺暗河前行，处处是瀑布、溪流和原始植被。栈道全长约4公里，游览完毕后，直接坐车返回游客中心即可。住宿可考虑在仙女山镇入住，去天坑地缝公园都很方便。我走的是重庆出发的携程一日游。,,,,,,武隆喀斯特景区好评
138****8092,5分,超棒,景色5,趣味5,性价比4,从市区自驾到武隆，作为北方人的我觉得这山道真的太练车技了！不过幸好我们赶上假日的尾巴，大多数人都准备回家上班了！因此路上车少，景区人少！从游客接待中心到天坑有大巴，游玩顺序是接待中心-天坑-地缝或者接待中心-地缝-接待中心-天坑！到了天坑想下到坑底（景点）可以乘坐电梯（再不是节假日的日子里被告知至少需要等待40min，因此我们果断选择徒步，基本上都是台阶，下山路！我们走得慢走下去30min，到了坑底路牌很清晰，按照指引走不需要走回头路！从天坑程大巴的车站有卖一些当地小食，中午可以充饥不过请在上车前吃完！地缝也是单程的，同样需要坐电梯到山底，我们去的时候人不多！隧道那张往后都是地缝的景色，没人的时候真的很漂亮！就是比较潮湿，建议戴帽子！打伞的话地方太狭小，修的道路都是悬浮于山体之外的！石头很滑！带小朋友的家长们务必注意安全！,,,,,,武隆喀斯特景区好评
ColinP,5分,超棒,景色5,趣味5,性价比5,"在看了变形金刚4和爸爸去哪后，一心想着一定要去武隆看一看。这次到了重庆后，在携程上报了一个重庆出发的武隆两日游。价格360多块钱，包含重庆武隆之间的大巴车票，仙女山森林公园的门票，仙女山的小火车费用，仙女镇农家乐的住宿费，武隆天生三桥景区门票，龙水峡地缝门票，和天坑地缝景区间的交通费，还有两天的几顿团餐，性价比超高。现在我重点就武隆天坑地缝景区发表点看法：
武隆景区门票135，有个玻璃栈道门票20，不过个人感觉可以去看看，现在上面俯瞰天坑，很漂亮。由于跟团，上午去的天坑景区，景区一开门就进去了，所以人很少，这也推荐大家尽可能早去，这样人少，游览也轻松。下天坑景区可以乘坐观光电梯向下，到底就到天龙桥附近，不过天龙桥在维修，去不了，这里能看到天福官驿，真的很棒的景色，拍摄天福官驿得最佳点在去天龙桥的楼梯上。往前走一次通过天龙天坑，青龙桥，神鹰天坑，黑龙桥，然后到达景区出口，在上山到达山上的停车场。所以天坑是先下山走平路参观景区，再上山出景区。整个景区游览比较轻松大概需要两小时。
从天坑到地缝景区的交通车费用是必须产生的，两地距离车程20分钟，报团的车费是算在团费里，如果是自由行，可以现在仙女镇的游客中心把天坑和地缝的门票都买好，再游玩了天坑后，直接在天坑出口停车场买车票到地缝。如果没有事先买好地缝景区的门票，可以从天坑坐车返回游客中心，买好前后再坐车到地缝。
地缝景区门票115，整个地缝景区的路全程下山，且坡度比较陡，推荐大家去地缝可以随身带把雨伞，因为地缝路上时不时会有水从山上流下来，且路边河流湍急，所以为了防止溅湿，带把雨伞比较好。总体来说，地缝比天坑更为险峻，不过风景依旧不错。在地缝，更能感觉到的是对自然的敬畏，和人类在自然面前的渺小。
天坑地缝总体感官非常好，圆了自己的一个梦，强烈推荐还没有去的朋友赶紧去，这里可以领略大自然的鬼斧神工，造物神奇，真的很棒！",,,,,,武隆喀斯特景区好评
诗意情节,5分,超棒,景色5,趣味5,性价比5,暴雨过后，山湿路滑，瀑布如柱，确意外地颇具古风。天坑地缝，终于可以来领略一下大自然的鬼斧神工，龙水峡地缝更有探险的感觉 从天生三桥到龙水峡地缝，一个气势震撼，一个悬瀑流泉，下雨天也格外清秀翠绿，身在其中，穿越每一个桥洞和狭峰，犹如寻觅一处桃花源,,,,,,武隆喀斯特景区好评
屁屁猪,5分,超棒,景色5,趣味4,性价比5,"武隆天生三桥景点，一个位于重庆郊区的著名景点，《满城尽带黄金甲》和《变形金刚4》的取景和拍照的景区。来到重庆，一定要到武隆看看这大自然的鬼斧神工，看看这独特的喀斯特地貌。搭乘
【交通】交通方面，到武隆需要在重庆市区搭乘大约3个小时的大巴车，市内的各大车站都会有车前往，我们是在龙头寺旅游集散中心上的车，来回89元，大家可以参考一下。另外不想麻烦的朋友，也可以报一日游的团，价格不一。
【门票】大巴车都会在武隆的旅游中心停站，然后前往售票中心购票。价格：3月—10月：135元/人，11月——次年2月：95元/人。（门票包含40元中转车车费）。天生三桥出口观光车：15元/人（也可步行）
在这里个人建议成人的话可以在各大旅行网站上购票，现场也有网络购票的取票机器，省去不少钱和时间。如果是学生的话还是可以排队购票的。我们这次天生三桥的价钱是67.5一人。
【游玩过程】进了园区，先是会搭乘一段的景区大巴车，一下车就可以见到大黄蜂在迎接我们，然后开始步行前往谷底。先是会搭乘一个观光电梯前往谷底，再步行游览。整个景区很大很大，步行游玩的时间大约是三小时左右。走累了的朋友可以在某些路段付费搭乘轿子。更重要的是，个人建议大家提前一天在重庆市区先买上一些面包、水、水果之类的干粮，在景区内走累了可以停下来吃吃东西，这也是由于景区内的餐饮的确是不多。要到达出口才会有小吃店。
天生三桥指的是天龙桥、黑龙桥和青龙桥。每座桥都各有各的特点，但唯一一样的都是那么的震撼，那么的鬼斧神工。天龙桥底有一间天福客庄，这里是《满城尽带黄金甲》的取景地，现在也成为了一个著名的景点。而黑龙桥也正是《变形金刚4》的取景地，旁边还有着奔流不止的瀑布。
总的来说，景区在卫生方面做得很好，使得游客能够全身心的投入到大自然之中，整个园区的商业气息几乎没有，没有了商品的贩卖在一定程度上减少了环境的污染。令人点赞的更是在每一处经典景区，会有专业人员为游客进行拍照，在出口处可以免费领取小的钥匙扣照片，如果想要大照片则需要付费20元。
美丽的天坑，值得你一来膜拜，来这感叹一下大自然的神奇，领略一下人的渺小。。",,,,,,武隆喀斯特景区好评
