user_detail_name,text,text 2,text 3,text 4,text 5,content_wrap,iplocation,,,,,attraction_name
匿名用户,1分,不佳,景色1,趣味1,性价比1,仙女山很冷,IP属地:重庆,,,,,武隆喀斯特景区差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,体验极差啊,IP属地:重庆,,,,,武隆喀斯特景区差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,不值得推荐。开车导航到游客中心，必须要坐景区的大巴才能进去，好不容易到达了景区，要求现付50元坐旋转电梯。坐了才知道景区还有老电梯，是包含在门票里的，这不误导消费吗？,IP属地:重庆,,,,,武隆喀斯特景区差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,不值得去，体验很差,IP属地:重庆,,,,,武隆喀斯特景区差评
_WeCh****53904,2分,一般,景色3,趣味3,性价比2,很一般，摆渡车也不够，游览结束后要乘搭摆渡车上回山上，要另外收费！且很多人排队，最后还是咬咬牙自己爬上去的,IP属地:广东,,,,,武隆喀斯特景区差评
匿名用户,2分,一般,景色3,趣味2,性价比2,还没结束就有人离场，结束后也没有掌声，可想而知，大家都觉得一般吧。,IP属地:重庆,,,,,武隆喀斯特景区差评
320****881,2分,一般,景色2,趣味1,性价比1,坐席脏乱差，与想象中失望太大，表演已经木有激情,IP属地:安徽,,,,,武隆喀斯特景区差评
匿名用户,2分,一般,景色2,趣味2,性价比1,如果免费可以看看  如果9.9元也可以看看，再多了就不推荐了  没啥看的,IP属地:重庆,,,,,武隆喀斯特景区差评
匿名用户,2分,一般,景色5,趣味5,性价比1,中间有个乘车的地方每人15，那里的服务特别差，有插队的也不管，插队的全是大男人服务人员连个屁都不敢放，看见小女生说话声音都变大了让人家孩子下来让插队的上简直什么狗东西，真的出门就不能有太好脾气。,IP属地:重庆,,,,,武隆喀斯特景区差评
M60****004,1分,不佳,景色1,趣味1,性价比1,服务体验很差，含电梯的套票，现场没有指引电梯的入口,IP属地:重庆,,,,,武隆喀斯特景区差评
匿名用户,1分,不佳,景色3,趣味1,性价比1,说老人免门票，结果不免车费，120的门票（包含车费），55的车费。然后为了不让坐电梯，骗说电梯要排一两个小时，让走步梯，然后一路上就有抬轿子的，合理认为是把人推向步梯，与抬轿子的人合作，后面坐车看到基本没人坐电梯，结束后还要单独买观光车的费用，就一分钟车程，15元，其实摆渡的中巴车是可以开下去的，就是为了赚观光车的钱，有一说一，吃相有点难看了，景区景色不错，其他都无语了,IP属地:贵州,,,,,武隆喀斯特景区差评
M23****0250,1分,不佳,景色1,趣味1,性价比1,没什么景点 全程都是走路 黄金甲门都是锁的 比起金佛山差的不是一星半点 不建议大家去,IP属地:重庆,,,,,武隆喀斯特景区差评
300****421,1分,不佳,景色1,趣味1,性价比1,服务非常好,IP属地:重庆,,,,,武隆喀斯特景区差评
小乌龟来喝两杯,1分,不佳,景色5,趣味1,性价比1,"我报名过很多次携程自营一日游或者携程代理景点联票的团了。这个团虽然是携程代理，但是我觉得，不符合携程筛选供应商的标准，简直是太差了。
细说：1.早上7点15集合，我7点提前到达集合地一直不见车，7点14告知在附近其他地方，上车后满座我和老婆只能分开坐，这就很纳闷了，而且车程4-5小时左右。
2.车上说不含团餐，中午没法和含团餐的人一起吃饭，这个无所谓的因为我也提前带了小食，但是在携程报团时压根看不到添加团餐的选项啊，到饭馆后还不允许坐在店里没人的地方食用自己带的东西，当时外面下着雨。
3.游玩时间太赶了，后面才知道是为了去购物店做铺垫啊。武隆天坑团费包含了电梯费，导游引导不坐电梯，我因为之前去过武隆所以我觉得来得及，就做了电梯游玩。11点45散团，让14:00集合，全程在赶路一样，上午行程大致14:15集合，导游让下午15:30停车场集合，只给了1小时不到的游玩时间，因为还要拍很长的队坐接驳车
4.下午15:30集合后，不趁着高速车少赶紧返程，反而拉着我们往购物店跑，耽误了几十分钟才返程。
5.车辆很小很挤，和其他团的大车比简直就是折磨。来回10个小时啊
6.导游差劲不说了",IP属地:安徽,,,,,武隆喀斯特景区差评
匿名用户,2分,一般,景色5,趣味4,性价比1,本来考虑路程远，想坐得舒服点，订的是9座商务车(商品名称和订单都写的是商务车），结果旅游公司派5座经济型轿车。跟客服反映，客服说车是随机安排……节假日出行用车紧张可以理解，但不能接受作引人误解的虚假表示，欺诈消费者。,IP属地:四川,,,,,武隆喀斯特景区差评
匿名用户,2分,一般,景色3,趣味2,性价比2,景点单一，除了一座四合院就没别的了,IP属地:重庆,,,,,武隆喀斯特景区差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,"身体不舒服，勉强走完天坑。没去地缝不能退票，不合理！差评！
捆绑销售一定看清楚！",IP属地:重庆,,,,,武隆喀斯特景区差评
M43****8415,1分,不佳,景色2,趣味1,性价比1,真不知道这个5A景点怎么来的，全程就是无聊走路。最恶心的是天生三桥票价里面有电梯费用，结果服务人员还骗我们，说电梯要等90分钟，而且只能坐13人，当时把人忽悠步行，后来越想越不对劲，什么电梯上下90分钟？垃圾,IP属地:重庆,,,,,武隆喀斯特景区差评
M34****6316,1分,不佳,景色3,趣味1,性价比1,小孩3岁以上的都要买票，还不是半票。没见过这样的景区，有个景点叫大草原，走近一看是停车场哎呀**的。,IP属地:重庆,,,,,武隆喀斯特景区差评
女警老妈,2分,一般,景色3,趣味3,性价比2,景点很一般，就是一个溶洞，人很少，配套设施太差了，距离车站又比较远，交通非常不方便，想着既然来了就去看一下，打车去的，结果回来叫不到车，景区工作人员态度也很冷淡，不值那个票价钱，不建议这个景点。,IP属地:安徽,,,,,武隆喀斯特景区差评
女愤青,1分,不佳,景色4,趣味1,性价比1,私家车不让进。必须得坐他们的大巴。指示也不写清楚。大巴车淡季的时候。半个小时到四十五分钟一趟。也不说清楚发车时间。完全耽误了我们的行程。而且还就差这半个小时的时间我们能去的地方就去不成了。妥妥的差评。而且也没有其他任何的交通方式可以到达。非常不友好。最差劲的一次体验,IP属地:重庆,,,,,武隆喀斯特景区差评
风行走,1分,不佳,景色1,趣味1,性价比1,景区体验非常差，没有任何体验感，服务态度差劲。,IP属地:重庆,,,,,武隆喀斯特景区差评
M58****202,2分,一般,景色3,趣味3,性价比2,游玩时间刚好天气不好，下大雨。买了套票，玩了一个点又不能退票。景区一点不人性化。雨天的景观也很一般，真心不值,,,,,,武隆喀斯特景区差评
M35****3865,1分,不佳,景色5,趣味5,性价比1,景点不错，景点管理员非常**，买的电梯票不让坐电梯，好心情都没了，差评,,,,,,武隆喀斯特景区差评
M39****7482,1分,不佳,景色2,趣味1,性价比1,一日游，三分之二时间大巴车上。到了11点半。需要另外交每人40元玻璃看台，观光车的费用，个人感觉没什么必要。景区人超多，下着雨，遛腿。体力不好的，带孩子的，老人的，不建议。天坑地缝不是同一个景区，自然景观是可以，总之性价比，综合体验不太好。做好回来腿疼2-3天的准备。,,,,,,武隆喀斯特景区差评
22甜妞,2分,一般,景色5,趣味5,性价比5,进去的时候是65岁以上老人不需要买票，但携程还是卖票了，然后门口检票的让找平台退，但是携程显示已使用不给退，反正就这样吧……大家带65以上老人的就不要买票了，浪费掉的,,,,,,武隆喀斯特景区差评
M29****1617,2分,一般,景色3,趣味3,性价比2,。。。。。,,,,,,武隆喀斯特景区差评
M43****7961,2分,一般,景色1,趣味1,性价比1,天坑真是坑，无聊透顶,,,,,,武隆喀斯特景区差评
_WeCh****670843,1分,不佳,景色1,趣味1,性价比1,性价比低，可玩性低，,,,,,,武隆喀斯特景区差评
M31****2805,1分,不佳,景色1,趣味1,性价比1,大巴车司机态度非常差！,,,,,,武隆喀斯特景区差评
M44****1034,2分,一般,,,,千万不要订重庆往返288那个，是个8人专车接送的，定错了马上退款都不给退，是个黑车，专门骗人的，不要订，千万不要订，退了好几次都不给退款,,,,,,武隆喀斯特景区差评
爱的宝宝啊,2分,一般,景色2,趣味2,性价比2,没有想象中那么好玩，景点就是一个天坑，很快就玩完了,,,,,,武隆喀斯特景区差评
137****6369,2分,一般,景色3,趣味1,性价比1,形式大于内容。相同的费用可以考虑更好的景点。,,,,,,武隆喀斯特景区差评
子乐大大大,1分,不佳,景色1,趣味1,性价比1,我订了两次票、然后不能退票、唉、差评差评、电梯还是坏的、建议大家就别订学生票或者老人票什么的、容易有待改进，景色一般，被坑,,,,,,武隆喀斯特景区差评
tracy菜菜,1分,不佳,景色1,趣味1,性价比1,差评 绝对是个坑,,,,,,武隆喀斯特景区差评
M42****3455,1分,不佳,景色3,趣味1,性价比1,套票卖的挺欢，实际体验差得出奇！只有天坑和地缝能看看，芙蓉洞还要自己坐车去武隆，再转车到江口镇，再从江口镇坐车到芙蓉洞，到那儿了看完芙蓉洞，到芙蓉江坐套票里付了钱的船，却不拉人，说快下班儿了？至于白马山，还得倒车疲于奔命的奔波，不看也罢！第二次不会再去了！,,,,,,武隆喀斯特景区差评
M41****8467,1分,不佳,景色3,趣味2,性价比2,还可以吧！就是我的衣服明明放在景区，忘记拿了。然后找工作人员帮忙找一下，竟然说不见了。,,,,,,武隆喀斯特景区差评
Leyalen,1分,不佳,景色3,趣味1,性价比1,【性价比】性价比非常低，一个半小时就完了，就看了下天坑，没什么玩的,,,,,,武隆喀斯特景区差评
球形闪电侠,1分,不佳,景色1,,,纯粹的误导消费、明明是车票、却打着门票的幌子。导致行程有变、太气人了。,,,,,,武隆喀斯特景区差评
