user_detail_name,text,text 2,text 3,text 4,text 5,content_wrap,iplocation,,,,,attraction_name
_WeCh****24182,1分,不佳,景色1,趣味1,性价比1,不值得来，坑人的天坑景区，还卖那么贵的门票，哎！,IP属地:重庆,,,,,武隆天生三桥差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,天坑景区是真的坑：1.不能单买门票，必须买大巴车和电梯的套票，捆绑消费；2.不物有所值，电梯45一人，居然是单程，以为游览完后还可以坐电梯上去呢；3.门票并没有说清楚大巴车指的是什么，返程时有一个返回景区门口的观光车，居然又要单独收费,IP属地:重庆,,,,,武隆天生三桥差评
M48****9262,1分,不佳,景色3,趣味1,性价比1,真是垃圾景区，武隆去过的最坑的一个景区，捆绑卖你垃圾票，大巴车坐得你想吐，明明车能进去，非要40买大巴，还有那个狗屁玻璃景台，40块的电梯让你旋转一下啥都看不见了，上山电瓶车还要收费，出去停车场5块一个小时，又坑你一笔，谁去谁**,IP属地:重庆,,,,,武隆天生三桥差评
M56****47,1分,不佳,景色1,趣味1,性价比1,天坑，天坑,IP属地:重庆,,,,,武隆天生三桥差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,天坑真的名副其实的天“坑”！！这是去过的最无聊，也是性价比最差的景点，所有的项目都挂着自愿的抬头，但都在变相收费。特地选了春节前去玩，当天入景区的人数不多，在旋转电梯这边，工作人员一定要等到20个人塞满才肯动，为此浪费了很多时间，而且工作人员态度及其恶劣，连拉带拽，不听从他指挥就让你走下去。电梯一共加上关门开门时间就15秒，所谓的旋转就是个赚钱的噱头，就这么个东西要强制收费40/人，属实浪费，而且电梯下去后要多走很多的冤枉路才能到出口(大约步行4公里)，中途听到很多老人抱怨说走不动路了。快到出口处，出现一个15/人的电瓶车，大多数人都以为这个费用包含在我们125/人的大门票里，结果没有，工作人员说这是自费项目，不坐的可以再走25分钟到大巴乘车点（但这25分钟是纯上山路，在走了4公里后再走上山路，都觉得太累），所以不用怀疑，这景区就是妥妥的140/元/人的花费，然后自己还要走4公里的路，又没风景，又没性价比，商业极其严重的景点（里面很多地方还搭着脚手架造东西）,IP属地:浙江,,,,,武隆天生三桥差评
M19****912,1分,不佳,景色3,趣味2,性价比1,提醒大家避坑，不要报这个团！本想着路程远，行程累，车上舒服一些。报个小团吧，比大团贵，没想到就只是贵！6个大人挤在一个7座车里，前后左右都挤得不行，外套都要脱下来才能坐下，9点出发，快2点进的景区，将近5个小时在这车里面比在景区都累。不如坐大巴车！,IP属地:重庆,,,,,武隆天生三桥差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,不建议去风景一般般 ，老人小孩走不了台阶比较多。,IP属地:重庆,,,,,武隆天生三桥差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,如果你第二次还想来，奉劝你甚至考虑好，风景没有什么特色的地方。,IP属地:重庆,,,,,武隆天生三桥差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,不会再来第二次的景区，特别坑，游玩体验感差。,IP属地:重庆,,,,,武隆天生三桥差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,一点都不好玩，风景没有风景，就是山区，特别费腿，名号打得响亮，属于后悔系列，台阶也特别多，如果是老人 小孩不适合，大多数人群不建议该地游玩。坑，什么特色没有。,IP属地:重庆,,,,,武隆天生三桥差评
M77****5466,1分,不佳,景色3,趣味1,性价比1,体验非常差,IP属地:贵州,,,,,武隆天生三桥差评
M29****3562,1分,不佳,景色1,趣味1,性价比1,强制消费，门票40，电梯45。进门就坐电梯，不给45的电梯费，就不让坐，还去不了景区里面，就这么一点点,IP属地:重庆,,,,,武隆天生三桥差评
M97****02,1分,不佳,景色1,趣味1,性价比1,一个字差。两个字很差，三个字超级差，,IP属地:重庆,,,,,武隆天生三桥差评
M97****02,1分,不佳,景色1,趣味1,性价比1,说句实话，真是很差，入口和出口不在一个地方，还比较远，最差的就是入口处服务太差人山人海把人都挤死，最重要的是全程围着一个山坡走一圈，啥意思也没有，说真的，真不值，不建议老人小孩，就是光秃秃的山坑,IP属地:重庆,,,,,武隆天生三桥差评
_WeCh****79551,1分,不佳,景色1,趣味1,性价比1,一动不动的,IP属地:四川,,,,,武隆天生三桥差评
