user_detail_name,text,text 2,text 3,text 4,text 5,content_wrap,iplocation,,,,,attraction_name
匿名用户,2分,一般,景色4,趣味3,性价比2,12点船到了，到12:40都还没走，在船上等了一个小时。时间安排完全不合理，这和一点的航班有什么区别 ？,IP属地:重庆,,,,,洪崖洞差评
M36****372,1分,不佳,景色1,趣味1,性价比1,一小时一班，等待的一小时3个喇叭不间断播放洗脑，“船头拍照打卡座位10元一人”“爆米花小吃热奶茶”吵死人了，脑袋都炸了，没有一秒钟是清净的，全国那么多游船，没见过这么吵，那么恶心的船！！！,IP属地:重庆,,,,,洪崖洞差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,不咋地等的时间太久太久了，最早上船一直卖爆米花??，不喜欢，时间太短了,IP属地:辽宁,,,,,洪崖洞差评
匿名用户,2分,一般,景色5,趣味2,性价比2,还行吧，有时间可以试试,IP属地:重庆,,,,,洪崖洞差评
186****5931,1分,不佳,景色1,趣味1,性价比1,一小时一班，距离很短，没什么特殊景色，到了弹子石码头还要各种爬楼梯，非常不必要,IP属地:重庆,,,,,洪崖洞差评
? Celina,1分,不佳,景色2,趣味1,性价比1,游船时间不超过10分钟 有点胡闹,IP属地:新加坡,,,,,洪崖洞差评
匿名用户,2分,一般,景色2,趣味2,性价比1,沒有等別的地方,IP属地:广东,,,,,洪崖洞差评
_wech****812892,1分,不佳,景色1,趣味1,性价比1,管送不管回，十分钟到站，没意思,IP属地:重庆,,,,,洪崖洞差评
有范的小抒颖,2分,一般,景色2,趣味2,性价比2,别去坐了，下船后走上坡的楼梯可以走到怀疑人生,IP属地:重庆,,,,,洪崖洞差评
158****2700,1分,不佳,景色5,趣味1,性价比5,人多只看人头，商业化严重,IP属地:陕西,,,,,洪崖洞差评
158****2700,1分,不佳,景色5,趣味1,性价比5,人多只看人头，商业化严重,IP属地:陕西,,,,,洪崖洞差评
,1分,不佳,景色3,趣味1,性价比1,不太值得，性价比不高,IP属地:四川,,,,,洪崖洞差评
M32****0519,1分,不佳,景色1,趣味1,性价比1,贵！体验感不好,IP属地:重庆,,,,,洪崖洞差评
,2分,一般,景色2,趣味2,性价比2,一般 态度很不好,IP属地:重庆,,,,,洪崖洞差评
apjhc,2分,一般,景色3,趣味1,性价比1,景色肯定没说的，但就一个山崖洞，人多，路窄，到处洋溢汗臭味，到里面走一圈，犹如汗蒸，建议你到对面看看洪崖洞的整天夜景是最佳的,IP属地:重庆,,,,,洪崖洞差评
,1分,不佳,景色1,趣味1,性价比1,差评，差评，差评??????7点开船，6点45到就不让上船了，说检票结束，真是坑爹呀,IP属地:重庆,,,,,洪崖洞差评
M51****6957,1分,不佳,景色3,趣味1,性价比1,风景可以，服务太差，哪哪都要VIP要加钱，座位都没得坐，水果免费吃更是无稽之谈。上下爬了二十几层楼，还要站一个多小时。有人流就没有服务。找个垃圾桶坐了一会,IP属地:重庆,,,,,洪崖洞差评
M49****0007,1分,不佳,,,,网红景点直接不能去，啥也不是！只是平台推滴有名气，人挤人，地面脏！停车不好停，还堵车！有些地方空气中垃圾滴味道，,IP属地:四川,,,,,洪崖洞差评
,1分,不佳,景色1,趣味1,性价比1,真是非常糟糕的地方，网红的厉害，实际可能是我去过50多个城市中排的上倒数前五的景点。过于商业化，管理，设备跟不上人流密度，混乱不堪，游客怨声载道的。在嘉陵江边照几张照片离开就好,IP属地:重庆,,,,,洪崖洞差评
,1分,不佳,景色3,趣味1,性价比1,悬崖洞人多，要拍照片贩子也多。楼还可以吧,IP属地:重庆,,,,,洪崖洞差评
,2分,一般,景色2,趣味2,性价比2,爬上爬下累，人多时只能爬楼梯累,IP属地:重庆,,,,,洪崖洞差评
M27****6707,1分,不佳,,,,国庆全是人就不说了，到处都写着景区入口，走tm半天全是商业街，卖东西卖疯了?风景也没得看，椅子也没得坐,IP属地:重庆,,,,,洪崖洞差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,时间短 两端都没有按路线掉头 差评,IP属地:重庆,,,,,洪崖洞差评
派大星大智若愚,1分,不佳,景色2,趣味1,性价比1,我觉得洪崖洞简直就是给重庆招黑，混乱、肮脏、炎热，无处不在的小贩，一如这个狭窄、破破烂烂的城市，体验感很不好，来了就想逃离。再就是渝A的司机素质真的差啊，解放碑附近双向单车道，为了等客可以停在路上堵后面几百米，没有丝毫的愧疚。这里虽然有高楼大厦，但是人真的不像大城市的人，土气的很，美女，真的没见到。,IP属地:重庆,,,,,洪崖洞差评
迈扣脱食,1分,不佳,景色1,趣味1,性价比1,无新意，无创意，卖的东西都是义务货，没有特色。,IP属地:重庆,,,,,洪崖洞差评
M65****69,2分,一般,景色2,趣味2,性价比1,一般，人多的要命，体验感不好,IP属地:广东,,,,,洪崖洞差评
M50****3616,1分,不佳,景色1,趣味1,性价比1,骗人钱啊？,IP属地:重庆,,,,,洪崖洞差评
_WeCh****022497,1分,不佳,景色1,趣味1,性价比1,开车或者乘坐轨道经过时看看还行，仅此而已。,IP属地:重庆,,,,,洪崖洞差评
_WeCh****661707,1分,不佳,景色3,趣味2,性价比2,"真没什么看头，感觉到了这里的人每个都是火气在身，小孩进电梯慢一点一女的看似游客在发气，进电梯了电梯启动慢了也在发气，说电梯超载了其实没有，下次不会来这一类人造商业景点
【性价比】
【性价比】了",IP属地:重庆,,,,,洪崖洞差评
M33****4546,1分,不佳,景色2,趣味1,性价比1,劝大家出来旅游还是不要去这种地方玩！要特色没特色，要风景没风景，就是一个被网红吹出来的地方，人多拥挤，脏乱不堪！,IP属地:重庆,,,,,洪崖洞差评
M22****9841,1分,不佳,景色3,趣味1,性价比1,到处都是人挤人，非常的混乱，很担心出安全事故。,IP属地:河北,,,,,洪崖洞差评
迈扣脱食,1分,不佳,景色1,趣味1,性价比1,人造的景观，吊脚楼全是假的，全靠流量引流。,IP属地:重庆,,,,,洪崖洞差评
