user_detail_name,text,text 2,text 3,text 4,text 5,content_wrap,,,,,,attraction_name
老周就是不老,5分,超棒,景色5,趣味5,性价比5,"在黄昏时，追赶红日，去江心看被夕阳染红的粼粼波光，在夜幕落下前，赶赴一场晚霞之约。
不览夜景，未到重庆，夜晚，重庆正渐渐苏醒，华灯初上，整座城市灯火璀璨，从两江看四岸，仿佛置身霓虹的怀抱。
乘江上行，仿若畅游璨烂星河，蜿蜒起伏的楼宇倒影跌入水中，万家灯火汇聚成江上人间，尽在两江游。",,,,,,重庆两江游好评
静静de黎明,5分,超棒,景色5,趣味5,性价比4,夜游游船一共有九个码头，每个码头停靠的游船都不同，票价也不一样，我们买的票面值是158的，因为我们住在渝北区，离得比较远，找的旅行社来回接送一共是100元，而不是按照票价收的，听说这种158的票现场买好像也就七八十块钱，买前最好提前咨询好。我们在五号码头上的船，是金碧女王号。船上有座位，不过得早上，上的晚就没了。最上面一层是vip，需要另外加收60元，感觉没必要，船上有免费的表演，我们正好碰上演变脸的，还不错。船上的东西最好不要吃，太贵了，一个水果拼盘要48元。船程1个小时左右，两岸的夜景还是非常漂亮的，特别是朝天门码头和洪崖洞商业街附近格外漂亮，还能看到迅速划过天空的长江索道。来重庆一定要看一下嘉陵江和长江上的夜景，价格也不是太贵，还是很值得一看的。,,,,,,重庆两江游好评
超人心M,5分,超棒,景色5,趣味5,性价比4,重庆两江夜游还是非常推荐的，我是在某宝上买的船票，历史最低价，当地人都说不可能这么低，32元一个人，（满江游号）船分很多种，价格也不一样，但是我觉得，没有必要一定要买贵的，因为反正看到的风景都是一样的呀！建议提早去坐船，可以选到一个极佳的位置，大概50分钟左右的时间，夜景真的很美！,,,,,,重庆两江游好评
ColinP,5分,超棒,景色5,趣味5,性价比4,到重庆，怎能不坐两江游轮！在携程买的票，满江红游轮一人40，乘坐地在解放碑四码头处，沿着嘉陵江长江往返，时间大概四十分钟，两岸夜景美不胜收，重庆夜景算是重庆的名片之一，利用地形地势衬托的高楼大厦更为雄伟，特别棒,,,,,,重庆两江游好评
旅游小达人,5分,超棒,景色5,趣味5,性价比5,重庆夜景很美，是重庆的三大名片之一，来重庆不两江游可惜了，不过朝天门码头管理有些混乱，票贩子很多，多少钱都有，船大小不一，我网上定的金碧系列，比较豪华有川剧变脸等表演，值得一去，我虽然网上定的但其实到码头路上都是票贩子，价格比网上便宜很多，强烈建议现场买票，小船50元，大的金碧系列的也就70,,,,,,重庆两江游好评
慧剑斩前尘,5分,超棒,景色5,趣味5,性价比5,有很多种船，船上越豪华票价越贵，附近有很多小商家卖票挺划算的，我们坐的是最便宜的50元一张票，因为只是看夜景对船上的设施不太在意，反正有坐的喽。有些人想享受豪华设施也是可以去坐的，人也不在少数。一小时的缓慢行船过程，可以看见朝天门，洪崖洞等漂亮的夜景。这里有去其它景点玩的轮船，会在船上过夜，想必也是一种不错的体验。,,,,,,重庆两江游好评
简约的镜子,5分,超棒,景色5,趣味5,性价比5,有朋自远方来，不亦乐乎。带朋友晚上去朝天门三码头乘交运明珠号游轮，提前预定了船上的晚餐，定的三楼VlP包房1000元一桌的餐，不含酒水。我们一行15人，挤挤刚好能坐下。这艘游轮共有两间包房，各有一张大桌子，包房之间可隔断也可敞开。包房位于游轮三楼前部，是最佳观景点。菜品很丰盛，做得很精致，川菜风味，具重庆特色。朋友们一边品尝美食，一边欣赏窗外流动的美景，不时到外面走道上拍照留影，一路欢声笑语，玩得非常开心，宾主尽欢，十分尽兴。,,,,,,重庆两江游好评
205****090,5分,超棒,景色5,趣味5,性价比5,两江游还是很有趣的，我们坐金碧皇宫算是不错的游船，门票标价都快200了，但我们最后是到跟前在一个买票妇女哪儿花50买的，上船后都是自愿消费，花钱的地方都有提示，整体感觉还是很规范，景色就不多说了，值得来看看。但游船结束后想吃饭的话建议吃面或者后面的大排挡，要么换地方，不要在附近店面里吃炒菜，感觉做的很丢重庆菜的脸，我们吃的那家店面不小，服务基本没有，开水是凉的，毛血旺里的配菜居然是猪肝，猪肉，火腿肠，血旺，圆白菜，豆芽，然后就没有然后了，叫来老板问没有毛肚的还能叫毛血旺吗？老板答我们的就没有，各位自己品吧！,,,,,,重庆两江游好评
wfhs66189,5分,超棒,景色5,趣味5,性价比5,风景非常之优美！夜色中游船灯光阑珊，两岸高楼林立，高楼皆被黄色灯光装扮，装饰豪华的游轮在宽阔的江面上鸣笛行驶，放眼望去，两岸风光无限，美煞船中观景人啊！人仿佛在梦中，真真流连忘返，美不胜收啊！,,,,,,重庆两江游好评
M25****751,5分,超棒,景色5,趣味5,性价比5,很棒的夜景，真的真的很值得一去，特别是洪崖洞，超级漂亮，拍不出效果。在携程定的票，码头没有专门取票的地方，需要上船取票，其实可以直接去码头买，很多卖票的，比在网上定还省事。,,,,,,重庆两江游好评
M25****751,5分,超棒,景色5,趣味5,性价比5,很棒的夜景，真的真的很值得一去，特别是洪崖洞，超级漂亮，拍不出效果。在携程定的票，码头没有专门取票的地方，需要上船取票，其实可以直接去码头买，很多卖票的，比在网上定还省事。,,,,,,重庆两江游好评
力大无穷的女汉子,4分,满意,景色4,趣味4,性价比4,"虽谈不上很好，但是去到山城，还是应该去游船欣赏一番两江的夜晚。我是从携程预订的票，三楼VIP座位的那种，因为觉得在三楼露天拍出来的照片会更好看一点儿。其实吧，差不多，在二楼一楼估计拍出来也很美，而且三楼的座位并不是太舒服，总之，根据个人喜好选购，携程上会把分类做好，要一层的二层的一个价格，要三层的一个价格，要三层?小食的一个价格。如果是售票点买的票，上到船上如果想坐在三楼，每桌都有固定消费，每桌60，目测了一下，交运金碧系列是最好看的，我坐的是满江红，一般般啦。
要说最好看的就是洪崖洞，建筑的特色加上灯火通明，真的挺好看的，其他的还可以吧。
可以尝试，值得尝试，但是不需要期望太高。",,,,,,重庆两江游好评
