user_detail_name,text,text 2,text 3,text 4,text 5,content_wrap,iplocation,,,,,attraction_name
_cmb43****1951900,1分,不佳,景色5,趣味1,性价比1,"本来体验特别好，后来安排到二楼看表演，也还好，关键是最后主持人讲了一大堆说是知名书法家，写的书法，只收裱的成本价，这个就是骗人了。
作为重庆公交公司的官方邮轮，竟然骗人，就不应该了！表演结束了，船也到岸了，特别差和花钱买智商的一次体验！",IP属地:重庆,,,,,重庆两江游差评
M42****284,1分,不佳,景色5,趣味1,性价比1,人太多了，进不来也出不去，到码头用了两个小时，出来用了两个小时，坐船45分钟，体验太差,IP属地:重庆,,,,,重庆两江游差评
M40****759,1分,不佳,景色3,趣味1,性价比1,去过广州，天津的船游体验都还不错，所到之处都会请解地标和有关历史故事。想顺便看看重庆夜景就来了，但重庆这波体验感是史上最差的一次，虽然是春节高峰期，但这波操作很不值，一登船工作人员就推荐加价区体验，航程也很单一，船上还以表演形式推销，感觉整个游船游没有底蕴只充满了商业味。,IP属地:四川,,,,,重庆两江游差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,非常差劲，因为重庆大雾，上云端之眼什么也看不到，所以云端之眼没有去，打了客服，云端不收钱，但是携程死活不退，超级差评，携程就是会拿套票优惠来忽悠游客,IP属地:重庆,,,,,重庆两江游差评
Stella Wei ???????♀?,2分,一般,景色3,趣味1,性价比1,"138元的45分鐘游船票，其實是上船時对着洪崖洞兴奋了几分鐘。早登船的可座在最上层，也是最好拍照和看風景的。其余的只能坐下一层和下下一层了。不停在耳边听到：加100元一位VIP在船头雅座，免費水果飲品！ 中途有＂齐白石齐派传人某书法家字画拍卖二百元起拍；及变脸等表演。
个人覺得票价太高，不值！",IP属地:重庆,,,,,重庆两江游差评
M10****67,1分,不佳,景色3,趣味1,性价比1,排队排了3小时，简直要命了。,IP属地:四川,,,,,重庆两江游差评
M30****1549,1分,不佳,景色5,趣味4,性价比1,首先，景色确实很美，但是也只有这个优点了。缺点如下：1.登船安排混乱，2.船舱一半的位置是收费的，3.船上的节目算是有新意的，但是管理混乱，很多人集中在游船中间，让两侧的人都看不到节目的内容，也没有人负责管理,IP属地:重庆,,,,,重庆两江游差评
286****498,1分,不佳,景色5,趣味1,性价比1,没啥意思，就晚上夜景还行，性价比不高，船头还要单独收费，如果非必要可以做做缆车也好过船,IP属地:黑龙江,,,,,重庆两江游差评
匿名用户,1分,不佳,景色4,趣味4,性价比4,体验感极差，洪崖洞码头人挤人，去花了很久，返程回酒店是先坐大巴再打车。。。轮船的最上层也找不到位置坐，真的，白瞎了一百多,IP属地:重庆,,,,,重庆两江游差评
M27****192,2分,一般,景色5,趣味2,性价比1,不值得，花冤枉钱,IP属地:海南,,,,,重庆两江游差评
M27****192,2分,一般,景色5,趣味2,性价比1,不值得，花冤枉钱,IP属地:海南,,,,,重庆两江游差评
匿名用户,1分,不佳,景色2,趣味2,性价比1,登船等候时间远大于游览时间，行程非常短，不满意。,IP属地:重庆,,,,,重庆两江游差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,还要送票，等半天,IP属地:重庆,,,,,重庆两江游差评
匿名用户,1分,不佳,景色2,趣味1,性价比1,不给退票！服务态度很差,IP属地:重庆,,,,,重庆两江游差评
M50****6397,2分,一般,景色5,趣味3,性价比3,VIP不合适，还不如去船上买，船上只有果盘和水，体验很差。去了船上才80,IP属地:山东,,,,,重庆两江游差评
M24****3701,2分,一般,景色5,趣味3,性价比1,船上最顶层的前后部分还需要加钱才能进入，中间免费区域根本没位置坐。讲解部分也相当敷衍，根基本没有任何实质内容。另外船还没回到港口服务员就一催下船…态度极其不好??. 不推荐,IP属地:重庆,,,,,重庆两江游差评
爱君99,1分,不佳,景色3,趣味1,性价比1,所谓的VIP 没有，跟普通票一起排队，说是到三楼船头，上船后普通票补升仓只需80元，室外座位，都给补票的占领了。一塌糊涂,IP属地:吉林,,,,,重庆两江游差评
138****7775,1分,不佳,景色1,趣味1,性价比1,和一般的没区别，也没快速通道，一样排队，还不如到船上加价购买，服务更好。体验最差的,IP属地:四川,,,,,重庆两江游差评
182****1860,1分,不佳,景色4,趣味4,性价比1,混乱。。。。没上船前询问带领的工作人员，说是每桌在船上已经留好了位置，想象着应该很有秩序。。。谁知道夹板上过道窄窄的，座位基本靠抢，跟图片不相符，甲板上座位挤得很，不值钱的水果和低劣的小食。不如买普通票。。,IP属地:重庆,,,,,重庆两江游差评
M36****7420,1分,不佳,景色1,趣味1,性价比1,工作人员服务态度极差，问个事被吼了领的小孩都被吓到了，太气人了,IP属地:重庆,,,,,重庆两江游差评
189****2899,1分,不佳,景色1,趣味1,性价比1,非常失败糟糕透的一次购票。现场购票138＋80升级Vip，最主要的是上了船没有人引领，并且根本不认网购票，其他人现场现交80升级vip的优先占座，服务员根本不认携程的vip，纯粹是欺骗！到最后也没有座位，真的是糟糕透了。图片是上船前给的vip标识，上了船没有人认！,IP属地:重庆,,,,,重庆两江游差评
M22****4933,1分,不佳,景色5,趣味1,性价比1,一点也没有VIP的用处！,IP属地:重庆,,,,,重庆两江游差评
匿名用户,2分,一般,景色5,趣味4,性价比2,我们定的是洪崖洞码头上船，我滴个天呀，穿过洪崖洞简直是噩梦啊，和生化危机差不多，而且只能步行过去，车辆的话交通管制，没法打车。怕人多的建议选择其他码头尝试。,IP属地:西藏,,,,,重庆两江游差评
风雨无阻,2分,一般,景色5,趣味3,性价比3,性价比太差,IP属地:四川,,,,,重庆两江游差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,骗人的！千万不要买！我坐上船了结果只能在三楼的VIP包厢，最好的四层的船头VIP要额外交八十块升舱，注意是任何乘客都可以直接在那里交八十升舱，也有水果小吃。这个VIP就是骗人的！,IP属地:重庆,,,,,重庆两江游差评
