user_detail_name,text,text 2,text 3,text 4,text 5,content_wrap,iplocation,,,,,attraction_name
斯卡堡,5分,超棒,景色5,趣味5,性价比5,重庆动物园里有很多动物，有熊猫馆、猩猩馆、两栖爬行馆，金鱼馆、非洲狮馆、河马馆、豹馆、大象馆、长颈鹿馆、羚羊馆等，除此之外还设有涉禽馆、水禽湖等，里面的动物很多，适合带小朋友过去，还有游乐场，可以带孩子来快乐度假。,,,,,,重庆动物园好评
顺时针1986,5分,超棒,景色5,趣味5,性价比5,"重庆动物园在重庆主城区九龙坡区杨家坪，是我去的第一个动物园了，轻轨2号线动物园站就在动物园门口，前往非常方便。门票25元，网上购票后刷身份证进入，现场不卖票，记得很小的时候来这里门票才2元。

重庆动物园地处浅丘，山峦绵亘起伏，浅壑蜿蜒曲折，青山绿水，平湖驳岸，自然风光清新绮丽。园内古树名木繁茂，植物种类繁多，动物园中心是个人工湖和水上乐园，动物馆就这样沿湖分布，因此这里既是一个动物园，又可以当作一个大型公园，一个科普基地，花一个下午的时间在里面清流泛舟、感受大自然其乐无穷真的很惬意。但是动物园里的游乐设施收费较贵，可玩性的少，设施陈旧。

园子的动物是真的蛮多的，游览的时候结合下门票上的地图，看着地图走免得走绕了，当然很多人都是奔着熊猫去看的，一进入动物园第一个区域就是大熊猫的活动场所，无遮拦的开放，游客也不少，四五只大熊猫在一起嬉戏，一点不亚于在成都大熊猫基地看熊猫哦，值得发呆几个小时的欣赏。

我是顺时针，一个爱旅行爱摄影爱打卡的大龄青年，旅行已是我生命中的必修课，是我生活不可或缺的一部分，我爱随性随意的随拍，也爱分享我的旅程心得和体验，如果你觉得我的笔记有帮助到你，请随手给个赞鼓励哦。",,,,,,重庆动物园好评
天下的无双,5分,超棒,景色5,趣味5,性价比5,"重庆动物园简单点评一下吧
1、建议老大门进（好停车）
2、带小孩可以直接先到金鱼馆、然后河马、看完之后爬坡看熊猫、仔上坡看大象斑马长劲鹿、看完之后直走看老虎、熊、狮子。基本动物就到此为止。
3、看完走几步就可以喂鱼、划船、吼喷泉。
4、完了之后儿童乐园小火车、激流勇进等
5、完了就可以出大门回家了。整个流程5小时左右",,,,,,重庆动物园好评
吃饭就叫我,5分,超棒,景色4,趣味5,性价比5,门票很便宜！比长沙野生动物园便宜多了！！！而且地方大，在动物园里性价比绝对是最高的。不过，绝对不要中午去！绝对不要中午去！绝对不要中午去！首先，会热得你受不了；其次，动物们要么睡了，也没什么精神，所以你看不到什么东西。,,,,,,重庆动物园好评
冰原之狼,5分,超棒,景色5,趣味5,性价比5,记不住这是第几次去重庆动物园啦，有时间就会跑去逛一下，难得的在市区里而且还很便宜的动物园，种类还算齐全但动物笼舍丰容很差，动物福利很恼火，靠近鸟语林这边很多的笼舍都超市昏暗窄小，新修的猫科和熊舍，里面的北极狐都要晒死了…虽然不知道为什么把它关在那里,,,,,,重庆动物园好评
M22****7766,5分,超棒,景色5,趣味5,性价比4,这种天气去动物园棒棒哒，动物们都出来晒太阳啦[太阳]今天看到的动物种类很齐全。中途又被吸引过去划船、奶瓶喂鱼、还有游乐园，当然，带水枪玩是对付三岁拓拓“索抱”的神器。自带水果、面包、白开水依然很有用。,,,,,,重庆动物园好评
Tapirsun,5分,超棒,景色5,趣味5,性价比5,国内猫科第一动物园（无论物种的华丽程度还是展区的水平都是国内一流）：有全国动物园仅存的四只云豹中的两只（另两只在台北动物园），还有全球动物园豢养总数仅50余只的亚洲金猫。就连在其他动物园被忽视的豹猫，在重动的展区都属一流。花豹和美洲豹展区之壮观，居国际前列。除猫科外，国内动物园罕见的豺也享受一座高大展区。此外还有纯种的北白颊长臂猿、来自西非的邬氏长尾猴、来自巴西的紫蓝金刚鹦鹉等稀有物种。,,,,,,重庆动物园好评
冰原之狼,5分,超棒,景色4,趣味4,性价比5,感觉非常适合家长带着小朋友去，对于那种想看熊猫但又经济紧张的人来说，重庆动物园的熊猫数量和大熊猫繁育基地没法比，但足够碾压全国大多数的动物园了～动物数量算不上多，虽然很多珍惜品种并没有，咱种类还是很齐全的，在市区中有这么一个交通方便的动物园，可以说是重庆人民的幸运，边上就是地铁二号线～熊猫、大象、长颈鹿、狮子、老虎、猴子、猩猩……孩子们应该是很喜欢这种地方的，门票价格真心不贵，孩子们要么免票要么半价，旺季的全价票也不过40元。但缺点也是有的，比如很多动物的生存环境令人堪忧，百鸟林什么的设施老化残破，已经不能承担任务了，鹦鹉表演的商业色彩也太浓了，但是的确是免费的呢～话说早上晚上很多大爷大妈在晨练，和动物的环境还是很和谐的,,,,,,重庆动物园好评
睡眼朦胧,5分,超棒,景色5,趣味5,性价比5,我是杨家坪的人，我想说的是，比永川那个野生动物园好很多，第一，性价比真的不是一般景区能比，可以说是最低的景区，票价才20旺季才30，你在那里找这个价格？还有现在里面基本上不会另外收费了？除了吃饭，喂动物，儿童游玩等。第二有人说环境，我只能说都差不多，有动物的地方都那样。第三，里面动物齐全，科普很重要，包括后来修的恐龙园，里面评论居然还有人说动物不全的，我也是醉了。可能他都没有见过山魈，这个居然有人说是山葵，自己知识不够还怪别人。第四，交通超方便，轻轨2号线，很多路公交车都到那里。最后不好的地方就是，动物园这么大的地方，搞租电瓶车这些啊！（不会找钱）永川那个野生动物园电瓶车都要120一个小时，哎！看来还是动物园良心，里面东西都不是很贵。注意看仔细了，你会发现动物园里面的动物种类真的很多，比那些所谓的地方好很多切良心！对了，动物园开始在修企鹅馆了，地方在原来火烈鸟的地方。精彩等你们自己去发现。不托，30年杨家坪人，它代表我的童年，陪我一起长达，希望它一直好下去！,,,,,,重庆动物园好评
_CFT01****4760751,5分,超棒,景色5,趣味5,性价比5,可爱的熊猫，憨憨的大象，蹦跶的斑马，懒懒的羊驼，羞羞的袋鼠，荡秋千的猴子，小憩的狮子和老虎，温顺的长颈鹿，各种说不出名字的羚羊，各种恐怖的蛇宝宝，蜥蜴，乌龟，金鱼，猩猩，犀牛......让你置身于动物乐园，放松着，享受着和小动物们的浪漫的邂逅！,,,,,,重庆动物园好评
