user_detail_name,text,text 2,text 3,text 4,text 5,content_wrap,iplocation,,,,,attraction_name
匿名用户,2分,一般,景色3,趣味3,性价比2,人太多了。虫洞集市挺好的，东西很多，里面吃的卖得也很便宜，和外面没差太多，但是人太多了，比较吵，也有爱乱扔垃圾的，对动物健康造成隐患，园方在这方面努力太少了。,IP属地:浙江,,,,,重庆动物园差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,不值得去，去了一定后悔,IP属地:安徽,,,,,重庆动物园差评
M33****1636,1分,不佳,景色5,趣味3,性价比1,差评，差评差评,IP属地:重庆,,,,,重庆动物园差评
M33****1636,1分,不佳,景色5,趣味3,性价比1,服务是我去过所有动物园最差的，太不人性化了,IP属地:重庆,,,,,重庆动物园差评
Bang -,2分,一般,景色2,趣味2,性价比2,工作人员态度差 很不耐烦 里面最多的动物就是猴子 各种各样的猴子,IP属地:四川,,,,,重庆动物园差评
归零跨越,1分,不佳,景色4,趣味2,性价比2,这个套票不要买！很无聊！游乐场几乎没人玩，碰碰车也是没人玩，服务人员态度还极差！动物园玩玩就可以了！私人承包的小游乐场真心差！,IP属地:重庆,,,,,重庆动物园差评
匿名用户,1分,不佳,,,,"去重庆动物园的可怕体验。那里的所有动物都很瘦,那里的环境维护不好。整体体验不好,不建议去。那里的动物种类繁多,但每只动物的数量有限。他们看起来都很累和困倦。",IP属地:未知,,,,,重庆动物园差评
M51****3706,2分,一般,景色2,趣味2,性价比2,一般吧，反正去了一次就不想去第二次了，没有什么好看的！天气热的不行，还下着倾盆大雨，人还特别多，体验感不好！,IP属地:黑龙江,,,,,重庆动物园差评
_WeCh****637409,2分,一般,景色2,趣味1,性价比1,动物少，全是爬山，脚都走麻了….,IP属地:重庆,,,,,重庆动物园差评
_WeCh****909367,1分,不佳,景色1,趣味1,性价比1,门口检票的大姐服务态度极差，非常差，第一次来重庆，被这个大姐搞得一点心情都没了,IP属地:北京,,,,,重庆动物园差评
