user_detail_name,text,text 2,text 3,text 4,text 5,content_wrap,,,,,,attraction_name
意喬,5分,超棒,景色5,趣味5,性价比5,平日中午從南岸搭乘，基本沒排到隊。車廂裡人多但不至於擁擠，景色還是挺美的。當地人說以前是交通工具，一次才一塊八，現在變成觀光用途一次20，他也很多年沒搭乘過了。,,,,,,长江索道好评
穿白衬衣的薄荷星,5分,超棒,景色5,趣味5,性价比5,"长江索道｜重庆必体验的魔幻交通｜俯瞰山城

长江索道是重庆现存仅有的一条跨江索道，被誉为“万里长江第一条空中走廊”和“山城空中公共汽车”。长江索道已成为重庆的一张“城市名片”，来重庆一定要来体验，这里是最能体现重庆“立体交通”与“山城外型符号”的景点之一。

??现场扫码买票很方便，往返30rmb。
??开放时间：7:30-22:30。
??索道有两个站台，解放碑附近的是新华路索道站，可以从解放碑去南山观景台。山顶的是上新街索道站，从南山观景台回解放碑。推荐从下往上坐，可以去看南山观景台看夜景。
??
1、拍照的话推荐在山顶，因为出口处有个观景台可以俯拍索道，还可以拍人和索道的合影。
2、坐索道的时候可以拍对面来的索道，但是不太好拍，玻璃遮挡很严重。
3、另一个拍摄的绝佳机位是白象居，可以看到索道从两座高楼之间穿过，但是时间很短，得快速抓拍。",,,,,,长江索道好评
金帅276,5分,超棒,景色5,趣味5,性价比5,"如果说重庆哪里还能找到小时候的年代感，大约重庆的长江索道，算是最有代表性的。因其索道还保留着旧时的箱体，所以坐在里面，让人恍如回到小时候的感觉。在号称内地小香港的高楼林立、繁花似锦的重庆，长江索道绝对算得上是一股清流！
重庆长江索道被誉为“万里长江第一条空中走廊”和“山城空中公共汽车”，现在它不单单只是一个渡江的交通工具，俨然已经成为了重庆的一个新标志和打卡圣地，这里每天都有游客络绎不绝的前来排队乘坐。

从上新街站乘坐，这里的出口有一个平台，刚好是一个很不错的取景地，有兴趣的可以在这里拍拍照。因游客很多，一般都要经过较长时间的排队，才能进入缆车。随着一下不太剧烈的晃动，缆车缓缓的前进，行进中还是挺平稳的，丝毫没有那种在高空中的晃动，车厢里的人们一个一个都很兴奋，有的议论、有的拍照、有的自顾自的笑着。
 
因为是双向缆车，一般会看到从对岸缓缓运行而来的缆车，两个缆车最终相遇时，有种独特的感觉。继续前行，缆车很快就跨过长江俯瞰滨江路、湖广会馆以及北岸一栋栋高低错落的楼宇，最终安全抵达新华路站。
长江索道是中国自行设计制造的大型跨江客运索道，全长1166米，连通重庆的渝中区和南岸区，往返于渝中区的新华路（轨道交通小什字站）和南岸区的上新街，速度6米/秒，运行时间4分钟，日运客量1.05万人次。

可以选择买来回票，下午五点钟出发，这样晚上回来可以顺道把重庆夜景看看。

长江索道还是很值得体验一下，置身于嘉陵江中间看两岸的景色感觉真的很震撼！",,,,,,长江索道好评
巴渝,5分,超棒,景色5,趣味5,性价比5,重庆长江索道是体验长江两岸风景地貌的极佳旅游选择项目，尤其是夜景中的长江索道，诱惑人的彩虹色的灯光在长江南北两岸打照，对岸的重庆南岸区万家灯火，而位于南岸区的著名的南山一棵树景点，可以直接观看到渝中区的风景夜色。长江索道为重庆热门游玩景点，夜景游玩时可以网络购票现场取票更加适宜。,,,,,,长江索道好评
磊谭,5分,超棒,景色5,趣味5,性价比5,"永远都拍不腻也坐不伤的长江索道，还记得33年前，那个时候的我只知道这个玩意儿是爸妈上下班大多数都要乘坐的交通工具，那个时候不像现在的桥那么多，那么大，想要过江走访，上班…除了马路上的公交汽车那么就是坐船了，但显然长江索道是很科学的，而且在当时起了多么大的作用。这两辆“空中公交车”承载了多少人的岁月，多少人的故事，我记得在前2年几乎快面临“退休”的它在城市迅速发展，互联网，旅游行业迅速膨胀的时期，它又得焕然一新，蓄势待发的“上岗”了，重庆是一座山城，城在山里，山在城里，在密度高，落地差大，人口大的城市一角落，它每天来回的穿梭在江面上，承运着无数的人，有四面八方的游客，有慢慢老去的重庆人………很自豪，也有一些感伤，希望它一直都在，也希望“他们”也一直都在！

游玩攻略:索道分为南站（南岸区上新街站）和北站（渝中区解放碑小十字），由于大部分的游客选择酒店在解放碑，那么北站的来回排队情况就很大，相反南站的排队就不会显得那么紧张，如果有条件我建议过东水门大桥去南站乘坐，因为你们在车厢内看到的，拍摄到的都一样，至于是否选择往返根据自己需求来定。车厢内尽量选择在4个角落或者窗户边稍微拍摄效果更好。但是最后能否进入那个位置，就看运气了哈。
南站附近游玩点:1龙门浩老街2长嘉汇观景台3南滨路烟雨公园4慈云寺5南山一棵树6南山大金鹰观景台7南山壹华里夜景公园7黄桷古道老街等
北站附近游玩点:1解放碑“筷子楼”2洪崖洞3重庆大剧院4民国茶馆5通远门老城门6重庆“天空之镜”等

Ps：购票建议直接网络购票，关注重庆索道公司按照需求流程购买，现场也可以购买（现金）。强力建议网络购票，因为旺季可以优先排队，超过时间了不影响排队号段！

交通:自驾导航南北站即可（优先推荐南站上车北站出）

附近美食推荐:其实我不太喜欢推荐美食，哪怕有很厉害的，但每个人的味蕾不一样，我喜欢的不一定是你们喜欢的，我随便说2个吧。南站:1水产内行火锅（本地人牛逼克拉斯强力绝壁推荐的，哈哈哈）2九九米线，女生可以试一下哈，江湖称“脚臭米线”3四娃面庄，地地道道的重庆小面逼格，可以单独点1两哟。北站:那些啥子网红人气我就不推荐了，1魔兽饺子，老字号了，还是阔以，味道儿你们说了算2李记串串，这个嘛太多了，去那个日月光广场背后再小巷里面那家阔以。3梯坎面庄，棉花街的一家炒饭馆，牛逼的很，味道不得鸟，关键还是平民价格哈",,,,,,长江索道好评
囧囧有神5685,5分,超棒,景色5,趣味5,性价比5,重庆长江索道已经运行三十余年，被誉为“万里长江第一条空中走廊”和“山城空中公共汽车”。长江索道是中国自行设计制造的大型跨江客运索道，全长1166米，连通重庆的渝中区和南岸区，往返于渝中区和南岸区，长江索道已成为重庆的一张“城市名片”，更成为众多导演镜头下的“宠儿”。因此，在重庆拍摄的很多影视作品、电视真人秀节目中，长江索道都是必选的拍摄地。到重庆旅游期间，可以乘坐长江索道飞渡大江，在空中欣赏著名的重庆夜景，感觉很棒。唯一的缺点：排队时间太长了！！！,,,,,,长江索道好评
独步悠然311,5分,超棒,景色5,趣味5,性价比5,"搭乘长江索道赏夜景，短暂的中转停留一晚也不错嘛

长江索道对于重庆人来说，只能说是一种交通工具，不过对于游客来说，这是一个值得体验的游览项目。

交通
索道有两个站，新华路索道站和上新街索道站。一般游客都住在新华路这边，坐地铁1、6号线到小什字站下车，5A或5B出口都是新华路索道站；
解放碑到长江索道，步行10分钟左右，105公交也可以到达
门票
单程20元（刷重庆交通卡1.8元，一人一卡），往返30元，无学生票；还可网上订票，但会有使用时间限制，预订前请注意安排行程。周末及节假日持交通卡乘坐，刷重庆交通卡只能享受九折优惠，即每人每次18元。
开放时间
7:00-22:00（会定期检修不开放，天气不好也会停开）",,,,,,长江索道好评
伊來,5分,超棒,景色5,趣味5,性价比4,"重庆面朝大江背靠群山，坦荡平整的路面少之又少，没有现代交通的年景，上山之路诞生了吃苦力饭的棒棒军。而这渡江之法，便是无限智慧之所聚的索道了。

重庆索道在早些年，是通勤族必不可少的交通工具，历史地位好比北京地铁一号线，只论重要性和老百姓对它的依赖程度，只怕比一号线还重要的多。

某人对重庆的贡献可不止治安一项，力排众议凿墙穿楼急速实施，让重庆地铁的线路条数领先全国大部分二线城市了，由于逆天而行，这里的很多地铁站也诞生了奇观魔幻的俊景。

地铁发达后，索道的运输属性慢慢减弱，发展到今天，基本属于纯观光游乐设施了。索道运行时间很长，跟重庆这座城市一样--不睡觉！晚上走在长江边上抬头遥望，索道明亮闪耀如月球车般划过长空～",,,,,,长江索道好评
West星辰,5分,超棒,景色5,趣味5,性价比5,第一次坐重庆的长江索道，长江索道在重庆也算是一种公共交通工具，在重庆市民心中长江索道代表着一种情怀。当时去的时候长江索道在维护，所以只好第二天再去，索道的票价是20块单程，30块钱往返，建议第一次坐的人可以买往返的票，索道运行时间到晚上十点半，可以在白天坐着索道出去玩，晚上再坐回来。晚上乘坐索道的话特别有感觉，可以在高空中看重庆的江景还有城市的夜景，在索道到达终点后还可以在下索道的观景台上拍照。另外在索道的前后两排是观景的最佳位置，只不过要站到前后两排需要看你的运气～不管怎么样，体验一次长江索道都不会让你留下遗憾。,,,,,,长江索道好评
格兰1013,5分,超棒,景色5,趣味4,性价比5,"重庆长江索道起于渝中区长安寺，横跨长江至南岸上新街，全长1166米。有万里长江第一条空中走廊和“山城空中公共汽车”的美誉。
不少影视剧都有长江索道取景，熟悉的有不少《周渔的火车》、《疯狂的石头》、《好奇害死猫》等。
开放时间7:00~22:00,单程票价20元，往返程30元。没有学生票优惠哦，建议现场购票。之前在网上买的有取票时间限制不太方便。
我们是从新华路的入口排队买票进入的，一大早就已经不少游客在排队了。高温天气，景区的工作人员为排队的人群派送凉茶，还有水雾降温，很贴心。
经过大概1小时左右的排队，终于进入“大铁箱”里，抓紧拉手开启从彼岸到彼岸的渝城飞渡。低头看看长江就在自己脚下数十米，滚滚江水向东流去，感觉货船都是漂在江面上的小舟，一向恐高的我竟然没有心惊胆战
买的往返程票，运气很好看到两重景致:从新华路飘渡到彼岸高楼林立清晰可见，江景尽收眼底。从龙门浩到此岸山城清雾弥散，朦胧中的江景又是一番景致……
感受“立体重庆”从此岸到彼岸我用了4分钟，你用了多久？",,,,,,长江索道好评
