user_detail_name,text,text 2,text 3,text 4,text 5,content_wrap,iplocation,,,,,attraction_name
_WeCh****768592,1分,不佳,景色1,趣味1,性价比1,不去了还不退我钱,IP属地:重庆,,,,,长江索道差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,没票只能买套票，结果去了才知道在三个地方，??让人怎去！！！??,IP属地:陕西,,,,,长江索道差评
西部老鬼,1分,不佳,景色1,趣味1,性价比1,人多还不能退订，被强消了。,IP属地:湖南,,,,,长江索道差评
M54****5738,1分,不佳,景色5,趣味5,性价比1,商家很坑，不建议购买,IP属地:四川,,,,,长江索道差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,都是人都是人 排太久了 其實在岸邊拍一下就好了 沒必要湊熱鬧,IP属地:重庆,,,,,长江索道差评
Josie 葶葶,1分,不佳,景色1,趣味1,性价比3,"不建议乘坐，一个轿厢要容纳30人，在中间的游客根本看不到啥风景，只有在顺索道行驶方向的游客才能看到和体验到。只感受到拥挤，整个索道的速度大约2分钟就到达了。
网上购票后，记得去微信预约排队号，否则又是1个多小时的等待，起点解放碑，终点索道下来，是龙门浩，没啥看头",IP属地:上海,,,,,长江索道差评
M22****6572,1分,不佳,景色1,趣味1,性价比1,我还没有坐就退不了,IP属地:重庆,,,,,长江索道差评
M45****1100,1分,不佳,景色1,趣味1,性价比1,排队要很长时间，然后进到车厢上边人很多很挤，什么都看不到，并且整个车程只有几分钟很短，最重要的是我的订单里的耳机我根本没有拿到,IP属地:重庆,,,,,长江索道差评
旅游解解馋,2分,一般,景色2,趣味2,性价比2,节假日排队时间太离谱，没意思,IP属地:重庆,,,,,长江索道差评
Chanté Devnarain,1分,不佳,,,,"我们预订了上午8点 - 18:30pm的门票,但仍然需要等待5个小时 - 我们的时间只有20:48pm。假期期间非常繁忙,等待时间很荒谬。",IP属地:未知,,,,,长江索道差评
M96****11,2分,一般,景色2,趣味2,性价比2,排队时间太长，秩序差,IP属地:四川,,,,,长江索道差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,人挤人，三点去九点才能上索道。 另外云端之眼多半是大雾天气，看不到啥。,IP属地:重庆,,,,,长江索道差评
匿名用户,1分,不佳,景色2,趣味1,性价比1,等待时间太长，预约规则太不合理,IP属地:重庆,,,,,长江索道差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,强买强卖，退订规则在买的时候写的小的很，然后没时间去坐了，就开始说只能当天早上7点退了，官方都能退，携程不行，真是没生意做了，辣鸡平台,IP属地:重庆,,,,,长江索道差评
M42****2368,1分,不佳,景色1,趣味1,性价比1,太差劲了，再不来了,IP属地:重庆,,,,,长江索道差评
M41****6104,1分,不佳,景色1,趣味1,性价比1,人太多坐不上，过时间不能退了。,IP属地:重庆,,,,,长江索道差评
118****353,1分,不佳,景色1,趣味1,性价比1,"取票后才知道自己号，5点左右拿的票，验票口告知差不多要等到10点才会轮到，平台不支持退票！
还不如现成买票，起码知道情况后考虑是否等！",IP属地:重庆,,,,,长江索道差评
M51****684,1分,不佳,景色1,趣味1,性价比1,携程套路卖票，服务太差。,IP属地:重庆,,,,,长江索道差评
骄子,1分,不佳,景色2,趣味2,性价比2,排队等了3个小时，没用还不支持退,IP属地:重庆,,,,,长江索道差评
M73****8916,1分,不佳,景色1,趣味1,性价比1,无法退票，人很多强制消费,IP属地:四川,,,,,长江索道差评
M24****4977,1分,不佳,景色1,趣味1,性价比2,无趣，还排队，看不到啥！,IP属地:重庆,,,,,长江索道差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,买的联票只能用长江索道，电梯用不了，工作人员让我问携程，携程工作人员让现场问，推来推去的，不建议买联票，长江索道现场有很多票的，不用网上预约,IP属地:重庆,,,,,长江索道差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,最坑人的项目，需要排队两个小时，还不能退票，,IP属地:重庆,,,,,长江索道差评
Nina,1分,不佳,景色1,趣味1,性价比1,过了时间没赶上，不给退票,IP属地:山东,,,,,长江索道差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,耳机根本没有领到,IP属地:重庆,,,,,长江索道差评
冰激林1981,2分,一般,景色3,趣味3,性价比3,一般般，体验不强,IP属地:重庆,,,,,长江索道差评
M27****8080,2分,一般,景色3,趣味2,性价比2,就这样吧.,IP属地:浙江,,,,,长江索道差评
186****0166,1分,不佳,景色3,趣味3,性价比1,排队一小时过江三分钟，还不支持部分退票！,IP属地:重庆,,,,,长江索道差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,不会退票的,IP属地:山东,,,,,长江索道差评
M18****679,1分,不佳,景色1,趣味1,性价比1,不能退，垃圾，现场单程15,IP属地:重庆,,,,,长江索道差评
M27****5151,1分,不佳,景色1,趣味1,性价比1,游卡当天因故未能乘坐索道缆车 限定7：00前取消预约可全额退款 之后退票全额扣费 一分钱不退 差评 从外地游客不确定因素太多的角度考虑考虑吧,IP属地:北京,,,,,长江索道差评
_WeCh****580641,2分,一般,景色2,趣味2,性价比2,人巨多没坐上,IP属地:天津,,,,,长江索道差评
M29****6341,1分,不佳,景色1,趣味1,性价比1,下雨天还不能退票，差评,IP属地:重庆,,,,,长江索道差评
M25****4830,1分,不佳,景色1,趣味1,性价比1,不支持退票,IP属地:重庆,,,,,长江索道差评
M35****9481,1分,不佳,景色1,趣味1,性价比1,单买长江索道就行了，魔幻三杰谁买谁**，我是**,IP属地:重庆,,,,,长江索道差评
语晗小姐姐,1分,不佳,景色1,趣味1,性价比1,谁去谁2，排队很不科学，站了两个小时，被挤在里面，走也不是，不走也不是。缆车里面很拥挤，如果有一个狐臭的，简直爆炸，3分钟左右的时间，如果你不是在玻璃附近，就只能看别人的脑袋，真的没意义。,IP属地:重庆,,,,,长江索道差评
M52****8126,1分,不佳,景色1,趣味1,性价比2,差得不要不要,IP属地:四川,,,,,长江索道差评
爱睡觉的狐狸莫莫,1分,不佳,景色3,趣味1,性价比4,这是我体验最不好的一处景点，坐了一个寂寞,IP属地:北京,,,,,长江索道差评
益达不达益,1分,不佳,景色4,趣味1,性价比1,再也不会坐了垃圾东西啥也看不到不装满了还不出发,IP属地:四川,,,,,长江索道差评
_WeCh****672566,1分,不佳,景色1,趣味1,性价比1,根本没上去，太多人了，排不到队,IP属地:广东,,,,,长江索道差评
省市监,1分,不佳,景色1,趣味1,性价比1,排队长。景色一般。不如在下面看,IP属地:浙江,,,,,长江索道差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,不好，还得排号预约，买完了没看，太晚了。不开心,IP属地:重庆,,,,,长江索道差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,太差了，携程上订票看不了排队的人，必须要去现场才能看见，不方便，提前去了4个小时。买票的时候也没有说到现场还需要排号而不是排队。太差了，体验感不好,IP属地:重庆,,,,,长江索道差评
M20****142,1分,不佳,景色1,趣味1,性价比1,体验感非常一般，关键是耳机套装完全没有必要，但是只能在携程上买到这种套票。很垃圾。预估时间很不准，晚上的时候预估要到1点50多，由于未及时刷新，吃个饭就过号了。重新领号后又预估6点多，就是因为一直刷新发现提前到了4点多，4点多到在门口等到6点多钟才上索道，周围又没有开灯，又看不清楚，人又多，感觉太没意思了。,IP属地:重庆,,,,,长江索道差评
CQ1236,1分,不佳,景色5,趣味5,性价比3,上午10点到的要排到下午4点，订票当日7点之后就不能退，没用也不能退，差评的规矩,IP属地:重庆,,,,,长江索道差评
光明,2分,一般,景色2,趣味1,性价比1,自己买20块，用携程买贵了5元，还要多等2个多小时，长江索道门口就可以自己买票很方便，这个景点完全不推荐用携程,IP属地:重庆,,,,,长江索道差评
M49****1013,1分,不佳,景色1,趣味1,性价比1,排队3小时，看1分钟，还轮不到个好位置，***,IP属地:重庆,,,,,长江索道差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,差差差差差差,IP属地:江西,,,,,长江索道差评
匿名用户,1分,不佳,景色3,趣味3,性价比1,听劝，别去！ 踩坑了。 其实就是个过江工具，没啥观赏性，在江边看着它飘来飘去还更好看。因为：1. 20多30人同时挤在一个连座位都没有的小箱子里，你觉得中间的人除了人头，还能看到什么？ 2.缆车的玻璃看起来没20年也有10年没擦过了，脏兮兮的，站外围的乘客其实也是啥都看不清！ 3.接近40度的大热天，居然连个空调都没有，就把人装进铁皮箱子里！,IP属地:广东,,,,,长江索道差评
青山大侠客,1分,不佳,景色5,趣味3,性价比1,被坑了，排队到门口才知道耳机要在前台取，懒得再回头，而且基本没人要耳机，携程这个捆绑消费太差,IP属地:广东,,,,,长江索道差评
爱玩爱耍,1分,不佳,景色1,趣味1,性价比1,太差劲，没意思，没空调没风扇，热死人的节奏！还有单天没多少人，20的还买不到了，只能加10块买有耳机的，总之就是大亏大冤种！,IP属地:重庆,,,,,长江索道差评
专科代表,1分,不佳,景色1,趣味1,性价比1,太热啦！一车五味杂陈！！！,IP属地:湖南,,,,,长江索道差评
M51****0542,1分,不佳,景色1,趣味1,性价比1,人多景差温度高,IP属地:江苏,,,,,长江索道差评
M43****0802,1分,不佳,景色1,趣味1,性价比1,人挤人，个人觉得这就是通勤用的，等了两个小时，并且没什么好看,IP属地:广东,,,,,长江索道差评
匿名用户,2分,一般,景色1,趣味1,性价比2,虽然去的早没有排队很长时间，但是景色很不好，体验感超级差，就几分钟的时间，感觉还不如景区的索道。,IP属地:陕西,,,,,长江索道差评
_M15****1225,2分,一般,景色3,趣味3,性价比3,大家实在没必要排队坐这个索道。地铁过江完全可替代,IP属地:辽宁,,,,,长江索道差评
yuanyuanAFF,1分,不佳,景色1,趣味1,性价比1,平心而论，长江索道，真心不值得去玩，排队两个小时，索道游览2分钟。,IP属地:安徽,,,,,长江索道差评
薛晓菲,1分,不佳,景色1,趣味1,性价比1,现场不能使用，需要在长江隧道APP购买排号，千万不要在携程购买，不能用还不给退，差评，体验感特别差,IP属地:重庆,,,,,长江索道差评
小布同学^,2分,一般,景色2,趣味1,性价比2,体验很差，与想的不一样。好多人挤一个框框，啥也看不到，还热，,IP属地:陕西,,,,,长江索道差评
