user_detail_name,text,text 2,text 3,text 4,text 5,content_wrap,iplocation,,,,,attraction_name
匿名用户,1分,不佳,景色1,趣味1,性价比3,绝对不值198元的水族馆,IP属地:海南,,,,,三亚亚特兰蒂斯失落的空间水族馆差评
M24****7132,1分,不佳,景色3,趣味1,性价比1,不值票价啊,IP属地:海南,,,,,三亚亚特兰蒂斯失落的空间水族馆差评
Amanda然,1分,不佳,景色1,趣味1,性价比1,超级烂的水族馆，特别小，根本不值这个门票，不推荐不推荐,IP属地:海南,,,,,三亚亚特兰蒂斯失落的空间水族馆差评
M37****901,1分,不佳,景色3,趣味3,性价比1,C秀不推荐，大家避雷，就大屏幕看,IP属地:内蒙古,,,,,三亚亚特兰蒂斯失落的空间水族馆差评
_WeCh****261442,1分,不佳,景色1,趣味1,性价比1,一次管够，骗人的,IP属地:四川,,,,,三亚亚特兰蒂斯失落的空间水族馆差评
M56****836,1分,不佳,景色1,趣味1,性价比1,不值得去的,IP属地:四川,,,,,三亚亚特兰蒂斯失落的空间水族馆差评
M46****6465,1分,不佳,景色1,趣味1,性价比1,不好，体验感超差，去过这么多水族馆，没有一个水族馆没有演出的，这个水族馆就是看鱼，啥演出没有，服了,IP属地:海南,,,,,三亚亚特兰蒂斯失落的空间水族馆差评
M32****9457,1分,不佳,景色1,趣味1,性价比1,非常没必要来！！花了452买了两张票，没有学生票不说，计划安排了半天的行程，结果进去小得可怜，就是在一个商场里隔起来的，几分钟就能逛完的景点。大大小小景区没少去，却从没遇到过如此坑人的景点。希望我的遭遇能拯救其他想过来的人。如果想看水族馆，去其他城市吧，一定避雷三亚的亚特兰蒂斯。,IP属地:海南,,,,,三亚亚特兰蒂斯失落的空间水族馆差评
帅哥哥的麻辣,1分,不佳,景色1,趣味1,性价比1,非常小，30分钟逛完，不值200多元,IP属地:海南,,,,,三亚亚特兰蒂斯失落的空间水族馆差评
张莉（美颜姿玉?? 星氧整形）,1分,不佳,景色1,趣味1,性价比1,非常小，非常小，这个票价完全可以去海洋馆了，没什么玩的，不值这个票价，10分钟差不多就逛完了，想来的朋友去酒店大堂看看吧，,IP属地:海南,,,,,三亚亚特兰蒂斯失落的空间水族馆差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,坑死了哈 小孩乱飞没人管 把池子里的海星都快撕碎了 一整个就是小屁孩游乐园 ******* 别去,IP属地:海南,,,,,三亚亚特兰蒂斯失落的空间水族馆差评
M40****790,1分,不佳,景色1,趣味1,性价比1,不值这个钱，太小，失望,IP属地:吉林,,,,,三亚亚特兰蒂斯失落的空间水族馆差评
Springstyle,1分,不佳,景色1,趣味1,性价比1,这地方太小了，鱼的种类很少，票价可真不低，就挂了个亚特兰蒂斯的名头，体验感真不行,IP属地:海南,,,,,三亚亚特兰蒂斯失落的空间水族馆差评
匿名用户,1分,不佳,景色3,趣味1,性价比1,不到半小时看完了，性价比最低的景点。只有两层，装修不错，但是面积很小，游客很多，孩子很吵，巨大的坑啊。这种劣质景点携程应该删除,IP属地:海南,,,,,三亚亚特兰蒂斯失落的空间水族馆差评
_CFT01****0549040,2分,一般,景色2,趣味2,性价比2,挺一般的，不值这个价格,IP属地:海南,,,,,三亚亚特兰蒂斯失落的空间水族馆差评
205****791,1分,不佳,景色1,趣味1,性价比1,真**差！一瓶水就卖18元，整合园区商业化太浓,IP属地:海南,,,,,三亚亚特兰蒂斯失落的空间水族馆差评
M31****9237,1分,不佳,景色1,趣味1,性价比1,很小，非常小，极小。不用半个小时就逛完了???????????????,IP属地:海南,,,,,三亚亚特兰蒂斯失落的空间水族馆差评
郭郭郭0909,2分,一般,景色2,趣味2,性价比2,水族馆特别小，感觉唯一的亮点就是俩条大白鲸了，c秀更是尬到极点了。,IP属地:内蒙古,,,,,三亚亚特兰蒂斯失落的空间水族馆差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,水族管极小，不值花这么多钱看。性价比差。服务人员差别大，有个一进门的男服务人员只顾推销看似消费高的人员。问其它的变脸不耐烦。而进水族管门口女服务员都热情有佳，让人心暖。总之，失落的水族馆是看后更失落。C秀还可以可看。,IP属地:北京,,,,,三亚亚特兰蒂斯失落的空间水族馆差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,坑坑坑坑坑，徒有其名，虚有其表，全是宣传,IP属地:四川,,,,,三亚亚特兰蒂斯失落的空间水族馆差评
300****734,2分,一般,景色3,趣味1,性价比1,如果不是住店的客人没必要去，住酒店太贵不如嘉佩乐一点，不推荐。,IP属地:河北,,,,,三亚亚特兰蒂斯失落的空间水族馆差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,不好非常不好,IP属地:海南,,,,,三亚亚特兰蒂斯失落的空间水族馆差评
匿名用户,2分,一般,景色4,趣味4,性价比2,别单独买很不划算 直接住酒店吧 或者酒店大堂附近就有 看看拍拍照得了 巨不值,IP属地:陕西,,,,,三亚亚特兰蒂斯失落的空间水族馆差评
baiyard,1分,不佳,景色1,趣味1,性价比1,千万别来，谁来谁后悔！啥都没有，在外面看看就行了,IP属地:海南,,,,,三亚亚特兰蒂斯失落的空间水族馆差评
M47****1716,2分,一般,景色3,趣味2,性价比2,跟菜市场一样！里面也很小！不值这个价！不会再去了！,IP属地:四川,,,,,三亚亚特兰蒂斯失落的空间水族馆差评
阿薛xxh,1分,不佳,景色1,趣味1,性价比1,不太值得花这么多钱来，挺拉的。,IP属地:海南,,,,,三亚亚特兰蒂斯失落的空间水族馆差评
_WeCh****58795,1分,不佳,景色2,趣味2,性价比2,完全不值得去，票价过高，226的票价可以说是三亚景点里比较高的了，水族馆很小，进去游览最多20分钟，体验感太差，最过分的是水上乐园的票还需要单独买。这个价位两项全含还差不多,IP属地:海南,,,,,三亚亚特兰蒂斯失落的空间水族馆差评
_WeCh****725310,2分,一般,景色3,趣味2,性价比1,水世界之前来过，挺好玩的，水族馆是真的小，就一个人鱼表演吸引人，看完觉得一般般，其他没什么海洋动物，单独买门票进去完全没有性价比可言，C秀就更一言难尽了，海洋动物最后就两个海豚跳几下，前面都是一些杂技，完全不如海昌里的表演，人家含门票都比他便宜，剧情还不如千古情，我们去的那场没什么人看压根,IP属地:上海,,,,,三亚亚特兰蒂斯失落的空间水族馆差评
