user_detail_name,text,text 2,text 3,text 4,text 5,content_wrap,iplocation,,,,,attraction_name
小鱼游游！,5分,超棒,景色5,趣味5,性价比5,带孩子来玩很合适，无论是刺激的，还是小小朋友能玩的，都能满足，如果选择住亚特兰蒂斯酒店，还能送门票，晚上水世界有大型水池烟火秀，非常棒！,IP属地:上海,,,,,三亚亚特兰蒂斯水世界好评
Arlenening,5分,超棒,景色5,趣味5,性价比5,亚特兰蒂斯水世界啊很适合带着小宝宝一起来，里边儿的项目有大人能玩的，有小朋友能玩的，啊，10分推荐激流勇进，是一个漂流的项目啊，三岁的小宝宝也可以玩儿，大人全程陪同基本上没有什么危险。下次还会再来光顾。,IP属地:海南,,,,,三亚亚特兰蒂斯水世界好评
zhang****1221,5分,超棒,景色5,趣味5,性价比5,带家人来水世界游玩，几乎所有项目都玩了一遍。孩子玩了六遍章鱼竞速，超级开心。鲨鱼穿越也很好玩，适合带着小孩子一起来玩！下次有机会还会再来！邹利玲服务很好，点赞??,IP属地:海南,,,,,三亚亚特兰蒂斯水世界好评
M51****3055,5分,超棒,景色5,趣味5,性价比5,非旺季到亚特兰蒂斯玩，性价比好高，水世界有很多项目玩，最喜欢潜水，跟水里的动物零距离接触。特别推荐一下肖强潜水教练，非负责任，有耐心，让第一次潜水的我留下了美好的回忆。,IP属地:广东,,,,,三亚亚特兰蒂斯水世界好评
夏吹夏夜风,5分,超棒,景色5,趣味5,性价比5,"亚特兰蒂斯水世界，占地20万平方米，拥有“海神之跃”、“放手一搏”、“飓风之眼”等一系列让人肾上腺素飙升的水上游乐项目。是度假玩水的不二之选，来三亚，一定要记得来这里！

亚特兰蒂斯水世界主要分为三个大的部分，分别是公主塔、海神塔和嬉水童趣及海洋帝国，除此之外还有漂流等好玩的项目，跟我一起畅游水世界吧～

1?放手一搏：让你在全封闭滑道中，随着脚踏板的突然打开而急速摇摆下坠，在自己的惊声尖叫中迅速落入水道，给你带来瞬间失重的强烈刺激感。

2?海神之跃：在大约25.1米高的起点纵身一跃，顺着近乎垂直的水滑道极速下落，最终以20.2米/秒的速度穿越透明的鲨鱼池隧道。

3?鲨鱼穿越：单人双人都可以玩，坐上皮筏，顺着水流而下，可以穿过一片鲨鱼的区域。

4?章鱼竞速：这个项目适合所有人，平躺在毯子上，自己运用自身重力往前挪，接下来就是顺流直下，直接滑向出口，看谁滑得远吧～

5?飓风之眼：飓风之眼”是多人项目，可以双人或四人一起游玩。过程中浮筏会以13米/秒的速度突然坠入到45°的隧道中，并冲向6层楼高的飓风之眼，体验瞬间失重的感觉。

6?怒海过山车：多人项目，先坐浮筏慢慢到高处，接着会顺着水流冲入管道，经过一系列管道和露天之间转换的爬升、滑落，浮筏最终掉入水池中，刺激但不吓人，我们玩了三遍。

7?海洋帝国/嬉水童趣：总共19条滑道，全部为人体滑道，即不需要取任何浮筏或泳圈。整个亚特兰蒂斯水世界最五彩斑斓的滑道就在这里。

8?极速漂流河：一条长达1.8公里的漂流河道，环绕整个水世界。

??门票：
入住亚特兰蒂斯酒店的客人可在入住期间可无限次免费畅玩亚特兰蒂斯水世界，如果是外面的游客，票价参考如下：
成人 358元/人；
儿童 258元/人；
老人 258元/人。

??运营时间
周一到周日：10:00–20:00

??必备装备
泳衣、泳镜、拖鞋、防晒霜、手机和防水套、浴巾。如果住酒店可以穿浴衣出来～",,,,,,三亚亚特兰蒂斯水世界好评
138****0703,5分,超棒,景色5,趣味5,性价比5,第一次去三亚玩的这么嗨皮，入住的酒店景色太美，虽然有一点小插曲，但是酒店的工作人员帮我们安排的很好，无论从哪个角度？白天或者是黑夜，都让人觉得非常壮观！每天早上的自助餐非常享受，可以吃到11点的自助早餐是我最喜欢的，棒棒哒！,,,,,,三亚亚特兰蒂斯水世界好评
拜尔宝贝,5分,超棒,景色5,趣味5,性价比5,"通票 一张门票里面项目无限玩
普通门票338一位，亚特兰蒂斯住客免费~用两天时间把所有项目都玩过啦
海神塔上的四个项目
【鲨鱼穿越】从相对平缓的滑道进入鲨鱼池隧道，以下项目的预热
【章鱼竞速】趴在一块瑜伽垫上一路从塔上的管子中冲到底下
【海神之跃】亚特兰蒂斯的招牌项目，海神塔24米高空一跃而下，下面从全是鲨鱼的水底玻璃管道中穿过
【放手一搏】另一个招牌项目，我觉得是全园惊险指数最高的，把你扔在一个小盒子里，不经意间，小盒子的地板突然被抽走，你就掉下去了！
公主塔上的四个项目
【骇浪骑士】冲下塔底，水扑扑往脸上打，有个上坡感觉船会飞起来
【连环小喇叭】弯贼多贼急，有个超级弯感觉船要飞出去了
【霹雳小喇叭】速度超快往下滑，可以睁开眼睛看，视觉体验超棒
【旋风大喇叭】从高台滑进一个大喇叭里，船飞起来之后又自由落体
【怒海过山车】有个轨道把双人船送到高处，然后就是无法言语的冲冲冲，水往脸上扑扑扑，心情还没缓过来之前就到底了
亲测【放手一搏】是最刺激的！大家玩得开心~
近视的朋友们一定要准备隐形眼镜。工作人员的安全意识非常高，我的泳裤上带的一个金属小商标，被工作人员提醒，为了其他的游客对游客和我自己的安全，在工作人员的协助下剪下来了。
关于吃饭，除了在酒店吃就去附近的海鲜店（林姐香味海鲜店）吃，除了这个还真找不到其他地方了，一路走下去就她家人最多，有专车免费接送服务，不过要提前打电话预约。喜欢玩项目的年轻人水世界真的是三亚行程必玩的。",,,,,,三亚亚特兰蒂斯水世界好评
妞圆圆,5分,超棒,景色5,趣味5,性价比5,"住在附近酒店过去十分方便 10点开园，17点停止入园，最好是开园就去玩的时间充足些，还有就是一定要注意防晒，化学防晒物理防晒都用上，三亚的天气你懂得~
手机防水袋要提前买，里面很贵，70块钱一个哦！ 泳衣、拖鞋需要自备，玩项目需要拖鞋的！经常会光脚走路，怕烫可以专门买袜子鞋，方便去玩耍！ 随身携带的东西太多的话可以租一个柜子，小的30元/个，大的50元/个，结束后在更衣室洗漱 

关于吃的园区实在太贵了，一瓶可乐18块钱，一根烤肠28块钱，建议自带干粮哦！玩够被朋友安利去吃海鲜，当地23年老字号的林姐香味海鲜店，想说真的很值！！！在海棠湾吃饭选择不多的情况下这家真的性价比太高了海鲜很新鲜现做现杀！特别推荐他家的香辣蟹、椒盐皮皮虾和蒜蓉开边龙虾，很好吃！她家还有免费接送服务 可以到水世界门口接~

关于水世界交通：
1、 公交车：海棠1号、33路、34路、35路，亚特兰蒂斯站下车，即可到达
2、 自驾：可沿海南东线环岛高速G98行驶至林旺出口，然后沿海棠北路行驶约十分钟到达;或在藤桥出口出高速，沿龙海路行驶至三亚国际免税 城向右继续行驶 3分钟到达
3、 出租车：由三亚凤凰国际机场/三亚市区/三亚火车站打车到达三亚?亚特兰蒂斯所需费用，在 100-150 元人民币左右",,,,,,三亚亚特兰蒂斯水世界好评
夏之愉悦,5分,超棒,景色5,趣味5,性价比5,"一早冲进去迅速玩了几个主要项目后开始老老实实进入排队状态，到了12点左右排队进入了顶峰（可能其它酒店的客人吃完早餐都过来了……）。在这里玩是胆量和臂力的挑战——“章鱼加速”啊、”小喇叭”啊都需要自己扛着救生圈或者垫子上楼，真的是把我给累趴了。章鱼加速很好玩，速度挺快的，一定要挺好工作人员的教程和指挥。

“海神之跃”其实还好啦，就是一个有机会穿过鲨鱼池的大滑梯，就是高了一点儿。玩这个随身不要携带手机、发夹之类的物品，最好留在下面的朋友这里，不然就要留在楼上，玩好后再跑上楼拿东西。


骑士和大喇叭都需要四个人一起玩，我们那天运气好，三个人碰到了一个工作人员看到我们这边两个小孩子，他的时间刚好可以配合，陪我们玩了一次。之后白天玩工作人员忙碌的时候、很多三口之家都因为需要凑人数而等待；

很多人喜欢排队大喇叭，但是我们更喜欢玩骑士和旁边的一个小喇叭；大喇叭的优势在于进入大喇叭左右晃动时候可以看到帆船建筑，在蓝天下景色很美，但是骑士其实更为刺激。

旁边的过山车也是小朋友热爱的项目，好多人排队。因为住在酒店方便，第二天一开乐园小朋友就冲向了过山车，没有外面游客的时候，可以不排队连续玩两到三次。好快乐。玩过山车的注意事项是：每次往下冲后，过会儿水会从后脑勺拍过来，很多水，注意耳朵进水问题。


我们还耗了不少时间在水世界的大型儿童乐园，因为中午顶上几个滑滑梯是不开放的，要等到下午一点半两点这样，但是挺好玩，值得等一下。小孩子玩水时候，大人躺在旁边的沙滩椅上休息拍照，这个儿童乐园颜色挺显眼的，蓝蓝天空时不时有红色直升机飞过，很激动人心。

乐园里有提供餐饮，pizza个头还不小，但是酒店客人因为不限次数进出，也会选择出去吃点东西。

夜场玩漂流很开心，不晒，乐队、灯光秀把整个场地气氛拉到了最high点，烟花很美，从酒店房间看也很好看。",,,,,,三亚亚特兰蒂斯水世界好评
DADA马不停蹄,5分,超棒,景色5,趣味5,性价比5,"太刺激了！
【景色】站在金字塔顶的排队区俯瞰亚特兰蒂斯，
【趣味】金字塔这上面的放手一搏和纵情一跃是在没有勇气尝试，其他都还好，大喇叭小喇叭过山车那里都体验过了，园区里惊叫声一片一片此起彼伏！漂流只有周末才开放，不要错过！
【性价比】住店套餐里无限次畅玩",,,,,,三亚亚特兰蒂斯水世界好评
