user_detail_name,text,text 2,text 3,text 4,text 5,content_wrap,iplocation,,,,,attraction_name
M46****6465,1分,不佳,景色1,趣味1,性价比2,体验感不好，漂流还算不错，但水冰凉，冲浪是唯一孩子可以玩的，但浪太小，没啥意思,IP属地:海南,,,,,三亚亚特兰蒂斯水世界差评
zmq99999,1分,不佳,景色1,趣味1,性价比1,非常冷，更衣室好像大澡堂子，淋雨间异味,IP属地:海南,,,,,三亚亚特兰蒂斯水世界差评
_WeCh****55765,1分,不佳,景色1,趣味1,性价比1,"我愤怒了！我去之前以为有多好,毕竟价格摆在那里，而且我本人去过迪斯尼，所以对标的也是迪斯尼，价格比迪斯尼贵不少，但是。。。。这么小。。。。。所谓的灯光秀这么简陋。。。。。我都无语了，而且只有那么几个所谓个水上游戏而已，还那么多人。。。请大家千万别踩雷，我还是打车去的。。。。实在太费钱。。。。还什么都没有。。。",IP属地:海南,,,,,三亚亚特兰蒂斯水世界差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,性价比非常低，人超多，没有啥新奇的项目，就玩了两三个项目，很多项目玩没玩成，租个柜子还要88，太黑。。,IP属地:海南,,,,,三亚亚特兰蒂斯水世界差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,套票太坑了，没法用完，只有两-3个小时停止项目，还能在网上售卖。水族馆游览完20分钟，品种也少，换个方向其实也能看到。水世界直接什么都没耍，坑,IP属地:海南,,,,,三亚亚特兰蒂斯水世界差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,不好，携程很坑，价格太贵了，提的点太多了,IP属地:四川,,,,,三亚亚特兰蒂斯水世界差评
159****8630,1分,不佳,景色1,趣味1,性价比1,太差了这地方，尤其漂流，飘下来没人管，掉水里了，,IP属地:海南,,,,,三亚亚特兰蒂斯水世界差评
_WeCh****725310,1分,不佳,景色2,趣味3,性价比1,水世界之前来过，挺好玩的，水族馆是真的小，就一个人鱼表演吸引人，看完觉得一般般，其他没什么海洋动物，单独买门票进去完全没有性价比可言，C秀就更一言难尽了，海洋动物最后就两个海豚跳几下，前面都是一些杂技，完全不如海昌里的表演，人家含门票都比他便宜，剧情还不如千古情，我们去的那场没什么人看压根,IP属地:上海,,,,,三亚亚特兰蒂斯水世界差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,垃圾亚特兰蒂斯，倒闭吧。,IP属地:海南,,,,,三亚亚特兰蒂斯水世界差评
M40****5441,1分,不佳,景色1,趣味1,性价比1,"关闭了海洋帝国，戏水童趣，台风河，骇浪骑士，旋风大喇叭，公主塔六个
额外花钱项目：?喂食鳐鱼，海底漫步，冲浪少年，鲨鱼池浮浅四个
?能玩：急速漂流河，造浪池，章鱼竞速，放手一搏与海神之跃名字不同项目一样，鲨鱼穿越，怒海过山车，连环小喇叭与霹雳小喇叭名字不同项目一样。一共20个项目实际就能玩八个项目。各位慎重吧！纯坑",IP属地:海南,,,,,三亚亚特兰蒂斯水世界差评
_WeCh****30395,2分,一般,景色5,趣味4,性价比1,平台买票要贵很多，窗口买票便宜很多,IP属地:北京,,,,,三亚亚特兰蒂斯水世界差评
匿名用户,1分,不佳,景色2,趣味3,性价比1,没啥服务可言吧。对于爸爸单独带着4岁以上女儿或者妈妈单独带着4岁以上儿子毫无友好可言。亲子淋浴间还要去申请？？也不允许另一个父母临时进去给孩子洗澡，当然可以理解怕薅羊毛不买票进去玩，那就把亲子淋浴间做完善，不然小娃如何洗澡，孩子裹着浴巾在外面等解决问题，又冷。应该不会再来了吧。门票又不便宜，也没那么好玩，主要服务不完善的话来这也没啥必要。,IP属地:海南,,,,,三亚亚特兰蒂斯水世界差评
205****528,1分,不佳,景色2,趣味1,性价比2,人多，园区很多地方在维修,IP属地:浙江,,,,,三亚亚特兰蒂斯水世界差评
M43****1930,2分,一般,景色4,趣味3,性价比1,总之全是收费，进去除了游泳，所有项目都收费，还死贵,IP属地:广东,,,,,三亚亚特兰蒂斯水世界差评
_WeCh****92513,1分,不佳,景色1,趣味1,性价比1,非常没意思，票价贵里面的项目只有两三个能玩儿，其他的都要单另收费，实在是理解不了？,IP属地:海南,,,,,三亚亚特兰蒂斯水世界差评
M51****5344,1分,不佳,,,,造浪池不错哦值得体验体验来找我吧,IP属地:海南,,,,,三亚亚特兰蒂斯水世界差评
203****388,1分,不佳,景色1,趣味1,性价比1,特别小，工作人员态度很差，躺椅很多抢座的，不会再去,IP属地:北京,,,,,三亚亚特兰蒂斯水世界差评
_WeCh****649368,2分,一般,景色3,趣味3,性价比2,玩旋风大喇叭的时候排了一个小时的队，因为我们是3个人，工作人员就让后面的人插到我们前面，还说2或4个人才能玩，任何公告都没有说明3个人不能玩，服务态度太差劲了！,IP属地:海南,,,,,三亚亚特兰蒂斯水世界差评
138****0555,1分,不佳,景色1,趣味1,性价比1,"每次去水世界都是买2套1大1小的票，以前都是电子凭证顺利入园，但是这一次电子凭证入不了，还要出示一个孩子（10岁，1.5米）的身份证明，得证明是小于11岁。很生气。
其一，携程购票信息不完整。在携程买的票，在购票须知里并没有标示需要携带孩子的身份证明。只需要购票的电子凭证即可。如图
其二，亚特兰蒂斯水世界票务介绍不严谨，欺骗消费者，**消费者。水世界检票口的票务须知中，并没有提及任何需要提供孩子身份证明的文字如图（是对身高高于1.5米孩子的**吗？）
其三，亚特兰蒂斯水世界不是政府及政府相关机构，也没有任何文字性质规定在入园时需要提供孩子的身份证明。是没有权利空口无凭的要求公民出示相关个人信息。
其四，检票口管理混乱，入园条件出尔反尔，自己的管理问题，给客户带来麻烦并没有主动道歉，而且态度………店大欺客。8/13号和8/15号都能电子凭证顺利如愿，这次是8/20日就需要出示孩子的身份证件。（我也出示了上两次的电子凭证）
总之，票务，检票这一块儿的体验并不好。店大欺客，贴出来的告知就是废纸，他们说什么就是什么，没有理可讲。",IP属地:海南,,,,,三亚亚特兰蒂斯水世界差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,这里是我去过所有景区卖水最贵的地方一瓶水18块钱，里面什么东西都很贵,IP属地:海南,,,,,三亚亚特兰蒂斯水世界差评
M24****4529,1分,不佳,景色3,趣味1,性价比1,暑假带孩子去的，首先是贵，门票性价比不高，除了能水里泡泡，其他想玩的项目都要排队，不想排队就得另外花钱买票，进去后吃喝东西死鬼。总之摆明就是要载你！作为一个北方小城市的我们，觉得远不如自家城市都水上游乐场。强烈建议各位不要去！,IP属地:陕西,,,,,三亚亚特兰蒂斯水世界差评
_WeCh****63102,1分,不佳,景色1,趣味1,性价比1,"服务态度很差
世水也不是这么好
里面买的东西也食饮都是很贵
不推荐",IP属地:海南,,,,,三亚亚特兰蒂斯水世界差评
M25****9640,2分,一般,景色3,趣味3,性价比1,"1.小朋友低于1.2米千万不要去、连园子里最基本的滑滑梯那种都玩不了，只能踩踩水
2.排队时间超长，当然不差钱的小伙伴可以额外花费几百元/人再买一个所谓的VIP资格，减少排队时间
3.千万不要再买什么踩水鞋，到了园子里你会发现赤脚玩就行，用不上那个鞋
4.这个园子的餐饮贵的离谱，完全贯彻执行了当地**的政策，让市场来调节价格，因为游客要玩水上项目，不可能随身拎着一堆吃的，只能在园子里买吃喝的东西，难吃且贵，宰客没商量",IP属地:江苏,,,,,三亚亚特兰蒂斯水世界差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,听着名气去的，但真的不咋滴，里面的项目在随意一个水上乐园都有。检票人员也态度很差，里面排队排的很久，景区故意让买快速票，不然压根就玩不了几个项目。水质也很脏，里面时不时飘一着瓶子，卫生纸啥的，真的恶心的不行。景区内消费更是坑到不行，比迪士尼的东西还贵,IP属地:海南,,,,,三亚亚特兰蒂斯水世界差评
匿名用户,2分,一般,景色2,趣味1,性价比1,不觉得好玩… 每个项目都要排队很久，还很晒，快速通道一直走，花一个小时排到了，体验2分钟。还有些项目很想玩，但直接不想去排队，超级多的人。甚至待不到八点，表演没看就走了，没意思～五点多去的，排队只玩了两个项目就到七点了，项目就关闭了，我们就走了。不会再去第二次！,IP属地:海南,,,,,三亚亚特兰蒂斯水世界差评
M33****5066,1分,不佳,景色1,趣味1,性价比1,东西死贵 太阳死晒 排队死长,IP属地:安徽,,,,,三亚亚特兰蒂斯水世界差评
