user_detail_name,text,text 2,text 3,text 4,text 5,content_wrap,iplocation,,,,,attraction_name
_WeCh****5320,1分,不佳,景色1,趣味1,性价比1,携程买票后一小时才能进园，真扫兴。门口有一堆买了票不让进园的游客，游客极少，买了票还不让进，真是扫兴到了极点。感觉就像吃了一只苍蝇一样恶心。真是癞蛤蟆爬脚面，不咬人，恶心人。,IP属地:海南,,,,,亚龙湾热带森林公园差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,黑车司机在景区肆意揽客无人制止，项目也不好玩，景色也一般,IP属地:陕西,,,,,亚龙湾热带森林公园差评
匿名用户,2分,一般,景色2,趣味1,性价比1,避坑吧，这也就是免费公园的水平。**真是个坑太多了,IP属地:山西,,,,,亚龙湾热带森林公园差评
M25****420,2分,一般,景色3,趣味2,性价比2,谁来谁是冤大头无聊的很，景区的大巴车上车和下车不是同一个地方，下车还要爬好多楼梯出景区，车辆管理也很差，把楼梯前面都挡满了，而且下了大巴就没有指示牌了，车辆挡着都没看到出口的楼梯在哪里，停满了车也没有人管，没想到一排车后面还一个楼梯是必经之路，不相信的可以去逛一下，等着你们回来写差评,IP属地:海南,,,,,亚龙湾热带森林公园差评
云上头,2分,一般,景色2,趣味2,性价比1,千万别在兰花谷下车，鸵鸟的噱头，你要是不消费，就只能远远的看一眼…. 太坑了,IP属地:广东,,,,,亚龙湾热带森林公园差评
M31****4180,1分,不佳,景色1,趣味1,性价比1,晕。没提前买多花15。让人非常失望。,IP属地:海南,,,,,亚龙湾热带森林公园差评
M34****0742,1分,不佳,景色1,趣味1,性价比1,买票还要一个小时才能使用无语??,IP属地:海南,,,,,亚龙湾热带森林公园差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,不能按点进,IP属地:海南,,,,,亚龙湾热带森林公园差评
_WeCh****69294,1分,不佳,景色1,趣味1,性价比1,垃圾到极点,IP属地:海南,,,,,亚龙湾热带森林公园差评
buzenl,1分,不佳,景色2,趣味3,性价比1,真心没啥，风景一般,IP属地:上海,,,,,亚龙湾热带森林公园差评
buzenl,1分,不佳,景色2,趣味3,性价比1,真心没啥，风景一般,IP属地:上海,,,,,亚龙湾热带森林公园差评
_WeCh****054151,2分,一般,景色3,趣味2,性价比2,不要来，省点时间去玩别的。坑。,IP属地:海南,,,,,亚龙湾热带森林公园差评
M31****3895,1分,不佳,景色1,趣味1,性价比1,出票慢，超级差评，退票扣钱！！！！,IP属地:海南,,,,,亚龙湾热带森林公园差评
匿名用户,1分,不佳,景色3,趣味2,性价比1,导游指向牌不清楚.容易走错。,IP属地:海南,,,,,亚龙湾热带森林公园差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,对三亚机场进出，景区交通出行（特别是滴滴车司机），体验感极差，不服的可以来试试,IP属地:海南,,,,,亚龙湾热带森林公园差评
