user_detail_name,text,text 2,text 3,text 4,text 5,content_wrap,iplocation,,,,,attraction_name
yangyabinc,5分,超棒,景色5,趣味5,性价比5,来到三亚真的感受到了什么叫做热带风情！真是动不动就一身汗水！  太厉害了！  三亚的景区比较分散，建议自驾游！尤其是在炎热的夏季，自驾游就显得非常重要！因为朋友想去看一下南海观音，所以我们特地驾车来到景区，建议一定要多付30元坐一下游览车！不然靠走路的话，人都会晒化了的！望着一望无际的南中国海，碧海蓝天下，你的情绪也会得到平复！ 财神庙，三十三观音殿。。。。  心灵可以得到升华！,IP属地:上海,,,,,南山文化旅游景区好评
王小花花花花花花痴,5分,超棒,景色5,趣味5,性价比5,"万物皆可心诚则灵。

九年前和我先生的第一次旅游就是三亚。
当时他对着南海观音许愿一定要娶到我，
九年过去了，我们终于在10月办理了结婚仪式。

一切都是那么美好，
只要心存感恩，一切都将是值得的??
#心诚则灵
不信你试试??",,,,,,南山文化旅游景区好评
火星芸豆,5分,超棒,景色5,趣味5,性价比5,"【性价比】
【趣味】南山文化景区是适合老年人出游的理想地，景区很大，需乘坐导览车30元每人（往返），第一站是海上观音，从下面的隧道走，直接通往观音，赠送免费香火供游客祭拜，祭拜
完后走进内部，走七层楼梯，就到了观音外侧的莲花座，在这里可以抱到佛脚。第二站是三十三观音堂，景点较小可以直接路过，第三站是南山寺，这里需走步行台阶，里面共三坐佛堂，最顶层是释迦牟尼，同时，眺过大海望到远处的海上观音，非常壮观。下一站长寿谷，是小景点可略过。如果坐动车行程可以选择崖州站，打车20分钟就到了，费用约30元，返程可以选择坐公交车55路11元行程40分钟到达三亚火车站。",,,,,,南山文化旅游景区好评
鞋子登程,5分,超棒,景色5,趣味5,性价比5,到了三亚，第一站先拜佛，到南山拜观音，飞机降落时就看到了巨大观音像屹立于海上。进入“不二法门”就能远远看到观音像，随着不断走进，观音呈现不同殊胜形象，眼睛似乎永远在慈祥地望着自己，当天是多云，但是我们走进过程中，天空突然露出圆形孔洞，射出一缕暖光，特别壮观，这是难得的祥瑞，于佛法前，我们众生多么渺小，要常怀谦卑心，常怀感恩心！南山寺是新的建筑群，规模宏大，非常壮观。因为三亚主要景点都依海岸排开，之后几天我们到其他景点，也都能在海上远远望见观音像，她保佑着这方水土和天南海北的过客！,,,,,,南山文化旅游景区好评
超级Lynn,5分,超棒,景色5,趣味5,性价比5,"上午的行程去了大东海，玩了几个水上项目，中午去了第一市场的阿浪海鲜吃海鲜。这一家海鲜馆子不错，口味鲜，明码标价。下午出发去南山文化旅游区，发现还挺远呢。
?
南山文化旅游区在三亚的西边，距离三亚市中心大概有1个多小时的车程。梵天净土，一片安然，即使是没有宗教信仰的人，到了这里，内心也会变得素净。
?
电瓶车到达的第一站就是南海观音，这座观音像据说有108米，是世界最高的海上观音。不过除非是包车，否则电瓶车是不会上桥的，你需要自己走一段路上普济桥，然后走到观音像下。
?
这段路程中会有免费的增香处，到了观音像下，你可以排队“抱佛脚”。整个过程加上排队，可能需要1个小时左右，因为游客真的太多。
?
之后大约就是天竺圣迹·佛陀馆，三十三观音堂，观海平台，南山寺，长寿谷等等。整个景区很大，全程步行，我担心自己会“废了”，所以诚心建议大家在门口就买上电瓶车票，也不贵，30元/人，不过只收现金。
?
景区内允许拍照，但部分佛寺内禁止拍照，另外拍照尽量在佛像的侧面拍照，不要正面拍。还有三十三观音堂里面据说是信佛之人在此供奉的香火，不随便拜，有可能拜的并不是佛，而是别人家的先祖。
?
如果时间充裕，从景区出来后可以去附近的三美湾等落日。这里是一个小众海湾，游客少。晚上去三亚湾路椰梦长廊的萌哒哒椰子鸡，坐在露台上，吹着海风，喝着甜甜的海南特色椰子鸡鸡汤。",,,,,,南山文化旅游景区好评
摄影师伊蓝,5分,超棒,景色5,趣味5,性价比5,"在南山文化旅游区，你能找寻盛唐建筑的风华，也能归宁纯粹的佛教文化。这里没有喧嚣的商业化，没有嘈杂的俗事，只有沉静和巍峨壮观的南海观世音。
?
园区内很大，可以乘坐园区的电瓶车参观，不过这些电瓶车并不接受网络扫码付款，只接受现金。30元/人，自备现金，往返单程，别坐错了路线哦。
?
整个园区的游览，你必去这些景点：108米南海观音像、三十三观音堂、龙五爷财神殿、南山寺、观海平台、金玉观音，这些景点在电瓶车的路线范围内，而那些小景点，就需要你徒步去参观了。
?
在整个园区内的佛教道场中都有免费的香赠送，你不需要从外面买高价的香带进来，也不必买大香、高香，因为园区内谢绝携带高香、大香进入。
?
烧香拜佛添香油钱，兜兜里准备点零钱，功德箱里就是大家的诚意，虽然不多，但都是自己的心意。

南山寺内的素斋不错，可以尝试，不过一贯对吃比较挑剔的我，还是喜欢去第一市场的阿浪海鲜来一顿辣味海鲜大餐。新民街的阿浪海鲜店的辣味海鲜口味重，吃不惯清淡的就来这家吧。有时候我也会在三亚湾路的萌哒哒椰子鸡，喝着鸡汤听着海浪拍击海岸的声音，萌哒哒在椰梦长廊路段，近可听大海，远可观三亚湾蕞美落日。",,,,,,南山文化旅游景区好评
我想你也很棒,5分,超棒,景色5,趣味5,性价比5,"三亚值得二刷三刷的地方，拜佛祖，海上观音的壮观不是用文字能够描述的，一定亲眼看看，老人小孩都适合的景点，不过想要一次性逛好得有一定得脚力，要么就坐电瓶车，观音底座这几年新建的非常好，二刷还是给到我惊喜！天气好的时候海水特别壮观。
想看舍利子与求平安福的朋友可以到金玉观世音的殿内看看。
周边景色野不错，我是参加一日团的，中午包餐,所谓的自助餐原来是吃素的，原谅我不是佛教中人，没这个觉悟了。当初就是为了想着解决一家大小的午餐问题才报的团。完全建议自由行的朋友自己滴滴去购票进场，进门后右手边就有几间小餐馆，有些碟饭与小抄之类。当然进入后还有一些摊档有吃有喝，味道一般般，没有我去第一市场本地人开的林姐香味海鲜店吃的那么惊艳，吃到新鲜美味的海鲜人均才80，在三亚算是性价比很高的地方了。总体来说这一天的行程非常很有纪念意义！",,,,,,南山文化旅游景区好评
不可触碰撞的鱼,5分,超棒,景色5,趣味5,性价比5,南山文化旅游区位于海南省三亚市西南40公里处，是一座展示中国佛教传统文化的大型园区。南山文化旅游区是国家AAAAA旅游景区，中国佛教名山胜地。南山主要景点有南山寺、海上观音、不二法门、观音文化苑、天竺圣迹、佛名胜景观苑、十方塔林与归根园、佛教文化交流中心、素斋购物一条街等。其中，108米海上观音是当之无愧的亮点之一，是世界首尊金玉观世音菩萨塑像，闻名全海南的镇岛之宝。,,,,,,南山文化旅游景区好评
花篮树,5分,超棒,景色5,趣味5,性价比5,开放时间：08:00-17:30 ，公交可乘坐16、21、25、29路公交车至景区下车，票价是十块钱如果在市内乘坐出租车至南山费用100-120元左右~??票价：南山的成人票是108元，提前一个小时在网上买票直接身份证就可以进了，不然还得排长队买票。??它的优惠政策：1、1.2米以下儿童、70岁以上老人、残疾人、军人、导游证、记者证可享受免费；2.、1.2米至1.4米儿童、学生、60—69岁老人凭有效证件享受优惠票61元/人??游览建议：1.景区比较大，建议坐观光车，价格30元一位坐一圈，每一个大景点都会停靠，看到车招手就会停。2.108米海上观音像是三亚的一个著名地标，它建在海上通过一条桥和陆地相连。听说各地飞机飞过来时经过这座观音像都会绕行一周，意味祈福飞行顺利可以上去排队摸佛脚3..往海上观音的路上会看到免费领取3根香火的地方，拜拜双手空心掌，心诚则灵4.看完观音坐车往南山寺方向，观光车的终点站，是一座仿盛唐风格、居山面海的大型寺院。到南山寺需要爬很多台阶，才能进入大殿，整个建筑气势恢宏中国南部最大的寺院。5.从南山寺出来，坐返程的观光车，依次到达发生池、金玉观音堂等，可以到站下车，游玩后再坐车继续去下一个景点。景区里有好多菩提树，有菩提苑，漫步在菩提树边，置身这样氛围中，会让人感觉佛教的圣洁，感到心灵的沉静6.从南海观音景区往门口走的时候，会看到远处的南山，这是中国最南部的山！有种说法是“寿比南山”指的就是三亚的南山，因为这里的松树寿命比较长，一般在1200年以上，有的甚至能活到一万岁左右，堪称植物界的活化石。整个景区逛完一圈下来，心里真的感叹：菩萨真的太会选地方了！背靠南山，面朝大海，心生菩提……这里和传统的佛教圣地不同，没有那么浓厚的佛教氛围，自然风光也很迷人，很适合留一天或者大半天的时间来慢慢游玩??关于吃饭??方案1:南山文化旅游里面有素食斋，价格不贵，但味道一般方案2:自己带上干粮，毕竟里面每个景点很大，有时候买瓶水都要走好远一天都没吃到好的回程安排起吃海鲜是非常明智的选择，住在海棠湾吃的并不多，林姐香味海鲜店??这家老字号挺惊喜的，味道特别好，海鲜是现捞现做，还有很多海南特色菜????，不爱吃海鲜也是能吃到喜欢的菜肴~味道绝对征服你的胃，找不到地方吃去她家就对了~吃完还送我们回酒店，太贴心了~,,,,,,南山文化旅游景区好评
鸭鸭爱生活,5分,超棒,景色5,趣味5,性价比5,"6月底的三亚行，其实也是为了了却心中的一个执念，前两次匆匆三亚之行，竟然不曾去到南山观音。没料到我的南山观音第一次顶礼膜拜居然不经意选在了厦门196年才能遇到一次的日全食之日，而那天三亚以阳光白云欢迎我，日偏食基本没影响到三亚。也没有想到6月21日居然是南山景区室内开放参观的第一天，圆通宝殿、南山寺、三十三观音堂都是在这一天开始开放参观，看来，还是佛缘不浅啊！

??【如何抵达】
南山观音位于三亚市崖州区崖城镇南山文化旅游区内，距市区有四五十公里的距离，从市内有旅游专线大巴直达，但基本上单程用时要1个小时以上。三亚旅游比较方便的是自己租车，南山文化旅游区内的停车费按车收费，一辆车是5元，不论时长，很是良心了。没有自驾的建议在当地报个一日游的团，会更方便些。

?【游览线路推荐】
?现在景区内不设现场购票窗口，需提前在网上预约，并且按预约时间段入内（现在分为上午场和下午场），门票是108元，电瓶车票30元，网上购票有优惠，夏天天气较热建议购买小火车票游览，如果靠步行想走完整个景区建议安排一整天。（网上订票需提前2小时预订）

??电瓶车线路：不二法门→海上观音圣像→鳌山寿谷（爬山景点，太热便没下车）→三十三观音堂→南山寺→梵钟苑→不二法门

【南山观音的朝拜之旅】
?第一个景点便是“不二法门”，为南北朝风格建筑。游客进入此门，便进入了吉祥清静的南山佛教圣地。

?小火车的第一站便是到南山观音，首先看到的是6座高大的经幢，六座经幢体现观音菩萨普度六道众生向上成佛的法门，同时自然形成观音苑一座开放式大门，象征“佛门广大，普遍含容”之义。

?要前往海上观音需要穿过普济桥。南山海上观音圣像高108米，凌波伫立在直径120米的海上金刚洲(观音岛)上。像体为正观音的一体化三尊造型，宝相庄严，脚踏一百零八瓣莲花宝座，莲花座下为金刚台，金刚台内是面积达15000平方米的圆通宝殿。

?圆通宝殿建筑雄大宏伟，庄严殊胜，是世界上最大的观音殿堂。

?三十三观音堂，这里有着目前世界上规模最大、工艺最精湛的室内观音群像，是令人叹为观止的佛门盛事。三十三观音像群长50米，重15吨，是目前世界上规模最大、工艺最精湛的室内观音群像，已载入大世界基尼斯记录。入内需穿鞋套参观。

?南山寺是南山佛教文华苑的核心，是建国以来批准兴建的最大的佛教道场。左右有山丘环抱，面向南海万顷碧波。在寺庙前面“海天叶",,,,,,南山文化旅游景区好评
