user_detail_name,text,text 2,text 3,text 4,text 5,content_wrap,iplocation,,,,,attraction_name
匿名用户,1分,不佳,景色2,趣味2,性价比1,不值得去，人多，贵，没文化,IP属地:北京,,,,,南山文化旅游景区差评
M64****4016,1分,不佳,景色5,趣味1,性价比1,很坑的景点消费,IP属地:浙江,,,,,南山文化旅游景区差评
小单快反,1分,不佳,景色2,趣味1,性价比1,体验很差！走老远，晒的要死,IP属地:海南,,,,,南山文化旅游景区差评
M31****3893,2分,一般,景色4,趣味2,性价比2,车隔着2公里不让进，为私家摩托揽客，景区佛门圣地，商业小吃包围，商业味道太浓！,IP属地:海南,,,,,南山文化旅游景区差评
M27****2964,2分,一般,景色3,趣味2,性价比2,没什么意思,IP属地:海南,,,,,南山文化旅游景区差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,各方面都差，南山就是个巨大的生意，三步一个纪念品店商店，义乌不值钱的朱砂手串卖得飞起，就这种地方和虔诚有什么关系？,IP属地:海南,,,,,南山文化旅游景区差评
M34****273,1分,不佳,景色1,趣味1,性价比1,商业化严重,IP属地:甘肃,,,,,南山文化旅游景区差评
M83****8905,1分,不佳,景色5,趣味1,性价比1,环境还可以，处处透着商业停车一进交了停车费进去了还要交给个人20块钱停车费明显和地方管理通着，门票129电子的想要一张纸质的留念还需要交39块钱也不给开发票，进大殿还有拿着批条走后门的都在排队转圈进去****管理的真是太垃圾了,IP属地:海南,,,,,南山文化旅游景区差评
匿名用户,2分,一般,景色2,趣味2,性价比2,商业化太严重。排队有插队的保安也不管  就放任乱插队。下去需要步行这可以理解 但是那楼梯又滑又陡。环境一般  有不少人把垃圾扔在莲花附近。最主要的是导航指引太差了 也没个标示牌 就是靠嘴去问。上面大声喧哗的实在影响拜的心情。,IP属地:海南,,,,,南山文化旅游景区差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,检票的很凶,IP属地:海南,,,,,南山文化旅游景区差评
