user_detail_name,text,text 2,text 3,text 4,text 5,content_wrap,iplocation,,,,,attraction_name
M30****5851,1分,不佳,景色3,趣味2,性价比2,套票建议不要买，还是单独购买吧。由于风大，孩子晕船吐的厉害，无法进行入园浏览，在码头休息一会，只能坐穿回去了。由于买的套票，无法退入园费用，只显示已使用无法退款，就当花了双倍的价格坐船。经验之谈，希望大家可以借鉴，还好没买带观光车的套票，不幸中的万幸,IP属地:吉林,,,,,蜈支洲岛差评
羊咩咩1217,1分,不佳,景色5,趣味3,性价比3,人巨多，无尽的排队体验感极差,IP属地:河北,,,,,蜈支洲岛差评
晓晓开心,1分,不佳,景色3,趣味3,性价比1,码头为何离售票处那么远？学学西岛，太便捷！,IP属地:海南,,,,,蜈支洲岛差评
_WeCh****834215,1分,不佳,景色1,趣味1,性价比1,避雷，千万别去。等淡季了可以去转转。其他时间不适合去，看人，出来排队3个小时，大半夜才出来。基本也都商业化了，如果看看风景的话，其实到处的海滩都挺好。,IP属地:河南,,,,,蜈支洲岛差评
匿名用户,2分,一般,景色1,趣味1,性价比1,环岛电瓶车只值20块钱！体验感非常不好，性价比极低,IP属地:海南,,,,,蜈支洲岛差评
匿名用户,1分,不佳,景色2,趣味1,性价比1,实在实在实在没啥可吃的???????????????,IP属地:海南,,,,,蜈支洲岛差评
M39****5193,2分,一般,景色4,趣味3,性价比4,年后去玩的，人太多了，不管干什么都要排队，而且基本都要排很久很久，就连你随便想拍个照到处都是人头。所以体验感非常不好。年后都真么多人，更何况节假日了。所以不会再来了，也奉劝大家别去凑热闹了。,IP属地:海南,,,,,蜈支洲岛差评
@～fsy,1分,不佳,景色1,趣味1,性价比1,总体玩的太差劲，服务，设施，环境，卫生啥也不行,IP属地:海南,,,,,蜈支洲岛差评
匿名用户,1分,不佳,景色5,趣味1,性价比1,不要坐电瓶车车，排队要超1个半小时，体验差极了。,IP属地:海南,,,,,蜈支洲岛差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,1月31号去的，一整天进岛离岛花了7小时，在岛上包括吃饭只玩了俩小时，还不给退票，恶心！,IP属地:广东,,,,,蜈支洲岛差评
