user_detail_name,text,text 2,text 3,text 4,text 5,content_wrap,iplocation,,,,,attraction_name
匿名用户,1分,不佳,景色1,趣味1,性价比1,明明大雾天，什么都看不见，还让人上去，体验感太差,IP属地:广东,,,,,太平山顶差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,差评，景区不负责任，携程更不负责任，买了红钻毫无用处，冲着携程去的，出了问题一再推脱，再也不会使用携程了,IP属地:吉林,,,,,太平山顶差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,以前一天买的去的时候里面压根没开放红钻通道，花钱买了快通结果和普票一起排队。,IP属地:广东,,,,,太平山顶差评
300****764,1分,不佳,景色1,趣味1,性价比1,避雷，人多排队时间长，排队空间拥挤狭小，索道缆车乏味无趣，且有很多人没有座位，体验感极差。,IP属地:中国香港,,,,,太平山顶差评
??木子??友弘??,1分,不佳,景色5,趣味5,性价比1,山顶景点可以，但服务很差，人太多了，红尊会员，感受不到，没有服务员指引和接待，也没有告知去联系谁，和普通人一样的排队，没有体验到红尊会员的便捷。,IP属地:中国香港,,,,,太平山顶差评
M31****5139,1分,不佳,景色1,趣味1,性价比1,非常差，秩序运力维护不了，现场管理混乱，随意插队无人管理，运力不足给不出准确预期，还霸王条款不予退款，避坑，一定现场去了看看情况再决定是不是购票，不要像我们一样提前购票去了遇到这样烂的管理水平,IP属地:北京,,,,,太平山顶差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,人太多了，排队两小时以上，票买了不能退，谨慎购买,IP属地:中国香港,,,,,太平山顶差评
139****9099,1分,不佳,景色4,趣味3,性价比1,携程与太平山缆车的合作不太完善。携程里检票与内地不太一样，我不太会操作，给太平山缆车的工作人员看票，她们看都不看就说我没买票，非常不友好，下次不去了。,IP属地:江苏,,,,,太平山顶差评
_FB***34,2分,一般,,,,景点很漂亮但外国人很爱插队,IP属地:未知,,,,,太平山顶差评
匿名用户,1分,不佳,景色4,趣味3,性价比1,山顶景色很好，但商家服务非常差，春节客流高峰没有工作人员维持秩序，拥堵严重，非常乱，上厕所排队需要一小时。,IP属地:广东,,,,,太平山顶差评
