user_detail_name,text,text 2,text 3,text 4,text 5,content_wrap,iplocation,,,,,attraction_name
长脸张少侠,5分,超棒,景色5,趣味5,性价比5,"香港????太平山【山顶缆车】

山顶缆车一直是香港百年历史中最具代表性的，也是年纪最大的一个景点，堪称香港生活见证。这个香港的传奇是港独威廉德福爵士在1888年5月30号主持启用典礼后，才向世人揭开了面纱，当时用的是烧煤产生的蒸汽，推动通车第一天共有600名乘客，首年客流量有15万人。从1908年到1949年，车厢前两个座位儿一直是港督的专座，还用黄铜片镶嵌着港独专做的标志。直到开车前最后两分钟才向其他乘客开放。

1926年，山顶缆车抛弃了燃煤，选择使用电力推动。50年代，好莱坞来到山顶缆车和太平山顶取景，国际巨星克拉克盖博也来这里拍了命运战士。该电影的开场和结尾都是山顶缆车车厢内的场景，直到现在，每年还有400万名游客乘坐山顶缆车。
要登上太平山顶，乘搭世界上其中一个最古老及最盛名的山顶持续车程是一趟难忘的体验！ 整条铁路以钢铁索拖行，列车依山坡斜斜从海拔28米攀升至396米，乘客沿途可俯瞰维多利亚港景致。 它的车厢内，身子不受得向后倾，部分路段斜坡度介乎4至25.7度！ 高楼巨廈、茂密丛木看来似乎都倒往一旁了，感受实在奇妙！

交通：乘地铁荃湾线或港岛线到中环站，J1口出来，步行10分钟左右到花园道的缆车站，乘缆车上太平山顶。

四种方式可上山：缆车、巴士、的士、走路。
缆车时间：7:30-23:00
缆车价格：往返108港币；单程76港币
摩天台428时间：8:00-10:00
摩天台428价格：75港币",IP属地:俄罗斯,,,,,山顶缆车好评
ZNXHD,5分,超棒,景色5,趣味5,性价比5,这次香港之行，山顶缆车体验堪称一绝！从排队开始，工作人员就热情又耐心，秩序维持得井然有序。缆车缓缓攀升，窗外景色如同一幅徐徐展开的绝美画卷，香港的城市风光与山海美景交相辉映。到达山顶，视野更是开阔，将整个香港尽收眼底。返程时意犹未尽，下次来香港，还坐山顶缆车！,IP属地:中国香港,,,,,山顶缆车好评
顶级SHOW猪宝,5分,超棒,景色5,趣味5,性价比4,去的时候因为比较晚加上下午天气不好 所以去和回来的时候基本上属于包车的状态（基本上整辆车里就7-8个人）景色的话的确很美 但是因为在山上有雾 如果镜头角度不是很好的话 拍出来会有点糊 坐车大概5分钟左右（但是要7 80港币 所以坐单程体验一下就好了）,IP属地:北京,,,,,山顶缆车好评
妞妞婷婷,5分,超棒,景色5,趣味5,性价比5,我们是早上去的，在中环莲香楼喝早茶后酒去了，早上人不多，没怎么排队就进去了，小火车确实上山的时候要记得靠右边坐，能看到风景，下山的时候记得靠左边坐，虽然缆车是45度倾斜上下的，但是很稳，所以完全不用害怕，我们去的那天天气格外的好，晴空万里，美景一览无余，值得一去，推荐！,,,,,,山顶缆车好评
Amman是个大菠萝,5分,超棒,景色5,趣味5,性价比5,上山的风景真的超好，就是摩天台的餐标有点高，人均最低300元/捂脸哭……吓得我们又跑回油麻地吃麻辣烫去了，呜呜呜呜……不过说真的60元套票超值，上下山缆车就值，更何况还能上摩天台观看香港全景,,,,,,山顶缆车好评
旅行达人萧萧,5分,超棒,景色5,趣味5,性价比5,"非常值得去，景色迷人，上面还有蜡像馆，3D馆，俯瞰维多利亚港！景色超赞！维多利亚港晴天，阴天，晚上，景色都是绝美的！
【景色】
【趣味】
【性价比】",,,,,,山顶缆车好评
zhmlm521,5分,超棒,景色5,趣味5,性价比5,上一次去的时候是傍晚，但雾气很重；这次虽然是白天，赶上天气还可以～感觉意境都不一样了呢 [偷笑],IP属地:北京,,,,,山顶缆车好评
M85****1645,5分,超棒,景色5,趣味5,性价比5,"山顶缆车是香港开埠唯一运作的机动公共交通工具及亚洲第一条缆索铁路，于1888年5月30日起运作，来往香港岛中环花园道和太平山炉峰峡。
2019年7月18日宣布，香港山顶缆车公司缆车发展计划第一阶段工程已顺利完成，山顶缆车服务于2019年7月22日起全面恢复，服务时间为每日早上7时至晚上12时。1",IP属地:河南,,,,,山顶缆车好评
匿名用户,5分,超棒,景色5,趣味5,性价比5,比直接窗口购买车票要划算，不选观景台也就便宜2块钱，不如选上去体验一下。他会给你发个PDF，就一个码，缆车和观景台共用，建议手机截图保存，不用每次都打开。山顶可以看到某知名富豪的豪宅之一。山上的风很有意思，就像山顶有结界保护一样，很有意思,IP属地:安徽,,,,,山顶缆车好评
pxy0705,5分,超棒,景色5,趣味5,性价比5,香港太平山顶的缆车已经有130多年的历史，它是一个单向的轨道缆车。一次大约可以容纳100多名乘客。整个行驶过程大约在15分钟停靠4个站。行驶过程中你可以欣赏到两岸的高楼大厦，他们都是呈斜角的，看上去十分的奇怪，这也是乘坐缆车的一大乐趣，非常的有意思。,,,,,,山顶缆车好评
pxy0705,5分,超棒,景色5,趣味5,性价比5,香港太平山顶的缆车已经有130多年的历史，它是一个单向的轨道缆车。一次大约可以容纳100多名乘客。整个行驶过程大约在15分钟停靠4个站。行驶过程中你可以欣赏到两岸的高楼大厦，他们都是呈斜角的，看上去十分的奇怪，这也是乘坐缆车的一大乐趣，非常的有意思。,,,,,,山顶缆车好评
M51****565,5分,超棒,景色5,趣味5,性价比5,早就听闻上太平山的缆车要排队，但是到了实地，还是被那人潮震撼了，目测要排两个小时也不止。老板霸气，直接带我们去买了缆车+凌霄阁+杜莎夫人的套票，可以插队到前方四分之一处，于是排队时间被缩小为半个小时左右。,,,,,,山顶缆车好评
彼岸之澄,5分,超棒,景色5,趣味5,性价比5,"#2018.06 香港有个荷里活0#
始于1888年的山顶缆车今年已经迎来了它的130岁生日。
作为香港最有历史和味道的交通工具和打卡景点之一，每次来香港都会来这里。
当然，这也是香港排队最最厉害的地方，每次保守估计1小时，节假日则要做好时间翻倍的打算。天气炎热的时候，真的是排队排到要昏过去。
套票包含往返缆车票和凌霄阁观景台，比单独买票更划算一点。
缆车车厢还保留着以前的木质结构，很有老香港的味道。上山路途中会沿路停几个小站，游客的话一般都是坐到终点站下车。
坐在缆车上一路向上，欣赏半山豪宅和香港夜景，阵阵夜风拂面而来，也是很惬意的。上山坐在右边视野比较好，下山则是左边。晚上缆车是到凌晨十二时结束营业，注意在此之前下山就好。",,,,,,山顶缆车好评
谢颖华,5分,超棒,景色5,趣味3,性价比5,搭缆车上去时还满有趣的，然后阁上的风景也很不错，唯独就是人实在太多了，上去要排半天，下来要排更久，一直不断的绕圈圈，有够累人的，等终于到山下时腿都快要断了。,IP属地:中国台湾,,,,,山顶缆车好评
NickLueng,5分,超棒,景色5,趣味5,性价比3,"【景色】无敌
【趣味】值得一游
【性价比】稍微有一点高",IP属地:广东,,,,,山顶缆车好评
M51****565,5分,超棒,景色5,趣味5,性价比5,"因为比较晚起床，所以去排队的时候已经人很多了。
因为是当地人，我跟台湾朋友就直接用八达通进去，省却等待的时间。
等待列车的时候已经看到不少人插队。结果门一打开,大家就冲进去...太可怕了!",,,,,,山顶缆车好评
_TI***qv,5分,超棒,,,,"在山顶开始新的一年有什么更好的呢?在山顶散步简直放松,穿过龙府山郊野公园下山散步也不错。",IP属地:未知,,,,,山顶缆车好评
宝珠的番茄宝宝,4分,满意,景色3,趣味5,性价比1,一定选择天气晴朗的日子上山，要不然看不见景色就遗憾了，上山选择做双层巴士上去的，山路挺窄的，晕车者慎选。由于是春节假期晚上下山的巴士停运了，所以选择缆车下山，也算是不同的体验。通过携程平台购买大概10分钟出票，特别需要注意的是现场购买比平台购买便宜??哈哈?? 再有就是上车缓解，很多人拥挤缺乏管理，有人因为抢坐吵起来的，带着孩子老人的请一定要注意安全，因为上车站台是陡坡的。下山往车厢左侧可以看到一些景色，可根据喜好选择。,IP属地:北京,,,,,山顶缆车好评
juki235,5分,超棒,景色5,趣味5,性价比5,香港太平山的山顶缆车，已经有130年的历史。他是非常古老的双轨轨道缆车。整个缆车上山的坡度非常的陡，坐在缆车上，观看周围的楼房，感觉都是斜的，像要倒了一样，真的十分的有趣。绝对值得大家体验一下，令人难忘。,,,,,,山顶缆车好评
tiramisu1130,5分,超棒,景色5,趣味5,性价比5,很开心 疫情过后 香港旅游又重新开放了 又可以去看看了 从山顶俯瞰香港的万家灯火和蜿蜒的香江，这个没什么好说的，应该是来香港必去景点之一，坐缆车到山顶再上顶层观景台 那种震撼感不可言状！,IP属地:上海,,,,,山顶缆车好评
royal_tian01,5分,超棒,景色5,趣味5,性价比5,山顶缆车建于1888年，已经超过一百年了。现在还是很重要的上太平山的交通工具。这里的坡度还是非常陡的，风景非常美，这就解释了为什么香港富豪都喜欢住山上。安全，然后独享风景。,,,,,,山顶缆车好评
M31****5916,5分,超棒,景色5,趣味5,性价比5,我们提前在网上买了实体票，节约了换票的时间，直接进去等候上山顶的车。看过一本香港的杂志，唯独封面上红色的缆车慢慢开向山顶给我留下了很深的印象，如今将要亲身体验斜着的香港，内心还是很期待的。,,,,,,山顶缆车好评
