user_detail_name,text,text 2,text 3,text 4,text 5,content_wrap,iplocation,,,,,attraction_name
201022,1分,不佳,景色1,趣味1,性价比1,这是最差色一次体验，因为新年维港烟花秀，上去人超多，拍队几个小时，凌霄阁限流，阶段性停止参观 但景点还在售票中，看着排队很久 就很快申请申请退款，几经周折，前面一直说沟通，最后再给的结果就是景点不予退票.很多都是霸王条款。差评,IP属地:江苏,,,,,山顶缆车差评
匿名用户,1分,不佳,,,,"排队太多了。看到排队的情况后购买并不晚。我被评论所煽动并购买了它,但是我放弃了,因为无法取消或更改日期。",IP属地:未知,,,,,山顶缆车差评
_TI***lw,2分,一般,,,,"比起在现场购买门票,提前购买并用QR码入场的队伍要长。等了2个小时.。但是夜景很疯狂",IP属地:未知,,,,,山顶缆车差评
阿峙奇王世充,1分,不佳,景色1,趣味1,性价比1,买了红钻通道是关闭的，告知工作人员也不开，订单确认码不方便用，刷不进去工作人员也不配合，态度恶劣,IP属地:广东,,,,,山顶缆车差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,订错票，不退，最后直接显示已完成，无良商家,IP属地:中国香港,,,,,山顶缆车差评
_WeCh****860073,1分,不佳,景色1,趣味1,性价比1,一点不好，,IP属地:山东,,,,,山顶缆车差评
Bapt’’,2分,一般,,,,"也许是因为新年时期,但是,2小时的下面等5分钟的火车上行驶,没有真正看到像承诺的那样的景色。..一旦到达高处,如果您不付天空428(75HK$)(我建议您做..)您将与所有人一起,而不能够地风景,因为大家都起。我还建议你去走路,走路走路,上车可能变得复杂,因为有个大。否则,坐出租车或公共汽车。因为一旦上楼,你还要等1h~或+下楼,每3小时15�和10分钟的火车旅行总......这就是为什么我决定下楼的原因。",IP属地:未知,,,,,山顶缆车差评
匿名用户,2分,一般,景色2,趣味2,性价比2,感觉这个票我也搞不太值得，因为多人的时候只是有一段走进去坐缆车的路是优先而已，然后提前进去50米不到也是跟普通票的人们一起拥挤上车，而且缆车坐着根本没有某些网红说的那么好看，上去大平台看的风景还行吧，下山后当地的士司机说其实这个钻石票缆车票十分不划算……,IP属地:中国香港,,,,,山顶缆车差评
100****926,2分,一般,景色3,趣味2,性价比2,上山排队，下山排队，坐电梯排队，厕所排队，凌云阁也排队，体验感差。携程购买门票后不能退，本来想退票购买红钻，差评。,IP属地:浙江,,,,,山顶缆车差评
202****205,1分,不佳,景色1,趣味1,性价比3,25年春节，缆车还是那个缆车，但是假期去旅行真的毫无性价比。上山乘缆车排队70分钟。下山又排队60分钟。人山人海的，想拍一张清爽的照片都困难。在山顶只待了20分钟左右，因为山顶所有的卫生间门口都排队40-50人。,IP属地:天津,,,,,山顶缆车差评
Better Life,1分,不佳,景色3,趣味1,性价比1,"人山人海，排队2个多小时上缆车，体验感不加，山顶都是消费区，人挤人……
真的不建议在节假日过来凑热闹，下山缆车也得排队1小时以上。",IP属地:中国香港,,,,,山顶缆车差评
M31****5139,1分,不佳,景色1,趣味1,性价比1,现场管理混乱排队秩序无人管理，运力不足秩序差导致的被无限插队竟然不允许退票，简直是让人无语。更让人无语的是提供本次服务的携程客服，专业程度差到令人瞠目结舌……确定这是正式员工吗？,IP属地:北京,,,,,山顶缆车差评
匿名用户,2分,一般,景色3,趣味2,性价比2,很普通的缆车，排队太久太久两小时，人山人海还有不自觉插队的，山顶硬件接待能力也很差，体验感很差。上山其实还有公交车可以选，没必要去排缆车。,IP属地:四川,,,,,山顶缆车差评
匿名用户,1分,不佳,景色4,趣味1,性价比1,春节客流高峰没有工作人员维持秩序，拥堵、插队现象严重，坐缆车排队需要2小时以上。,IP属地:广东,,,,,山顶缆车差评
