user_detail_name,text,text 2,text 3,text 4,text 5,content_wrap,iplocation,,,,,attraction_name
姹紫嫣红,5分,超棒,景色5,趣味5,性价比5,很好的一次行程，内容丰富，展馆设计很有特色，很人性化，累了有座椅可以休息，还可借用便携式流动座椅。展品都是北京故宫博物院的真品，展馆有工作人员很热情很专业的免费讲解。走走停停可以行半天，还有餐厅咖啡厅解决饥饿问题。还想再去一次。,IP属地:广东,,,,,香港故宫文化博物馆好评
五行全二,5分,超棒,景色5,趣味5,性价比5,珍贵宝物很多，展馆值得一晃，一楼进门右手边服务台有免费讲解机器，多种语言，填表领取。一次性逛不完可以出来，跟出口服务人员要个手环。一楼和顶楼有吃的看个人承受力消费。出门艺术公园有美食车，个别的能用微信支付宝。,IP属地:广东,,,,,香港故宫文化博物馆好评
江山玉焕,5分,超棒,景色5,趣味5,性价比5,香港最值的地方，要按预约的时间入场，目前预约的门票已经到三个月后了，国宝国宝。在远方商场的旁边要预计5小时以上，门票只能看1～7号馆，8～9号馆是镇馆之宝郎世宁的獅子玉，王羲之的兰亭序。可以在馆内购买。,IP属地:中国香港,,,,,香港故宫文化博物馆好评
匿名用户,5分,超棒,景色5,趣味5,性价比5,虽然现场也可以买，但是提前买心安，然后想要这种纸张比较好的纸质票一定要在现场柜台买，或者是提前在携程以及别的平台买好，不要在现场的自动贩卖机上买，因为你会拿到一张非常薄的纸，携程的工作人员还是很负责的，我当时买的10:00的时间段没有了，然后给我打电话确认能不能要11点的，我说OK，总之大家记得买票的时候最好买特展的，因为如果你去过北京故宫，普通票的前几个展厅你就会觉得呃……就这？大部分都是明清时候的，而且乾隆期间的居多，大家都懂得他的审美……还好，还有几件青铜器压场……特展里面的宝石钻石美轮美奂，所以请一定买包含特展的票，当然现场也是可以加买特展的，如果你一开始只买了普通的话。,IP属地:上海,,,,,香港故宫文化博物馆好评
林若雪儿,5分,超棒,景色5,趣味5,性价比4,8/9展馆是特展，1-7是常规展。展品还行，有收费寄存行李、有免费租借讲解器。博物院面朝维港，室外露台无敌海景，非常状观。在西九龙，离圆方商场近,IP属地:上海,,,,,香港故宫文化博物馆好评
M43****9318,5分,超棒,景色5,趣味5,性价比5,非常棒的博物馆，场馆临海，美丽海景一览无余，在周边公园观赏一下海边美景也十分惬意，离西九龙高铁站非常近，公交坐几站即可到达，场馆内部展品丰富，全景显示了中国古代明清皇家典藏，皇袍、钟表、瓷器、家具等一系列奇珍异宝应有尽有，非常推荐大家前来参观，很值得一去。,IP属地:广东,,,,,香港故宫文化博物馆好评
吃榆,5分,超棒,景色5,趣味5,性价比5,香港故宫文化博物馆共有6层，其中地下有2层、地上有4层；共设9个展厅，其中展厅1至展厅7陈列专题展览，展厅8至展厅9陈列特别展览。博物馆全面和深入地展示北京故宫博物院的珍藏，展出书画、陶瓷、青铜器、玉器等故宫艺术藏品。,IP属地:北京,,,,,香港故宫文化博物馆好评
205****285,5分,超棒,景色5,趣味5,性价比5,西九龙文化广场，有故宫博物馆和M+博物馆，都值得去，很好的地方，香港没有这么宽敞的地方。观景平台可以看落日，也可看港岛。馆内宝贝太多，时间不够，没有认真欣赏，有时间可以慢慢学习。,IP属地:福建,,,,,香港故宫文化博物馆好评
匿名用户,5分,超棒,景色5,趣味5,性价比5,香港故宫文化博物院规模庞大，文物众多，参观花了几个小时，非常有意义，值得打卡，在炎热的夏天，适合家庭出游的避暑好地方，同时可以学习到很多文化知识等，三楼平台紧靠海边，风景优美！,IP属地:广东,,,,,香港故宫文化博物馆好评
153****8966,5分,超棒,景色5,趣味5,性价比5,巧遇三星堆，一切都非常完美，有免费的解锁器，下午可在二楼处看晚霞，香港故宫的美除了展品，还有它独特的地理位置，观展结束可以在二楼露台看着夕阳映红海面的美景。值得去……,IP属地:江苏,,,,,香港故宫文化博物馆好评
