user_detail_name,text,text 2,text 3,text 4,text 5,content_wrap,iplocation,,,,,attraction_name
M14****654,1分,不佳,景色1,趣味1,性价比1,请大家不要在携程上订票、现在携程太差劲了、预定问题不处理不解决就是一直推皮球、说和他们没干系，那我想说我在携程上订票、你携程都不能保障我的权益，价格也比别人高我为什么在你携程上预定,IP属地:江苏,,,,,香港故宫文化博物馆差评
75****286,2分,一般,景色4,趣味3,性价比2,周边餐饮配套太差，价格先不说，关键是点啥啥没有，还不如就告诉游客自备干粮去参观,IP属地:北京,,,,,香港故宫文化博物馆差评
TracyL,1分,不佳,,,,很好!,IP属地:未知,,,,,香港故宫文化博物馆差评
匿名用户,2分,一般,景色3,趣味2,性价比2,景区不大，价格也不便宜。,IP属地:中国香港,,,,,香港故宫文化博物馆差评
Momoka_wander,2分,一般,,,,展品不多。,IP属地:未知,,,,,香港故宫文化博物馆差评
匿名用户,1分,不佳,景色5,趣味2,性价比1,官方现场购票原价居然比携程便宜!!上当受骗的一次购票经历。,IP属地:美国,,,,,香港故宫文化博物馆差评
匿名用户,2分,一般,景色2,趣味3,性价比2,"展品、說明、空調、動線都還不錯。
不足部分1.因沒吸音設計或裝修，觀眾對話時會顯得在逛傳統市場2.叫Uber不能進負一層禮品部外接，以至於要上樓淋雨到至善路二段的門口上車（圖3）快下雷雨??",IP属地:广东,,,,,香港故宫文化博物馆差评
M13****087,1分,不佳,景色1,趣味1,性价比1,"個別場館服務員態度好差 一副欠她錢的樣子 
7個場館裡有3個是沒開的 裡面展品確實很少 
幾個青花瓷加幾幅字畫 性價比極低",IP属地:北京,,,,,香港故宫文化博物馆差评
li****iu,2分,一般,景色1,趣味1,性价比2,展陈差 展品差 管理差 失望！空有一个壳子 洗手间特别脏 很难想象是一个新馆！餐厅面对大海 但是脏嘻嘻的非常不友好。从地铁出来，竟然没有交通工具直达，大太阳步行也是完全不友好！,IP属地:中国香港,,,,,香港故宫文化博物馆差评
没有人生的小新子,1分,不佳,景色1,趣味1,性价比1,体验很不好呀,IP属地:广东,,,,,香港故宫文化博物馆差评
匿名用户,1分,不佳,景色5,趣味5,性价比1,现场买门票65元港币，这个103元送个哈根达斯球，搞笑的是博物馆里以及附近根本没有哈根达斯的店。直到离港了也没法消费这个球，也不能退，如果不是100级哈根达斯爱好人士，愿意花1个小时特意去找可以消费的尖沙咀店。千万别在这里买票。现场买票不需要排队。,IP属地:广东,,,,,香港故宫文化博物馆差评
