user_detail_name,text,text 2,text 3,text 4,text 5,content_wrap,iplocation,,,,,attraction_name
人生就是一次旅行，快乐是最重要的！,5分,超棒,景色5,趣味5,性价比5,香港旅海洋公园在山下耍了又坐缆车到山上耍，然后坐火车站下山。,IP属地:重庆,,,,,香港海洋公园好评
蓝瑟季候风,5分,超棒,景色5,趣味5,性价比5,"??冬日旅游必去 | 香港海洋公园嗨翻天??
?这个冬日不知道去哪玩？强烈推荐香港海洋公园！??作为世界级游乐园，这里也是我想推荐给亲子的游乐园，除了设计新颖的刺激设施，还有许多动物和海洋生物，大熊猫和海豚海狮人气相当高。
 
??【游玩体验】
?一进香港海洋公园，就仿佛进入了一个梦幻的海洋世界和欢乐王国的融合体??。各种刺激的游乐设施让人尖叫连连，那心跳加速的感觉真的太爽啦！??
?海洋奇观里更是像神秘的海底宫殿，五彩斑斓的鱼儿在身边游弋，巨大的鲨鱼从头顶游过，那种身临其境的感觉太奇妙了，仿佛自己也变成了一条自由自在的小鱼呢~??
 
??【大熊猫之旅】
?休陪产假三个多月的大熊猫乐乐终于再次和访客见面啦，真的超激动！??大家都迫不及待地跑去探望这位人气超高的动物大使~
?它憨态可掬地吃着竹子，毛茸茸的样子可爱极了，感觉心都要被它融化了~??
?遍布公园不同角落的熊猫主题精彩活动正等着我们去发掘！无论是熊猫主题的装饰，还是各种和熊猫相关的小游戏，都让人沉浸其中，感受着满满的熊猫元素带来的欢乐~??
?现在每天在威威剧场可以看到两场刚满百日的熊猫龙凤胎直播，12月8日开始还可以看到今年刚刚赴港的大熊猫安安可可。

??在这里，真的能和海洋公园缔造充满欢乐、惊喜和难忘的回忆！每一个瞬间都值得珍藏，赶快趁着冬日来香港海洋公园打卡吧，相信我，你一定会爱上这里的！??",IP属地:陕西,,,,,香港海洋公园好评
Fighter1964,5分,超棒,景色5,趣味5,性价比5,是我目前觉得世界上最好完的主题公园：上天下海都可以。上天可以做缆车、下海可以坐小火车穿海底。最主要是各景点不二次收费，像国内一些5A景点：大门票100，上下缆车200，自由落体100，摩天轮100，漂流120。如果按国内景点分解没有1000，是玩不下来的。,IP属地:贵州,,,,,香港海洋公园好评
M49****1412,5分,超棒,景色5,趣味5,性价比4,香港海洋公园不仅拥有品种非常多的各种鱼可以观赏，而且上山乘坐的小火车站和车厢非常复古，体验极佳。下山时坐索道缆车可以完整欣赏著名的浅水湾和附近星罗棋布、郁郁葱葱的小岛以及香港的市容。它是到香港游玩体验极佳的地方。,IP属地:安徽,,,,,香港海洋公园好评
家在辽北,5分,超棒,景色5,趣味4,性价比5,"开了40多年的香港海洋公园，注定是游乐园中的传奇，来港后特别推荐的一处旅游景点，而且特别适合家庭旅行。香港海洋公园交通便利，可以乘坐地铁和公交车直接到达，要记住，园区是10点开门哦。
之前也是做过一些攻略，个人认为，对于不太喜欢玩娱乐设施的大龄朋友，不用那么急登山，建议从下往上玩。进园后，先去看海洋生物，了解海洋知识，毕竟是海洋公园嘛。然后再去旁边的场馆看看大熊猫和小熊猫，还有一个金鱼馆，也是蛮有特色的。
快到11点的时候，缆车站也快开了，坐着缆车登山，游览沿途风景，心情好一顿舒畅。登顶后，再去两个北极馆游览海豹、海狮和企鹅，企鹅馆有点冷，小心感冒。游览之后最后再坐几项娱乐活动，开开心心的坐小火车回到起点。真的是很开心的一次观光，整个行程游玩下来差不多要大半天，很充实。无论是在设施、服务、环境上，都没得说。两个人在端午节假期，门票才426元人民币，觉得好值。
总体来讲，这是一处特别值得观光的旅游景点，强烈推荐。",IP属地:北京,,,,,香港海洋公园好评
尼的快乐呀,4分,满意,景色5,趣味4,性价比4,香港海洋公园园区分为两个部分，山上和山下，通过登山缆车和海洋列车（类似地铁）连接，登山缆车的乘坐过程中可以看到无敌的山景和海景，没有空调，可以感受丝丝海风。海洋列车相对比较快捷，全程穿梭只需要4分钟左右。过山车和跳楼机这些机动游乐设施在山上，建议早晚去玩，下午真的很晒，几乎没有遮阴的地方。下午可以在山上的水族馆或者山下的熊猫馆这些有空调的地方参观更为舒适。园区的电子地图可以查看表演点时间，初次入园不能错过。,IP属地:广西,,,,,香港海洋公园好评
阿悠麻麻,5分,超棒,景色5,趣味5,性价比5,"带着小朋友来香港，除了迪斯尼外，最不可错过的当然就是海洋公园了，这也是香港很值得去的亲子旅行地之一了。
海洋公园其实在70年代的时候已经建成了，当然现在我们去玩的海洋公园已经和那时候的有了很大的变化，哪怕是和十年前相比，也是变化很大了。不过看到的山还是那座山，看到的海也还是那片海，景色还是差不多的。
一进入游乐园，人就会变得很开心，像个孩子一样。海洋公园里面的游乐项目不是特别多，但是可以看演出，做游戏，看到很多不同的海洋生物，所以对于小朋友来说，也是一次涨知识的旅行。山顶的缆车一定要去做一次，看着无敌海景坐在缆车上，感觉应该像是在空中游览一般。
旅行小贴士：去海洋公园之前，建议大家门票在网上先购买好，这样会优惠很多。另外，最好安排一整天的时间在这里，这样玩起来就很轻松也很充足。",,,,,,香港海洋公园好评
优噗噜优噗噜,5分,超棒,景色5,趣味5,性价比5,"最近带着家里的侄子侄女去了一趟海洋公园游玩，来给大家出一个适合家庭游玩的海洋公园游玩攻略吧
先说这两天住的地方，我们选择了沙田的帝都酒店，离沙田广场很近，回程购物很方便，地铁公交接驳，交通很方便。当然预算充足也可以直接住海洋公园旁边的万豪酒店，简直下楼就是公园了??
海洋公园有自己的地铁站，所以直接坐到站下来走五分钟就到啦！[爱心]
在携程上提前订票会优惠一点，我们三大两小，五张门票一共1590，有一个家庭套票还送了一份哈根达斯冰淇淋呢
保存好确认邮件中的二维码，凭二维码就可以进场啦。
园区进场前会有意思意思的开书包检查，但还是要尊重园区规则，不要自带食物进去。?
进去之后大门口就有园区地图，有中英文，拿起一张就可以开始花式游园了。
园区里的机动游玩项目绝对是又多又刺激的，当然最大的亮点就是有熊猫宝宝看啦。[爱心]
从山下到山上的方式有多种，可以坐缆车也可以坐高速列车（类似地铁）也可以走过去。
缆车如果不恐高绝对是推荐去坐，山景海景园景都一次看个够。
山顶的游玩设施大多都很刺激，有个小丑过山车，简直是体验了一把上天入地的感觉；极地过山车虽然没那么刺激，但也是尖叫连连；还有360度旋转的观景平台，旋转木马，各种小游戏（大部分都是20-50港币玩一局，很划算）全都可以去玩。
玩过瘾了就坐动车下山，山下比较多动物园海洋馆，考拉熊猫鲨鱼都可以看一看。
把握好看海洋动物表演的时间，提前一点去剧场里面找个观看的好位置，海洋动物表演很精彩，有海豚海狮，配合驯兽员的表演，真的很精彩。
园区里工作人员小丑们都欢乐热情
??园区里面的饮食，里面有麦当劳，价格和外面差不多，这个是我们两餐饭的首选，而且也很好吃；园区里随处可见直饮水，可以带一个空水瓶进来装水喝。
??玩丛林漂流只会湿身的，不小心还会湿很多，要不买件雨衣要不穿一件防水防风的外套吧。这个游戏项目出来就是洗手间，整理很方便。
??全园的过山车我个人觉得还是有点太刺激了，胆小的年事已高的朋友们要慎重考虑一下。
??记得选择非节假日过去游玩，体验效果极好，全部项目几乎等五分钟就可以玩了，很开心园区有提供vip免排队服务，价格也很合理。残疾人行动不便的老人可以免排队。
出行前最好看好天气预报哦",,,,,,香港海洋公园好评
阿木阿土,5分,超棒,景色5,趣味4,性价比5,香港海洋公园是到港游客的必游景点之一，运营效益一直不错。第一次去是十几年前，当时惊艳于海洋公园漂亮的海景，特别是乘坐长长的缆车翻越两个山头，蔚蓝色海湾尽收眼底，感觉非常难忘!海洋公园巨大的水族馆当时在国内也很少见，因此令人流连忘返，只恨时间太短，玩不够。此番重游，虽没有初次的难忘记忆，但各类项目仍然运营很好，最适合小朋友们游玩了。如果时间有限，可以缆车上山，海洋列车下山。推荐摩天轮、海洋摩天塔、海洋馆水母馆、极地动物馆等项目一定要去。海洋剧场的海洋动物表演非常精彩，不可错过。公园交通便利，有地铁可达。,,,,,,香港海洋公园好评
鲤慢慢,4分,满意,景色4,趣味4,性价比4,"雨中游海洋公园
很喜欢小雨天玩游乐场，不用晒太阳人也不太多
看企鹅排队游泳看了半个小时
只是缆车下雨时会停止运行，雨停时会继续开放
好险还是坐到缆车，实在太开心了??
香港老大街是最有特色的，非常适合拍拍拍，也有很多特色小吃和应季限定主题美食，今年圣诞是麦兜主题，万圣节是sanrio家族
最刺激的机动游戏作为不敢玩的怂包真是浪费了，比起内地的游乐场，香港真是太敢玩了！360&#176;的大摆钟还在空中倒吊停留，我是拒绝的……",,,,,,香港海洋公园好评
