user_detail_name,text,text 2,text 3,text 4,text 5,content_wrap,iplocation,,,,,attraction_name
M22****6178,1分,不佳,景色1,趣味1,性价比1,大杂烩，为啥叫海洋公园,IP属地:广东,,,,,香港海洋公园差评
M14****654,1分,不佳,景色1,趣味1,性价比1,大家一定不要在携程上预定、价格不仅比的平台贵、而且遇到问题携程只会推责、态度很差,IP属地:江苏,,,,,香港海洋公园差评
qiuqiu789,1分,不佳,景色5,趣味5,性价比1,取票的二维码很不方便,IP属地:江苏,,,,,香港海洋公园差评
Cristiano yang,1分,不佳,景色1,趣味1,性价比1,日落西山，啥表演没有，餐厅脏乱差没有保洁人员。,IP属地:上海,,,,,香港海洋公园差评
匿名用户,1分,不佳,,,,海洋公园的服务啥的都不咋样，没有体现香港精神，越来越差了！！,IP属地:未知,,,,,香港海洋公园差评
璐??????,1分,不佳,景色1,趣味1,性价比1,还是去迪士尼吧，根本没啥看的玩的，都赶不上我们大连的极地馆,IP属地:辽宁,,,,,香港海洋公园差评
刘先生,2分,一般,景色2,趣味2,性价比2,买不买没啥用,IP属地:河北,,,,,香港海洋公园差评
201****050,1分,不佳,景色3,趣味3,性价比4,非常不好的服务，今天突然住院特殊申请，拍下住院要手术的都不可以，要我跟医生拿证明，住院也骗你携程吗？还没做手术.还要像保险公司一样开证明。我不要你这个钱吧啦吧以后谨慎这里订，去其他平台吧，服务好多啦,IP属地:广东,,,,,香港海洋公园差评
kak****yu,1分,不佳,景色3,趣味3,性价比1,餐厅下午五点关门，赶过去都关店了，买的餐券全都没用上，孩子累得不行，花了一千多吃了个港式茶餐厅，性价比低到爆！,IP属地:未知,,,,,香港海洋公园差评
匿名用户,2分,一般,景色5,趣味5,性价比1,这个打着包含餐劵幌子诈骗的票大家千万不要买，没有一家小食亭可以用。人多的要命排一次对一个小时，排到不能用，不排没人理会你！太坑人啦,IP属地:澳大利亚,,,,,香港海洋公园差评
匿名用户,2分,一般,景色5,趣味5,性价比1,这个打着包含餐劵幌子诈骗的票大家千万不要买，没有一家小食亭可以用。人多的要命排一次对一个小时，排到不能用，不排没人理会你！太坑人啦,IP属地:澳大利亚,,,,,香港海洋公园差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,买了快证 人员还要我走普通的排队，旅游是人不多？！前面50号人叫不多吗？,IP属地:中国香港,,,,,香港海洋公园差评
匿名用户,2分,一般,,,,"身高要求太严格,孩子们不能享受。",IP属地:未知,,,,,香港海洋公园差评
203****281,1分,不佳,景色1,趣味1,性价比1,性价比不高，没啥意思,IP属地:北京,,,,,香港海洋公园差评
M27****7276,1分,不佳,景色1,趣味1,性价比1,非常差评  一点都不需要买快速通道票  商家买了  还不允许退票,IP属地:广东,,,,,香港海洋公园差评
福爱欣,2分,一般,景色5,趣味3,性价比5,这个真的不合适三岁以上及125一下的小朋友，因为三岁之前不收票，125以下好多都不能玩，能玩的孩子不感兴趣，所以性价比不高！三岁之前的宝宝可以感受下氛围，125以上的可以玩一些游乐项目！,IP属地:中国香港,,,,,香港海洋公园差评
M35****489,1分,不佳,景色1,趣味1,性价比1,大家千万不要在携程上买太平山缆车和观景台2大1小套票，当天刷二维码无法进入，携程还不给退钱，直接损失277元，购买内容涉及很多条条框框，欺骗消费者。,IP属地:中国香港,,,,,香港海洋公园差评
_WeCh****48421,2分,一般,景色4,趣味2,性价比2,和广州州长隆没可比性,IP属地:中国香港,,,,,香港海洋公园差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,遇台风 没退票,IP属地:中国香港,,,,,香港海洋公园差评
M53****388,1分,不佳,景色1,趣味1,性价比1,难吃，没有味道，服务一般。,IP属地:广东,,,,,香港海洋公园差评
海原邹忌,1分,不佳,景色1,趣味1,性价比1,携程已经堕落了联合他人坑害消费者  已经准备和携程打官司了,IP属地:江苏,,,,,香港海洋公园差评
158****8109,1分,不佳,景色1,趣味1,性价比1,孩子吃了熱狗食物中毒,IP属地:中国香港,,,,,香港海洋公园差评
M33****1857,1分,不佳,景色1,趣味1,性价比1,行李存放收费太高140一件,IP属地:广东,,,,,香港海洋公园差评
138****7706,1分,不佳,景色2,趣味1,性价比2,好奇好评都是哪里来的，山上的路都是斜坡路，大人走起来都累不要说老人小孩，海豚表演非常失望，几个主持说完一堆什么吃本地鲜以为就开始表演。结果说表演结束。东西很难吃，游戏摊位非常贵，不好玩，而且礼物又差。太令人失望，绝不会再来,IP属地:广东,,,,,香港海洋公园差评
206****819,2分,一般,景色4,趣味2,性价比2,"游乐项目排队巨长，比如超速旋风，一轮游戏，上去两分半，准备时间十分钟，所有游客就位后偌大的一个游乐场只有一个安检员检查设备，导致流转效率很低。
这也就罢了，这么长的队伍，海洋公园的app显示的排队时间只有45分钟，实测下来排队却要两个小时++++++。请问这个预估是怎么做出来的?",IP属地:北京,,,,,香港海洋公园差评
M47****6621,1分,不佳,景色1,趣味1,性价比1,非常满意了,IP属地:山东,,,,,香港海洋公园差评
M68****0893,1分,不佳,景色1,趣味1,性价比1,"园区无监控
丢了东西服务人员不管冷漠
保安少
设施老旧",IP属地:天津,,,,,香港海洋公园差评
匿名用户,2分,一般,景色2,趣味2,性价比2,没了往日的活力。很多设施都关闭。买了全价进去进去很多项目都不能玩。浪费钱！不值得去,IP属地:澳大利亚,,,,,香港海洋公园差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,很多有自己感收,IP属地:北京,,,,,香港海洋公园差评
俞秀蓮,1分,不佳,景色1,趣味1,性价比1,香港海洋公園的遊園體驗非常糟糕，和歡樂谷有得一比，票價貴，性價比機會沒有！！！,IP属地:日本,,,,,香港海洋公园差评
159****1717,1分,不佳,景色2,趣味2,性价比1,没有特别的项目，动物表演没有，就揽车，摩天轮坐下，其他很普通。吃方面很贵，能带点小零食在包里。一路没有遮阳的地方，非常晒。图3是极地餐厅，那份沙拉，是菜钱加制作费加服务费，额，大约300港币这一盆生菜沙拉加西班牙火腿。餐厅拿号排队，让你在大大太阳底下站着排，然后排到进去，哇，里面很多位置空的，让大家站外面那么久，拿号不说规则，到我号了，跟我说每位最低消费100，我们2大3小，要500。天啊我站着晒半个小时了，一群孩子饿了，你这样搞，你给号时不说，那就算了，服务费听说过，制作费还另收，每个菜品制作费不一样40到80不等，500多吃了一个沙拉一个薄饼，塞牙缝，也没有特别服务。,IP属地:广东,,,,,香港海洋公园差评
159****1717,1分,不佳,景色1,趣味1,性价比2,馆，！！不好玩，没什么海洋动物看，机动设施比较旧，跟长隆没法比，整个园很晒，记得打伞。吃~~~~极地餐厅，企鹅管旁边的，拿号排队，大大太阳晒着等，到号了说每人最低消100元，好吧，就当吃环境吧，3大2小，要500。没成想，每一个点的菜要加收服务制作费外，整单还要加收百分之几还是多少服务费。服务了啥？没特别，带路倒水，点餐是自助。点 2个餐，服务共100多，够够坑的，这是什么三文鱼黑松露158，，这整盆都是生菜，西班牙火腿薄饼258，什么玩意。避坑啊姐妹们。西瓜46一小个，这要是在家买这样一个西瓜买一个丢一个。总结，没下次。图片传不了，奇怪,IP属地:中国香港,,,,,香港海洋公园差评
206****551,1分,不佳,景色1,趣味1,性价比1,真的被携程骗过来的，每个工作人员都拉着个驴脸，他们坐在空调房里看你一身汗排队乐在其中，很不友好，设施老旧，随便大陆一个山寨游乐场比这个好玩十倍，千万别来,IP属地:中国香港,,,,,香港海洋公园差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,香港海洋公园就是个大坑货，烂设施，烂体验，烂表演…没有最差，只有更差…强烈要求退票退票退票，300多门票，30块都不值…,IP属地:中国香港,,,,,香港海洋公园差评
E10****09,1分,不佳,景色1,趣味1,性价比1,坑大了，快通压根没用，浪费近千元。,IP属地:湖南,,,,,香港海洋公园差评
Cy_10ve,2分,一般,景色2,趣味3,性价比1,香港现在真的一点不香了。特别落后，海洋公园跟10年前来没啥变化。香港人办事效率特别低，小雨海豚??表演也取消。反正体验感很差。设施都很破旧。跟上海海昌，珠海长隆一点不好比的，反正下次再也不回来了。,IP属地:江苏,,,,,香港海洋公园差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,买了快速通票，结果没有什么人没有应用场景。快速通使不上又不能退。已投诉。,IP属地:北京,,,,,香港海洋公园差评
138****4729,1分,不佳,景色1,趣味1,性价比1,没太大用处，很多不能用，然后能用的呢，每一波也放进不了几个，时间上没有节省多少，尤其是海洋摩天轮，每一波放不进去几个，总之不建议购买。,IP属地:北京,,,,,香港海洋公园差评
M43****2987,1分,不佳,景色2,趣味3,性价比1,人多时千万别玩碰碰车，排队半小时玩不到两分钟，不止碰碰车所有项目全都只有一个工作人员巨慢，其次排队不要看见只有一两条队人少，可能转角或者楼上还有几条队，天热时记得带风扇很多项目没有风扇 暴热,IP属地:中国香港,,,,,香港海洋公园差评
林妹妹,1分,不佳,景色1,趣味1,性价比1,非常差，尤其海豚表演。还不如10年前城市的动物园。和广州，珠海海洋馆比起来相差太远了，非常不建议去！！！！,IP属地:广东,,,,,香港海洋公园差评
M14****843,1分,不佳,景色5,趣味1,性价比1,好不开心啊，花那么多钱，看了天气预报说不下雨才去。去了竟然下雨。花了大钱逛公园。机器全部停掉不给玩。除了消费跟看看室内馆。啥也没有了。景区这样好不合理。我好想退钱。。。毕竟是冲着机动游戏去的,IP属地:中国香港,,,,,香港海洋公园差评
匿名用户,2分,一般,景色4,趣味4,性价比2,不用购买速通卡，绝大部分项目5分钟内可排到，几乎用不上速通卡。,IP属地:中国香港,,,,,香港海洋公园差评
匿名用户,2分,一般,景色3,趣味3,性价比2,海洋公园已经不是以前的那个海洋公园了，海洋快证里面好几个项目都停运了，还好意思卖快证，运营方良心痛不痛？,IP属地:福建,,,,,香港海洋公园差评
139****3402,2分,一般,景色2,趣味2,性价比2,体验感极差，携程上买了2份门票+通行证的套票，入园工作人员都不看清楚就说门票不含，又给重复买了2张门票。去服务中心要求退还，服务态度也不好，不太搭理我们,IP属地:上海,,,,,香港海洋公园差评
意相随,2分,一般,景色5,趣味3,性价比3,感觉不如从前,IP属地:江苏,,,,,香港海洋公园差评
M33****296,1分,不佳,景色1,趣味1,性价比1,不是携程定景点门票差！香港海洋公园真的又贵又没什么好玩！超级不值这个价！,IP属地:广东,,,,,香港海洋公园差评
匿名用户,2分,一般,景色2,趣味2,性价比2,不值得一去,IP属地:贵州,,,,,香港海洋公园差评
