user_detail_name,text,text 2,text 3,text 4,text 5,content_wrap,iplocation,,,,,attraction_name
爱旅游宝宝鸡,2分,一般,景色3,趣味2,性价比2,香港还是没落了，越来越差，非常不人性化！小孩一看就是不满3岁，非要提供证件才能不买票，结果证件没带，硬是让买一张儿童票。。。进去每个项目都是排队至少40分钟以上，很多项目身高不到102也不能坐。体验感很差，人巨多无比，连坐的地方都没，并且吃东西喝水巨贵，矿泉水35块，薯条套餐150，热狗88，真是无语，没钱看来真是没法来迪士尼。。,IP属地:广东,,,,,香港迪士尼乐园差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,买了两日票，本想第二天起床去乐园，结果小朋友高烧了，立马去医院检查，确诊甲流，联系携程，因甲流无法入园请于退票，携程客服反馈提供50元补偿，不与退款，确诊传染疾病，有医院确诊证明，不能退票，着实有点黑心商家，,IP属地:浙江,,,,,香港迪士尼乐园差评
艾米丽bj,2分,一般,景色5,趣味5,性价比1,港迪已经没有巡游了，很凑合非常差。烟花秀也不如以前。服务就更差，同行的小孩子烟花秀的时候着急上厕所，都停止服务了没得用，工作人员还态度很差的问早干嘛去了??这是早晚的事吗？建议以后还是考虑上迪或者东京迪士尼吧。,IP属地:北京,,,,,香港迪士尼乐园差评
匿名用户,1分,不佳,景色4,趣味4,性价比1,"商家很坑，提前购买春节出发的，购买没多久竟然降价100一张，买了8张，跟客服沟通退差价，各种理由借口说退不了。使用当天才发现购买的时候下载的门票已经被使用了，客服让我重新下载，不退差价说商家成本高，那么偷偷换了钱是什么操作！投诉商家，客服就打电话说全部就补偿50，不接受一直打一直打。
投诉一点用都没有，你接受也行不接受也行，就这个方案，非常差的体验",IP属地:广东,,,,,香港迪士尼乐园差评
188****3823,1分,不佳,景色1,趣味1,性价比1,不值得去 最大的亮点就是地铁站很有特色 相比上海迪士尼差远了,IP属地:北京,,,,,香港迪士尼乐园差评
娜娜005238,1分,不佳,景色1,趣味1,性价比1,说实话，体验感一点都不好，工作人员感觉都不太高兴，买东西、问路都特别不耐烦，更别说互动了。花车游行也很扯，一点都不欢乐！唯一的优点就是项目排队时间都在半小时内。,IP属地:陕西,,,,,香港迪士尼乐园差评
M24****4514,1分,不佳,景色1,趣味1,性价比1,孩子生病去了医院花了好几千港币，然后黑心的迪士尼乐园居然不给退钱。差评！差评！差评！,IP属地:上海,,,,,香港迪士尼乐园差评
jI-fangling,1分,不佳,景色3,趣味3,性价比1,整体一般，买了早享，结果到入院的时候没有早享的入园通道也已经开始入园了，浪费几百块，优速通里几个好玩的项目还不包含,IP属地:北京,,,,,香港迪士尼乐园差评
Ssserenayi,1分,不佳,景色1,趣味1,性价比1,一般般一般般,IP属地:北京,,,,,香港迪士尼乐园差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,为什么三项优速通会有限制？票价就不合理，餐食价格过于高昂，这些我和朋友们都接受了，虽然也由于自己没有仔细查看，但这么火的迪士尼ip为什么不亲民，难道我们平民百姓只能一辈子来一次？优速通就这么欺负我？,IP属地:北京,,,,,香港迪士尼乐园差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,为什么三项优速通会有限制？票价就不合理，餐食价格过于高昂，这些我和朋友们都接受了，虽然也由于自己没有仔细查看，但这么火的迪士尼ip为什么不亲民，难道我们平民百姓只能一辈子来一次？优速通就这么欺负我？,IP属地:北京,,,,,香港迪士尼乐园差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,为什么优速通要有限制，必须要从五项之内选择三项，虽然这里饭价很贵，我和朋友也都接受，但为什么优速通要有限制，这一点我不能接受。,IP属地:中国香港,,,,,香港迪士尼乐园差评
M25****3425,1分,不佳,景色1,趣味1,性价比1,8个项目，5个项目被人盗刷。携程最后解决方案是自查没有问题，不能退款，这不是欺诈是什么。港迪工作人员说不是一个人反应这个问题了，反正不是港迪就是携程问题，谁也不负责任。,IP属地:江苏,,,,,香港迪士尼乐园差评
匿名用户,2分,一般,景色3,趣味2,性价比2,入园开包检查就不算槽点了，进闸门还要拍照采集人脸信息，*啊！这搞得跟大陆一样啊！,IP属地:中国香港,,,,,香港迪士尼乐园差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,难吃的要命,IP属地:广东,,,,,香港迪士尼乐园差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,体验感最差，没有之一,IP属地:四川,,,,,香港迪士尼乐园差评
118****533,1分,不佳,景色1,趣味1,性价比1,携程服务拉夸这样的确认单都可以发给客人进园,IP属地:广东,,,,,香港迪士尼乐园差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,除了贵，一点价值都没有。,IP属地:广东,,,,,香港迪士尼乐园差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,港迪可玩性比上迪差远了，服务也不行。,IP属地:上海,,,,,香港迪士尼乐园差评
205****596,1分,不佳,景色3,趣味3,性价比1,多年前来过2次，这次跟之前对比差了很多，工作人员全程黑脸，包括酒店的工作人员也是十问九不应！,IP属地:广东,,,,,香港迪士尼乐园差评
匿名用户,2分,一般,景色2,趣味3,性价比2,跟上海迪士尼没法比。不仅规模大小，设施新旧，员工态度就没几个好的，园区里供休息的位置太少。,IP属地:上海,,,,,香港迪士尼乐园差评
