user_detail_name,text,text 2,text 3,text 4,text 5,content_wrap,iplocation,,,,,attraction_name
聂小龙,1分,不佳,景色1,趣味1,性价比1,极差，排队两个小时都进不去，一直在放VIP进去，难道我们没花钱么，一样的狗屁摩天轮，一塌糊涂！！！,IP属地:广东,,,,,影汇之星八字形摩天轮差评
_TI***p5,1分,不佳,,,,我们订了六位8字摩天轮价格已经超过今天他们可以提供的包厢服务，但携程网站完全没有提及我们可以用包厢的价钱去体验8字摩天轮不用排队又不用等候，但现在我们付的价格更贵，而且还等候了两个小时,IP属地:未知,,,,,影汇之星八字形摩天轮差评
嘉木小南,2分,一般,景色2,趣味2,性价比2,说了随时退，又不能退，还说部分使用了，其实根本没用，还是排队去玩了，就这样,IP属地:广东,,,,,影汇之星八字形摩天轮差评
_WeCh****883953,2分,一般,景色2,趣味2,性价比2,除了在外面看着还可以之外，其他的不怎么样。,IP属地:广东,,,,,影汇之星八字形摩天轮差评
E24***40,1分,不佳,,,,去到现场先知道，今日是免费坐。接著要同一班唔需要付钱的人一齐排队，非常差的体验。,IP属地:未知,,,,,影汇之星八字形摩天轮差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,"聞名不如見面。
没有亮点！ 夜景：没有！
多人1车箱拍照都有点难，气氛？
还不如无锡，上海，台北的摩天轮。
车厢内有刹车烧焦味…",IP属地:美国,,,,,影汇之星八字形摩天轮差评
_TI***hv,1分,不佳,,,,随机的意思跟指定ㄧ样吗？推出三丽鸥包厢，消费者高兴的预定了，买了机票、排了行程，到现场工作人员回你一句：说?其他包厢都是事先预定安排下午茶，只有布丁狗能坐，回你一句要坐就坐，不坐就在携程网退费，换一般车厢每人还要加港币20元，这是诈骗吧??应该买的页面要说（只有布丁狗包厢），订的时候就考虑买不买，我们一行八人，移动跟安排行程是随便的吗？是业者老大心态吗？让员工回话如此有底气，还回我们，如果是他，他也会生气?然后呢？世界之大，网路四面八方贩售，这种行销方式，根本是对观光客诈骗，令人生气，去澳门旅游7、8次，每次都非常开心，对于这种操作，真心希望改进，也恳请携程网关心关心，帮消费者把关好,IP属地:未知,,,,,影汇之星八字形摩天轮差评
_zx403****882119,1分,不佳,景色1,趣味1,性价比1,这个商家发了过期的票给我。我想退票，先是说要等第二天，验证完我的使用状态才能退，到了第二天又说过期了不能退。完全是欺骗！,IP属地:中国香港,,,,,影汇之星八字形摩天轮差评
猫生六翼,2分,一般,景色5,趣味5,性价比1,买了小黄鸭包厢，当天遇到检修停运，新濠影汇工作人员说下午两点就发邮件通知第三方了，结果携程平台上居然还能卖票，然后新濠影汇工作人员说可以延期到6月30日，实在无语，摩天轮票可以延期，一大家子来回机票谁给我补贴？跟携程工作人员掰扯退票半天无果，火大的很！先是回复明天再处理，后来又成了后天再处理，很不爽！明明是商家和平台衔接上出了问题，却要消费者承担损失！逛了半天不死心，就再回去看看有没有检修好，运气不错下午四点终于恢复了，但是我们在平台买的三点半的票，已经过时了刷也刷不出来不让进，又一阵无语，还好当时我咨询的新濠影汇的工作人员也在，就给我们安排了乘坐，表扬一下！但是整件事情反应出来携程平台在工作上的失误和后期跟进的延迟和无效，令人很不愉快，如果不是我们运气好下午四点修好了，且当时检修时咨询的工作人员也正好在当场，那么是不是就这样不处理让消费者承担损失了呢？这样谁还敢在携程订票？我第二天订其他景点的票，就选了其他平台，不然再出状况，携程是不是又客客气气的跟你说“过两天在看怎么处理”？！”,IP属地:中国澳门,,,,,影汇之星八字形摩天轮差评
匿名用户,2分,一般,景色3,趣味2,性价比2,第一次网上看到一个双人票，单人票，我订了个双人票，就以为是2个人一起去的，结果甜蜜的还是只能一个人，搞这种文字游戏，另外摩天轮除了旅游打卡，没任何意思，。,IP属地:广东,,,,,影汇之星八字形摩天轮差评
