user_detail_name,text,text 2,text 3,text 4,text 5,content_wrap,iplocation,,,,,attraction_name
可可澄音,1分,不佳,景色1,趣味1,性价比1,服务很差 人员态度不好 给的雪球杯是脏的破的的还不给换 避雷,IP属地:中国香港,,,,,澳门塔差评
M51****7730,1分,不佳,景色1,趣味2,性价比1,"【大家买前一定要看，做好思想准备，避免入坑】
饭菜质量、服务特别差，劝大家谨慎购买。
1.饭菜种类很少，食材也都是很常见的，吃的非常一般，性价比非常低。
2.有限时。以11点30-1点为例，最多不能超过一个半小时，比国内自助餐的时间短。另外，到了1点，强制赶人走。即便是12点半进去的，只吃了半个小时，也会被赶出来。事前不说清，严重损害了消费者权益。",IP属地:北京,,,,,澳门塔差评
M28****161,1分,不佳,景色1,趣味1,性价比1,下午茶分量很少,IP属地:广东,,,,,澳门塔差评
E38***03,1分,不佳,,,,下午茶食物太差 好似摆咗好耐嘅食物 有难食 不会再去,IP属地:未知,,,,,澳门塔差评
M30****2911,1分,不佳,景色1,趣味1,性价比1,注意看规则，没有去竟然不能退票。一般没去都是自动退票的,IP属地:中国澳门,,,,,澳门塔差评
匿名用户,1分,不佳,景色2,趣味1,性价比1,吃过最难吃的下午茶，只是摆着好看,IP属地:中国香港,,,,,澳门塔差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,品种好少，菜品也好差，根本不值这个价钱，生蚝比烧烤摊2块钱一个的还要小根本没有什么肉，海鲜也只有普通的虾青口还有鲍鱼，其他甜品和饮料就不想说了，饮料只有汽水和咖啡，蛋糕硬邦邦齁甜……没有下次,IP属地:广东,,,,,澳门塔差评
海原邹忌,1分,不佳,景色1,趣味1,性价比1,携程已经堕落了联合他人坑害消费者权益  已经在搜集证据通过法律诉讼进行维权,IP属地:江苏,,,,,澳门塔差评
_WeCh****166329,1分,不佳,景色5,趣味1,性价比5,不咋滴啊 菜品差,IP属地:中国澳门,,,,,澳门塔差评
M22****2316,1分,不佳,景色1,趣味1,性价比1,垃圾 还不如外面楼底下拍 全是反光 每一张能看的 太坑 谁去谁上当 大冤种,IP属地:广东,,,,,澳门塔差评
匿名用户,2分,一般,景色3,趣味2,性价比2,"不去遗憾去了后悔系列...
澳门毕竟***为主...大三巴牌坊毕竟是免费的，这个塔就真的不太值得.... 周边也没做的很吸引",IP属地:上海,,,,,澳门塔差评
_M13****3653,2分,一般,景色3,趣味3,性价比5,没有想象中好看，晚上8点就关门了外面也不好看，服务人员态度非常好，不值得去打卡性价比不高,IP属地:广东,,,,,澳门塔差评
匿名用户,2分,一般,景色3,趣味2,性价比2,就三个字，太坑了！,IP属地:浙江,,,,,澳门塔差评
_TS***6d,1分,不佳,,,,收高价位，餐点ㄧ般般，没什么可选择的,IP属地:未知,,,,,澳门塔差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,很生气，安排了一个边角料座位,IP属地:广东,,,,,澳门塔差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,本人决定提前离开澳门，当日上午退订，要收取百分之百的退票费，一万分不合理。,IP属地:江西,,,,,澳门塔差评
M41****9034,1分,不佳,景色2,趣味1,性价比1,没什么好看的，当天晚上又起雾！,IP属地:广东,,,,,澳门塔差评
卡哇伊小公主,1分,不佳,景色3,趣味1,性价比1,以前去过一次感觉还可以吧，现在完全不一样了服务各方面都不好，进去感觉冷冰冰，景的话也就那样吧，还不如开个一千多元的酒店景色也相当不错了，这个真的算了吧算了吧，感觉也快倒闭了,IP属地:浙江,,,,,澳门塔差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,地下二层服务极差！！！一个穿蓝衣服的女的像吃了火药，一肚子气做服务工作，如果没心情干活就不要上班，把气撒给客人太过分了，这售票处提高服务吧，祝你活的长！,IP属地:广东,,,,,澳门塔差评
匿名用户,2分,一般,景色4,趣味3,性价比1,个别服务员服务态度极差！相当恶劣。环境再好也不会再去。谢了,IP属地:广东,,,,,澳门塔差评
M34****869,1分,不佳,景色1,趣味1,性价比1,不能退门票,IP属地:上海,,,,,澳门塔差评
QueenieTan,2分,一般,景色3,趣味2,性价比2,食品出味味道很差，把肉做得很差，不够新，只有个饼能,IP属地:中国澳门,,,,,澳门塔差评
Prof.Chao?,2分,一般,景色3,趣味3,性价比2,沒去過澳門塔的還是可以去的，但是我相信不會再想去第二次。門票價格就已經很貴了，還不包括其他項目，兩層樓空空如也，在很多酒店也可以欣賞高空景色。,IP属地:湖南,,,,,澳门塔差评
M22****6258,1分,不佳,景色1,趣味1,性价比1,没啥好玩的，如果不玩项目没必要花钱上去,IP属地:湖北,,,,,澳门塔差评
180****8200,2分,一般,景色4,趣味2,性价比3,食物品种少，不新鲜。芝士焗虾只能取半只，最不满的是四人就餐，饭后两人肚子不舒服。,IP属地:广东,,,,,澳门塔差评
默西塞德河畔,2分,一般,景色5,趣味2,性价比2,不推荐。吃的东西很少，而且食物出来都很凉，包括烧烤，唯一值得点赞的就是夜景,IP属地:福建,,,,,澳门塔差评
zhuyiyouye,1分,不佳,景色1,趣味1,性价比1,以后澳门有烟火千万别买这个烟火，建议直接现场买上塔的票，景观更好。这个就在一楼外面，而且靠海边一大圈都被VIP圈起来了，也不卖，拍照看烟火都不方便。花了钱进去也没地方坐，大概就放了三四张桌子，坑的一腿。,IP属地:中国澳门,,,,,澳门塔差评
Micheal李,1分,不佳,景色2,趣味1,性价比1,很差，基本都是坑，没有服务，组织很差，混乱不堪，其实有许多选择看烟花，劝大家不用花这钱，第一次差评,IP属地:广东,,,,,澳门塔差评
M43****910,1分,不佳,景色1,趣味1,性价比1,千万别去，脑子有问题才会去，只是进到澳门塔的一片空地看烟火，描述上写的8点到十点有免费饮品什么的，进去坐的地方都没有，吹着冷风，吃的都要花钱，这样一个人收200多，脑子没点问题不会进去的，感觉自己买了像个脑残，真的太恶心了，这个门票，别去别去别去。,IP属地:广东,,,,,澳门塔差评
M60****262,2分,一般,景色1,趣味1,性价比1,本来以为晚上去看澳门夜景。没想到。关门了。之前也不知道。遗憾了,IP属地:广东,,,,,澳门塔差评
_gf622****895534,1分,不佳,景色1,趣味1,性价比1,携程垃圾，价格贵，服务差，垃圾中的战斗机,IP属地:中国台湾,,,,,澳门塔差评
M36****001,1分,不佳,景色1,趣味1,性价比1,现场买的票 一人195葡币 折合人民币300多 买完才知道别人携程上107就可以,IP属地:广东,,,,,澳门塔差评
蔡娇淳,2分,一般,景色2,趣味1,性价比2,没有告知当天没有空中漫步那些活动，买票上去空空什么也没有，连咖啡机也没有咖啡 ，一个人也没有。空空的只有一个服务员，这种旅游景点那么出名，我觉得如果没有营业就该告知旅客，而不是旅客买票上去发现没有营业。然后又下来，买3个大人票一个老人票，是本次去澳门最不愉快的一个景点。,IP属地:广东,,,,,澳门塔差评
大老粗爱装文艺,2分,一般,景色2,趣味2,性价比2,澳门地标，任何地方都可以看到它,IP属地:中国澳门,,,,,澳门塔差评
英雄王二小??????????,2分,一般,,,,这里是可以去的哦可以的呀呀呀呀呀呀,,,,,,澳门塔差评
大脸猫??姐姐,2分,一般,,,,不错不错，可以去看看这个世界上最好看的,,,,,,澳门塔差评
-soso-,2分,一般,景色5,趣味3,性价比3,限時食一個半小時，一小時後催還有半小時離座，像趕豬一樣。感覺不好，但風景可以的。有待改进，,,,,,,澳门塔差评
M46****157,2分,一般,,,,呵呵呵，晚上去的，一点景也没有，浪费钱,,,,,,澳门塔差评
M35****069,2分,一般,,,,逛一逛了一般般,,,,,,澳门塔差评
虎牙iiiii,1分,不佳,,,,特别没劲 到了观光层玻璃还特别脏 拍景色都模糊的 不值 浪费,,,,,,澳门塔差评
E01****41,1分,不佳,,,,取票处工作人员态度奇差！不敢多问他们一句，怕被骂！去过上海东方明珠、广州塔的，这里就不建议了，很矮，而且没什么景色可言。,,,,,,澳门塔差评
DadyLeslie,1分,不佳,景色1,,,性价比很低 就是高处看下澳门的全景 也没什么很特别当地特色的纪念品卖了 晚上去拍照的效果不好 玻璃会反光 不建议去了 感觉没以前好玩了,,,,,,澳门塔差评
gzl0001,2分,一般,景色2,,,白花钱了 一点都不好，看个烟花站外面就挺好，非要跑里面去，结果烟花没看好，把机会也误了,,,,,,澳门塔差评
{呵呵}??妮,1分,不佳,景色1,,,***人员，几个皮肤黑黑的，不知道是菲律宾的还是马来西亚的态度超级差。拜托你们这里是中国，你们这些在中国赚钱的人怎么敢中国同胞态度这么差，然后对外国人都喜笑颜开的呢？真应该把这些人都驱逐出境！不推荐朋友去！,,,,,,澳门塔差评
M16****997,1分,不佳,景色1,,,客服解答错误，让我造成巨大损失，至今不给我回复，用了**这么多年，气愤,,,,,,澳门塔差评
德力努尔艾山哈尔,2分,一般,景色2,,,感观不是特别好，玻璃看的不太清楚,,,,,,澳门塔差评
M51****126,1分,不佳,景色1,,,上去看柱子，垃圾的要死，骗钱的玩意,,,,,,澳门塔差评
_WeCh****86929,1分,不佳,景色1,,,看烟火在58层，隔着窗户烟火放后全是烟，感觉看了一场假烟火，看了第一场后就走了，第二张图片是在塔下看的，建议想买门票去看烟火的还是算了，在陆地随便找个地方看就好，更美丽。,,,,,,澳门塔差评
M16****205,2分,一般,景色2,,,一般般吧 旋转餐厅东西不怎么新鲜 景色不错 可以去上边看看景色 吃饭可以免了,,,,,,澳门塔差评
晴天,1分,不佳,景色1,,,体验非常差，一点也不值这个价钱。,,,,,,澳门塔差评
晴天,1分,不佳,景色1,,,体验非常差，一点也不值这个价钱。,,,,,,澳门塔差评
186****3313,1分,不佳,景色1,,,超卖票 根本不能上塔 还不退票,,,,,,澳门塔差评
朱小特,1分,不佳,景色1,,,售票两个娘们素质真**低，服务特别差！再也不来了！差评！,,,,,,澳门塔差评
M58****799,2分,一般,景色2,,,这，是我坐过的最贵的一次电梯！,,,,,,澳门塔差评
M22****3100,1分,不佳,景色1,,,没有赶上最晚取票时间、白买了、建议到了那边再买票、,,,,,,澳门塔差评
wyx149,1分,不佳,景色1,,,对于摄影爱好者来说不太推荐，首先全部隔着玻璃，拍摄会有反光，这一点可以用镜头贴着玻璃再用手挡住玻璃周围反光，但是外边供游客参与的项目挡住了大部分视角，非常影响构图。关键是购买时看说明包含61楼室外观光走廊，实在理解不了在室内怎么叫室外观光走廊，而工作人员告知要在室外那条走廊上走需要再付将近700澳门币。,,,,,,澳门塔差评
M29****9476,2分,一般,景色2,,,最后的证书，名字给我打错了，希望你们看到能帮我联系下,,,,,,澳门塔差评
-wei-,1分,不佳,景色4,趣味5,性价比3,感谢澳门塔替我省了几千块，都做好心里准备了。结果购买前一刻被景点售票人员告知，买这个要晚上6点以后的才可以预约，然后9点左右才可以玩到！然后人家主动说携程上这样写就是骗你们买啊！so购买前一定问清楚！问清楚！！！,,,,,,澳门塔差评
夏朗德正德皇帝,1分,不佳,景色1,,,不好玩，不如去广州塔。又小。风景也不好看。,,,,,,澳门塔差评
M41****598,1分,不佳,景色1,,,携程店大欺客，采取霸王条款，以后不会再通过携程预订任何行程。,,,,,,澳门塔差评
138****6825,1分,不佳,景色1,,,这天去澳门天气不太好，本来想订当天的，价钱超贵还不带门票，就携程订了，可是自助餐太差了，逛了3圈都没什么好吃的，粥也很稀,,,,,,澳门塔差评
M27****9983,2分,一般,景色2,,,游客很少，服务人员态度不怎么好,,,,,,澳门塔差评
蛤蟆蟆,2分,一般,景色2,,,强烈不推荐澳门塔上面的自助餐，质量太差劲了！说说是自助餐，其实都是给你拿好的！当然质量那么差，能硬着头皮吃完都难,,,,,,澳门塔差评
_M13****1677,1分,不佳,景色1,,,不能退改 点错时间。票就浪费了,,,,,,澳门塔差评
_zfb20****3836734,1分,不佳,景色1,,,差评，我是双十二订票的，出来游玩后忘记日期了，应该是1.31蹦极，我们一直记得是2.1，到了澳门塔换票才发现记错日期了，作为顾客是希望携程给予帮助的，在澳门打电话给携程，等了半个多小时跟我说没办法，不能改时间。澳门塔工作人员说只要携程重新发邮件给他们，就能通过的，可是携程完全没有帮忙！现在很多网站上预定，都会在行程前一天发短信再给予提醒的，可携程是在12月份我下完单后只提醒购票成功，其他时间都没有任何通知。主要错在我本人，记错行程，但携程的不人性化也有很大责任，行程前提醒这是必要的。辛苦工作一年，用了8天的年假出来就想放松一下，都到了澳门塔了，不跳会很失望，就重新买票花了3000多人民币，现在是花了我6000多跳了一次澳门塔，携程就给予补偿100块，晕倒！这是我出来玩最差劲的一次旅行,,,,,,澳门塔差评
有脾气的瓜,1分,不佳,景色1,,,不知道如何使用，反正还没有使用就过期了,,,,,,澳门塔差评
咖啡中的米其林,2分,一般,景色2,,,上塔看还行一般般，体感最差的就是还没上去就被忽悠拍照，然后逛完下来就被推销刚拍的照片，硬是被宰了几百MOP,,,,,,澳门塔差评
音乐大石,2分,一般,景色2,,,"人很少，没有必要买vip，浪费钱!
塔里前台工作人员服务很差，态度不好!楼上电梯服务好点。",,,,,,澳门塔差评
200****752,1分,不佳,景色1,,,购买后确认下午1点可用，但现场要补差价！反馈、协调、等待，最终携程同意先在现场补钱 、携程再退的方案解决，但漫长的过程让心情变得糟糕，兴趣索然！,,,,,,澳门塔差评
m41****53,2分,一般,景色2,,,很一般 露天也有高玻璃 拍照反光,,,,,,澳门塔差评
静魅罗-敏,2分,一般,景色2,,,晚上7点40分到的，没有人，灯也关掉了，什么都没有，最差的景点,,,,,,澳门塔差评
LCAL642150,1分,不佳,景色1,,,买个套票，忽悠人，什么买4送1，尼马纯脆骗人，搞了半天是买了4个送里面的一个人，第一次听这种说法。以后携程的东东要认真烧脑。,,,,,,澳门塔差评
M25****4327,1分,不佳,景色5,趣味2,性价比1,产品与描述不符，产品与描述不符，产品与描述不符,,,,,,澳门塔差评
