user_detail_name,text,text 2,text 3,text 4,text 5,content_wrap,,,,,,attraction_name
_WeCh****710343,1分,不佳,景色5,趣味1,性价比1,因为行程改变，又没办法退票，所以威尼斯贡多拉包船游船票低价转让，超低价格，抢到赚到！有效期到10.15日，有意者联系***********,,,,,,澳门威尼斯人度假区差评
匿名用户,2分,一般,景色5,趣味1,性价比2,很美，但没一点性价比，来回一共15分钟，真不如在岸上拍拍照来的实在，强烈不推荐，别入坑。,,,,,,澳门威尼斯人度假区差评
好撑啊,1分,不佳,景色1,趣味1,性价比1,不要在携程买船票，想玩自己去现场买票。,,,,,,澳门威尼斯人度假区差评
_WeCh****03217,1分,不佳,景色1,趣味1,性价比1,"本次旅行是为了庆祝生日和蜜月，所以选择了威尼斯人，在各个平台做了很多功课，支付宝铂金会员还可以升级房间，但最终不仅房间没有升级，还收获了一间陈旧的有虫的房间！
首先打开酒店厕所，从天花板上的通风口掉下来很多黑色的灰尘，真的是纯黑色！把我吓一跳，这要不是很久没人住，怎么可能开厕所门掉下来那么多黑色的灰尘呢？
其次床上有个大虫，但因为入住的时候已经是深夜11点了，拍掉虫子，检查床单后还是睡了，晚上睡了一晚，第二天早上起来发现手上肿了两个大包，又痛又痒，现在已经持续一周多了，去医院检查是毒虫咬的，花了六百多看病。
最后一个五星级酒店怎么能让两个大活人住的3天2晚睡不着觉呢？严重怀疑是充氧了，每天都早上四点多醒的，白天特别没精神。酒店里特别干燥，整个皮肤都干的起皮了，肩膀也睡的吊住，只能去买药油和伤颈膏药。
此次旅行一共6天5晚，第二个酒店是巴黎人，要不是巴黎人休息的好，这次蜜月只有提早回去了！三次来澳门，最差的酒店，以后肯定不会再选择威尼斯人了！",,,,,,澳门威尼斯人度假区差评
M39****344,2分,一般,景色2,趣味2,性价比2,隔音差，卫生差，淋浴间墙壁地上都是头发！房间确实挺大的，还有会客厅,,,,,,澳门威尼斯人度假区差评
只说实话！,2分,一般,景色2,,,坑人的玩意儿，总共多少人在那条河里，总计用时也就十分钟，那外国人不给小费就不开口唱歌。澳门除了赌城，估计其他的都没啥意义。甲醛时有照片拍卖两张相片要了250元。,,,,,,澳门威尼斯人度假区差评
fbanizc,2分,一般,景色2,,,几分钟时间，不值得,,,,,,澳门威尼斯人度假区差评
M36****0056,2分,一般,景色2,,,很一般一般。,,,,,,澳门威尼斯人度假区差评
_m13****4828,1分,不佳,景色1,,,对于第一次来澳门旅游的游客来说，总认为威尼斯人度假村是非来不可之地，而实际上这个贡多拉船真没啥意思，简单划一趟，再加上那个无聊的船夫，总体说来，真不值这个票价，居然还让我排了那么久的队,,,,,,澳门威尼斯人度假区差评
118****982,2分,一般,景色2,,,一般吧，幸亏没给小费。感觉不值。,,,,,,澳门威尼斯人度假区差评
118****982,2分,一般,景色2,,,一般吧，幸亏没给小费。感觉不值。,,,,,,澳门威尼斯人度假区差评
成都旅行家套装679,1分,不佳,景色1,,,问题已经写在我的评价上。希望继续改进,,,,,,澳门威尼斯人度假区差评
M25****8264,1分,不佳,景色1,趣味1,性价比1,澳门的士司机宰客很严重，大家上车前一定问清楚。,,,,,,澳门威尼斯人度假区差评
水樱月,2分,一般,景色2,,,不值一个票价，路程太短了，唱歌还可以。比在大连坐的差远了，总体来说，澳门消费偏高,,,,,,澳门威尼斯人度假区差评
掌柜小Q,1分,不佳,景色1,,,******************,,,,,,澳门威尼斯人度假区差评
M24****9044,1分,不佳,景色1,,,很长时间没收到验证码！票没用上！,,,,,,澳门威尼斯人度假区差评
M29****3843,1分,不佳,景色1,,,由于你们没有及时处理，造成再次购票。,,,,,,澳门威尼斯人度假区差评
_WeCh****18928,1分,不佳,景色4,趣味5,性价比4,各个导游都非常冷酷到底，感觉我们是农村人上城的待遇。是自己花的钱不多吧，以后还是不要跟团，被人看不起！,,,,,,澳门威尼斯人度假区差评
m17****368,1分,不佳,景色1,,,很尴尬的体验，**姐问可以讲英语吗，我们回答no之后就一直冷场到结束。排队几小时最终坐也就十几分钟这样。还不如慢慢走慢慢看,,,,,,澳门威尼斯人度假区差评
186****8723,1分,不佳,景色1,,,花钱400元，排队90分钟，坐船10分钟。尴尬的是岸上的人像看猴子一样围观……这个游船项目这么火爆估计都是被攻略游记炒作的。真心不觉得有在威尼斯的感觉，而且“天空”好假，密布火警喷头！这里每一个吃饭的地方都排长队，吵闹和脏乱。DFA的收银员一副月经不调的臭脸，问一下优惠活动，就甩白眼！标价是澳门币，比香港略贵，结账时居然按港币结算，坑人没商量，真是服气！,,,,,,澳门威尼斯人度假区差评
631****813,1分,不佳,景色1,,,这个项目就是游船项目，排队俩小时，游玩十五分钟，巨坑，慎入,,,,,,澳门威尼斯人度假区差评
M27****5872,1分,不佳,景色1,,,非常差的旅游网，购买5张门票只能用3张，投诉后说会解决都是骗人的，不要在这些地方购买,,,,,,澳门威尼斯人度假区差评
M27****5872,1分,不佳,景色1,,,差评，订了5张票只能验证3张，还有两张票验证不了，退款申请客服还要申请这个那个，还说不能退,,,,,,澳门威尼斯人度假区差评
Nick,2分,一般,景色5,趣味5,性价比3,这种级数的酒店，收拾房间既然可以这样马虎！上手住客的臭袜还挂在灯架上！使我们感觉很恶心！要求严重整改！不要因为旺而任性！希望酒店方明白我给两颗星的理由！,,,,,,澳门威尼斯人度假区差评
香水百合,1分,不佳,,,,携程订票还要找地方打印出来才能用，在外旅游太不方便了，建议不要在携程买！！,,,,,,澳门威尼斯人度假区差评
110****606,1分,不佳,,,,订两套一大一小门票，就发一大一小，打几次电话都没解决！真的不靠谱,,,,,,澳门威尼斯人度假区差评
银仔,1分,不佳,景色1,趣味1,性价比1,非常棒、人生直得一去的地方,,,,,,澳门威尼斯人度假区差评
