user_detail_name,text,text 2,text 3,text 4,text 5,content_wrap,iplocation,,,,,attraction_name
210****276,1分,不佳,景色1,趣味1,性价比1,太差了 每个展品前都有一群野讲解带着一群群人 很久一动不动 极度影响其他游客参观 官方任由这种情况不好好管理 是去过境内外最差的博物馆 没有之一,IP属地:上海,,,,,
匿名用户,1分,不佳,景色1,趣味1,性价比1,埃及展人巨巨巨多！进去之后就有一堆导游和游客在一楼大厅，导致本来就不大的厅就很拥挤。展厅的引导也做得很差，厅里面人巨多，想走到前面看特别困难，又闷又热又挤，导致参观情绪很差，讲解器也不好用，说话断断续续，根本听不清，没什么大用，还不如自己看，一个厅也没有转完，感觉没有必要还耽误时间,IP属地:山东,,,,,
M43****6084,2分,一般,景色3,趣味3,性价比2,人挤人，没法玩,IP属地:北京,,,,,
不喜欢P图的旅行记录者,2分,一般,趣味4,性价比1,,首先申明上海博物馆没有古埃及文明展的时候去过一次，还是不错的。本想着这个埃及展已经过去了半年，1月份人流应该少些了吧，没想到依然是人挤人。门口进馆排队、馆内乌泱泱的都是人，身高不够的，根本看不到展品。如果你不怕人多，还是要去，OK，请一定要请人工讲解，除非你是埃及史专家，不然好不容易挤进人群，根本不知道看些啥。我们请的馆内讲解，上海博物馆官方小程序可以下单，每人150元，讲解质量比现场拉客的、网上下单的参差不齐的讲解员有保证的多。,IP属地:浙江,,,,,
Kkaatteebb,1分,不佳,,,,"真的很令人失望。我们买了这张票更多,因为上海博物馆网站上的免费预约已经全部预订。我们想看到更多的中国历史和文化遗产,但中国展览没有一个开放。他们都搬到浦东的上海博物馆东。埃及展品没有英语音频指南,也没有标牌上的英语描述。超级令人失望。不工作的钱,时间或努力。",IP属地:未知,,,,,
2395ye,2分,一般,景色2,趣味2,性价比2,一个偌大的博物馆除了付费的埃及展，其他大部分展品都搬到东馆去了。环境嘈杂，一堆等着赚钱的非官方解说员，一进门就抓着你问要不要讲解，这点在其他博物馆真是没见识过。,IP属地:江苏,,,,,
m24****0156,1分,不佳,景色1,趣味1,性价比1,没时间去，也不能退费，很差,IP属地:广西,,,,,
匿名用户,1分,不佳,景色1,趣味1,性价比1,人太多，太挤,IP属地:上海,,,,,
孤城暮角X,1分,不佳,景色1,趣味1,性价比1,订酒店找携程还行 但是订游玩门票大家切记上*猪等其他app多了解一下 人家那边318绿通 携程280要排队 而且不能退  经验告诉大家 虽然携程补了400,IP属地:江苏,,,,,
iguodala999,2分,一般,景色2,趣味2,性价比2,没去，不能退款,IP属地:天津,,,,,
