user_detail_name,text,text 2,text 3,text 4,text 5,content_wrap,iplocation,,,,,attraction_name
M48****5454,1分,不佳,景色1,趣味1,性价比1,"过山车不开放，孩子好失望。
炸鱿鱼也好难吃呀，建议别尝试。
租了个电瓶车，一天400元，其实没必要，园区并不大。
虎鲸的演出值得看，坐前排的需要买雨衣+鞋套，里面一套卖10元，园区门口的大姐卖10元3套，建议在外面买好。",IP属地:上海,,,,,上海海昌海洋公园差评
181****1099,1分,不佳,景色1,趣味1,性价比1,出了四大馆，进入后所有娱乐项目都要额外花钱，门票相当不合理，一大俩小门票七八百,IP属地:上海,,,,,上海海昌海洋公园差评
M29****6969,1分,不佳,景色1,趣味1,性价比1,差到极致了，不会去第二趟,IP属地:浙江,,,,,上海海昌海洋公园差评
alalajj,1分,不佳,景色1,趣味1,性价比1,上海的海昌海洋公园真的是穷疯了，缆车都要收费50元/人次了，原来是不收费的。总之进门之后就是各种收费！,IP属地:上海,,,,,上海海昌海洋公园差评
你许愿吧,1分,不佳,景色3,趣味1,性价比1,一点不好玩,IP属地:浙江,,,,,上海海昌海洋公园差评
匿名用户,2分,一般,景色2,趣味2,性价比1,没有路标，停车不方便，停车工作人员态度差,IP属地:浙江,,,,,上海海昌海洋公园差评
M48****3240,1分,不佳,景色3,趣味2,性价比1,感觉很不好，人很多，一天下来，不是排队，就是排队中,IP属地:浙江,,,,,上海海昌海洋公园差评
M34****608,2分,一般,景色2,趣味2,性价比2,性价比真的不高,IP属地:江西,,,,,上海海昌海洋公园差评
王君火奂,2分,一般,景色4,趣味4,性价比1,昨天睡过头忘记儿童票先买，今天到的时候就涨价成269，这还没完269还得2小时后才入园，非得买到279才能立即入园，什么定价机制?!对儿童不能宽容点吗？,IP属地:浙江,,,,,上海海昌海洋公园差评
M43****611,1分,不佳,景色1,趣味1,性价比1,蛇年属相说免费。我89年二月四日的。人家规定从6号开始才属蛇。神操作,IP属地:上海,,,,,上海海昌海洋公园差评
匿名用户,1分,不佳,景色3,趣味3,性价比1,行李寄存80-100一件太贵，周围商圈少。游乐设施旧,IP属地:重庆,,,,,上海海昌海洋公园差评
135****8719,2分,一般,景色2,趣味2,性价比2,现在非常不推荐了，很多设施都老旧了，中午的花车巡游也没有了，以前缆车免费，现在缆车来回25元一个人，不会再去了,IP属地:上海,,,,,上海海昌海洋公园差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,排队太久不好玩,IP属地:江苏,,,,,上海海昌海洋公园差评
m88****21,1分,不佳,景色1,趣味1,性价比1,集章换礼物活动 小朋友兴致勃勃敲好了，结果兑换的地方16-18点不开，一开始单子上也没任何标注，导致我们正好1605到那里，一看没人，不能兑换，小孩一场哭 大过年的搞个活动就不能做好一点么。兑换点的营业时间这么短，你就印在敲章纸上不行么？早上十点左右进门的差不多都是这个点来兑换 一群人在兑换点茫然无措 连个工作人员都找不到,IP属地:上海,,,,,上海海昌海洋公园差评
M32****4162,1分,不佳,景色1,趣味1,性价比1,价格贵，缆车路程短,IP属地:江苏,,,,,上海海昌海洋公园差评
D62****61,1分,不佳,景色3,趣味3,性价比1,要求停一个临时停车场，全是黄泥地，去还有接泊车，回来根本没有，问了门口十几个工作人员一盒都不知道，最后自己打车到停车场，没有任何指示标志，也是服了,IP属地:上海,,,,,上海海昌海洋公园差评
