user_detail_name,text,text 2,text 3,text 4,text 5,content_wrap,iplocation,,,,,attraction_name
_WeCh****00756,1分,不佳,景色1,趣味1,性价比1,园区太大，票价贵，一天玩不完项目,IP属地:天津,,,,,上海迪士尼差评
匿名用户,2分,一般,,,,"农历新年过后,我在工作日预订并参观了,但是我等了一个多小时,没想到这里会那么拥挤。",IP属地:未知,,,,,上海迪士尼差评
M51****4432,1分,不佳,景色1,趣味1,性价比1,花钱找气受,IP属地:江苏,,,,,上海迪士尼差评
_M13****1881,1分,不佳,景色1,趣味1,性价比1,门票比去哪网贵，还不保价，客服态度生硬，处理方式还不真诚，给携程差评。不再信任携程。,IP属地:上海,,,,,上海迪士尼差评
_M13****1881,1分,不佳,景色1,趣味1,性价比1,这个差评不是给迪斯尼度假区的，是给携程的。作为携程10几年的老客户对现在携程的服务感到无比失望，在携程上提前购买了迪斯尼的2日门票，无意间查看去哪网的门票价格，2张2日门票比携程低58元，于是申请保价，第一次携程致电是个男客服态度生硬，就说很抱歉没办法保价，就这个价格。第二次携程致电是个女客服态度挺好，让我在去哪网重复购票，然后再以没入园的方式退票，结果我试了一下发现购票实名，出票就不可以再其它网站重复购票！这个事情携程难到不知道吗？！欺骗消费者吗？！言至于此，以后再也不用携程。,IP属地:上海,,,,,上海迪士尼差评
M52****250,1分,不佳,景色1,趣味1,性价比1,非常不值得,IP属地:上海,,,,,上海迪士尼差评
268****460,2分,一般,景色3,趣味2,性价比3,不推荐，早上十点入园，买了十一项速通卡，到晚上九点出园才仅仅玩完。个人感觉所有参与者都成了迪士尼的道具，不管你是不花钱老实排队的还是花钱买快速通道的都是炮灰，排队的无非就是让买快通的坚定决心花钱买时间，买快通的反回来又让排队的觉得物有所值。没法理解吃相这么难看还有那么多人帮它数钱叫好，就像坐高铁或者飞机买不到票就可以加钱解决，在这里却是公开而且合法的。很多人可能会说花钱买享受，没钱你别来。可是你花299元买个看烟花的位置，是要你服从它们的管理在近零下的温度坐在冰冷的地上的。,IP属地:浙江,,,,,上海迪士尼差评
金老师,1分,不佳,景色5,趣味5,性价比1,依然不推荐,IP属地:江苏,,,,,上海迪士尼差评
M28****2270,1分,不佳,景色1,趣味1,性价比1,刚买的票，因为人不舒服??想退，结果不让退，服务态度极差，强制消费。,IP属地:上海,,,,,上海迪士尼差评
匿名用户,2分,一般,景色4,趣味4,性价比2,游玩5分钟，排队两小时，感觉体验感不佳的一次体验。对小朋友真的是考验，累大人，也累孩子。国人的热情度太高，希望后期可以改进体验感吧。,IP属地:北京,,,,,上海迪士尼差评
匿名用户,2分,一般,景色4,趣味4,性价比2,游玩5分钟，排队两小时，感觉体验感不佳的一次体验。对小朋友真的是考验，累大人，也累孩子。国人的热情度太高，希望后期可以改进体验感吧。,IP属地:北京,,,,,上海迪士尼差评
M22****8318,1分,不佳,景色1,趣味1,性价比1,退款金还未收到,IP属地:浙江,,,,,上海迪士尼差评
M24****3984,2分,一般,景色2,趣味2,性价比3,门票很贵，夏天很热，带着孩子贼遭罪，不去去广州长隆,IP属地:辽宁,,,,,上海迪士尼差评
天心月元,1分,不佳,景色1,趣味1,性价比1,排队排到怀疑人生,IP属地:上海,,,,,上海迪士尼差评
