user_detail_name,text,text 2,text 3,text 4,text 5,content_wrap,iplocation,,,,,attraction_name
M30****1410,1分,不佳,景色1,趣味1,性价比1,不好玩 什么项目都是要花钱的 门票就是门票 动物没看到多少 餐厅小店倒是五步开外必有 这路能不能改改 推车推不动 走路脚痛,IP属地:江苏,,,,,上海野生动物园差评
_TI***ss,1分,不佳,,,,"如果你考虑这个或上海动物园,去上海动物园。这看起来更像一个有趣的公园,而不是动物园,笼子里的餐馆和孩子比动物多。可惜有些动物对公众开放,每个人都可以进去宠物。 Capybaras 逃离了孩子们,脸上有划痕。袋鼠只是躺下,或者也逃离了试图触摸他们的人。声音极其大,动物笼子附近有音乐不断,大部分看起来真的很累,挺贵的,离市中心很远,但体验不值钱我也去了上海动物园,看起来好多了,很平静和平,没有动物被孩子或大声的音乐打扰。不知道为什么人们推荐野生动物园,这可能是我去过的最差的“动物园”。",IP属地:未知,,,,,上海野生动物园差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,纯粹是骗子，排队2小时，到跟前了说设备需要维修，玩不了，还有一张票800元，根本不值的，所有项目加起来200元都不值，和方特差远了，交了智商税，以后不会来了，也不会推荐别人来！,IP属地:上海,,,,,上海野生动物园差评
烽悦,1分,不佳,景色1,趣味1,性价比1,不来后悔一次，来了后悔终身,IP属地:上海,,,,,上海野生动物园差评
Wj杰杰,1分,不佳,景色1,趣味1,性价比1,不让动手，,IP属地:上海,,,,,上海野生动物园差评
胡子拉碴先生,2分,一般,景色2,趣味2,性价比2,没有5A的实力，有5A的毛病，物价贵，门票贵，单独付费的项目多。不推荐！,IP属地:上海,,,,,上海野生动物园差评
今生只爱你（楼国强）,2分,一般,景色2,趣味2,性价比3,垃圾，这么贵的门票，里面的项目还要别外给钱，动物也是一般普通动物，真是太差了。,IP属地:上海,,,,,上海野生动物园差评
迪士尼33VIP快速,1分,不佳,景色1,趣味1,性价比1,服务超级差,IP属地:河南,,,,,上海野生动物园差评
匿名用户,2分,一般,景色2,趣味2,性价比2,感觉没有特色,IP属地:陕西,,,,,上海野生动物园差评
五福联盟@蜀之情三峡游轮川渝易广,1分,不佳,景色1,趣味1,性价比1,各种项目排队时间长，再加上下午三点以后很多跟动物互动项目都没了，不建议原价去，如果有活动还可以去看一看，园区里面连开水都没有，非要这么扣,IP属地:江苏,,,,,上海野生动物园差评
M25****976,2分,一般,景色1,趣味2,性价比3,去了一次就后悔了，节假日，还能涨价,IP属地:浙江,,,,,上海野生动物园差评
M55****564,1分,不佳,景色1,趣味1,性价比1,最近购票订酒店比较多，事情忙不过来，以为都可以正常退的。唯有这款不使用还全额没有退，买票未使用，体验感很不好,IP属地:江苏,,,,,上海野生动物园差评
会fly的小猪佩奇,1分,不佳,景色1,趣味1,性价比1,动物园里面全是需要花钱的项目，除了车入区好一点，其他什么都得花钱。关键是投喂一次需要30元，就一点点东西，非常不推荐。,IP属地:广东,,,,,上海野生动物园差评
206****013,2分,一般,景色2,趣味2,性价比2,喂食只到2点，根本没用到,IP属地:上海,,,,,上海野生动物园差评
_WeCh****753096,2分,一般,景色2,趣味2,性价比2,说实话、和杭州湾湿地公园没什么区别就是大了点、更郁闷的是里面的物价.电动车一小时200、吃饭都是68以上.存个箱子40.更郁闷的是大马戏.网上购票50、到了现场说90厘米以上的孩子也要全票、临开场、说网购票不行、只能80元全款买、感觉上海的物价真的比杭州高很多,IP属地:上海,,,,,上海野生动物园差评
