user_detail_name,text,text 2,text 3,text 4,text 5,content_wrap,iplocation,,,,,attraction_name
M26****118,5分,超棒,景色5,趣味5,性价比5,台上一分钟台下十年功    真的挺不容易的,IP属地:上海,,,,,上海野生动物园好评
小xu啊,5分,超棒,景色5,趣味5,性价比5,好玩，动物多，特别喜欢各种表演,IP属地:上海,,,,,上海野生动物园好评
匿名用户,5分,超棒,景色5,趣味5,性价比5,????nice!!,IP属地:上海,,,,,上海野生动物园好评
匿名用户,5分,超棒,景色5,趣味5,性价比5,不错不错不错,IP属地:上海,,,,,上海野生动物园好评
M50****267,5分,超棒,景色5,趣味5,性价比5,不错的，挺好玩,IP属地:上海,,,,,上海野生动物园好评
137****5332,5分,超棒,景色5,趣味5,性价比5,就喜欢动物园，这次定的票和以往走路路线不同，感受到了不一样的动物园～,IP属地:上海,,,,,上海野生动物园好评
匿名用户,4分,满意,景色4,趣味5,性价比4,动物不是很齐全有点异味。,IP属地:福建,,,,,上海野生动物园好评
冰涛寒浪,5分,超棒,景色5,趣味5,性价比5,带娃去不错,IP属地:上海,,,,,上海野生动物园好评
匿名用户,5分,超棒,景色5,趣味5,性价比5,有亮点，孩子玩的开心,IP属地:山东,,,,,上海野生动物园好评
Suen111,5分,超棒,景色5,趣味5,性价比5,淡季出行方便，没人排队，卡皮巴拉，见到本尊了,IP属地:上海,,,,,上海野生动物园好评
_TI***un,5分,超棒,,,,"很喜欢,亲近地遇到了红熊猫。",IP属地:未知,,,,,上海野生动物园好评
匿名用户,4分,满意,景色4,趣味4,性价比4,带小朋友和老人出行 ，有一定的趣味性 ，正赶上门票优惠活动老人只要1元钱，挺好的，老人们很高兴。表演也挺好看，希望多搞搞此类活动。,IP属地:上海,,,,,上海野生动物园好评
M27****9605,5分,超棒,景色5,趣味5,性价比5,"在浦东区，可以和迪士尼放一个行程。本来是为了打发半天时间，没想到超级好逛，趣味性强！
工作日人比较少，体验感更好。门票送大巴车逛猛兽区，就推荐这个免费大巴车，视野好，带笼子的车虽然能投喂，但是格子小，看不清动物。第二，太阳广场有动物表演，看好时间可以去，很精彩。第三逛互动区，如果兴趣不大，不要买全包的那个票，单独买，一种30元互动，选自己喜欢的几种即可。午餐推荐老虎餐厅，近距离看老虎。
最好玩的是小熊猫，超可爱超萌，可以近距离抚摸，需要排队。",IP属地:上海,,,,,上海野生动物园好评
M12****259,5分,超棒,景色5,趣味5,性价比5,挺不错哦 去过3次了,IP属地:浙江,,,,,上海野生动物园好评
Demi,5分,超棒,景色5,趣味5,性价比5,这地方改进提升了很多，和以前那种简陋的感觉不一样了，既然收门票就该这样好好改造一下，而且那么大的公园，各种不便就很难让人想再去了么,IP属地:上海,,,,,上海野生动物园好评
匿名用户,5分,超棒,景色5,趣味5,性价比5,值得去！！,IP属地:天津,,,,,上海野生动物园好评
131****9260,5分,超棒,景色5,趣味5,性价比5,非常棒的一次亲子游,IP属地:上海,,,,,上海野生动物园好评
匿名用户,5分,超棒,景色5,趣味5,性价比5,撸到卡皮巴拉，还在泡澡，好可爱,IP属地:上海,,,,,上海野生动物园好评
匿名用户,5分,超棒,景色5,趣味5,性价比5,撸到卡皮巴拉，情绪真的稳定,IP属地:上海,,,,,上海野生动物园好评
匿名用户,5分,超棒,景色5,趣味5,性价比5,还是好玩的,IP属地:上海,,,,,上海野生动物园好评
匿名用户,5分,超棒,景色5,趣味5,性价比5,还是好玩的,IP属地:上海,,,,,上海野生动物园好评
????,5分,超棒,,,,这将是最物有所值的家庭旅行!各种动物和景点都很多!马戏团也很有趣??,IP属地:未知,,,,,上海野生动物园好评
兵兵,5分,超棒,景色5,趣味5,性价比5,知知老师，讲解详细 清楚。非常好,IP属地:上海,,,,,上海野生动物园好评
137****1104,5分,超棒,景色5,趣味5,性价比5,搞活动买的门票，很超值,IP属地:日本,,,,,上海野生动物园好评
_WeCh****7619,5分,超棒,景色5,趣味5,性价比5,太好玩了 第一次看见胖嘟嘟的小河马。环境很好 干净漂亮。许许多多的动物 养的都很棒 胖胖的。最喜欢河马母子 胖企鹅 小脑斧 大象 熊猫 。 老虎扑食和棕熊表演让人印象深刻。胖胖的大棕熊每个都是表演天才。,IP属地:上海,,,,,上海野生动物园好评
匿名用户,5分,超棒,景色5,趣味5,性价比5,总体情况不错，就是午餐券没来得及用,IP属地:江苏,,,,,上海野生动物园好评
139****0129,4分,满意,景色4,趣味4,性价比4,整体来讲还是不错的，表演有点少，错过一场，就没得看了！,IP属地:北京,,,,,上海野生动物园好评
M23****3846,5分,超棒,景色5,趣味5,性价比5,非常多的动物,IP属地:上海,,,,,上海野生动物园好评
M55****2272,4分,满意,景色4,趣味4,性价比3,研学体验差，讲解敷衍,IP属地:上海,,,,,上海野生动物园好评
匿名用户,5分,超棒,,,,去的时候是下雨天，比较狼狈，但有雨衣可供购买。入场券包旅游巴入去看动物，你也可以选择购买船票， 坐在船上看（但其实坐船看的动物不多）也可以考虑付费坐喂动物的车，早一点去，否则动物已经饱了，就不会进食。记住去睇卡比巴拉。 ,IP属地:未知,,,,,上海野生动物园好评
Darling nana,5分,超棒,景色5,趣味5,性价比5,环境好，动物都很可爱，是带孩子玩耍的好地方，卡皮巴拉情绪很稳定，大黑熊也很会互动。,IP属地:内蒙古,,,,,上海野生动物园好评
小破杰,5分,超棒,景色5,趣味5,性价比5,挺好玩的 推荐,IP属地:山东,,,,,上海野生动物园好评
M64****4016,5分,超棒,景色5,趣味5,性价比5,非常好的视觉体验,IP属地:上海,,,,,上海野生动物园好评
M31****1256,5分,超棒,景色5,趣味5,性价比5,虽然来了很多次还是很开心，带娃带父母，看到父母很认真的去游玩很幸福。他们小时候没有这样的动物园。非常开心。大马戏看的也特别过瘾,IP属地:江苏,,,,,上海野生动物园好评
费垂垂,5分,超棒,景色5,趣味5,性价比5,孩子很喜欢去,IP属地:上海,,,,,上海野生动物园好评
