user_detail_name,text,text 2,text 3,text 4,text 5,content_wrap,iplocation,,,,,attraction_name
匿名用户,2分,一般,景色2,趣味2,性价比2,感觉不太值得，春节假期排队一个半小时以上，带着小朋友是很艰难的一个过程，最终上去了也是人挤人看不到啥，性价比很低，建议可以分时段预约，提升体验感受,IP属地:浙江,,,,,东方明珠差评
186****4910,1分,不佳,景色1,趣味1,性价比1,携程涉嫌价格欺诈，我们在现场可以直接买到两球参观和自助餐厅的票，在携程买的要比现场和别的平台贵300元，打电话向携程反应后，携程一直没有认真处理以及倾听顾客的意见，只是在强调自己和第三方的理由，没想到真的信任的携程现在为了挣钱，也这么对待消费者。,IP属地:山西,,,,,东方明珠差评
118****178,1分,不佳,景色3,趣味1,性价比1,不建议去，票价高，体验感差，建议在外滩拍个照打卡即可,IP属地:山东,,,,,东方明珠差评
匿名用户,2分,一般,景色3,趣味2,性价比2,东西不好吃，但是能吃饱，下次不会再去了,IP属地:日本,,,,,东方明珠差评
m48****6908,1分,不佳,景色3,趣味1,性价比1,人巨多观景效果不怎么样，垃圾遍地都是,IP属地:上海,,,,,东方明珠差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,都是坑 别买套餐 单买 单买 单买,IP属地:江苏,,,,,东方明珠差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,总体很好，如有夜航那就更好????,IP属地:上海,,,,,东方明珠差评
匿名用户,1分,不佳,景色4,趣味1,性价比1,体验差，平台没有明确说明此单要跟团，却在行程前一天被电话和短信通知要求统一时间集中，由导游带领进去统一用餐和进球参观，体验感极差！,IP属地:浙江,,,,,东方明珠差评
_WeCh****582450,2分,一般,景色2,趣味1,性价比3,其实就是跟团，并不是专属服务，还是要看清，就是旅行社的团，还不如一日游有人一直管,IP属地:上海,,,,,东方明珠差评
M25****3411,1分,不佳,景色3,趣味1,性价比1,东方明珠塔排队维持秩序能力差，出现插队现象！不会推荐给亲朋好友！！！,IP属地:广东,,,,,东方明珠差评
cr****ndy,1分,不佳,景色1,趣味1,性价比1,自助餐的食物很一般，人也很多，不值得,IP属地:广东,,,,,东方明珠差评
匿名用户,2分,一般,景色2,趣味2,性价比1,长这么大，上海来过N次，第一次进里面看看，结果体验感超级差，人多就不说了，节假日，主要是这个票价一点不值这个价值，仅此一次，不会去第二次,IP属地:浙江,,,,,东方明珠差评
