user_detail_name,text,text 2,text 3,text 4,text 5,content_wrap,iplocation,,,,,attraction_name
M25****466,1分,不佳,景色1,趣味1,性价比1,说是自助餐性价比20都不值，垃圾中的垃圾，想钱想疯了,IP属地:上海,,,,,外滩差评
匿名用户,2分,一般,景色2,趣味2,性价比2,"今天下雨，本来想做观光巴士看看各个景点就不下车了。结果体验不太理想。
第一，车站不好找。
第二，晚上七点坐上的一号线，然后司机就一直说是最后一班车，开到豫园站就直接说是最后一站了，后面就直接去上海博物馆始发站了。本来还想从一大转二号线了，今天还下着雨，就也没找后面二号线和十号线。50块钱就做了一号线就完事了，感觉很不值，不如想去哪个景点就坐地铁了。",IP属地:上海,,,,,外滩差评
我住七楼A,1分,不佳,景色5,趣味1,性价比1,去魔都人就是多 难以想象的多,IP属地:浙江,,,,,外滩差评
_WeCh****316210,1分,不佳,景色1,趣味1,性价比1,"垃圾中的战斗机。
买好了儿童票，取票的时候说不用票，让退了，直接上船补餐费就行。验票的时候又要儿童票，让重新再排队去取儿童票，全家晾在那边等，大年初一你们就是这么对待游客的。
吃的自助餐简直一言难尽，一共10来个菜，全都是预制的，都不能用难吃来形容，饮料就可乐，七喜，早知道是这样，送我都不要吃。",IP属地:上海,,,,,外滩差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,比较失望，船内还有附加收费服务,IP属地:上海,,,,,外滩差评
匿名用户,2分,一般,景色3,趣味2,性价比3,这趟看不到东方明珠，船上不会提供任何水和食物以及其他服务，不如绕着江边走一圈,IP属地:浙江,,,,,外滩差评
华仔,1分,不佳,景色5,趣味4,性价比1,看了评价说自助餐很好才来的，餐食种类虽说不如介绍的全，还可以吧，但口味确实不灵，主要是：热菜基本不热，汤粥也是，更主要的是：跟员工反映一下，她态度很差，冷冷的说：这不是温的嘛！咱就说这价位与服务态度、饭菜质量实在大相径庭，劝大家斟酌前往,IP属地:上海,,,,,外滩差评
匿名用户,1分,不佳,景色2,趣味1,性价比1,价格高，还宣传搭售其他观看产品。如果单纯是过江去对面，建议去做码头轮渡，就在附近，大游船，2元钱。如果是为了观光，可以坐一次，灯光效果很一般,IP属地:陕西,,,,,外滩差评
M12****980,1分,不佳,景色1,趣味1,性价比1,没有座位，座位还要另外加钱，差评,IP属地:上海,,,,,外滩差评
M48****1927,1分,不佳,景色5,趣味1,性价比3,最难吃的自助餐,IP属地:上海,,,,,外滩差评
M68****9375,1分,不佳,景色1,趣味1,性价比1,船上ViP位置不值得买，而且与携程上买的VIP票不一置，感觉存在欺骗消费者，没有跟消费者说清楚，让消费者踩雷。,IP属地:广东,,,,,外滩差评
137****2919,1分,不佳,景色3,趣味3,性价比1,车子空调不行，像蒸笼。停车点有不同的公司运营的观光车，管理乱，游客都搞不清该上哪辆车。,IP属地:浙江,,,,,外滩差评
M27****0661,1分,不佳,景色5,趣味3,性价比1,服务态度不好。船票是150元，结果三楼还有不到一半的地方被圈起来另外收费100元。通往三楼的楼梯扶手还很长，小孩很容易撞头。船出发时晚根本不到40分钟就返航了。,IP属地:天津,,,,,外滩差评
M23****1590,1分,不佳,景色1,趣味1,性价比1,不值得，无聊,IP属地:上海,,,,,外滩差评
M69****0071,2分,一般,景色2,趣味2,性价比2,"【景色】一般
【趣味】
【性价比】",IP属地:宁夏,,,,,外滩差评
M34****442,1分,不佳,景色2,趣味1,性价比1,龙船超时了先开，里面吃自助餐真的是差，差，差。,IP属地:上海,,,,,外滩差评
M24****9026,1分,不佳,景色1,趣味1,性价比1,不好意思没有照片，服务太差，排队体验太差，视觉效果太差，没有位置拍照,IP属地:上海,,,,,外滩差评
M41****713,1分,不佳,景色1,趣味1,性价比1,二层是没有空调的，在外滩那里揽客很久很久！车内温度35.6，还要塞车，生无可恋的感觉！,IP属地:上海,,,,,外滩差评
hello的猫,1分,不佳,景色2,趣味1,性价比1,除了觉得人多，没有其他，夜景远观还可以,IP属地:海南,,,,,外滩差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,管理非常混乱，售票渠道很多，但工作人员什么都不知道，瞎指挥，浪费很多时间。展馆人很多，秩序混乱，组织不力。很多流程弄不明白，人多到看不到展品，差评，非常不值！不同展馆收听设备不一样，反复交钱，使用不便，非常混乱！,IP属地:上海,,,,,外滩差评
_WeCh****282353,1分,不佳,景色4,趣味3,性价比1,就买普通的票就行，上船可以另花100到雅座就坐，风景好还送冰淇淋。这个多花100多就是上船前在休息室休息会，提前几分钟上船，没什么意义！！！,IP属地:上海,,,,,外滩差评
匿名用户,2分,一般,景色3,趣味3,性价比2,想着这个船的费用比其他船舶费用高100多，应该自助餐不错，其实东西真的少的可怜，幸亏20号被包船，让我退了，438元。不然知道是这菜品，我得想哭。还有就是儿童上船买150元的票，连半只冻品小青龙都不给，说是只有成人票才有，我都服气了。除了服务生的态度好、收垃圾快，补菜快、我实在想不出优点来。望看到我评论的人谨慎购买。,IP属地:上海,,,,,外滩差评
