"user_detail_name","text","text 2","text 3","text 4","text 5","content_wrap"
"岱山香橙","5分","超棒","景色5","趣味5","性价比5","🍎本地人半价，小时候去过无数次，再后来也就又去了这么一次。
 🍎毛公鼎、翠玉白菜、猪肉石等等，对比大陆的博物馆，感觉东西不一定很古，但看起来比较值钱。另外有许多字、画，去的时候展览好像展览不多，总之都是战争年代容易搬运的东西吧。"
"苦海无边，望不到岸","5分","超棒","景色5","趣味5","性价比5","有一种说法是：建筑看北京故宫，而文物则要看台北故宫。

在抗日战争时期，为了让文物免遭灭顶之灾，国民政府开始将很多重要文物进行南迁。

而这些文物历经种种波折之后，最终又运至了台湾。

所以台北故宫收藏着中国绝大多数的国宝，包括著名的翠玉白菜、毛公鼎。"
"Shuying","5分","超棒","景色5","趣味5","性价比5","台北故宫博物院，又称台北故宫，中山博物院。它是台湾省规模最大的博物馆，也是中国三大博物馆之一。
在台北故宫博物院收藏的珍品中，有甲骨档案、陶瓷器、铜器、古代书画、善本古籍、明清档案文献等等。其中，古代书画由于其便于运输，所以当年运到台湾的书画珍品相当丰富。但，书画类珍品实际上却难以妥善保存。机缘巧合，据说当时建馆以前，是因为大量文物无处保存，被暂时存放于山间洞中。而山洞里里的温度、湿度恰好最适宜保存，所以书画珍宝至今保存非常好。
我个人非常喜欢参观书画类展品。黄公望的《富春山居图》只存在于传说中了，但能得见王羲之的《快雪时晴帖》也是一大幸事了。"
"Dianapp","5分","超棒","景色5","趣味5","性价比5","镇馆三宝之一“白菜”去台中出差了，只见着两宝，不过，因为藏品太丰富且重量级，也算安慰了，还又一次见着了宋汝窑青瓷水仙盆，上一次是在大阪市立东洋陶瓷美术馆，世界仅存七件汝窑天青水仙盆聚首…不过富春山居图没见着，据讲解的当地向导说，他在这做讲解已经十一年了也只见过一次…富春山居图一分为二，大部分在台北故宫博物院，另一小截在大陆，庆幸上周在上海博物馆见到了，这里好东西实在太多，不愧为最热门景点，另外一定要找个会讲解的当地向导"
"ariel423","5分","超棒","景色5","趣味5","性价比5","台北故宫博物院现存很多稀世珍宝，其中尤其以翠玉白菜、毛公鼎和快雪时晴帖著称，还有很多著名人物的书画作品，非常值得一观。同时，台北故宫博物院的文创产品也做得别具一格，非常精致兼具实用性，值得购买。"
"RobinLIN","5分","超棒","景色5","趣味4","性价比5","这里有老祖宗留下来的各种宝贝值得去看哦。相比北京的故宫精品相对集中，性价比也高。"
"二十画生JQK","5分","超棒","景色5","趣味5","性价比5","台北故宫博物院 (Taipei Palace Museum），又称台北
故宫、中山博物院。是中国大型综合性博物馆、中国三
大博物馆之一，
，也是研究古代中国艺术史和汉学重镇
为台湾省规模最大的博物馆。
台北故宫博物院座落于台湾省台北市士林区至善路二段
221号，建造于1962年，1965年夏落成。占地总面积
约16公顷。为仿造中国传统宫殿式建筑，主体建筑共4
层，白墙绿瓦，正院呈梅花形。院前广场耸立五间六柱
冲天式牌坊，整座建筑庄重典雅，富有中华民族特色。
台北故宫博物院内收藏有自“南京国立中央博物院筹备
处”
“国立北平故宫博物院”和“国立北平图书馆”等所
藏来自北平故宫、南京故宫、沈阳故宫、避暑山庄、颐
和园、静宜园和国子监等处的皇家1旧藏。所藏的商周青
铜器，历代的玉器、陶瓷、古籍文献、名画碑帖等皆为
稀世之珍。展馆每三个月更换一次展品。截至 2014年
底，馆藏文物达69.6万余件文物。
2015年10月，台北故宫为庆祝北京故宫博物院 90华
诞，恰逢意大利传教士郎世宁来华300年，向北京故宫
博物院等商借11件郎世宁画作，全面展现18世纪中西
文化交流史上的成就与贡献，该展至 2016年1月6日结
束
2019年8月12日凌晨，台北故宫南院发生3楼空调机房
冒烟事故，所幸文物末受到影响[1]。"
"美玉无暇6","5分","超棒","景色5","趣味5","性价比5","台北印象——台北故宫的惊艳
今天的行程，在台北故宫博物院呆了差不多一天。
台北故宫，官方名称是国立故宫博物院，以下的资料，来自出发前匆匆浏览的《台北故宫》《大故宫》等书籍。
台北故宫于1962年6月18奠基，1964年3月初正式动工，1965年11月12落成开幕。
这天是孙中山的百年诞辰，所以当时也称中山博物院。

台北故宫的精品 在台北故宫这么多精品中，最受欢迎的是哪些呢？
学者和民众给出了不同的答案。 台北故宫的文物分级相当严谨，各有标准和规范。
学者们认为，“国宝”指的是“历史上不可取代”、“拥有唯一的文化意涵”、“年代久远”、“独一无二”等。
因此，学者评出的十大国宝分别是：散氏盘、汝窑天青无纹椭圆水仙盆、镀金镶珊瑚松石坛城、藏文大藏经、《帝鉴图说》、《快雪时晴帖》、国子监刊本《尔雅》、《万壑松风图》、《早春图》、《溪山行旅图》。 
而民众评出的十大国宝是：翠玉白菜、龙形佩、大雁玉带饰、《清明上河图》、掐丝珐琅天鸡尊、《快雪时晴帖》、清高宗夏朝冠、乾隆香山九老、多宝格、汉六朝玉角形杯。 
这两个“十大”中，只有《快雪时晴贴》是一样的，得到了学者和民众的一致喜爱。
但是，我仔细看了几次，并没有看到它。

开放展览的常年大约5000件，应该是轮展，所以并不是来到这里就能看到所有精品，人家轮流值班的。
当然，那棵“白菜”和“肉”，毛公鼎，是镇馆之宝，个人认为，它们也不会风化什么的，大约是常年展出吧。

能来到台北故宫的，当然都是精品，所以，惊艳了眼球。

图三：明 宣德 宝石红僧帽壶
它曾经是雍正书房中，最珍贵的艺术品，它可能是世界上最完美的一件宝石红釉瓷器。直到清代宣德时期的颜色釉还是装点宫廷内院的皇家珍藏。它是当时颜色釉的高峰作品，因壶口形似僧帽而得名。这种器形在元代就开始出现，在景德镇出土并经修复后的瓷器里也找到了与它几乎一样的器形。

图一：定窑婴儿枕
古代定窑窑址位于河北定州，今曲阳县，在宋代五大名窑中，定窑是唯一一个烧白瓷的瓷窑，而且产量也最大。瓷枕造型采婴儿侧卧于榻上，头微微扬起、宽额、身硕、双手交叉为枕，两脚弯曲交叠，状态悠闲。婴儿脸部清晰写实，模样雅稚可爱，更兼衣饰精细，身着长袍，外加背心、长裤、布鞋。背心前襟饰钱形纹，后背划牡丹，长袍下裳印圆形团花，衣袖长裤无纹饰，显示用不同布料缝制而成。榻周开光，印有龙纹，底平无釉，刻有乾隆皇帝御制诗。"
"M22****9482","5分","超棒","景色5","趣味5","性价比5","喜欢收藏爱鉴赏的，或是古玩家，对历史感兴奋的人一定会喜欢，因为台北故宫博物馆里有太多太多的宝贝，让人眼花缭乱。台北地铁(捷运)士林站1号出口直走一百米右转，就有许多公车到故宫(成人15元儿童8元/台币)。坐公车时可上携程网购门票更优惠，现场买门票台币350元，18岁以内免费。馆内禁饮食，有指定饮水点，进门会开包检查。入口右侧有免费行礼寄存处。整馆不提供餐食，参观完需4、5小时，故而中午11点可以安排在士林出站口就地填饱肚子，12点再搭公车去故宫，参观至6点半闭馆正好。租过语言介绍机之后觉得，下回还是约馆内介绍员，真人讲解才不至于昏头转向。"
"小飞哥旅行记","5分","超棒","景色5","趣味5","性价比5","台北故宫博物院还是不错的…毕竟老祖宗留下的宝贝650000件被迁移到了台湾～台北博物院特别适合喜欢文物宝贝的朋友～推荐去看看"
"小飞哥旅行记","5分","超棒","景色5","趣味5","性价比5","台北故宫博物院还是不错的…毕竟老祖宗留下的宝贝650000件被迁移到了台湾～台北博物院特别适合喜欢文物宝贝的朋友～推荐去看看"
"周周-zhou","5分","超棒","景色5","趣味4","性价比5","台北故宫博物院一共3层，主要是看文物。可以租一个解说器150台币。里面满满逛完起码要4小时。我们走马观花也花了近4小时。里面有盖章的地方，免费提供纪念纸。一楼有，不要错过拿，留念很好。"
"小飞哥旅行记","5分","超棒","景色5","趣味4","性价比4","台北博物院～里面都是从我们北京运去的文物宝贝哈哈～玉白菜～虽然面积不大但宝贝确实比较多还都是精品～喜欢文物的朋友推荐去看看"
"Even","5分","超棒","景色5","趣味5","性价比5","来台北必打卡的地方之一，我们也不例外，真心话，台湾的门票真的很便宜，而且收费景点也很少，故宫算是比较贵的景点了。预约人工导览，虽然讲解的不错，但是一个半小时左右的时间也是很短的，主要是讲解老师将的比较慢，而且也没有讲几件宝贝，不过老师的专业度还是很赞的。"
"qiuxg35","5分","超棒","景色5","趣味5","性价比5","我们计划当中有此行程，到了之后本人确实对古文物没有在多研究，为了翠玉白菜和肉石而来，当走到里面时黑暗的灯光中找到大白菜顿五花肉景点时，还要排队观看，翠玉白菜没有想像中的大，只有手腕粗的20厘米高吧，其他没太看！正常不让拍照！我们办的悠游卡公交出行，就到故宫门口很方便 ，可以先到士林官邸再去故宫，但是要注意一休息，错开！"
"Mini_一直在路上","5分","超棒","景色5","趣味5","性价比5","去台北一定要去故宫博物院，最好是跟着导览听一遍。展览大楼：全年开放；至善园：周一休园；至德园：不限时间；张大千先生纪念馆：周一、张大千先生忌日及国定假日休馆（于一周前于故宫网站线上申请预约）"
"SZ兵兵","5分","超棒","","","","数量不多，但精品非常多，似乎比北京故宫的收藏要档次高不少，真值得仔细欣赏。只是要能碰到游客不多的日子来就好了，就可以慢慢品赏了。非常值得一去，尤其是去看过北京故宫的人。"
"观音莲","5分","超棒","景色5","趣味5","性价比5","台湾故宫博物院里有大陆带过去的故宫精品650万件，影响比较深刻的就数玉白菜，红烧肉，已经汪精卫宋给日本人的玉屏风，玉甁里，有机会了大家去看看吧。"
"徐霞客之旅","5分","超棒","景色5","趣味5","性价比5","台北故宫博物院有很多珍品和孤品，简直是一座中国历史文化宝库，很多来台湾玩的游客都会来台北故宫博物院看一下珍品和藏品，很震撼。"
"ㅣreccoㅣ","5分","超棒","景色5","趣味5","性价比5","是台北市的精髓所在，是欣賞中華文化最好的地方，多種稀罕的寶物，及不時和國外合辦特展，每次去都有驚喜。"
"行走地球的猫","5分","超棒","景色5","趣味5","性价比5","台北的故宫博物院比我想象中要小一些，三层展馆，展示厅参观动线很合理，青铜，玉器，陶瓷，可以依序参观，也很容易找到自己感兴趣的展品。展品介绍很详尽，著名的散氏盘更是配上了盘内文字的全文，非常用心。据说馆内藏品会轮流展出，快雪时晴帖无缘得见，看来去一次不够。
门票具体多少钱忘了，大概不到一百块钱人民币，反正感觉特别值。馆内是有餐饮的，不过也可以出到外面的餐厅吃好再入内参观。
自己的水杯，水瓶等不能带入，可以放在寄存处出来再拿回。"
"dlu808","5分","超棒","景色5","趣味5","性价比5","台北故宫博物院里，可以说展出的件件都是精品，我们走了四个小时，我们已经是走走停停了，可小姑娘实在走不动了，不然恐怕还会逛下去。我们从金玉馆开始走了好大一圈，现在的照片仅仅是一小部分，何况展品还要定期更换。"
"随缘珍惜","5分","超棒","景色5","趣味5","性价比5","台北故宫博物院是台湾省规模最大的博物馆，也是中国三大博物馆之一。在台北故宫博物院收藏的珍品中，有甲骨档案、陶瓷器、铜器、古代书画、善本古籍、明清档案文献等等。其中，古代书画由于其便于运输，所以当年运到台湾的书画珍品相当丰富。这里知名度最高的藏品是翠玉白菜和肉形石，它们和毛公鼎合称为“故宫三宝”，在馆内有独立的展区。值得呆一整天的地方！"
"Alexa A","5分","超棒","景色5","趣味5","性价比5","台北故宫博物院的馆藏丰富，众所皆知，这个月又公布最新珍贵镇馆展品，汝窑水仙盆等，对陶土瓷器较没研究，却也跟风入馆参观，台北故宫除了文字、资讯化等说明展品，一旁针对重要展品还有书籍等可以聚集了解文物，很贴心的设计。"
"耿耿情怀","5分","超棒","景色5","趣味5","性价比5","对“白菜”“红烧肉”向来不感冒，高热度只不过表达了大众审美口味的高基数，此次“白菜”又外出巡游，留下块肉肉，淡季赏宝无须排队且不限时，随兴随赏方得悠闲。驻足汝窑区天多时，诸器温润素雅颇得宋人意境，各类珍品确实不少，有时不必迷信世俗排名，心怀恬淡敬畏总得邂逅独特心爱之品。"
