"user_detail_name","user_detail_tags_text","img src 2","text","text 2","text 3","text 4","text 5","resource_date_text","content_wrap","img src 3","img src 4","img src 5","video-js src","from","iplocation","like_content 2","img src 6","img src 7"
"M13****089","黄金贵宾","https://pages.c-ctrip.com/you/livestream/gs-dianping-score-2b.png","2分","一般","景色4","趣味2","性价比3","2024-07-21 发布点评","上海迪士尼乐园名气很大，环境也好，但去过以后感觉很失望，不会再去也不推荐：
1.里面配套的两家酒店都距离乐园入口比较远，需要排队坐大巴过去，非常不方便（不像北京环球影城酒店后面就是乐园人口，珠海长隆企鹅酒店旁边就是人口）。
2.我们入住玩具总动员酒店（又贵又小，大童还加收230），就为了提前一个小时入园，谁知道第二天六点多去排队发现入园口已经有一大推人排队了，他们是购买早享卡提前一个小时入园的（虽然跟酒店住客入口分开，但对于花了两三千块住酒店住客，提前一个小时入园就是形同虚设，单独购买早享卡人太多，开园后七点多就很多人了）
3.游玩设施比较落后，比较适合小童，我们家读初中的大孩子以及她同学们玩过以后总结了一下：只有极速光轮比较好玩。
4.室内或半开放的有空调休息地方比较少，夏天炎热，很多人坐在厕所外面或待着厕所里面休息（迪士尼的厕所特别干净）
5.中午我们四人购买了两份双人套餐299/份（什么烧烤餐馆），一开始太饿觉得很好吃，迟到后面才发现食材不新鲜，最后没吃完。
6.等了半天的烟花秀结果就是简简单单地放十几分钟，失望😞","https://dimg04.c-ctrip.com/images/0EQ3312000euo7jy0AB60_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/0EQ2n12000euo67nx703E_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/0EQ5712000euo4jfy5705_D_180_180.jpg?proc=autoorient","https://video.c-ctrip.com/videos/1A0l2u000001j4vspFFC4.mp4?ts=1721547453000","来自订单","IP属地:广东","14","",""
"匿名用户","铂金贵宾","https://pages.c-ctrip.com/you/livestream/gs-dianping-score-1b.png","1分","不佳","景色1","趣味1","性价比1","2024-08-23 发布点评","没有服务，米奇大街负责合影的主管是这里的老大，他说几点停止合影就几点，app上面的时间他说不管用，就是个参考，实际他说了算","https://dimg04.c-ctrip.com/images/0EQ1k12000f83s2dt5639_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/0EQ5y12000f83rxrv8A02_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/0EQ4b12000f83iz6b321B_D_180_180.jpg?proc=autoorient","","来自订单","IP属地:上海","1","",""
"M24****1958","黄金贵宾","https://pages.c-ctrip.com/you/livestream/gs-dianping-score-1b.png","1分","不佳","景色3","趣味1","性价比1","2024-08-21 发布点评","体验感极差！不建议购买！
首先，是人工占位，不是预留位置，真的不建议！特别是带小孩的，要求6点20前就要去排位置，那为啥还要买票呢！
其次，正好碰上下大雨，占位的都走了，最后没有位置也不能退票！

最后，自己找到位置，其实不必要靠那么近，离得远点靠近湖边，前面也是一览无余！
最后再次说一下，体验感真的很不好！","","","","https://video.c-ctrip.com/videos/1A0q2v000001j7dy62B93.mp4?ts=1724244325000","来自订单","IP属地:上海","1","",""
"M31****238","黄金贵宾","https://pages.c-ctrip.com/you/livestream/gs-dianping-score-1b.png","1分","不佳","景色1","趣味1","性价比1","2024-08-28 发布点评","首先迪士尼乐园暑期门票加价不少，一天近8万人入园人数实在是玩不了什么。到处都是人，还有好多黑导游、黑导购…还有就是在高温环境下每次要玩娱乐项目都要排队，排队时间都有超过一小时以上，最不愉快的就是娱乐项目还总是出现问题（告知设备维护）另外园区花车巡游工作人员维护秩序很不友好，没有礼貌。疯狂动物城入口更是造成了人流聚集性恐慌…还给大家引流到临时的活动棚里，实属差意思啊！还有下单时附加购买的特饮根本用不上，因为早上入园时还没开门，晚上出园了就关门了。这家特饮店根本不在园区内…有涉嫌欺诈消费者的性质！总之，这次到迪士尼体验感超差的感觉！","https://dimg04.c-ctrip.com/images/0EQ0z12000fa129we3BD0_D_180_180.jpg?proc=autoorient","","","","来自订单","IP属地:河北","2","",""
"匿名用户","黄金贵宾","https://pages.c-ctrip.com/you/livestream/gs-dianping-score-1b.png","1分","不佳","景色1","趣味1","性价比1","2024-08-30 发布点评","人挤人，稍微阴凉一点的地方，坐得全是人，好玩的项目，排队都要一两个小时下午的米奇花车巡游还取消了。去了红皇后的花园洞穴逛了一圈出来，感觉浑身上下哪哪都痒 晚上回家衣服脱了，一看全是红疹 不下20处，不知道是咬的还是过敏的，今天身上还在持续有新的红疹出来，明天周末再去看医生。真是倒霉的一天。人一多什么都跟不上，没有那个接待力，为什么要放那么多票。排队的时候还有偷偷抽烟的也不来管管，又闷又热又呛队都排到太阳下面了。","https://dimg04.c-ctrip.com/images/0EQ0j12000fbcj70dF887_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/0EQ1q12000fbcicggC9A8_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/0EQ2212000fbcb7ex3F5D_D_180_180.jpg?proc=autoorient","","来自订单","IP属地:浙江","2","https://dimg04.c-ctrip.com/images/0EQ3f12000fbcj7jf9126_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/0EQ2y12000fbcb7ezA577_D_180_180.jpg?proc=autoorient"
"匿名用户","铂金贵宾","https://pages.c-ctrip.com/you/livestream/gs-dianping-score-1b.png","1分","不佳","景色3","趣味3","性价比1","2024-07-18 发布点评","无论是入口还是出口都要走很长一段路，而且绕来绕去，花了将近两小时。园区人山人海，每个项目活动排队少则半小时，多的要两三个小时，而且排队的地方都没有空调，这么热的天这么多人挤在一起，就几个电风扇吹吹，超级热，非常不舒服，餐饮比一般的景区都要贵，口味也不好吃，而且吃饭的地方居然是户外，没有空调，一边吃一边汗流浃背。各类商品价格也很高。人太多，体验感超差，不会去第二次！","https://dimg04.c-ctrip.com/images/0EQ5s12000etk9h8nBA30_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/0EQ5312000etk5i8q6235_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/0EQ0k12000etkg5l08136_D_180_180.jpg?proc=autoorient","","来自订单","IP属地:浙江","2","https://dimg04.c-ctrip.com/images/0EQ1312000etkbs1i0FA6_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/0EQ0r12000etkafql1CC1_D_180_180.jpg?proc=autoorient"
"139****8839","黄金贵宾","https://pages.c-ctrip.com/you/livestream/gs-dianping-score-2b.png","2分","一般","景色5","趣味5","性价比5","2025-03-20 发布点评","全程玩的很开心，工作人员都不错，只有3月18日那天疯狂动物城一位中发女性工作人员服务态度差，侮辱性话语对待游客，希望官方看到请重视！！","https://dimg04.c-ctrip.com/images/1mh1012000j6wg89zE14D_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh3m12000j6wr9veD41F_D_180_180.jpg?proc=autoorient","","","","IP属地:安徽","","",""
"匿名用户","铂金贵宾","https://pages.c-ctrip.com/you/livestream/gs-dianping-score-1b.png","1分","不佳","景色4","趣味3","性价比2","2024-08-19 发布点评","优速通平均排队时间20分钟。最刺激的不是游乐项目，是37度户外徒步10公里拉练。强烈建议携程入住迪士尼提供园内租车服务。","https://dimg04.c-ctrip.com/images/0EQ0x12000f6bf72wB1FB_D_180_180.jpg?proc=autoorient","","","","来自订单","IP属地:上海","2","",""
"匿名用户","","https://pages.c-ctrip.com/you/livestream/gs-dianping-score-1b.png","1分","不佳","景色5","趣味5","性价比1","2024-02-09 发布点评","迪士尼乐园本身很好，快速通道也很值得，烟花位置就是花一两百找了个黄牛5点多占位，还要在这里坐地上等1个半小时等8点的烟花，还不如自己来占","https://dimg04.c-ctrip.com/images/0EQ6812000d611bne11E3_D_180_180.jpg?proc=autoorient","","","","来自订单","IP属地:上海","3","",""
"匿名用户","黄金贵宾","https://pages.c-ctrip.com/you/livestream/gs-dianping-score-2b.png","2分","一般","景色3","趣味3","性价比1","2025-04-05 发布点评","节假日去体验极差，一天的时间3—4个小时排队玩不到5分钟，设计那么长的排队队伍，你一旦进去了，这几个小时就跟坐牢一样，没得选，就算买了快速通道，前面也要排队，20—30分钟不等，商家只考虑了效益，根本不考虑游玩体验，不限流，让顾客的时间都消耗在排队中，游玩项目和其他主题乐园差不多，只是主题不一样而已，","https://dimg04.c-ctrip.com/images/0EQ4c12000jl3m6dx8BF1_D_180_180.jpg?proc=autoorient","","","","来自订单","IP属地:上海","","",""
