"user_detail_name","user_detail_tags_text","text","text 2","text 3","text 4","text 5","resource_date_text","content_wrap","img src 3","img src 4","img src 5","img src 6","img src 7","img src 8","img src 9","img src 10","img src 11","img src 12","img src 13","img src 14","img src 15","img src 16","img src 17","iplocation","like_content 2","from"
"青扬兮 文旅美学","铂金贵宾","5分","超棒","景色5","趣味5","性价比5","2025-03-05 发布点评","经过一片茂盛的花木繁盛，
一只大大的洁白的鸽子，
振翅迎面飞向我，飞走了……

然后，
就到达了上海博物馆。

阳光正好的时候，
入口处两侧长廊的镂空顶，
漏下许多文物的样子，
太有感觉了。

主要看了
“寰宇东西——马可波罗眼中的中国和世界”，
大厅屋顶有点儿天似穹庐的感觉，
透着天光……

非常值得去，
这么高质量的展览都是免费的，
展览上的这些文物陈列都非常的有价值，
每件文物都诉说着那个时代的故事，
承载着一段历史的记忆。
需要一个人慢慢的细细的品。","https://dimg04.c-ctrip.com/images/1mh6z12000iwbfm1u493D_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh5k12000iwbvfdo28D4_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh7312000iwaoi0h018C_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh2h12000iwbny5h39E1_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh6q12000iwazgp45A3E_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh3t12000iwbsw2s899C_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh3z12000iwb7u6vC3F0_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh6712000iwbsch7D711_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh1a12000iwba09xF5E0_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh5i12000iwb903r0165_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh4n12000iwbtce0A786_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh3p12000iwbt9vc9E1C_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh6d12000iwbsxxz490F_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh6s12000iwbjr86D7CC_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh5k12000iwaqxhj15E6_D_180_180.jpg?proc=autoorient","IP属地:上海","14",""
"M52****6387","铂金贵宾","5分","超棒","景色5","趣味5","性价比5","2025-04-23 发布点评","很多木乃伊木棺！有的有极其精美的浮雕，还有各种彩绘

到后期埃及衰落之后，木乃伊木棺上就只有彩绘，没有浮雕了……而且彩绘看着也比之前粗糙了很多……

木棺内部也有彩绘！

还有很多精美的面具

有一个小号的金面具非常好看！彩绘表现了埃及华丽头饰

金面具其实是像电瓶车头盔或者摩托车头盔一样戴在头上的……

虽然图坦卡蒙的金面具不可能来，但是图坦卡蒙的雕像也超好看啊！而且买金字塔挖掘盲盒，竟然幸运的挖到了图坦卡蒙金面具！（虽然很小，但是做的很精致！是金属的！）

文创都很好看！推荐！","https://dimg04.c-ctrip.com/images/1mh1012000k0tpjmw790F_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh3s12000k0twtuz547B_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh3c12000k0u2i8s849F_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh3112000k0teefa22C6_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh5c12000k0v4ped37D6_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh0z12000k0uzzqw1E64_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh2112000k0tnrgc9ACB_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh2212000k0u0rgoE5C8_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh4s12000k0tj08qC6D7_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh1x12000k0th6z2A8B6_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh0z12000k0v5v6p6FCF_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh1512000k0tuoz24068_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh6j12000k0uo2kh342E_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh5n12000k0u0onk5C40_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh0p12000k0uiv3oB9EB_D_180_180.jpg?proc=autoorient","IP属地:河南","2",""
"密码2013","铂金贵宾","5分","超棒","景色5","趣味5","性价比5","2024-12-21 发布点评","金字塔之巅古埃及文明展览是上海博物馆有史以来最大规模的特展，改造启用了人民广场馆一楼的三个展厅，展陈空间达3000平方米。

展览汇集492组788件古埃及文明不同时期的珍贵文物，精选自埃及国家博物馆、卢克索博物馆、苏伊士博物馆等七家埃及重点博物馆和萨卡拉地区的最新考古发现，超过95%以上的文物为首次来到亚洲。

通过“法老的国度”“萨卡拉的秘密”“图坦卡蒙的时代”三个版块展开独立叙事。

法老的国度：以创世神话为起点，聚焦古埃及文明的地标——神庙与金字塔，探寻古埃及文明的底色，展现古埃及的宇宙观、神圣王权等，涵盖社会制度、日常生活到精神世界的方方面面。

萨卡拉的秘密：主要展出萨卡拉2018年以来的最新考古发现，如猫女神神庙遗址及猫祭司地下合葬墓穴中的完好遗存等，这里有很多的动物木乃伊。

图坦卡蒙的时代：以埃及国家博物馆的珍贵藏品为基础，从公元前1500年地中海地区进入帝国时代的背景入手，再现阿玛尔纳时期的惊天巨变，讲述埃赫纳吞宗教改革的前因后果，解读图坦卡蒙传奇的一生。","https://dimg04.c-ctrip.com/images/1mh6u12000hbncx75DD4B_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh4b12000hbmnmb7AF09_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh2l12000hbns9oi60CE_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh3c12000hbn3yxu048A_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh2u12000hbn819c25E8_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh6212000hbnr6olE074_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh6t12000hbnzs28EE1D_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh1v12000hbnug6n91F0_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh0b12000hbmndks7B05_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh1b12000hbmpyrp95D5_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh0312000hbngadnF31A_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh3o12000hbngq8zF3DE_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh0r12000hbnqsviDBFB_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh1z12000hbmkrw02FD5_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh5j12000hbngcpj8675_D_180_180.jpg?proc=autoorient","IP属地:黑龙江","2",""
"M52****6387","铂金贵宾","5分","超棒","景色5","趣味5","性价比5","2025-04-24 发布点评","很多猫猫神！

消失的法老VR里的猫神贝斯特也超好看！各种猫猫神文创也超好看！（如果现场卖完了可以等某宝官方旗舰店补货）

有很多猫猫木乃伊，有的猫猫木乃伊的尾巴和单独缠了一条，细细的很可爱！有的猫猫木乃伊尾巴可能是和身体缠在一起了

现在的猫猫或许正是这些埃及猫猫的后代呢！

之前有一个很棒的大河文明展，有四大文明古国的文物，其中埃及不仅有木乃伊木棺，还有埃及人称太阳船的雕塑，还有猫猫木乃伊，鱼木乃伊，鸬鹚木乃伊……鱼木乃伊还配有鱼形木棺……

还有青铜獴，各种圣甲虫，眼镜蛇，河马，朱鹭，塞特神，鳄鱼神，河马，狮身人面像，荷鲁斯（雕像有一只眼睛是损坏的），还有超萌的荷鲁斯一只！（感觉和我们的陶鹰鼎有点像）

二楼消失的法老那里有一艘大的太阳船模型，可以去看一下（然而真的船更大！）","https://dimg04.c-ctrip.com/images/1mh1b12000k1skdugD796_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh2g12000k1tvv9iC123_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh5k12000k1tcedn11C3_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh6x12000k1tw06pC7DD_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh5112000k1tutsaC808_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh4y12000k1ufodjCC9E_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh3a12000k1tcx841B71_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh0t12000k1ub75319B9_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh2q12000k1u7tyu4849_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh6u12000k1t6xc1A2CD_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh5w12000k1tqamlBF46_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh4z12000k1swikzCA5C_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh2d12000k1u2j9a006C_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh5x12000k1t1y9s0341_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh4k12000k1tyn6u81D1_D_180_180.jpg?proc=autoorient","IP属地:河南","1",""
"M52****6387","铂金贵宾","5分","超棒","景色5","趣味5","性价比5","2025-04-22 发布点评","上博埃及展里，除了那些经典的有代表性的大件，还有很多小文物也很有意思

比如有一尊方碑，特别美！尤其从侧面看，面容宁静安详，带着永恒的微笑，望向远方。

埃及这种方方正正的上面顶个头像的方碑，有的感觉比较局促（比如女王宠臣塞奈姆特那个怀抱公主的，可能因为没有脖子……）但是这座感觉动作比较舒展（脖颈，头发or假发，胳膊和手的线条雕得比较明显），就像曾经上课趴桌，或是树下抱膝而坐的你我……

埃及人认为朱鹭是文字的发明者，智慧的象征，冥界的书记官……朱鹭木雕非常精美，尤其尾部羽毛的纹理。

看到数千年前的各种面具和画像真的有种奇妙的感觉……数千年前的人曾生活在那里，他们的身体早已归为尘土，他们的面容却保存了下来……

（实物比照片好看太多了！似乎能感觉到目光的重量……）","https://dimg04.c-ctrip.com/images/1mh3z12000jzqhum5036A_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh6x12000jzrw2j40F5F_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh4s12000jzracqt5435_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh5w12000jzrg3d947D9_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh2412000jzqu4ed5ADF_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh0n12000jzr3hs08C82_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh1o12000jzru2y6710F_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh6512000jzqaj7769C1_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh4r12000jzqmjts2947_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh3z12000jzrab9e68C0_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh1j12000jzryt8w8656_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh1812000jzqny912E89_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh2812000jzs9w8a89AA_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh1a12000jzqmcvmD884_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh6n12000jzs6l6xC311_D_180_180.jpg?proc=autoorient","IP属地:河南","1",""
"托泥曾","","5分","超棒","景色5","趣味5","性价比3","2025-01-03 发布点评","前些日子在上海博物馆看了埃及大展的奇妙体验——说真的，我觉得自己好像穿越到了几千年前的文明古国，感受到了来自历史深处的神秘力量。

一进展厅，灯光柔和，气氛神秘，仿佛整个空间都被古埃及的气息笼罩着。展品超级丰富，件件都在诉说着那个时代的故事。让我印象最深的，必须是图坦卡蒙的石像。站在它面前，我感觉时光倒流了几千年。石像线条刚毅，气场无比强大，仿佛一个真正的法老在俯瞰众生。看到那双深邃的眼睛，我不由得沉思：他统治的世界会是什么样子？人们是否也曾像我们一样仰望着他，感慨王权与神权的交织？

我被一件展品深深吸引——娜芙蒂蒂王后的雕塑。即使只是半身像，那种从五千年前穿越而来的美丽依然能打动人心。她的面容精致，神态温柔但带着一丝坚韧。站在雕塑前，我简直移不开眼，脑海中不断想象着她的故事：她是法老的妻子、王国的象征，也是那个时代无与伦比的美的化身。想想五千年前的人类，竟然已经创造出了如此细腻的艺术品，真的是一件了不起的事。

这里还有让我彻底震撼的木乃伊展区！以前看木乃伊，总是在电影里或者纪录片中，这次能近距离看到实物，真的有点不敢相信自己的眼睛。这里不仅有人类的木乃伊，还有一些动物的木乃伊，比如猫、狗、甚至还有鳄鱼！工作人员介绍说，这些动物木乃伊大多是献给神灵的祭品，看着它们精美的包裹和细致的纹饰，我开始理解古埃及人对生命和来世的那种独特信仰。他们相信死亡只是另一种开始，这种信念让整个文明变得神秘又充满力量。

展厅里还有很多和日常生活相关的展品，比如工具、首饰、甚至一些当时的文书残片。让我惊讶的是，这些东西虽然已经几千年了，但有些设计和现代生活竟然还有些相似。比如一些首饰的纹路和搭配方式，现在看来依然时髦得很！

整场展览看下来，我觉得不仅仅是“涨知识”，更是一种和古代文明面对面的对话。站在那些展品前，我感觉自己不仅是一个参观者，更是一个倾听者，去聆听那个时代的故事、去感受那些跨越时间的情感和美感。

在展览快结束的时候，我又回头去看了一眼娜芙蒂蒂的雕塑，心里默默说了一句：“五千年后，我们依然被你的美和力量所震撼。”

如果你最近也在上海，一定要去博物馆看看这次的埃及大展。它不仅是一次文化的沉浸，更是一场关于生命、历史和美的深刻体验。相信我，你不会失望的！","https://dimg04.c-ctrip.com/images/1mh5k12000hka1wr3C58D_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh4e12000hk9ug9tD234_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh2f12000hkahqn4447E_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh1912000hk9jj8l930E_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh6112000hkaplfs7D29_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh1412000hka2biu0380_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh1112000hk97cgc28C9_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh1812000hk9p2fvEACC_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh1w12000hkadc6tDF98_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh5c12000hk9j58t0D60_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh4012000hk9zrh08270_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh5j12000hka2gs2E326_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh5n12000hkallcl4100_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh2f12000hkaeba4B7C0_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh2t12000hk9i0i35D21_D_180_180.jpg?proc=autoorient","IP属地:山东","1",""
"云石雨","铂金贵宾","5分","超棒","景色5","趣味5","性价比5","2024-12-20 发布点评","上海博物馆挺值得一看的，常常有特展！交通方便，周边有吃有玩有逛！
看完展，逛逛人民广场，蓝天白云映衬下大剧院、城市规划馆都格外漂亮！伴着音乐喷泉，你也可以翩翩起舞，跟着快乐出发！从人民广场出发，沿着南京东路步行街，可以逛到外滩，领略世界建筑博物馆的魅力；或者沿着西藏路向南，转转大世界、上海音乐厅，再去云南路美食街品品老字号！每一种选择都不错的！","https://dimg04.c-ctrip.com/images/1mh1c12000has1apo5044_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh5w12000haryftg2405_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh2312000harr3oc63CA_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh0112000has4crw7530_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh6o12000haqxahl564C_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh0x12000has3w1dF14F_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh4w12000harqpbmCE59_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh0x12000has4b6i975D_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh1012000haqne2dE649_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh0112000has4gza74E5_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh3r12000harnoq96D99_D_180_180.jpg?proc=autoorient","","","","","IP属地:上海","1",""
"枫原没有万叶","铂金贵宾","5分","超棒","景色5","趣味5","性价比5","2024-12-11 发布点评","上海博物馆，这座坐落于上海市黄浦区人民大道的综合性博物馆，以其丰富的馆藏文物和独特的展览形式，吸引了无数游客的目光。博物馆内藏品琳琅满目，涵盖了青铜、陶瓷、书画、雕塑等多个门类，每一件文物都承载着深厚的历史和文化内涵。
走进博物馆，仿佛穿越回历史的长河，可以近距离观赏到西周大克鼎、齐白石虾图等珍贵文物，感受古代艺术的魅力。同时，博物馆还经常举办各种临时展览，如古埃及文明大展等，让游客能够领略到不同地域、不同文化的独特魅力。
此外，博物馆的服务也非常周到，提供了电子讲解器、VR眼镜等多种辅助工具，帮助游客更好地了解展品背后的故事。无论是历史爱好者还是文化探寻者，上海博物馆都是一个不可错过的旅游胜地。","https://dimg04.c-ctrip.com/images/1mh3s12000h5cwbccA5F6_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh5n12000h5d40klB315_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh0u12000h5cxznt9B8C_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh0u12000h5djnq4961B_D_180_180.jpg?proc=autoorient","","","","","","","","","","","","IP属地:江苏","3",""
"熊熊飞行官","","5分","超棒","景色5","趣味5","性价比5","2025-01-31 发布点评","上博古埃及文明大展 
🔥虽然已经对该展的热度🈶心理预期，但真正到现场还是低估了观众的热情，排队一个多小时方才进场。
✅三大展区组合:萨卡拉的㊙️密，图坦卡蒙的时代，法老的国度。实物丰富，史料翔实，脉络清晰。
✅消失的法老利用3D沉浸式体验的方式重现了古埃及文明的生活场景。
✅展览很注重互动性，文创产品非常丰富多元，从配饰，玩具🎈，书籍到定制自己的古埃及象形文姓名牌，各种方式让人印象深刻。
✅展品数量超过800件，从浩如烟海的史料中，海外实物与国内学者的理解为埃及学注入更多元的视角。这次展览是两大古老文明的碰撞💥，交流催生出新的文化灵感与火花❇️。","https://dimg04.c-ctrip.com/images/1mh4512000i7amvke933F_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh4i12000i7c4tue0325_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh0i12000i7bp1vvF065_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh2512000i7ag6pzCCDB_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh4g12000i7ajf8rE43E_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh1e12000i7bp1vxDAF0_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh4u12000i7avttp463D_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh4m12000i7b0foz3833_D_180_180.jpg?proc=autoorient","","","","","","","","IP属地:海南","",""
"七游记","","5分","超棒","景色5","趣味5","性价比5","2024-12-27 发布点评","一个人逛上海博物馆埃及展6小时的精彩|||上海博物馆的金字塔展，据说是目前亚洲zui大规模，虽然没有真正人的木乃伊，(只在大英博物馆和开罗博物馆有)对于埃及脑袋来说，冲冲冲！从九点到三点马不停蹄，值！重点:是上海博物馆的人民广场馆，别跑错地方！展览截止日期2025.8.17。一抢而空的金门票确实难买，画重点，但是，买二楼博新全宇宙【消失的法老】AR套票，免门票哦！重点:金字塔有三个场馆，规划好时间！！！AR需要45分钟！！！我买的下午场AR，预约了上午场的讲解，当时早上可以提前进入博物馆，而且也提前玩了AR(具体情况而定)重点:刷身份证，出博物馆记得在咨询处领手环，馆内二楼有甜品饮料，但是没有主食。讲解方面:大咖珠子老师和coco老师的输入非常精彩，比如对太阳羽毛洋葱和猫的崇拜，欧洲贵族300年前爱吃木乃伊打成粉，拉美西斯是刻名字狂热分子，图坦卡蒙爷爷是宠妻狂魔，不仅人可以做木乃伊猫牛甚至还有圣甲虫等等！另外感受两个，文创好好过瘾，真想去埃及","https://dimg04.c-ctrip.com/images/1mh2l12000hfxpahk17EE_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh2i12000hfylbot8D45_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh5l12000hfybpwkC7BF_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh4t12000hfytx4z6716_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh0e12000hfy8qez203E_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh6812000hfysurvCA6C_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh5l12000hfy8ou23DE8_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh2m12000hfy4t8j32A9_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh6212000hfxckw12EFC_D_180_180.jpg?proc=autoorient","","","","","","","IP属地:安徽","",""
