"user_detail_name","user_detail_tags_text","text","text 2","text 3","text 4","text 5","resource_date_text","content_wrap","img src 3","img src 4","img src 5","img src 6","img src 7","iplocation","like_content 2","img src 8","img src 9","img src 10","img src 11","img src 12","img src 13","img src 14","img src 15","img src 16","img src 17"
"偶尔装一下","黄金贵宾","5分","超棒","景色5","趣味5","性价比5","2024-06-30 发布点评","上了年龄的老年人在外旅游，难免力不从心，脚步已赶不上心之所向，不服老不行，何况还有一身慢性病，看着老太太深一脚浅一脚的步履蹒跚，我就知道，她累了，于是，早上伴着成都的阴雨绵绵，睡个自然醒，缓缓的在市区逛逛。
第一站入住的雅逸酒店，麻雀虽小五脏俱全，服务也很到位。但是旅行不就是从一个熟悉的城市来到一个陌生的地方换换生活口味嘛，因此，我们挪到离市区景点较方便的太古里附近的一家酒店，地理位置对景点布局属于五马分尸状，散点距焦，地理明词就是四通八达。也很不错，前台的领班热情周到，不吝言语，有问必答。最优秀的服务不外乎就是，及时。
稍作小憩，带老太太随便吃顿简餐，约车来到武候祠景区。入目，检票口人声鼎沸，各旅游团的导游举着团旗正在招呼自己的团队入园，老年人有老年人的好处，我利用着老太太的优待，走的是老弱病残便民通道。
我对蜀汉历史人物的知晓来自于《三国演义》的只字片语，但是我对罗贯中的《三国演义》从未翻阅完这本大部头名著，以我的知识底蕴看电视剧会更有兴趣。这里的蜀汉历史我连一知半解都谈不上。只记得，诸葛亮的《出师表》中的传世名句，亲贤臣，远小人。出师未捷身先死，但使英雄泪满襟。还有什么明修栈道暗度陈仓，空城计，周瑜打黄盖一个愿打一个愿挨，既生瑜何生亮，草船借箭等……还是我女儿初中语文老师让家长查课文的背诵，我顺道记住的。反道是李宗吾的《厚黑学》里的曹操和刘备的官场谋略，我不经意间翻过几篇，大概是一个够狠，宁愿我负天下人，不让天下人负我。一个是会示弱，会哭的孩子有奶吃，这算不上是什么野史，仅仅是人物性格分析的归纳与总结。
景区人颇多，我急于在此为自己科普一些蜀汉《三国志》的历史，但怎么说呢，不如回家翻书看纪录片实用。《三国志》里的知名人物雕塑都是现世的无名工匠设计和制作的，一脸戏状，川剧脸谱，没有古人相。简介也是潦潦几笔。玻璃隔段让我们之间的距离变的更远。
看到这，我突生一个想法，准备回西安去宝鸡的五丈原和武候祠，定军山看看，也许那儿征战沙场的英雄气息更浓厚。
武候祠里全是耳熟能详的蜀汉历史，人物和文化，除了少量文物和镶嵌在墙面的碑文以及遥相互应的唐碑和明碑很老旧，是历史的见证，其它的展览都是简单的思维导图，顺着历史人物体现历史事件，用微缩景观模型呈现当年宏大的战争场面，一目了然，感觉上属于亦无风雨亦无晴的平静。","https://dimg04.c-ctrip.com/images/1mh6b12000emt6geaFF4F_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh0e12000emthsbvEDC2_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh1212000emsxwmrC316_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh3o12000emswokx1361_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh0512000emtclgp356B_D_180_180.jpg?proc=autoorient","IP属地:甘肃","6","","","","","","","","","",""
"语若及日中","钻石贵宾","5分","超棒","景色5","趣味4","性价比5","2025-01-01 发布点评","享有“三国圣地”之美誉，国家一级博物馆值得去。
   1、是全国唯一一座纪念刘备、诸葛亮、关羽、张飞等蜀汉英雄的君臣合祀祠庙，也是全世界影响最大的三国遗迹博物馆。
   2、1961年3月4日，武侯祠被国务院公布为第一批全国重点文物保护单位。2006年，被评为“国家AAAA级旅游景区”。2008年，被评为国家一级博物馆。2016年，被国家文物局授牌“全国三国文化研究中心”。
  3、唐 碑    唐元和四年（公元809年）刻立。全名《蜀丞相诸葛武侯祠堂碑》，唐代名相裴度撰文，著名书法家柳公绰（柳公权之兄）书写，名匠鲁建镌刻。其文章、书法和镌刻极为精湛，被誉为“三绝碑”。","https://dimg04.c-ctrip.com/images/1mh3s12000hj7ydyx4B4B_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh5h12000hj8hfqxC78D_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh1d12000hj7mrhpFBE0_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh6r12000hj7yeob0E08_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh2112000hj7zoknF333_D_180_180.jpg?proc=autoorient","IP属地:四川","2","https://dimg04.c-ctrip.com/images/1mh2f12000hj8ijfxCA95_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh4412000hj8c2vqBE89_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh4712000hj887gr8774_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh1l12000hj8d7un5C87_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh2e12000hj84vsnBC7B_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh2h12000hj8d7up8B0D_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh5r12000hj85y3816F6_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh0m12000hj7kfq29918_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh4n12000hj8jfp14D22_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh2b12000hj8eenn7125_D_180_180.jpg?proc=autoorient"
"随风摆动李","铂金贵宾","5分","超棒","景色5","趣味5","性价比5","2024-12-29 发布点评","武侯祠，位于成都市武侯祠大街231号，由三国历史遗迹区（文物区）、西区（三国文化体验区）、锦里民俗区（锦里）三大板块组成，占地面积约15万平方米。始建于公元223年，明朝初年重建时将武侯祠并入了“汉昭烈庙”，形成君臣合庙的形式，明末，祠庙却毁于战乱。现存的主体建筑实际上是在清康熙1672年在旧址上重建的。是全国唯一一座纪念刘备、诸葛亮、关羽、张飞等蜀汉英雄的君臣合祀祠庙，也是全世界影响最大的三国遗迹博物馆。","https://dimg04.c-ctrip.com/images/1mh5f12000hgv63te050C_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh5212000hgvd6psF66F_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh4012000hgupxjdD3C4_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh5w12000hguy3ot973B_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh4r12000hgvb02p07CE_D_180_180.jpg?proc=autoorient","IP属地:四川","2","https://dimg04.c-ctrip.com/images/1mh0u12000hgvfh9aE318_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh6z12000hgv899c7534_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh5x12000hguwrqfB129_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh5n12000hguvdye9002_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh3k12000hgvc06cB72F_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh1e12000hgviip976C7_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh5c12000hgvb6doED6B_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh6m12000hgv8vm87981_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh2p12000hgveyox2C50_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh6912000hgvgy4z26A2_D_180_180.jpg?proc=autoorient"
"乐游远方（二）","","5分","超棒","景色5","趣味5","性价比5","2025-02-01 发布点评","成都武侯祠非常值得去，尤其是带领孩子一块儿去，可以让他从小感知中国深厚的文化底蕴，领略伟大的三国文化，这里不仅讲忠信结义，军事谋略，怎样拥有自己的人脉圈，怎样人才皆其所用，在以后的工作生活中，怎样组成自已的团队，团队中都应该有什么思维和能力的人物，怎样分工协作，怎样制定战略目标，战略步骤，以及战略施行方案，发挥和利用一切可用之才为我所用，才能在当今社会立于不败之地，从而才能为社会做出更大的贡献，成为国之栋梁！","https://dimg04.c-ctrip.com/images/1mh7312000i7n34aoD2D0_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh1q12000i7m862l02CD_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh1z12000i7mlfdjB818_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh3s12000i7lvsn8D8CD_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh6i12000i7mlei44107_D_180_180.jpg?proc=autoorient","IP属地:海南","1","https://dimg04.c-ctrip.com/images/1mh4o12000i7mlwp706E8_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh0v12000i7lw1snD060_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh5q12000i7l8o2b7FBC_D_180_180.jpg?proc=autoorient","","","","","","",""
"鲲哥爱旅游","铂金贵宾","5分","超棒","景色5","趣味5","性价比5","2024-07-31 发布点评","‌武侯祠，位于四川省成都市武侯区武侯祠大街231号，是纪念三国时期蜀汉丞相‌诸葛亮的主要祠堂，始建于蜀汉章武元年（221年）。武侯祠不仅是民众对诸葛亮“鞠躬尽瘁死而后已”精神的肯定和赞誉的载体，也是全国重点文物保护单位之一。武侯祠由‌汉昭烈庙、武侯祠、‌惠陵、‌三义庙四部分组成，属于成都武侯祠博物馆的文化遗产保护区。","https://dimg04.c-ctrip.com/images/1mh2512000eybmx076F32_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh2812000eybts5rC60D_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh4q12000eybyg7q831A_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh6x12000eyc27803656_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh6112000eybrexc7C06_D_180_180.jpg?proc=autoorient","IP属地:黑龙江","1","https://dimg04.c-ctrip.com/images/1mh5c12000eybs7rmE325_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh1w12000eyc1vx4EFCE_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh4012000eybu75s6BA1_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh2s12000eybzcmsAFD3_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh1612000eybzxws9E04_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh0z12000eybulkaC5F1_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh4512000eyc0x3cA492_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh6t12000eyc0a86B564_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh4j12000eybqk6z6A67_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh4l12000eyc2kqwD136_D_180_180.jpg?proc=autoorient"
"风起鹰鲨","","5分","超棒","景色5","趣味5","性价比5","2025-02-11 发布点评","非常值得，带孩子体验三国文化，诸葛孔明的鞠躬尽瘁，桃园结义的义薄云天，蜀汉文臣武将的忠勇故事，出师表的千古名篇。参拜下刘玄德陵墓，拜祭下诸葛孔明。有自助手办售货机，可以买些手办留念。在武侯祠门口打出租车千万注意，有诈骗团伙相互勾结欺诈乘客，欺骗乘客高价购买字画，还好识破对方，最好打网约车，免得耽误时间。","https://dimg04.c-ctrip.com/images/1mh2i12000igye9qz49F7_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh1g12000igz37yh145F_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh0712000igysp1oCB57_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh4812000igz0bi0A4BF_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh3c12000igyndnaDB7B_D_180_180.jpg?proc=autoorient","IP属地:浙江","","https://dimg04.c-ctrip.com/images/1mh2c12000igz37yj949D_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh6n12000igy9czx7A5D_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh1u12000igyyrckCCE8_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh4s12000igyebs0E6E3_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh2d12000igzim3r55F6_D_180_180.jpg?proc=autoorient","","","","",""
"贱客老虎","钻石贵宾","5分","超棒","景色5","趣味4","性价比5","2024-12-04 发布点评","武侯祠作为纪念三国名相诸葛亮的圣地，融汇了丰富的历史文化与精美的建筑艺术。园内古柏参天，碑刻林立，展现了深厚的文化底蕴和悠久的历史传承。游览武侯祠，仿佛置身三国历史的画卷中，令人感慨万千。","https://dimg04.c-ctrip.com/images/1mh0512000h14h4wt188B_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh6u12000h14oav68DA4_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh4g12000h149c750477_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh3412000h14la8uFBD2_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh3r12000h14doq6EF42_D_180_180.jpg?proc=autoorient","IP属地:广东","","https://dimg04.c-ctrip.com/images/1mh6612000h1533wlB921_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh4u12000h13tg9k60FC_D_180_180.jpg?proc=autoorient","","","","","","","",""
"大元脸葡萄","铂金贵宾","4分","满意","景色5","趣味4","性价比4","2025-04-19 发布点评","🌟成都武侯祠，三国迷的圣地！踏入古朴大门，仿佛穿越回千年前。刘备殿庄严肃穆，诸葛亮殿智慧深邃，红墙竹影超出片。周边锦里小吃更是让人垂涎三尺，张飞牛肉、蛋烘糕，每一样都超赞！讲解员的生动解说，让历史鲜活起来。在这里，不仅能感受深厚的历史底蕴，还能享受美食与美景，超值的旅行体验！","https://dimg04.c-ctrip.com/images/1mh2s12000jx6alew479F_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh5t12000jx7knpoA3A0_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh5r12000jx96ou9F41B_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh0g12000jx960cm3C05_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh3812000jx7qa6k645B_D_180_180.jpg?proc=autoorient","IP属地:北京","1","https://dimg04.c-ctrip.com/images/1mh0x12000jx9zet3A16C_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh7112000jx8o1oyE007_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh4512000jx8xenx5B61_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh6q12000jx91j48B398_D_180_180.jpg?proc=autoorient","","","","","",""
"五好男银","黄金贵宾","5分","超棒","景色4","趣味4","性价比5","2025-02-24 发布点评","内容丰富，比较详尽地介绍了蜀汉时期的历史面貌。刘备墓历史久远，未被盗掘实属罕见。但有一个问题，武侯祠博物馆，感觉是诸葛亮为主要人物，而实际上其中的大部分内容却是刘备和蜀国内容。可能是历史传承，现在也是没办法的事。","https://dimg04.c-ctrip.com/images/1mh2w12000ipc29469730_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh1412000ipbh26cD9A5_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh1j12000ipbgwtqE6A7_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh1j12000ipc99jv1CBD_D_180_180.jpg?proc=autoorient","","IP属地:山东","1","","","","","","","","","",""
"郭润龙浪迹天涯","铂金贵宾","5分","超棒","景色5","趣味5","性价比5","2023-05-10 发布点评","20230425上午：
1、“武侯祠博物馆”是世界著名的三国遗址博物馆，始建于蜀汉章武三年（223年）刘备逝世后下葬的惠陵，位置由诸葛亮亲自选定。诸葛亮逝世后，武侯祠建在惠陵旁，在明洪武二十四年（1391年）由蜀献王朱椿翻修，并将武侯祠和惠陵整合到一起，形成全国唯一一处君臣合祀的祠庙，祠内供奉刘备以及蜀汉武将、文臣的牌位，被誉为“三国圣地”，国家一级博物馆。景区分武侯祠、西区和锦里古街3部分，后2个区域免费。
①地址：四川省成都市武侯区武侯祠大街231号。
②交通：公交直达，开车很好停。
③旺季：无。
④用时：3小时。
2、进门后凑10人可拼团请讲解，每人20元（耳机押金100元或者抵押身份证），比单请划算得多。第一个院内东西两侧有唐碑（立于唐元和四年，即809年，由唐代中期著名宰相裴度撰文，著名书法家柳公绰手书，名匠鲁建刻字。因文章、书法、刻字都出自名家，也称“三绝碑”，三绝碑的另一种说法是诸葛亮智绝、裴度文绝、柳公绰书绝。该碑是四川境内保存最完好的唐碑，属国家一级文物，原在殿内后来移出）、明碑（立于明嘉靖二十六年，即1547年，由兵部尚书、四川巡抚张时彻撰文，并主持翻修了武侯祠）、清碑（。
3、向北即到“刘备殿”，殿正中的刘备金像塑于清康熙十一年（1672年），两侧陪祀的是刘备孙子刘谌，雕像塑于清乾隆五十三年（1788年），蜀国灭亡时他杀死妻子孩子后自杀殉国，因此牌位可入庙，而他父亲刘禅降魏，因此殿内无刘禅的牌位。主殿两侧是“关羽殿”（陪祀是其子关平和关兴、管粮都督赵累、周仓。周仓和青龙偃月刀是小说杜撰，历史上无此人，《三国志》中的关羽“刺”死颜良的记载说明关羽的武器可能并非长刀）和“张飞殿”（陪祀为其子张苞、孙子张遵。张飞的2个女儿都成为刘禅的皇后），两配殿的塑像均塑于清乾隆五十三年。
4、殿外的“英武廊”和“文华廊”供奉蜀汉著名文臣武将的牌位。文华廊主祀文臣，又称“文臣廊”，自北向南祭祀庞统、简雍、吕凯、傅彤、费祎、董和、邓芝、陈震、蒋琬、董允、秦宓、杨洪、马良、程畿；英武廊主祀武将，又称“武将廊”，自北向南主祀赵云、孙乾（怎么成武将了）、张翼、王平、姜维、黄忠、廖化、向宠、傅佥、张巍、马忠、冯习、张南。塑像均塑于清代，大多塑于清道光二十九年（1849年）和清乾隆五十三年，而魏延因为谋反，武将廊里没有他的塑像…

字数超限，在最后一张图片里继续。","https://dimg04.c-ctrip.com/images/1mh2012000b6u2cw44958_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh2512000b6tgklj445C_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh3t12000b6u632t33BB_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh2t12000b6ui3i0C0F8_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh3o12000b6t6n6n14A0_D_180_180.jpg?proc=autoorient","IP属地:福建","55","https://dimg04.c-ctrip.com/images/1mh0712000b6tqrdv17C9_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh5h12000b6u78nf0C47_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh0d12000b6tg5qi2E20_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh2212000b6tqrk80D95_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh0912000b6tyr4cCF57_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh1412000b6ues45BB1E_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh1x12000b6uii6gA183_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh2t12000b6tw3r9099C_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh2r12000b6tap850EA2_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh2y12000b6tll7c3671_D_180_180.jpg?proc=autoorient"
