user_detail_name,user_detail_tags_text,text,text 2,text 3,text 4,text 5,resource_date_text,content_wrap,iplocation,from
266****597,铂金贵宾,5分,超棒,景色5,趣味5,性价比5,2025-02-05 发布点评,感觉不错，值得一来，节假日人多不建议看花花，从西门开始较好。,IP属地:山西,
187****9779,黄金贵宾,4分,满意,景色5,趣味5,性价比3,2025-02-05 发布点评,地方太大了，熊猫挺多的，就是冬天去很多地方让人失望，比如产房没有熊猫也不说明，白跑了，熊猫下班也比较早，建议早点入园，观光车停的早，从西门到了南门就没有车了，想去西门拿行李还得出大门打车去取,IP属地:山东,
158****3320,铂金贵宾,5分,超棒,景色5,趣味5,性价比5,2025-02-05 发布点评,很棒 孩子玩得很开心,IP属地:北京,
M26****1211,钻石贵宾,4分,满意,景色5,趣味5,性价比5,2025-02-05 发布点评,门票不贵55元 周一来的 可惜花花没有上班！上午10点到的就有很多人了  尽量早去 进去的时候就已经有熊猫睡觉了 每一只熊猫都很胖胖的 肉乎乎 很好看 就是需要耐心等待他们出现。,IP属地:北京,
M37****409,钻石贵宾,5分,超棒,景色5,趣味5,性价比5,2025-02-05 发布点评,西门进去，新园区体验感也不错，不挤人，熊猫也可爱,IP属地:重庆,
M12****028,铂金贵宾,5分,超棒,景色5,趣味5,性价比5,2025-02-05 发布点评,总体很好玩的开心,IP属地:山东,
M33****6326,铂金贵宾,5分,超棒,景色5,趣味5,性价比5,2025-02-05 发布点评,从西门进，跟着人群边走边看，看到了很多软萌可爱的大熊猫，有干饭猫，睡觉猫，爬树猫，干架猫。。。总共看到了有几十只呢，真是大饱眼福！,IP属地:陕西,
匿名用户,铂金贵宾,5分,超棒,景色5,趣味5,性价比5,2025-02-05 发布点评,世界上最大的熊猫基地带娃打卡地，近距离接近熊猫、竹子！亲身体会大熊猫的成长过程！观赏大熊猫的别墅区，产房、活动区！还有大熊猫探秘馆，增长知识,IP属地:四川,
辉享好H,铂金贵宾,5分,超棒,景色5,趣味5,性价比5,2025-02-05 发布点评,还行，体验一般。,IP属地:四川,
M14****738,铂金贵宾,5分,超棒,景色5,趣味5,性价比5,2025-02-05 发布点评,基地太大了还是要跟着老师走靠谱儿，梁老师超级耐心👍讲解一个半小时，走回南门半小时，熊猫活泼又可爱～甜品也不错，孩子玩得很开心,IP属地:四川,
匿名用户,,5分,超棒,景色5,趣味5,性价比5,2025-02-05 发布点评,熊猫基地，看到很多熊猫🐼🐼🐼🐼🐼🐼🐼🐼🐼🐼🐼🐼🐼🐼🐼🐼🐼🐼🐼🐼🐼，非常可爱，没有时间，没看到花花。,IP属地:重庆,
M25****9131,,5分,超棒,景色5,趣味5,性价比5,2025-02-05 发布点评,还好吧！带小朋友玩。,IP属地:四川,
M85****87,铂金贵宾,4分,满意,景色5,趣味4,性价比4,2025-02-05 发布点评,熊猫太少了,IP属地:青海,
_cft01****1331088,钻石贵宾,5分,超棒,景色5,趣味5,性价比5,2025-02-05 发布点评,人很多，还好看见了熊猫🐼,IP属地:四川,
Loree,,5分,超棒,,,,2025-02-05 发布点评,"体验超级好玩!虽然因为春节人多,但我们还是喜欢看到可爱可爱的熊猫,交通也很方便!",IP属地:未知,
Mr.沈从文,钻石贵宾,5分,超棒,景色5,趣味5,性价比5,2025-02-05 发布点评,好好好好好好好好好好好,IP属地:江苏,
匿名用户,铂金贵宾,4分,满意,景色4,趣味4,性价比4,2025-02-05 发布点评,票价稍贵，有点不划算。,IP属地:湖北,
匿名用户,铂金贵宾,4分,满意,景色4,趣味4,性价比4,2025-02-05 发布点评,票价有点贵，有点不太划算。,IP属地:湖北,
Kee Kwong chew chit son,,5分,超棒,,,,2025-02-05 发布点评,一个很棒的地方。,IP属地:未知,
M38****4015,铂金贵宾,5分,超棒,景色5,趣味5,性价比5,2025-02-05 发布点评,实在是太哇塞了,IP属地:四川,
_WeCh****648957,铂金贵宾,5分,超棒,景色5,趣味5,性价比5,2025-02-05 发布点评,体验感很好，导游很负责,IP属地:陕西,
