user_detail_name,text,text 2,text 3,text 4,text 5,content_wrap,iplocation
GD-渺渺,5分,超棒,景色5,趣味5,性价比5,重庆武隆仙女山四季皆美各有韵味，春天，仙女山百花盛开，争奇斗艳，草原上一片生机勃勃的景象，仿佛是花的海洋，夏天，这里凉风习习，是避暑的胜地，茂密的森林和广阔的草原为人们带来丝丝凉意，秋天，山上的树叶变得五彩斑斓，如同一幅绚丽的油画，给人以美的享受，冬天，仙女山银装素裹，变成了南国罕见的林海雪原，冰挂、雾凇等景观让人仿佛置身于梦幻的冰雪世界 。,IP属地:广东
MICHAELDADA,5分,超棒,景色5,趣味5,性价比4,"仙女山国家森林公园
山沟沟里的大草原
云海
牛马羊の领地
着实没有想到 会有如此大片的草原
仿佛是到了西北广阔地
起伏延绵的公路 一眼望不到尽头
小火车叮叮当当 动物们无忧无虑 肆无忌惮如入无人之境 点缀在绿色草甸
跟随风的脚步",
埃文日记,5分,超棒,景色5,趣味5,性价比5,"仙女山的攻略其实很简单，买了门票，开车进去一路边玩边拍照就对了，景区面积很大，所以建议自驾游。仙女山的核心景观就是高山草原，因此你可以选择2小时走马观花打个卡，也可以选择玩儿上大半天，带上装备来一场野外BBQ，或者躺在草地上晒晒太阳看看书。
另外关于仙女山，埃文有两个打卡小建议：第一，小火车一定要坐。仙女山的小火车能把你带到景区深处，有一条笔直的公路，非常适合拍照，一路的风景也更加漂亮，还会遇到野放的牛牛马马。第二，华邦酒店记得打卡。华邦酒店是景区内的一处高端酒店，设计的非常漂亮，自然景观一级美，你不一定非要进去住宿，也可以开车溜进去拍照打卡嘿嘿。",
E37****043,5分,超棒,景色5,趣味4,性价比5,"天然草场，绝对的洗肺圣地！！！
令人心旷神怡的神奇之地，实在太美~

春夏秋可以欣赏草原
冬天还可以滑雪
适合一年四季去

对于喜欢自然和动物的我来说，像找到了仙界。
更适合拍照（瞬间出片的那种）、休闲散心、户外徒步。

我去的当天山上雾很大，能见度不高，不过雾蒙蒙的又是另外一番风景，整个景区就我一个人徒步，相当寂静！有的路段走过去，感觉有《暮光之城》的意境，给朋友拍视频发过去，她们说要被吓死了哈哈哈~",
闲云在旅途,5分,超棒,景色5,趣味5,性价比5,"先说一下自由行路线：各地到达武隆县城后，武隆县城汽车站内可以买票去仙女山镇，每人5元。在武隆到仙女镇的汽车下车点坐车(紧邻游客中心)，票价5元，在景区门口需要下车购票，目前山东籍游客可以凭身份证免费购票，然后车辆直达仙女山游客中心。在这里可以购买小火车票，25每位，建议购买，全程路线较长。在游客中心回来时也在同一地点坐车，票价5元。到仙女镇终点站后，在同一地点坐车回武隆县城。
再说一下景色：仙女山是避暑胜地，山上很凉快，凉风阵阵袭来，感觉是天然的大空调。大草原确实很美，蓝天白云绿树青山，视野空阔，放飞心情。大草原到马场之间，有自由自在吃草的马牛羊，到达马场站后可以步行往回走一段，与马牛羊近距离接触。那种回归自然的感觉的确很好。目前每周六晚上还有露营音乐晚会，每周都会请来专业歌手演唱。气氛热烈。",
闲云在旅途,5分,超棒,景色5,趣味5,性价比5,"【景色】优美，温度适宜，武隆37度，仙女山上凉风阵阵来袭，像是开着25度的空调，蓝天白云，绿树，青草地，马牛羊在这里安逸的吃草，真是如仙境一般。
【趣味】可以近距离接触马牛羊，就在路边的草地里，没有工作人员的监督，可以自由玩耍。
【性价比】很高。",
ColinP,5分,超棒,景色5,趣味4,性价比4,这次去武隆的第一站，仙女山国家森林公园在售票处坐小火车，第一站到大草原，大草原其实是高山草甸，上面有很多散养的动物，羊呀，马呀，视野开阔，空气清新，只是山上有些冷，注意加衣。看完大草原继续坐小火车参观，景色特别棒,
阿囍囍囍囍囍,5分,超棒,景色5,趣味4,性价比4,"重庆武隆游
one day ：       
早晨7:00起床
8:37坐上高铁（我们是坐的最后一节车厢）
9:40到重庆北站北广场（买武隆县的动车票24.5）到重庆一定要去吃火锅，经当地人推荐 我们选定了舒家火锅。从重庆北站北广场到火锅一条街的舒家火锅的车费为10&#165;。
舒家火锅：消费平民 就是服务有点欠缺（三人消费150&#165;）
火锅一条街到重庆科技馆的车费为18&#165;（科技馆是免费开放的 适合小朋友 增加知识 三四个小时就可以玩透）
15:55上开往武隆的动车 大约时间为两小时
18:00到达武隆，可以坐包车40&#165;到达仙女镇，仙女镇上有很多酒店旅馆，一般在150&#165;左右，房间配套设施齐全，干净整洁。
20:00在外街吃饭，推荐重庆小面，价格平民，份量足，很经济。米粉 洋芋饭 豆花饭是他们家的特色。（三个人共消费40&#165;）
two day
6:30起床，这个时候可以去看看清晨的仙女镇。
早饭可以不用在餐馆里吃，因为我吃到了苍蝇。建议买面包或者酸奶。
7:30坐包车（黑车）到仙女山山顶的车费为10&#165;/人
有些黑车包门票大约是60&#165;/人 
可以坐观光小火车（25&#165;/人 儿童免票）主要的景点有森林公园和溜马场。
在景区门口有小吃和特色菜还有超好吃的饼子 建议游玩时间三小时",
不问行路归途,5分,超棒,景色5,趣味5,性价比5,"先说交通:没有到天生三桥和龙水峡地缝那样方便明确。因为仙女山镇旅游业很发达，所有镇子很大，一个镇上的公交站都有十几个。坐武隆到仙女镇的客车（终点站是石梁子接待中心，距游客中心1公里），在游客中心站下车后，原地等游客中心到仙女山的班车，10元/人，大约50分钟到景区。
到达景区后可以选择坐小火车25元单程（终点站跑马场），沿途经过大草原和跑马场。也可以全程步行至终点（1:30小时），返程再坐车，个人建议这种方式，因为走路好看风景和拍照，特别是大草原到跑马场一段，景色很好。
再说游玩心得:步行到大草原的途中，有一个狩猎场，野味还不少，当天去就看到别人打了只100斤左右的野猪，有兴趣又不差钱的朋友可以去试试啊！核心景点——大草原，很美丽，漫步草场，微风习习，夹杂着青草的香味，放眼看起，是轮廓的碧绿和湛蓝，多么惬意。跑马场感觉没多大意思，带小朋友玩玩溜溜还是可以，小贵100+。要是大草原到跑马场那段草地（步行40分钟）有马骑，花200也值！
再说性价比:门票60，可以说重庆所有景点中最高！值得一去！",
溪河口齐桓公,5分,超棒,景色5,趣味5,性价比5,先到的仙女山，参观完还得赶去天生三桥，所以时间比较赶，没有细细游玩，时间充裕的话，可以住宿一晚。因为赶时间坐的小火车了，25元一人。如果时间充裕可以选择徒步慢慢游玩。去的时候细雨就连绵不绝，雾蒙蒙的也没能好好拍照参观。不过空气清新，里面的小动物也比较欢脱。个人还是比较喜欢。适合休闲度假。,
溪河口齐桓公,5分,超棒,景色5,趣味5,性价比5,先到的仙女山，参观完还得赶去天生三桥，所以时间比较赶，没有细细游玩，时间充裕的话，可以住宿一晚。因为赶时间坐的小火车了，25元一人。如果时间充裕可以选择徒步慢慢游玩。去的时候细雨就连绵不绝，雾蒙蒙的也没能好好拍照参观。不过空气清新，里面的小动物也比较欢脱。个人还是比较喜欢。适合休闲度假。,
s梨s,5分,超棒,景色4,趣味5,性价比5,值得一去！尤其是这大热天！建议早上8:00之前上仙女山，有大雾，很美！10:00之后很少了。我是头天下午玩完天生三桥，晚上住在镇上，第二天一大早上山的【也可以住山里面，有露营区】建议不要坐小火车，到大草原的路程不远，路也挺平的，可以边走边玩。【带点儿吃的，路上的山羊不怕人，但是大草原上的山羊怕人】然后就是很凉快，山下30℃上山我穿了三件。最好带一件外套，不过上山可以租,
LasySnail,5分,超棒,景色5,趣味5,性价比5,"武隆游最大的惊喜，建议留一整天慢慢晃悠。从仙女山游客中心门口坐中巴车40分钟到景区，里面很大，嫌累可以坐25块一个人的景区小火车，到大草原和遛马场
。大草原草被茂盛，天气好的话随手就是大片，简直不要太清新惹。大草原入口处有吃饭的地方，可以在那里解决中饭，羊肉锅158，肉超多，两人吃到撑。遛马场有一些游乐项目。整个景区随处可见悠闲吃草的马、牛、羊，实在是太田园啦。",
_M13****4055,5分,超棒,景色5,趣味4,性价比4,虽然说只是一片草原，而且去的时候很冷很大雾，可是我还是挺喜欢这里的，环境很舒服，牛马在这里自然走动，好像这是很稀疏平常的事一样。要是天气好一点定能拍很多很好看的照片，带上咖啡三文治地毯，可以在这里呆上一整天。,
M18****880,5分,超棒,景色5,趣味5,性价比4,"旅游时间:2016.07.15－2016.07.19
旅游目的:避暑，休闲，亲子
这几日风景超棒，分别领略到，雨后初晴的仙女山，碧空如洗，云彩婀娜；大晴天里蓝天白云分外明朗；雾中仙女山仙气袅绕，雾随风转，变幻无穷；雨中仙女山雨声如鼓增添自然音效，别样体验。总结，仙女山空气沁人心脾，凉风习习，洗肺避暑的好去处！满眼翠绿湛蓝纯白，养眼又养心！",
M67****66,5分,超棒,景色5,趣味5,性价比5,超乎预期的兴奋！赶上最大的一场雪，又碰到了好的司机直接送我们到了仙女山停车点，教我们直接租30元（也可以租20元的）一个人的滑雪板可以尽情的玩一天，滑完雪去了遛马场！观看了情人谷！也自愿多花了另外的钱让养马人带我们去了大峡谷！因为实在太美了！牵马师傅大雪的天气全程走路真的很辛苦，还愿意放手让我们自己小跑了一会马！完全是很开心的一次旅游，感谢一路上好心的司机和辛苦的师傅,
十字小溪-Y,5分,超棒,景色5,趣味5,性价比5,仙女山海拔1800米，是夏季重庆城区市民避暑好去处，目前正值主城41度高温，仙女山上各类酒店全部客满，尤其周末可谓一房难求。山上的翠绿的高山大草原、墨绿的松林坡、颜色各异的野花，多姿多彩；狩猎场、跑马地、游乐场也丰富各异。游客尽可自由选择安静地吸吸氧或耗氧地玩乐。,
