"user_detail_name","user_detail_tags_text","img src 2","text","text 2","text 3","text 4","text 5","resource_date_text","content_wrap","img src 3","img src 4","img src 5","from","iplocation","like_content 2"
"华仔","铂金贵宾","https://pages.c-ctrip.com/you/livestream/gs-dianping-score-1b.png","1分","不佳","景色5","趣味4","性价比1","2024-12-13 发布点评","看了评价说自助餐很好才来的，餐食种类虽说不如介绍的全，还可以吧，但口味确实不灵，主要是：热菜基本不热，汤粥也是，更主要的是：跟员工反映一下，她态度很差，冷冷的说：这不是温的嘛！咱就说这价位与服务态度、饭菜质量实在大相径庭，劝大家斟酌前往","https://dimg04.c-ctrip.com/images/0EQ0n12000h6tx1viE0C5_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/0EQ3012000h6ug83n90F9_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/0EQ4r12000h6vg5fx5B39_D_180_180.jpg?proc=autoorient","来自订单","IP属地:上海","2"
"匿名用户","钻石贵宾","https://pages.c-ctrip.com/you/livestream/gs-dianping-score-1b.png","1分","不佳","景色1","趣味1","性价比1","2025-04-04 发布点评","非常非常非常不推荐！！！！！！差差差差差！！！
本来抱着期待看夜景，说是有表演，想着看看也行，没想到恶心到了🤢我觉得不如没有，纯看夜景还来的清净！
请来的不知道是什么人，口型也对不好，跳舞完全不专业，自称是偶像，带了一堆女朋友自己玩自己的，我们花钱让你们play的吗？表演了三首歌就一堆人坐在了船舱的一侧玩耍，还把坐在边上的游客都赶走了。搞特殊？你们谁啊？怎么了？我们是花钱让你们play的？你们play的一环？如果做得好，可以得到别人尊重，我们愿意。就这样的表演，辣我们眼睛，还要赶游客，真的受不了。
强烈不推荐，千万千万千万不要踩坑。带孩子的家庭千万不要来，不利于孩子身心健康！带老人的家庭也不要来，不利于老人身体健康！年轻人也不要来，容易长皱纹，医美也钱白花了，自己一肚子气！","https://dimg04.c-ctrip.com/images/0EQ0y12000jk9ridg64A7_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/0EQ2c12000jkb94waDD8E_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/0EQ4c12000jkabj03DD47_D_180_180.jpg?proc=autoorient","来自订单","IP属地:浙江",""
"_WeCh****316210","钻石贵宾","https://pages.c-ctrip.com/you/livestream/gs-dianping-score-1b.png","1分","不佳","景色1","趣味1","性价比1","2025-01-29 发布点评","垃圾中的战斗机。
买好了儿童票，取票的时候说不用票，让退了，直接上船补餐费就行。验票的时候又要儿童票，让重新再排队去取儿童票，全家晾在那边等，大年初一你们就是这么对待游客的。
吃的自助餐简直一言难尽，一共10来个菜，全都是预制的，都不能用难吃来形容，饮料就可乐，七喜，早知道是这样，送我都不要吃。","https://dimg04.c-ctrip.com/images/0EQ4l12000i5belra0E7E_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/0EQ4z12000i5bxrjn94F4_D_180_180.jpg?proc=autoorient","","来自订单","IP属地:上海","1"
"匿名用户","黄金贵宾","https://pages.c-ctrip.com/you/livestream/gs-dianping-score-2b.png","2分","一般","景色2","趣味2","性价比2","2025-02-01 发布点评","今天下雨，本来想做观光巴士看看各个景点就不下车了。结果体验不太理想。
第一，车站不好找。
第二，晚上七点坐上的一号线，然后司机就一直说是最后一班车，开到豫园站就直接说是最后一站了，后面就直接去上海博物馆始发站了。本来还想从一大转二号线了，今天还下着雨，就也没找后面二号线和十号线。50块钱就做了一号线就完事了，感觉很不值，不如想去哪个景点就坐地铁了。","","","","来自订单","IP属地:上海",""
"_TI***za","","https://pages.c-ctrip.com/you/livestream/gs-dianping-score-1b.png","1分","不佳","","","","2025-03-21 发布点评","预订没有路线指南,作为第一次来上海的游客,北外滩的整个秋天都很大,问所有保安人员和警察,没有人知道7号门在哪里。5:30到达,但直到6:45pm仍然找不到,错过了旅程!","","","","来自Trip.com","IP属地:未知",""
"_WeCh****00832","铂金贵宾","https://pages.c-ctrip.com/you/livestream/gs-dianping-score-1b.png","1分","不佳","景色1","趣味1","性价比1","2025-02-25 发布点评","全部的菜品，虾是凉的，两块钱的轮渡他不香嘛，以为销量高，会好，直接踩雷。价格低的自助品质都不如。","https://dimg04.c-ctrip.com/images/0EQ6c12000iqp54wb89AD_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/0EQ5t12000iqpmkk12050_D_180_180.jpg?proc=autoorient","","来自订单","IP属地:上海",""
"匿名用户","铂金贵宾","https://pages.c-ctrip.com/you/livestream/gs-dianping-score-1b.png","1分","不佳","景色2","趣味1","性价比1","2024-11-14 发布点评","价格高，还宣传搭售其他观看产品。如果单纯是过江去对面，建议去做码头轮渡，就在附近，大游船，2元钱。如果是为了观光，可以坐一次，灯光效果很一般","","","","来自订单","IP属地:陕西",""
"匿名用户","","https://pages.c-ctrip.com/you/livestream/gs-dianping-score-2b.png","2分","一般","景色3","趣味2","性价比3","2025-01-03 发布点评","这趟看不到东方明珠，船上不会提供任何水和食物以及其他服务，不如绕着江边走一圈","","","","来自订单","IP属地:浙江",""
"河海冰88","铂金贵宾","https://pages.c-ctrip.com/you/livestream/gs-dianping-score-2b.png","2分","一般","景色2","趣味2","性价比2","2025-04-29 发布点评","没什么景观可看，就是一个过江小火车。","","","","来自订单","IP属地:上海",""
"匿名用户","","https://pages.c-ctrip.com/you/livestream/gs-dianping-score-2b.png","2分","一般","景色3","趣味1","性价比2","2025-03-29 发布点评","一般般，就是纯看，排队进去也没秩序","","","","来自订单","IP属地:广东",""
